,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Cfdp1,0.07143802,0.5268946,-0.16010132,-0.40105402,-0.33484623,-0.3616025,-0.597719,-0.124609396,0.020261172,-0.08292571,0.31849965
Kars,-0.51819134,0.5710044,-0.8743911,-0.100651145,0.115979746,0.46366,-0.2792737,0.008657515,-0.02632708,-0.24797593,-0.57558995
Znrf1,0.32717556,-2.3131623,0.1391138,0.59514934,0.75301915,-0.14893475,0.64269847,-2.333037,-0.18060687,0.54281443,0.71186316
Cdyl2,-0.16778818,-0.85198665,0.48908058,0.56836045,-0.3332892,-0.12464225,0.3805351,-0.81260806,-0.35420075,0.8391861,-0.3460616
Cmc2,0.0077526793,-1.1095527,-0.078573234,-0.026752012,0.30302262,0.49330238,-0.59909123,-0.6097932,0.5708987,-0.28706685,-0.50807303
Wwox,-0.9859916,-1.2995329,0.035667613,0.6572962,1.1464891,0.5140898,0.7199368,-1.228221,-1.4541264,0.007278772,0.6953256
Hsbp1,1.5865731,-1.007658,-1.4588873,-0.2820106,-0.089448504,-0.29433423,-0.81650424,-1.1554587,1.55177,-0.7269264,-0.15412712
Cmip,-0.6684693,-0.35168839,0.4395624,0.3542254,0.8135897,-0.2518042,0.76854813,-0.34728158,-1.0963898,0.18530643,0.8566803
Mbtps1,0.41349223,-1.7254566,-0.27168283,0.39632517,0.29255557,0.030813722,0.5923655,-1.0052415,0.1600092,-0.005391858,-0.6474044
Hsdl1,1.5716964,-2.6319132,-0.8593073,0.53831047,-0.103149824,0.014404755,0.48527998,-2.3901243,0.8784304,0.2882826,-0.74063843
Usp10,-0.13001446,0.0070788115,-0.25358313,-0.14415479,0.27142593,0.2695538,-0.27752253,-0.016568203,-0.0064612674,-0.05810492,-0.298081
Cotl1,-1.7413559,2.2656898,0.69218886,-0.8862196,-1.350036,-0.43982735,-0.6200745,2.2562442,-2.0267882,-0.5024635,-0.65646386
Emc8,-0.3569392,0.50609535,0.17366298,-0.5585846,0.11987535,0.350726,-0.34290138,-0.047146857,-0.030334653,-0.3202489,-0.06491689
