,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Rb1cc1,1.4966576,-2.4891603,-0.47359142,0.58015585,0.37759766,-0.7141123,0.38613784,-2.4697409,0.68222207,0.007886912,0.24231566
Pcmtd1,0.30148327,-1.779277,-0.057371467,0.66625994,0.60718,-0.3211888,-0.07909561,-0.8831903,0.24188085,-0.11072729,-0.22203425
Vcpip1,0.6708216,-0.8419932,-0.14558277,0.2737302,-0.36311364,-0.4103269,0.00096752116,-0.6348673,0.025927778,-0.0022269331,-0.07087319
Sgk3,0.5175246,0.3748263,-0.19439562,-0.054576635,-0.021971164,-1.0465136,-0.87997,-0.06031768,-0.20638344,0.06681064,-0.44479424
Arfgef1,0.13328068,-0.082847744,-0.21069942,0.19551072,-0.42368484,-0.21262933,-0.08007533,-0.18655768,0.047338482,-0.0015728568,-0.72964215
Tram1,0.33735257,-0.98669034,-0.025541507,0.1514461,-0.57705104,-0.056045756,0.13564073,-0.20482272,0.0026429677,0.03152381,-0.8252611
Ncoa2,-0.23837157,-0.16440055,0.19223896,0.5020171,0.6922379,-0.8256375,0.087790385,-0.36462343,-0.26639947,0.069095366,0.98585653
Ube2w,-0.30828878,0.11364399,-0.5719869,0.5396611,0.2975784,-0.17028147,0.4983533,0.061553054,-0.037024777,-0.4510117,-0.37026775
Eloc,0.45013708,0.553211,0.017860323,-1.0810043,-0.34228075,-0.55012417,-0.6098757,0.16509904,0.29729208,-0.86047846,-0.8092499
Mcm3,0.58442044,-0.599103,-0.36600432,-0.60336727,-1.5056635,0.7305008,-0.681738,-0.31591257,0.40566707,-0.3499969,0.11987994
Kcnq5,-0.046413153,-2.7618365,-0.23208956,1.2703732,0.819608,0.17782038,0.8202038,-2.2683072,-0.26583865,-0.286148,0.4693719
Smap1,0.26570445,-0.5146551,-1.0639095,0.42504948,-0.2557765,0.18305096,-0.14290436,-0.281554,0.1318969,-0.22404619,-0.2007055
Lmbrd1,0.054115117,-0.16301696,-0.61365694,0.5096998,0.27277038,-0.080714345,0.23250155,-0.098419026,-0.021614324,-0.08300968,-0.25100982
Phf3,0.84652656,-1.624141,-0.3184027,0.2998787,-0.05371077,-0.3714221,0.13296281,-1.5617652,0.05622076,0.37489685,-0.05910203
Prim2,0.21770713,-3.1796813,-1.0556751,0.854252,1.2240124,0.64899623,-0.22933409,-1.8184338,-0.31626692,-0.036856662,0.6135925
Zfp451,0.1536133,-1.2406663,-0.3895818,0.34643734,0.19096527,0.098458245,-0.31717855,-0.36594734,0.05268356,-0.36491182,-0.07380431
Ptpn18,0.4492435,0.71925545,-0.47248164,-0.7667727,-0.76995033,-0.11630309,-0.6744342,0.5556446,0.01355743,-0.5636708,-0.14793624
Dst,-0.3920414,-0.42443728,0.23722218,-0.5538069,0.5467171,0.6448847,-0.40561315,-0.015052766,-0.11945571,0.19036558,-0.24572927
Fam168b,-0.3774954,-0.08512393,0.39456633,0.20585594,-0.2848019,-0.44631174,-0.6415086,-0.002446413,-0.011426156,0.06404829,-0.015886886
Hs6st1,0.51202655,-1.946712,-0.05349376,0.40574285,0.5880427,-0.29694605,-0.12693132,-0.77734244,0.28399992,-0.29612553,-0.21648611
Uggt1,-0.36289895,-0.22890018,0.062579215,0.43412027,0.33039674,-0.10961868,0.72452563,-0.36363205,-0.095276095,0.04708147,0.16226603
Zap70,0.3202463,-0.26145536,0.0181403,-0.18221372,0.31152597,-0.27466118,-0.3024998,-0.024344929,-0.009034738,-0.03481084,0.48199946
Tmem131,0.92086184,-2.588784,-0.54946864,0.81927854,0.29380274,0.2823972,0.1371171,-1.7122622,-0.19901778,-0.48783517,1.1491297
Coa5,-0.7950592,1.9417477,0.44779858,-1.5175322,-0.56764275,-0.38546547,-1.0877192,1.1566801,-0.53787816,0.59189224,-0.8949705
Eif5b,0.051279515,-0.2590839,-0.32674524,-0.12629862,-0.31960058,0.037059586,-0.2514807,-0.08265362,0.038975816,0.057942588,-0.8735731
Aff3,-0.12164633,-2.763878,0.25619215,0.7060505,0.9061888,-0.039712094,0.73342156,-2.4887981,-1.4119337,0.536043,0.9083971
Mrps9,-0.107367255,0.04447499,0.34043804,-0.87785494,-0.35902464,0.32828844,-0.09559288,-0.25163555,-0.12971516,0.2295929,-0.5085962
Map4k4,-1.3630787,0.71359766,0.44962165,0.05848122,0.16908199,-0.4104307,-0.014141476,0.6809031,-1.8180081,0.27463907,0.047299303
Tpp2,0.8667458,-2.2337995,-0.55457515,0.64043933,-0.04268679,0.10171925,0.011079233,-0.9111778,0.63591933,0.025487991,-0.5270512
Nck2,0.021534532,-2.8781571,-0.01927833,0.97073513,0.7831758,0.027714519,0.72924805,-2.971698,-0.45165735,0.56017065,0.86186516
Nabp1,0.13860889,-0.015155345,0.11566159,-0.03659441,-0.511053,-0.46281824,0.25671965,-0.05528596,0.0021213745,0.072785474,-0.5655494
Stat1,-1.3329498,1.557899,0.25388363,-0.2986982,-0.7027128,0.13047428,-0.94493634,1.0490437,-0.60275674,0.060650583,-0.33307546
Nab1,-0.21356925,0.2081578,-0.096291184,0.1840735,0.11901154,-0.506854,-0.118443,0.15816808,-0.04455092,0.00024873237,0.00010163418
Gls,0.0032559484,-0.79685867,0.08397081,0.07950277,0.33533108,0.25647917,-0.70586985,-0.17603247,-0.03716705,-0.6099602,0.9016201
Stk17b,-0.14960563,0.43595582,0.41017148,-0.02447748,-0.64646304,-1.0196257,-0.033173814,0.22572407,-0.17755093,0.005801237,-1.0714135
Hspd1,-0.36151814,0.92860603,-0.6887704,-0.6212612,-1.3005289,0.6669332,-0.13918155,0.046562865,0.13387609,-0.9253303,-0.48180425
Mob4,0.292688,0.48973128,-0.13607715,-0.15513822,-0.7971391,-0.54228723,-0.34085914,0.16315708,-0.05225102,0.016474541,-0.5783742
Ankrd44,-0.19759159,-0.4651024,0.36650145,0.4172352,0.5887874,-0.22036336,7.458403e-05,-0.56717986,-0.1704145,0.16699469,0.6695455
Sf3b1,0.2995323,-0.9271978,-0.0094484165,0.15059592,-0.18727666,-0.14647672,0.05316075,-0.41353852,0.048261013,0.04876006,-0.39581218
Plcl1,1.0033605,-4.266335,-0.22307128,1.0925664,0.831499,-0.15635034,0.7566472,-3.583252,-0.7601559,0.7793636,1.1917394
Clk1,-0.66726947,0.24342614,0.08320061,0.3729461,0.013928866,0.2697488,0.2802103,-0.056003153,-0.060303062,0.077371664,-0.8586383
Cflar,-0.76794887,0.87154603,0.008763491,0.42016336,0.018510925,-0.099876925,0.40416119,0.2984252,-0.1300356,-0.058201488,-0.2974099
Trak2,-0.050448187,-0.46868905,-0.38229993,0.6039055,0.49974695,-0.6184464,0.40601155,-0.442248,-0.09197411,0.11227661,-0.13931912
Nop58,0.47526732,-1.1161357,-0.64842784,0.31086817,0.11234908,0.2590793,-0.19443347,-0.5092177,0.8108247,-0.82001704,-0.51832795
Wdr12,1.5306748,-2.765267,0.27053016,0.35287258,0.2165495,-0.67010844,0.30110353,-2.2960296,0.3400632,0.027307915,0.7531198
Nbeal1,0.4226892,-1.1767877,-0.7360502,0.46747482,-0.039380055,0.23048748,-0.7126887,-0.6099138,0.36366418,-0.17901275,-0.29010347
Cd28,1.2900031,-1.5678377,-0.096029006,0.46111387,-0.19587854,-0.8484503,0.70317656,-1.8279645,0.31941447,0.26643997,-0.4294389
Ino80d,-0.063315146,-0.07033256,-0.05921992,0.50879824,0.11509109,0.012983047,0.03797544,-0.05007972,0.0053295824,-0.025571354,0.0086505795
Ndufs1,0.066272415,-0.6862628,0.14835268,0.052204598,-0.67676914,0.23145609,-0.23335296,-0.12894596,-0.019706966,-0.00909604,-0.36143154
Klf7,0.7124146,-2.773318,-0.033709276,0.55115986,0.6569563,-0.09679718,0.8436895,-1.9242451,-0.03529267,0.7849294,-0.47957978
Eef1b2,-0.90699434,1.29962,0.2734663,-0.8200582,-0.5946262,0.0062900456,-0.9146308,1.3571109,-0.6209707,-0.30509353,-0.9159403
Pikfyve,0.80879843,-1.6616817,-0.32802787,0.41208974,0.16110487,-0.12356223,0.52572143,-0.9642155,0.048959814,-0.1551998,0.3173441
Creb1,0.4785433,-0.97829044,0.084885664,0.41734403,-0.2006993,-0.3286206,0.25146767,-0.7051958,-0.033988066,0.3106529,0.18559346
Kansl1l,1.4398336,-4.686833,-0.7716331,1.0167801,1.0624591,0.20082441,0.36063862,-3.0510921,1.4243127,0.7093044,0.21805793
Ikzf2,-0.1697075,-0.8218149,0.34733292,0.28663075,-0.02434776,-0.15156728,0.0027022872,-0.1449985,-0.045244373,0.068783775,0.114345685
Igfbp5,-4.6468344,2.594345,0.4910343,-2.0538328,0.08004442,1.0427326,-1.3113186,3.2319987,-3.6064563,0.06783917,-0.5896769
Tns1,-1.0208393,-1.2233177,0.44677317,-0.029372629,0.5388895,0.746957,-0.37684807,-0.36361605,-0.15045677,0.6798771,-0.08995688
Aamp,-0.1820817,1.4482503,0.4318336,-0.9348479,-1.4039156,-0.29269496,-1.0213268,1.2593386,-0.28096652,0.16279037,-1.192407
Usp37,0.3127653,-0.7667809,-0.09583087,0.2733198,0.18754464,-0.08666016,0.009562625,-0.14008358,-0.027651489,0.08373409,-0.11568477
Arpc2,0.7352735,-0.532006,-0.2774486,-0.2090545,-0.36592764,-0.3357851,-0.28839493,-0.2735181,0.40968132,-0.75662017,-1.1695141
Cnppd1,-0.3170712,-0.17181364,-0.014320438,0.26398158,0.029443001,0.25615516,0.3859929,-0.089057945,-0.037937302,0.003678231,-0.23929803
Retreg2,-2.560766,2.1466424,0.21400392,-1.0230001,-0.29671508,0.56954825,-0.38065475,1.9834667,-2.7483165,-0.086406276,-0.7702928
Cul3,0.9931316,-1.2058886,-0.48522547,0.5243033,-0.20046458,-0.36983916,0.8353884,-0.7230028,0.060394116,-0.8329795,-0.34118223
Mff,0.2603482,0.8258524,-0.74102056,-0.02923426,-0.36746773,-0.22541852,-0.3283582,0.264061,-0.089078754,-0.8950426,-0.21317187
Dock10,-0.4867447,0.23797911,0.028032308,0.6391191,0.34740406,-0.82329303,0.38536805,0.28723025,-0.42920724,-0.071945995,0.033884883
Agfg1,-0.53021395,0.93452525,-0.029301934,0.18124212,-0.7971614,0.106926054,-0.5735733,0.5743395,-0.30104205,-0.42264715,-0.42123872
Trip12,0.90158653,-0.9217175,-1.0681087,0.32946745,0.27489236,-0.3493098,0.12993842,-0.78665465,0.10434968,-0.45963427,-0.0630409
Sp100,-0.24566084,0.78330636,-0.17533845,-0.19104783,-0.15515353,-0.69170845,0.13165662,0.47842205,-0.17192444,-0.7050125,-0.12332604
Cab39,0.95110536,-1.601841,-0.06793261,0.32328233,0.034709167,-0.33012772,-0.17600872,-1.0240079,-0.12161242,0.16463122,0.69260246
Itm2c,-2.5125751,2.8912978,0.15579982,-1.9509994,-0.6763101,0.4711969,-1.3379825,2.7880814,-2.0302503,-0.57639277,-1.2004832
Psmd1,0.67259896,-1.018323,-0.20310251,0.0088000335,0.010092914,-0.24923725,-0.7030668,-0.5519218,0.20933874,-0.13373975,-0.04658203
Dis3l2,-0.15748894,-1.3260386,-0.20155327,0.501964,0.71270233,0.23109484,0.08311458,-0.38724577,-0.09037961,-0.24202645,0.5213511
Gigyf2,-0.96294725,-0.4557979,-0.3719343,0.8416663,0.72060245,0.29857695,0.543252,-0.40903896,-0.30616015,-0.38380274,-0.17726982
Inpp5d,-0.44163373,0.9836092,-0.20622712,0.06800681,0.056326877,-0.2346687,-0.18714431,0.07145023,-0.13000922,-0.078286625,0.34712175
Dgkd,0.49258238,-1.2132185,0.42638883,0.23312421,-0.21602602,-0.1382357,0.2822177,-1.3387201,-0.2288338,0.77479637,0.2008112
Hjurp,0.29804704,-1.607105,-0.41036102,0.4522363,-0.028149936,0.49039978,-0.021438764,-1.4554901,0.3410327,-0.11925792,-0.05831761
Arl4c,-0.50569373,1.3565496,0.25460702,-0.029591711,-0.49343717,-0.64628696,-0.8157717,0.9418374,-0.3114766,-0.36942455,-0.8056984
Lrrfip1,-0.22306988,-0.006015584,0.12891412,0.55806893,0.45217767,-0.8090934,0.31176776,-0.11267643,-0.18903762,0.0376825,-0.17402129
Ilkap,-0.5510844,-0.14381012,0.12930164,-0.08261347,0.25058416,0.091401145,0.08455535,-0.094848976,0.013098957,-0.068182394,-0.5332897
Hdac4,-0.8386781,-0.85504353,-0.3228651,0.3743781,0.8186074,0.69186735,0.31378654,-0.4831087,-0.24383716,0.050628196,0.3879287
Gpc1,-4.0414844,3.2041614,0.5675807,-1.1940662,0.4655677,-0.27480343,0.024489306,1.9847245,-3.9362323,0.1965339,-0.77584416
Cops9,0.33281285,2.1245854,-0.13780378,-1.7319585,-1.5952946,-0.5931669,-0.8468409,1.3965015,-0.5262087,-0.1396092,-1.432512
Rnpepl1,0.124102384,-0.97682905,0.25657386,-0.731896,0.50931513,0.18032353,-0.16018419,-0.23015413,-0.092938595,0.19984254,-0.47612742
Hdlbp,0.112285554,-0.6317731,-0.16695166,0.08640716,0.2354238,0.17329915,-0.55374604,-0.08289921,0.026998257,-0.03570757,-0.55560964
Stk25,-0.11163258,0.37108633,-0.72589314,-0.18320279,0.010139747,0.18495117,-0.1352974,0.07266046,-0.010970219,-0.643407,0.4545127
Dtymk,1.007909,-1.5334992,-0.46855816,-0.065525144,-0.67445654,0.7121785,-0.14124997,-1.5967367,0.7591918,-0.484101,0.3884328
St8sia4,1.0043114,-1.3177445,-0.07855644,0.7425214,-0.16653259,-1.0716708,0.20091087,-0.8445208,0.2918921,-0.31036678,0.3421531
D1Ertd622e,1.5232416,-1.5971079,-0.49846488,-0.09237612,-0.43746278,0.18287608,0.022074029,-1.2157415,0.2718983,0.077558905,-0.50397235
Ppip5k2,-0.06416063,0.4795912,-0.038215183,0.23419629,-0.5814186,-0.30001256,-0.12580326,-0.01495876,-0.050551046,-0.5837525,-0.19931066
Zcchc2,0.02869189,-0.15201856,-0.23222019,-0.26513183,-0.038666673,0.06458364,-0.33985418,-0.049988076,-0.021441868,-0.0447726,0.8059386
2310035C23Rik,-0.031525806,-1.1577449,-0.10628079,0.72214895,0.28353858,0.06948176,-0.14612092,-0.32829094,0.002506795,0.045777537,-0.17477043
Bcl2,-2.4176886,1.3261135,0.5863197,0.26301447,-0.052175112,-0.1219433,0.07498293,1.3268478,-2.1994998,0.29242972,-0.72252625
Vps4b,0.5664389,0.008421555,-0.42180693,-0.39469573,-0.6204667,-0.49047077,-0.8112174,0.06859154,0.031104797,-0.23969738,0.057233043
Tsn,-0.2089088,0.6349181,0.32846868,-0.08768932,-1.3718829,-0.34047025,-0.43406335,0.44573703,-0.41685906,0.33937874,-0.9300456
Ptpn4,0.6924238,-2.0399857,-0.26087302,0.70929086,0.15463102,0.10494335,0.4355246,-1.293003,0.03992219,-0.6698914,0.4120488
Clasp1,0.015518922,-1.4136763,-0.29032743,0.9311784,0.5672399,-0.010991095,0.43671176,-1.3517044,0.3534774,-0.51298034,0.044985566
Dbi,0.050149202,0.42866603,-0.8902702,-0.60864043,-0.28447723,0.34579444,-0.97655725,-0.07907075,0.45998713,-1.0052001,0.26926464
Ccdc93,0.6381301,-2.4906342,0.16007455,0.42305422,0.48612556,0.18597838,0.49655673,-1.3590202,-0.0678554,0.20551467,-0.22368641
Ccnt2,-0.6486253,-0.6383853,-0.29559422,0.7846186,0.4627907,0.28572258,0.48891458,-0.024247512,0.0036997688,-0.30969185,0.014520607
Rab3gap1,-0.1942339,-0.34715196,0.12928413,-0.007845837,0.54328746,-0.25472462,0.8304983,-0.279645,-0.09648871,0.14519936,-0.01990134
Mgat5,0.6976005,-3.0423336,-0.24181132,0.94561774,0.67014587,-0.21556589,0.83244586,-2.394103,0.20081249,-0.06027131,-0.013639395
Ubxn4,0.7537776,-1.1672866,-0.7633521,0.40223488,-0.30288613,0.123451285,0.045267,-0.37044513,0.36166772,-0.4323822,-0.5005672
R3hdm1,0.9011226,-1.697185,-1.119021,0.8657044,0.08075903,-0.21181656,0.06015147,-1.6175241,0.72848296,-0.42718595,0.52067953
Mcm6,1.0167204,-2.2758985,-0.96350324,0.47457212,-0.21285005,0.5825632,0.19525136,-1.8028874,0.9179038,-0.07921889,0.4339896
Mapkapk2,-1.9758666,2.0341127,-0.0019349789,-1.0167019,0.12075768,0.19892778,-1.1302574,1.4326453,-1.0462339,0.49781743,-0.622823
Srgap2,-0.7188148,-1.2314517,0.08846751,0.83229053,0.87860316,-0.083376564,0.516798,-0.7867451,-0.026301736,-0.3065508,0.2530391
Rassf5,-1.1033864,1.3650122,0.6098977,-0.43306872,-0.5413728,-0.44119787,-0.80114853,0.99045515,-1.6714225,0.63271505,-0.37211186
Nucks1,0.09434381,-0.09659727,0.35288912,-0.44758385,-0.37246972,-0.16987973,-0.4289027,-0.27851498,-0.19204193,0.43247807,-1.2301794
Elk4,0.08405828,-0.25950563,0.027883535,0.065868035,-0.25131875,-0.010224542,0.060766663,-0.099832,-0.010740637,0.028872235,-0.49437702
Ppp1r15b,-0.45203856,0.40317178,0.29037768,0.004957282,-0.78914326,-0.09026734,-0.5236741,0.20891824,-0.037945196,0.041225888,-0.7117354
Zc3h11a,-0.12127185,-0.964004,-0.13331524,0.21073061,0.4909948,0.049934596,0.47715634,-0.5636832,-0.005971441,0.18043083,-0.07770096
Adipor1,0.23192115,-0.18128741,-0.093373194,-0.3646625,-0.46769068,-0.02245294,-0.39788923,-0.054613523,0.034975108,-0.044151407,-0.49778464
Kdm5b,0.78909445,-0.94736063,-0.28460485,0.2021354,-0.07214105,-0.059913393,0.30608144,-0.8213208,-0.3475159,-0.11617857,0.3559821
Ppp1r12b,-0.9284687,-0.726739,0.24370562,0.3437278,1.0346632,0.19466384,-0.27262986,-0.7177596,-0.20603327,-0.020666823,0.799573
Rnpep,-0.23522629,-0.017414749,-0.006102328,0.14348263,0.105124384,0.007923832,0.015372232,-0.020392284,-0.03041226,-0.02342279,-0.3174271
Ptpn7,0.68744373,-1.4492773,0.03843874,0.733479,-0.7413667,-0.15860489,-0.09370876,-0.55715674,0.13458118,0.0282938,-0.46315458
Btg2,0.8413124,-1.57711,0.28494307,0.2411605,-0.0078112744,-0.15952392,0.61575484,-1.5871625,-0.45233893,0.6293618,-0.16369705
Csrp1,0.11905986,0.47034538,-0.026664745,-0.3229254,-0.34049907,-0.15388507,-0.15068643,-0.010639261,0.035868954,-0.040010624,-0.78104764
Kif21b,0.19595468,-0.61313146,0.43077677,0.44073087,-0.12828596,-0.69309264,0.5468691,-1.1742839,-0.055436075,0.54915833,-0.5258891
Zfp281,0.082831025,0.5497846,0.17162876,-0.7464887,-0.84691715,-0.25009552,-0.72788733,0.51521873,0.009494744,-0.1003253,-0.5121913
Nek7,-0.27092874,-0.5132673,-0.265031,0.59390485,0.6659843,-0.038979992,0.44893047,-0.2344941,-0.03341441,-0.05794814,0.2309345
Dennd1b,-0.28654277,-0.62222785,-0.18859042,0.53433764,0.8675356,-0.18599093,0.58622676,-0.58942115,-0.1904716,0.057329725,0.44588304
Cdc73,0.83720785,-0.9758856,-0.23871134,0.35331503,0.18401727,-0.6259501,0.26171857,-1.0532836,0.024168026,-0.20326138,0.736634
Rgs2,-0.6687337,1.5592594,0.41214228,-0.8025525,-0.44268763,-0.5771484,-0.54338735,1.1487743,-0.7674143,-0.25756556,0.27737853
Uchl5,0.9463768,-1.43647,-0.43428215,-0.3032249,0.005345824,0.04973653,-0.48209983,-0.98391163,0.6708904,0.020673247,-0.48342553
Tpr,1.062573,-1.0971131,-0.5314878,0.25427595,-0.22916639,-0.70375764,-0.40928185,-1.2706878,0.9891873,-0.14294091,0.06643761
Ivns1abp,-0.13897163,0.73911583,-0.6103541,0.03384807,-0.12150676,-0.07995328,-0.20437022,0.09123984,-0.03346822,-0.064993896,-0.4844872
Rnf2,0.58299744,-0.29978535,0.003020439,-0.1975106,-0.20083793,-0.24385223,-0.053463537,-0.0037579164,0.023815028,-0.022432784,-0.64416474
1700025G04Rik,-1.147176,1.1267846,0.43885413,-1.0955285,-0.12092547,0.24306971,-1.0816078,0.9183866,-0.862122,0.4956197,-0.08084606
Arpc5,-0.15766785,0.8408335,0.4433474,-0.6464978,-0.8439621,-0.4118734,-0.5121976,1.0949783,-0.7234982,0.33864126,-1.1454519
Smg7,-0.41349885,0.5677562,0.14757557,0.11761365,0.0076932525,-0.11177058,-0.53258896,0.26296708,-0.09459697,-0.030046426,0.3949549
Ier5,-1.4386038,3.3599262,0.31698948,-1.2841772,-1.4470729,-1.0835779,-0.9331648,2.2383742,-1.9986069,-0.7413069,-0.765372
Glul,-1.2526913,0.13256562,-0.02273622,-0.6477164,0.38894495,0.8796416,-0.1779776,-0.07267797,-0.15606004,0.013072086,-0.5673122
Dhx9,0.75034195,-1.4633174,-0.36670673,0.55138355,-0.599891,-0.025002174,-0.19262159,-1.280451,0.41233075,-0.03977045,0.16729347
Cacna1e,0.50114125,-3.7416382,-0.06837353,1.0737548,0.87825936,0.25137222,1.4703884,-3.0587814,-0.93928516,0.22117363,0.36678097
Stx6,0.74768007,-2.8956997,-0.13465077,0.5269865,0.52631444,0.0529105,0.51870894,-2.1067636,0.46017587,0.18440908,1.0021168
Acbd6,-0.42929614,0.35446614,-0.04630097,-0.17702344,0.59896284,-0.05265441,0.07789974,0.0023548524,-0.040952034,0.07466748,-0.15074351
Xpr1,0.26329625,-0.7124217,-0.63349915,0.7363545,0.45188352,-0.42078167,0.6364788,-0.6303725,-0.09622442,-0.0880969,0.06750424
Cep350,0.6398313,-0.8699851,-0.82376266,0.55934626,0.01309838,-0.31155267,0.672685,-0.6039791,-0.22810344,0.23443711,-0.38500854
Tor1aip1,-0.09864713,0.8203512,-0.4359367,0.15022483,-0.026562264,-0.25082612,-0.19348142,0.17872193,-0.01972439,-0.34043214,-0.5834852
Tor1aip2,-0.4314869,0.90109754,0.21766283,-0.09122623,-0.13541605,-0.30236942,-0.37987053,0.36661154,-0.36077347,0.085528,-0.009773336
Tdrd5,2.0103807,-5.3287063,-0.23422979,1.142722,0.6621211,-0.047322046,0.6270061,-3.5150506,1.8103429,0.4293705,0.9516566
Soat1,0.8290451,-1.8095922,0.05749516,0.44680518,0.14042856,-0.48395312,0.6072865,-1.1980375,0.15084037,-0.046982355,-0.37614015
Abl2,-0.6035615,-0.6575,0.40958843,0.79169685,0.91466665,-1.4732046,0.29996377,-0.63582474,-0.71423244,0.5196252,0.43074533
Ralgps2,0.45463067,-1.8562696,-0.085190296,0.60764164,0.4650715,-0.0017210783,-0.17663492,-1.1782188,-0.060197454,0.083987676,0.31916472
Cop1,0.19915777,-1.3542486,-0.5557993,0.8535726,0.11484313,0.18900898,-0.031197032,-0.5984257,0.20356949,0.020644346,-0.14777002
4930523C07Rik,-0.5873295,1.4944923,0.40142983,-0.53084385,-0.39308792,-0.4818374,-0.9775023,0.77860904,-0.33217248,0.18604279,-0.6919438
Rabgap1l,0.5963939,-1.6986833,-0.65383327,0.8096017,0.42085114,-0.21765204,0.5030568,-1.7760522,0.19129446,-0.49947295,0.832981
Rc3h1,0.44297877,-0.7165181,0.10849064,0.1295325,0.03718344,-0.4843867,0.12891635,-0.14736986,-0.0051506683,-0.019989904,0.0004918009
Prdx6,-0.5155998,0.27927673,-0.10672869,-0.14473026,0.16440079,0.39870897,-0.8505001,-0.074229926,-0.034398608,-0.16415481,-0.4616449
Suco,-0.2996522,-0.033040598,0.2969692,0.46891975,-0.104442894,-0.28417274,-0.426038,-0.04754868,-0.0369563,0.15034707,-0.07571882
Sell,-0.2881832,1.0504398,-0.018457137,0.003571329,-0.68437546,-0.0076208287,-0.36089763,0.19023472,-0.13134593,0.023701282,-0.13643382
Prrc2c,0.96554244,-1.850594,-0.38299507,0.600601,-0.033176605,-0.9175741,0.5380191,-1.7225943,0.21334377,-0.040189635,0.19380623
Atp1b1,-1.2222967,2.0249481,-0.56442547,2.0389329e-05,-0.3612829,-0.041903272,-0.6199583,0.81228364,-0.37672698,-0.15403613,-0.6127771
Sft2d2,0.30746123,-0.3316179,0.16376296,-0.3285883,-0.044658702,-0.732274,-0.074642055,-0.07448855,-0.029805683,0.0050721206,-0.19673222
Tiprl,0.08441199,0.6991253,0.047400214,-0.6780594,-0.46213847,-0.10508632,-0.6624066,0.15997119,-0.12275985,-0.47705695,-0.65554535
Rcsd1,0.67203164,-2.9729166,-0.42576873,0.55993056,0.9534024,0.06771956,0.50227517,-3.0136545,0.08054833,0.42670685,0.9398183
Pou2f1,-0.268119,-1.0595874,-0.56242764,0.7875674,0.3947108,0.30968112,0.8152196,-0.44848776,-0.3246132,0.011708639,0.15127906
Uck2,-0.13904479,-2.0745907,-0.069213666,0.4776311,0.44045284,0.4837291,-0.14220725,-1.7338,0.26776317,0.5961572,-0.30106804
Rgs5,-4.54863,4.6011715,-0.24516994,-1.6404446,-1.2545213,-0.73805887,-0.39213288,3.3219926,-4.4236965,-0.63158166,-0.99873495
Pbx1,-2.1005795,1.5609916,-0.039361984,-1.4358335,0.5294946,0.7308639,-0.6358595,0.8032103,-0.8850593,-0.0729894,-0.07442504
Uhmk1,-0.45309386,1.2471073,-0.18880436,-0.099143304,-0.7612552,-0.7031228,-0.62033445,0.69743824,-0.40117627,-0.0054628556,-0.15556462
Cd247,0.88620734,-2.0115745,-0.20432115,0.44846973,0.550047,-0.41750276,0.68256724,-1.9764726,-0.06993181,0.29523906,0.18035471
Sdhc,-0.21154332,0.106631905,-0.59206176,-0.3545726,0.16245519,0.17860527,0.09079576,-0.17546542,0.034877893,-0.19890653,-0.105878
Ndufs2,0.1931942,-0.09144777,-0.00178049,-0.7327006,-0.8315244,0.43949053,-0.5984012,-0.12434107,-0.04404166,0.103398845,-0.5679381
Arhgap30,0.09946836,-0.113484606,-0.03567966,0.32923454,0.3215451,-0.5380087,-0.14697732,-0.2884331,-0.09047307,0.20425135,0.16731766
Cd84,0.17243686,-1.5101945,-0.034456894,0.7207348,0.1948846,-0.011971065,0.07967602,-0.5362689,-0.022374768,-0.16704307,0.32707036
Slamf6,0.567799,-3.0088878,-0.34888968,0.9972744,0.71347106,0.053427804,0.030883797,-1.8758974,0.20540863,0.2681633,0.3118644
Copa,0.32688144,-0.56281626,-0.14026582,0.03822901,0.12655905,-0.34901208,-0.13743392,-0.13248107,0.03792726,0.079480834,-0.7918867
Pea15a,-3.3601317,3.4004087,0.90877914,-1.214588,-1.2736583,-1.1716492,-0.876722,2.8962975,-2.9006567,0.33985856,-0.9201718
Dcaf8,-0.7550018,0.50697154,-0.3016982,0.21676318,0.114757515,0.031978354,0.31207794,0.30249602,-0.28571528,-0.09382652,0.10709738
Ifi209,-0.25826177,1.9364322,0.6421408,-1.0919387,-1.4918629,-0.8256251,-0.22367544,1.6233134,-1.027915,-0.46164098,-0.72074306
Tagln2,-1.8281357,2.6976793,0.38708317,-1.2060263,-1.0364904,-0.21603216,-1.2420326,1.7111636,-1.3340938,-0.28582036,-0.34435496
Mndal,-1.0952733,1.6276201,0.33961722,-0.22003405,0.01817787,-0.71510947,-0.44482973,0.9350783,-0.42389598,-0.4386717,-0.55518776
Cep170,1.7456421,-3.6899319,-0.61489767,0.82166934,0.58181506,-0.22375135,0.68166596,-3.0090907,0.95138985,-0.1400845,0.7125702
Sdccag8,-0.109665096,-0.38305497,-0.5635527,0.75535345,-0.055473704,0.09319494,0.2452884,-0.32374275,-0.013149851,0.15414847,0.11398021
Adss,0.3516552,-0.5308398,-0.23341931,0.12088953,0.18042056,-0.17289701,-0.60743344,-0.37768996,0.04198826,0.008565874,-0.39552334
Akt3,-0.6306652,0.4073974,-0.5080608,0.28660148,0.4612289,0.23302901,0.61718893,0.013219338,-0.16733895,-0.019421298,-0.18719395
