,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,Protein private topic 1,Protein private topic 6,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
87_26,2.07125,8.659992,14.90712,0.73919046,0.6961962,0.7713023,14.580106,2.285619,1.0384561,13.980471,2.2755153,2.0031872,0.7531218
75_26,1.7070652,64.398384,0.8393402,0.6388993,0.67439914,0.866956,2.3906732,0.8065365,0.4822805,14.859434,2.6102643,0.69316643,0.42809197
55_23,1.8239785,8.425762,23.767487,0.73146796,0.8232323,1.4236215,4.3385553,0.82554454,0.90987194,14.862568,2.7793326,6.2365,1.1617216
67_32,3.3457937,3.61148,3.2766376,0.9856936,1.1080718,2.6210487,15.5811205,2.1115465,1.1279579,6.09254,7.1003323,2.9612753,2.4105794
78_12,9.681086,2.7203867,3.2739081,1.3962355,1.0022795,0.65326476,0.79479825,1.5972824,4.308049,3.847948,6.419341,9.392189,0.96975267
115_52,4.8369303,3.5631087,8.468195,1.1237999,1.019957,1.0206625,0.8278375,1.9919947,1.6981868,3.4548051,14.633249,11.10332,1.4589921
94_31,11.27905,2.5423584,1.4311461,1.0805197,1.3203468,1.195308,0.4043412,1.9195502,1.9636177,2.1511576,65.880905,1.0765588,2.572332
0_47,3.0242834,3.1873393,1.703844,1.4014211,48.19107,1.1665568,0.1357468,171.66296,1.5204804,7.2799435,4.62794,1.4815385,10470.661
68_47,4.071623,2.303203,0.9093813,2.1628456,3.301507,2.777879,0.46204272,1.705196,1.1815532,2.2697985,15.279604,0.75443363,2.4143713
26_60,2.8993807,2.971097,0.7684138,1.4951116,12.128761,17.361261,0.24846365,14.693166,1.0910782,2.4673235,5.655575,0.6347512,4.9367423
109_39,1.3543829,28.31229,11.258031,0.5181988,0.6471778,0.9882573,3.0540788,0.86525476,0.68096626,13.120532,2.5627756,1.4725988,0.5114219
48_25,12.5304985,2.8213277,2.1578734,0.92820334,0.8673457,2.319912,0.64245456,3.6714323,3.3758538,2.3421605,24.759249,5.526462,1.5587963
111_50,6.789632,2.7229557,1.9626445,1.4114937,1.3125846,2.5335739,0.3627988,1.2112902,1.5715264,3.2985048,11.255637,2.5070658,2.1035652
43_26,13.600405,2.3066177,1.0934595,1.2832801,1.544616,1.7628813,0.277291,2.133722,4.532291,1.2914853,11.219787,3.451095,4.944432
94_52,42.12657,2.5129054,1.0804943,1.1953285,1.0867968,0.987838,0.36816916,1.174378,1.685449,2.6764312,21.566141,1.1080694,1.4298267
91_17,3.3212576,7.5408154,4.121936,0.8288474,0.9091184,1.4845722,2.762492,1.9560336,1.5391793,7.6967487,4.998036,3.0646129,1.2052588
112_46,1.8087271,16.481403,1.6628861,0.7589105,0.81910694,0.49784994,2.09432,0.7366519,0.73447925,13.369507,2.1241238,1.1172454,0.37899944
37_55,10.152071,1.9209111,0.9902899,4.278815,1.7404797,1.1297412,0.101528265,1.3626934,5.3414617,2.752351,10.370766,1.7635461,1.5520066
82_47,15.635523,2.7462993,1.1352204,1.1492733,0.82706904,0.9913949,0.53655446,1.6965941,1.5616782,5.990152,14.653929,1.6479957,0.9294987
83_4,4.267041,1.8325524,0.86394346,18.199396,1.7962558,0.89785635,0.088586174,1.1050742,1.3113009,1.3691493,4.808778,0.6159334,2.4964478
95_18,7.2147636,2.497934,3.2257192,1.3438333,2.297825,1.6391551,0.47437602,2.7059293,1.7584006,2.235585,22.684566,1.0493162,2.059386
79_19,1.4766574,42.414913,1.6440569,0.5496429,0.5858597,0.5713385,2.5980809,0.78561866,0.52105904,15.098373,2.0760148,1.0574652,0.40242642
103_32,2.036427,11.406503,3.1838195,0.78700036,0.804047,1.3237573,1.4291784,0.756082,0.58397526,22.095432,3.4978757,0.64681685,0.42458898
61_41,6.571082,2.6155143,1.5028658,1.0392337,1.6761073,3.3696046,0.51030177,1.8903413,1.4349327,3.6908865,18.401823,1.018483,1.160553
28_43,1.5336354,23.103882,3.8741164,0.60805726,0.6360619,1.1541262,5.460509,1.1657537,0.80882144,16.51284,2.191693,1.3903408,0.45150298
65_7,3.6292882,1.8994538,1.261028,16.423218,5.110071,0.5621389,0.519195,0.9254604,1.1031857,1.3116508,3.7297404,0.6933413,3.7801645
63_26,2.478603,9.217149,12.517235,0.9466753,0.9980291,0.8693433,5.250138,0.9824373,1.1844684,7.9263086,5.6788054,3.0494237,1.5447726
118_46,7.831035,1.845048,0.86694473,5.042019,1.5176793,1.1909161,0.1130537,1.5622504,1.7228526,1.5537142,13.137756,0.7599687,2.258333
24_35,3.1056685,3.4196825,2.1308885,1.2753229,27.621464,1.029611,0.21084175,51.465607,1.7963295,5.989682,4.347622,1.7102,9015.365
46_33,4.2330637,3.5373087,8.127892,1.1582274,1.3382652,0.95857304,1.028735,4.3002453,2.547207,5.925682,3.6045103,28.381939,1.9992738
90_62,2.79545,3.5619502,2.0686269,1.0972972,23.10873,4.9607477,0.47350067,4.3792744,1.1952958,6.610098,2.9863615,4.0944295,3.033634
68_50,2.8538737,4.59669,2.9317791,0.9449433,4.613677,3.5827513,0.84140086,53.12513,1.1115756,6.4140415,3.474427,89.74057,1.6547883
76_46,3.2434387,5.2746887,2.2991107,0.832302,0.7769077,3.5344315,4.8098407,0.9981401,0.7248853,22.856234,8.950928,0.7285137,0.6272506
78_36,4.014703,3.5973663,3.9560347,0.7935908,0.89399815,9.387569,1.5265408,2.482335,1.0553958,4.772657,9.675587,2.6013799,0.87814766
30_39,13.913172,2.3102298,2.2841425,1.9425988,1.6819708,0.9835104,0.11822957,1.3367617,3.8149157,3.2386148,12.843034,3.3208895,1.592398
88_37,6.9670343,3.715221,32.245724,1.06605,1.439405,0.8199667,1.2914066,0.96885556,1.3283209,3.7293723,27.995564,0.95174533,1.1153891
82_56,2.6617208,3.2785056,0.8591358,1.8546039,6.757962,22.07663,0.33978865,5.8558993,1.3253366,3.4107995,4.4195004,1.3364229,1.7942595
79_25,4.6238794,3.4978876,9.328252,1.4808314,1.4414878,0.89310133,0.44439802,1.0195912,1.8703067,4.1738353,4.811739,22.34229,1.9623379
42_26,15.236233,2.7828069,2.1691904,1.3346541,1.2079418,0.8540864,0.29937547,1.8176891,8.878282,3.0067506,6.2207866,14.958192,1.7219518
93_28,11.610026,2.8310485,1.5173852,1.0249515,0.9550084,1.6155262,1.5658566,1.8183757,2.0097885,2.229085,22.595018,1.1591963,1.1885495
13_42,3.15055,1.9972844,1.1784757,10.519712,7.8124,0.90392935,0.3174818,1.6314669,10.150036,1.6118864,4.597463,1.361041,4.2582736
42_39,2.317492,6.956027,29.138302,1.0800556,0.9658858,0.81706095,1.5052818,0.9015939,0.9395473,13.256758,3.1360102,2.634055,0.63545126
101_40,1.7430987,53.41964,0.8450005,0.62200755,0.7453774,0.9958817,2.3616512,0.8389921,0.5127726,17.052605,2.2581463,0.81144255,0.44336084
26_59,3.5433025,1.8317255,0.9574238,25.698812,3.1866906,0.65486634,0.12906894,2.8321648,2.7537808,1.5565941,4.6657014,0.78549594,3.48158
42_54,5.1666174,2.103428,0.9271678,6.931719,10.928778,1.0154331,0.11964561,1.6828766,5.031021,3.102617,5.665246,2.4719648,5.4631295
29_58,4.362082,1.7401417,0.7480253,18.378326,1.8339547,0.63062596,0.107648365,2.1262507,1.8829559,1.3957506,15.623627,0.7366441,2.1757612
107_34,26.778957,2.8009205,9.608323,1.1151193,1.7892228,0.7385982,0.31584337,1.8608333,4.3555746,3.113742,6.7940416,3.555789,1.4920847
63_41,4.0528426,3.7001872,2.2934418,0.9059213,1.5574288,11.886744,24.322277,2.4657767,1.5776899,3.538814,8.882765,2.4552004,2.0967672
91_9,6.591933,2.743439,1.0999258,1.6169995,1.1552801,1.1813172,0.53802973,0.70748335,0.7295374,4.4723234,12.929844,0.54120207,1.6687758
90_10,10.266707,2.682225,0.96505094,1.3776839,1.3224126,0.9489424,0.6235881,1.1443703,1.3432753,2.9772604,27.611227,0.8742001,1.7095948
107_43,3.2306747,12.713612,0.7161067,0.9733691,0.8231908,0.71021515,1.884313,0.6743027,0.6713383,25.810843,3.9363291,0.67957115,0.47513393
26_34,3.3304596,2.0890055,1.5137571,14.759907,3.0109334,0.5900291,0.30258942,1.8345218,1.5883052,1.7090049,4.437645,1.2408497,3.481305
62_11,22.228909,2.431963,2.148106,3.7963855,4.0051694,0.64385194,0.4741019,1.4555062,4.684076,1.7012062,12.774262,2.8751245,7.2826176
59_29,2.3533845,4.993866,46.84507,1.0430107,1.227646,0.7908046,3.0961883,0.7028778,1.153641,11.431479,3.2476072,6.5847836,1.2112869
100_42,6.6907635,4.0938053,2.0246732,1.000929,0.87662435,2.8462973,0.86680007,1.0492135,0.87615573,8.542315,18.344933,0.9797919,0.5500354
94_41,29.55796,2.6274743,0.65572256,1.1692739,0.78867406,1.3314474,2.136273,1.5550803,1.6779802,1.8014526,16.110937,0.9668014,1.3913082
79_27,26.246794,2.807502,6.6047974,1.4174011,1.6479484,0.75877154,0.4293566,1.6018835,1.3892255,5.212309,9.535724,2.6980004,0.6683175
95_33,2.4858718,14.555585,1.0470816,0.6273632,0.7397748,1.9630145,3.155172,0.8599097,0.63704544,12.76522,3.6976793,1.0787362,0.6319021
81_35,37.35311,2.7114713,1.0061517,1.0229834,1.069071,1.0750035,0.1984951,1.6190168,2.5265234,2.3117537,54.614937,1.4041046,1.1895249
72_9,5.500941,2.8358588,4.3891425,1.160248,1.5401496,1.0703009,0.22405297,1.2647587,4.0204186,2.5564156,7.4653974,11.295907,3.7612774
81_11,15.795771,2.1905022,1.2477567,1.1617448,1.2116269,1.2499697,0.313248,1.8123932,0.6522632,4.746901,50.567802,1.3465457,0.81905603
22_55,11.102274,2.408808,2.0147593,1.3839388,2.0678532,0.62117845,0.26068413,2.59609,106.4623,2.3529263,6.394016,2.4875615,4.573527
13_53,13.8506565,2.3883896,0.6282531,2.8960419,1.270702,0.9198667,0.04538431,166.71191,4.6346483,2.148373,18.81915,1.2529058,4.1240225
88_33,12.719883,2.3775785,1.1147792,1.2413424,1.2386822,0.9044156,0.4172171,2.0273874,1.3041388,2.2057486,14.780061,0.9379604,1.6082149
36_24,5.1707788,2.2720375,1.046811,1.7650433,1.9235901,2.035729,0.8597094,1.7492167,13.877438,1.6826171,10.124092,1.3365393,7.1350827
