,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,Protein private topic 1,Protein private topic 6,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
90_47,35.291016,2.3847032,0.9454709,1.1674691,1.0794835,1.0618815,0.23135166,2.042907,1.3619651,2.4064393,18.913769,1.0639601,1.2500668
103_50,33.148968,2.1501029,0.9508343,1.7618043,1.0981436,0.86530495,0.21429853,1.7125787,1.1017672,2.347718,19.842852,0.7619303,1.398098
27_55,23.466398,2.2916017,2.1768413,1.492048,2.3988242,1.0195595,0.20968929,1.9058439,2.2282057,2.5777223,10.588976,2.9103193,2.125772
22_54,14.573034,2.6551533,6.4713187,1.35602,1.8282073,0.7059626,0.421155,2.4076674,78.74113,1.6048585,5.1301355,27.960932,2.502653
79_53,5.5813622,1.881527,0.7172745,9.697012,1.6502894,1.3089714,0.09082581,1.5999686,2.3292725,1.3800263,7.7683344,0.8859629,3.0313323
14_53,11.896061,3.200437,1.7968233,0.98851097,1.0972829,2.458963,0.13266705,27.847738,2.8422077,2.186233,11.195495,1.0260587,2.8756251
103_57,4.5574884,2.1154947,0.69675946,2.640776,3.5860472,9.019657,1.6008385,11.37853,1.1558487,2.6840558,19.644789,0.65026075,1.8949809
72_0,2.522346,3.479629,1.1006467,1.5493412,12.978796,13.054745,1.1698694,1.1068097,14.833003,2.4876263,3.6878831,1.4325461,2.8386474
78_49,12.945479,2.2742138,1.2548237,0.89243156,1.1105143,1.7897849,0.3751566,1.9663571,1.2501491,3.4427664,26.443357,0.9128859,1.3255974
47_27,1.8721402,16.762108,8.4262,0.7593689,0.95527387,0.98834825,5.0788283,0.8289259,1.0052621,7.853092,5.928959,3.4883354,1.1581355
85_29,7.176436,2.779524,5.376507,1.1220562,1.3483244,0.8971528,1.1482089,2.2518027,2.461126,3.5642397,4.8587856,13.378183,2.4828951
30_28,4.525701,2.0094762,0.9291487,4.487995,3.7859173,2.1892774,0.31440127,1.2227197,3.0451934,2.2161994,10.230954,1.08764,2.1564329
74_41,1.3434482,48.30155,1.4603326,0.6017704,0.7712809,0.55753374,3.1686726,0.93607545,0.71470714,13.723121,3.1293728,0.71083933,0.55325544
98_21,5.853693,3.635778,6.9729824,1.0634358,1.81299,1.0177747,0.29408824,1.2695049,3.614575,3.1008024,7.034952,11.322641,1.3638302
102_29,16.723894,3.2667477,2.139569,1.2394817,1.3898921,1.4788482,0.5925799,1.3414354,24.729364,2.757011,7.5012064,4.753418,1.7918525
56_30,1.6740357,47.516068,1.2094116,0.59534127,0.6378677,0.5793528,2.9113798,0.91321695,0.62987804,19.476397,1.91855,0.92676353,0.37546855
63_18,10.309585,2.8991761,3.3788512,1.1096091,1.3925257,3.0524688,0.48730844,2.5902638,2.9423552,4.170755,24.284653,1.5670015,1.401812
35_45,1.5906352,43.559204,1.4194027,0.7215564,0.7579645,0.6308655,2.3676527,0.80674356,0.6617955,11.38802,2.499329,0.9338191,0.48325017
90_50,15.356984,2.4581082,1.1048706,1.2219508,1.2406402,0.9578285,0.10988231,1.6744225,1.7556999,2.5719607,55.051834,1.1724232,1.9188554
106_53,13.301218,2.0308769,0.70308024,1.7272097,1.4628625,1.7549148,0.22028114,1.5329769,1.1047368,2.1096005,16.20514,0.9100983,2.1289
104_45,2.0458913,14.147124,0.8628737,0.68704164,0.7644144,3.1771724,21.23838,1.5670538,0.620018,20.611181,5.463415,0.81774235,0.56367815
73_8,22.892124,2.1239715,1.325152,1.4547591,1.4515541,0.9751643,0.09698668,1.8079139,2.1170285,2.7190425,7.8048315,5.7127166,4.930328
76_9,23.49239,2.110658,1.1877662,1.5873184,1.8038099,0.8631273,0.16611868,1.1890347,8.5943985,1.7757039,10.71374,1.896477,2.6680512
93_14,10.9783945,2.5191483,1.1882612,1.1168809,1.1051953,2.1387231,0.37956166,3.0393589,1.4228455,1.9160388,21.463993,0.8219945,1.4190863
36_53,12.714533,2.0324893,1.0034673,3.063787,1.5232592,0.7096575,0.13662311,1.7567421,7.8360424,2.1891725,10.641249,2.768527,2.176097
23_45,2.0358613,11.161202,5.5674496,0.72793156,0.74114454,1.180706,1.597348,1.0173135,1.2760949,9.129804,3.8552566,3.3287055,0.9629652
93_23,1.4340539,26.817278,1.8039048,0.57114625,0.6469854,0.6891265,2.999014,0.7459041,0.62583923,13.025278,1.6805619,0.8414272,0.33590975
105_35,1.631288,73.073456,1.15923,0.59012747,0.71365845,0.70169425,2.5859056,0.8068489,0.5221335,14.648739,2.5370522,0.85294056,0.65704334
110_44,1.9676316,12.039716,2.1702917,0.9659045,0.716492,0.7815568,1.7082725,0.757262,0.779069,15.32328,2.5435705,0.563203,0.4656618
33_44,1.4704564,32.05158,1.1427315,0.6196079,0.6844427,0.5877718,3.1378446,0.8718401,0.5036543,10.054079,1.8520737,1.1091102,0.28850773
68_5,23.42024,1.7448485,0.7551703,3.8707843,1.7598191,0.7520107,0.22065142,1.4284,2.2251348,1.5355444,13.743781,0.66959375,5.012527
86_23,1.6044128,78.085945,1.0439053,0.63417184,0.6064663,0.6047932,2.951478,0.84062546,0.5486278,12.478588,2.0467372,1.0254661,0.3540162
65_18,6.444261,3.2153165,1.1625106,0.79781413,1.0469987,2.9248738,0.96517545,1.8274846,1.0092915,3.4230285,57.228485,1.2634224,0.5943016
96_27,2.1386855,11.238661,1.989764,0.66755,0.7069248,1.5079184,2.5093842,0.7392379,0.40817153,31.211487,4.2848625,0.79655904,0.42435744
5_53,2.4265213,4.4144354,1.2730058,0.9188391,76.67989,1.620218,0.08116342,402.719,0.7835806,6.6797276,1.2707877,1.0500051,1.5790122
110_49,8.5386715,3.0311246,1.4557887,2.0568757,0.9011103,0.5869003,0.3233152,1.0467167,3.5849917,2.6443126,10.929882,2.9423656,1.2603544
119_56,1.9064963,44.756348,0.8745494,0.68633544,0.8596381,1.1288471,2.9739277,0.80216044,0.53496003,39.558613,2.6752093,0.7240175,0.4579653
115_45,2.5461254,4.68773,8.444347,1.0799348,1.5329288,1.0204381,0.48617396,0.76221704,3.9585364,5.0784664,4.873439,9.096707,3.6268952
89_26,2.689962,8.619373,10.155114,0.78063023,0.9832916,0.97130686,0.75509584,0.85797745,1.0347418,14.379768,3.6740527,1.3272618,0.94808334
101_53,21.020912,2.1796358,0.7424571,1.3359587,0.99709946,1.0536535,0.35371274,1.4412466,1.2249587,2.1191769,23.008837,0.9277648,1.3650627
39_35,6.4105673,3.4407973,3.3662438,1.54791,0.67364657,0.62355804,0.45168763,0.9026421,2.087134,5.4582915,71.38048,1.9219799,0.88821054
63_28,3.8833175,3.9535327,11.066882,1.1134901,1.1786883,1.0275823,0.8547692,1.417513,0.9222722,17.166605,8.077043,3.9843233,0.70729744
100_39,1.5307828,46.044228,1.1138996,0.63064116,0.73632705,0.5854519,2.1301076,0.7650591,0.5001733,21.923622,2.1843512,0.7284569,0.46402642
9_49,9.407993,3.6676676,0.9773444,0.9960681,1.2328849,2.1396775,0.18207261,21.305143,1.5402398,2.748311,28.048887,1.0103306,2.686786
55_27,1.3110977,26.341003,1.1762493,0.566244,0.57827604,0.49865627,2.8221803,0.7934666,0.53577816,18.855574,2.460558,0.83544546,0.50962657
85_31,13.26347,2.4115715,0.9573846,0.78631246,0.8287759,2.261132,0.36063913,2.3985527,0.8213132,3.6225195,24.923233,1.1596242,1.5089467
75_29,1.3797247,39.66085,3.7828531,0.6508242,0.7613308,0.53154325,3.2265553,0.89633036,0.5142253,16.340712,1.8173535,0.78224915,0.38296232
98_16,5.1298027,1.7971671,0.9710952,8.37856,3.3935814,1.0685062,0.10410485,1.0751481,1.3565052,1.9176655,12.403905,0.6668842,1.8800013
81_21,1.5733614,49.493763,1.2745659,0.56921375,0.6324178,0.55109507,2.6960332,0.83038366,0.5224005,12.633634,1.8755637,0.79741174,0.31767076
102_27,4.840352,4.403601,4.1296816,1.0470271,1.4130423,1.5269871,0.30176163,1.8373356,1.5199252,3.8391297,10.232776,1.2725838,1.3220543
39_39,7.2684126,2.7402496,2.229729,1.116821,2.7489824,1.618886,0.6166856,2.1304524,1.2415522,3.458643,36.30083,1.8805852,0.9378333
23_58,12.043207,1.7861915,0.83977634,4.4169602,2.9888768,0.92653024,0.3704032,2.8583064,1.5802792,2.6042993,9.349712,0.7069022,2.7041821
24_49,1.5448173,42.49923,1.596473,0.5692379,0.65185523,0.5496738,1.8318471,1.0821698,0.6166179,9.474729,1.9670696,0.9768011,0.42443234
27_39,13.429505,2.5114722,1.6059675,1.2896936,1.9042478,1.4893718,0.44785482,1.9115436,2.7253883,1.9654267,16.6778,1.011804,1.6224291
96_48,4.0707693,4.5584073,0.67165136,0.6224599,0.63548684,25.8787,2.8912768,4.9559464,0.69382507,13.516415,23.831818,0.6503872,0.65633273
93_22,1.5588787,25.218666,1.4449685,0.5681708,0.59325916,0.70521283,2.60293,0.6976249,0.44963476,14.492594,1.8427057,0.6974846,0.25227103
73_31,1.485164,38.35149,1.3738416,0.667935,0.6382281,0.5845736,2.4193313,0.8833424,0.43286717,18.266012,1.8658097,0.68857884,0.34144515
87_44,75.33846,2.2990973,0.7857956,1.0044856,0.97653115,1.2632283,0.17364076,1.5782912,2.6766331,1.8409538,12.794364,1.1282891,1.7587637
38_40,11.268151,3.5031993,3.630301,1.2574096,1.5573153,1.6633304,0.4951303,1.8415763,2.949976,2.7640758,9.056206,3.0766218,1.9073713
77_34,4.988186,4.5447206,2.259016,0.932757,0.78542966,14.567162,1.430499,2.0533805,0.94176954,7.8716755,9.221802,1.2964677,0.8287957
98_55,26.61417,2.3510427,1.2657036,1.032731,1.2724028,1.326298,0.119405694,1.538945,2.1262302,1.8743114,15.57967,0.9819161,1.4385725
37_50,3.1685748,6.9729853,9.368871,0.9771661,0.7825069,0.7811264,0.7439099,1.5467612,2.5492814,4.1200485,4.130642,41.149704,1.6138504
104_57,4.6841598,1.8355304,0.6698586,12.031295,2.4842644,1.8366127,0.9933683,5.566189,1.1992551,1.8583804,8.247583,0.53221637,3.5982184
29_52,2.7399485,4.4285603,50.890923,1.0367678,1.2638917,0.9174626,1.719851,1.5783435,1.5242672,8.229948,3.7448053,6.6912785,1.4682535
61_40,9.666498,2.270193,1.2528464,1.2312142,1.3778021,1.4654516,0.84862953,1.7606611,1.7758955,2.251019,15.384572,1.2186438,1.7099006
78_2,3.0167608,2.3464022,1.3628005,17.334507,6.2940073,1.3165419,0.30912256,1.4686869,2.9028687,1.582617,4.026128,0.92785,21.806984
63_40,20.428055,2.4496627,1.3191099,1.2762847,1.5090342,1.4355537,0.28977156,1.5018065,3.4997644,2.4978817,10.463678,2.3509436,0.923961
82_48,8.08724,3.0437856,1.9803455,1.0411767,0.911653,1.5610206,0.4418768,1.4458529,1.2782145,4.0247,19.694084,0.9203498,0.95566607
82_45,8.16244,3.9561787,2.5607233,1.0885229,0.78835005,2.279392,0.6688899,0.9181526,1.2204812,3.5821676,11.298477,1.5930312,0.9860053
112_57,13.799913,2.4170663,0.92196536,1.4288917,1.3067985,1.5609233,0.32727173,1.8566928,1.6658019,3.1713712,19.02044,1.2682232,1.3652769
99_23,3.3807435,5.213651,7.601841,0.9329598,1.0177959,1.3125865,0.79407805,2.2440462,1.3827273,4.3813553,6.0095015,4.439795,1.1992124
46_18,7.710495,2.42249,0.9341082,1.7205023,1.8493611,1.6009095,0.3554136,1.8068757,0.73332083,1.479697,15.648491,1.2004975,5.4426336
25_45,1.3683944,26.960802,2.1960692,0.6241298,0.7877514,0.68118715,3.270872,0.8774987,0.6599906,13.169276,2.2366214,0.80075234,0.42891636
51_15,3.242989,2.0826113,1.8612521,12.939696,3.8535361,0.80860275,1.0207182,1.270033,15.832601,2.0824935,3.0915384,1.2055246,2.136804
36_33,13.8356495,3.3965511,2.920354,1.5825669,0.9547919,0.67352706,0.8165783,0.7832948,2.5047624,3.5268846,13.983347,4.733108,0.959062
10_52,13.345372,2.5558138,1.0677612,3.076232,0.9846047,0.57442176,0.045745015,172.26773,13.078343,1.511357,8.134825,3.4981544,2.6916857
26_35,2.5649524,2.3608825,1.2573754,10.151574,10.000837,1.931076,0.45818165,4.792845,1.2642937,1.9666255,4.725775,0.86799866,4.804165
78_35,5.9131184,3.2432156,3.5738263,0.99210197,1.3401861,6.7902904,1.1649718,2.0297685,1.8230054,7.398901,5.84747,6.0470605,0.8960373
85_51,6.565818,2.7416587,0.8552389,0.99796534,1.5852175,4.3100533,0.4419839,1.3730544,1.1937459,3.861244,18.913776,0.868115,1.2258731
62_19,2.3079686,69.20594,3.300387,0.7495572,0.844078,0.8714297,1.0433792,1.4426924,1.1088371,5.400561,64.41218,1.3796327,1.4991498
69_32,4.033758,4.3695188,2.3192945,0.90322876,0.914437,8.146441,0.908356,1.6916035,0.9224691,8.37748,20.591755,1.2402714,0.5362759
46_43,1.5362914,28.927122,0.94156563,0.5651911,0.61640525,0.7339455,3.9110115,0.87054676,0.67527163,15.99971,1.9809301,0.98246473,0.39223135
76_25,1.4220788,37.07903,1.3852448,0.6587101,0.65412706,0.51100016,2.5017703,0.8579092,0.578791,9.490057,2.3004913,1.0295819,0.39755052
46_23,14.7053995,2.562228,1.0674138,1.2313839,1.0625333,2.3776724,0.3224719,2.0404837,14.497676,2.195487,10.936411,2.7336233,2.1590803
43_27,9.875299,3.274889,4.0471497,1.3625739,1.6650788,1.4356732,0.29612863,1.8080169,2.5127487,4.1623583,6.411676,8.557014,1.6277612
81_38,11.837843,2.2877965,0.838904,1.087303,0.99330896,1.9081252,0.4833618,2.389585,0.9380296,2.2894845,35.403324,0.8405276,1.1438373
20_59,3.2889724,3.440311,1.292434,0.94566166,9.077854,24.308372,0.2530529,8.13365,1.1249129,3.6356952,2.9774115,1.1569993,2.7634792
102_34,1.75138,33.420963,1.7739351,0.7165719,0.7458575,0.8476306,0.80966747,0.574089,0.5132552,13.752756,2.3962765,0.7702812,0.41809773
71_29,1.7300522,23.66289,5.1444,0.6247117,0.7161916,0.6170355,2.4647675,0.80051106,0.85369605,33.365208,2.112111,1.419016,0.8065777
115_41,5.0737057,2.1346853,1.4443636,5.0732775,1.8868034,0.7640821,0.1761153,0.949188,2.3307884,2.045442,5.147107,1.0076027,2.1265678
49_19,11.339281,2.5804005,1.281755,1.0171555,1.1966301,3.1464868,0.49540913,2.648863,1.1276691,2.8309197,48.212357,1.6561148,0.7513206
32_29,5.6136236,2.8803806,0.7891723,1.9045901,2.6650963,1.3402791,0.46557453,1.7086716,1.1154643,8.426481,7.10399,0.4983705,1.4385773
74_29,1.6361281,64.471886,1.2894274,0.6222695,0.6892988,0.5932108,2.4163795,0.8734578,0.48246512,11.344269,1.7181458,0.77019656,0.32388923
114_50,3.7365682,4.309108,2.3667235,1.2586977,1.7135689,1.6262059,1.037784,1.4366331,1.1529838,3.0450377,9.349249,1.0813824,1.7043457
75_40,1.983079,22.58661,1.2487953,0.62318754,0.5984813,0.75778663,4.840878,1.0983177,0.48691323,21.678467,2.064225,0.7092421,0.30970198
11_43,5.8930387,2.5589547,10.265759,1.5032017,6.907776,0.6092657,0.86934114,1.6891159,4.060407,6.4801974,3.0208912,12.169678,1388.3627
78_39,1.3076036,35.677082,0.7238081,0.5051729,0.57118267,1.2572882,3.5794685,1.0927432,0.47355637,44.256508,1.9857564,0.64150673,0.3814404
61_28,6.3857145,2.9152718,5.064081,1.2699407,1.156173,0.88819295,0.4026696,1.011225,1.0350282,5.4825487,7.568471,2.824638,1.01663
55_18,6.157623,3.1037838,1.0999916,1.0084214,1.0517235,4.5055428,0.67794025,2.2746491,1.2227561,2.654214,28.867533,0.9366767,1.2402809
53_45,4.0228634,3.958699,2.2282567,0.7995106,0.85233426,61.964317,2.313069,4.307912,0.76233387,7.4674406,2.2471197,1.3123183,0.8408503
108_33,9.625837,2.0549235,0.66565067,2.6494007,1.779631,0.9596893,0.2287659,1.6931901,2.0949006,1.4594846,16.917215,0.7459371,3.0768876
23_39,6.8597836,2.3344774,1.140568,1.8127033,2.1630177,2.0900178,0.4375676,3.8796964,1.3482801,3.7939434,8.591785,1.1425515,1.6974064
53_26,6.060078,4.9251995,3.285459,1.004693,1.1540692,2.2102182,2.067814,1.5089438,0.65737975,10.329338,4.375921,3.1499338,0.5183658
36_29,3.251008,4.444887,5.481599,1.4778125,1.3949775,0.5755537,1.1801381,0.6963775,1.755442,9.449802,6.3612733,4.3639717,2.291112
70_14,10.658514,2.8864462,1.8609339,1.1135001,1.0750072,2.1490052,0.84194076,2.6322298,1.6989756,2.2094903,11.941278,1.1539886,3.4639146
61_29,4.947666,3.2428057,6.248398,1.2440412,1.1050837,0.8722473,0.18775116,0.949738,0.5820987,9.797195,3.3930683,6.3950887,1.0084658
86_58,4.2779055,2.130989,1.0202779,4.3939795,6.421882,5.222538,0.25128865,2.4333093,1.8796068,2.0349228,3.7093651,1.0481904,12.105121
38_53,7.964919,1.9405451,0.6406408,3.687543,5.3269277,1.211344,0.10921014,1.8331195,6.20322,1.349502,10.091101,1.4745246,3.8762045
78_10,20.334139,2.356897,1.0858827,1.1912785,1.1788094,0.8436938,0.15124743,1.1970276,3.767034,1.9766929,10.354273,1.3183527,7.273673
32_60,2.1552076,4.5404344,2.3528903,0.8492032,19.041992,0.7840767,0.34750167,35.819736,1.5039834,6.0634155,4.410348,1.9197024,3035.4736
33_47,1.6029744,53.295967,1.5925027,0.5937793,0.64501846,0.54670405,1.8357894,1.0519996,0.56940967,16.453274,1.8379903,0.79420394,0.38871577
67_1,2.9192677,1.8766769,1.1881123,33.576054,3.2568407,0.65701544,0.14784575,1.3193104,1.4429938,1.8445404,3.0306451,1.0452216,2.1153915
3_46,1.7579098,3.965694,1.4972644,1.052598,67.38273,4.777512,0.38960266,25.936735,1.2406826,4.0311756,2.0736015,1.3016068,3.1994047
23_54,15.144036,2.6802914,11.082481,1.3378237,2.0506463,0.81077945,0.5240194,1.8172687,4.6133018,2.1574008,13.360609,9.166919,1.9922407
83_1,2.9491332,3.8867655,1.379086,1.0974598,1.5773416,78.97899,0.24380447,1.6065863,0.8388286,7.0146346,3.9369073,0.99212354,1.0625609
124_59,2.8167155,3.4279346,1.2158333,1.2688293,5.541886,42.481415,0.23764578,3.451685,0.8198295,6.160899,1.3003871,0.9295433,0.62569726
94_13,9.246931,2.3271809,1.1479805,1.4960556,1.5392475,2.404756,0.3435064,1.9094882,1.2166489,1.824854,15.374298,0.65867025,1.6543423
81_53,26.154732,2.0530596,0.963709,1.4919223,1.5337272,1.066882,0.12821643,1.3696867,1.485677,2.3637748,17.278656,0.75019526,1.6676544
107_56,11.790929,1.9711757,0.9297123,3.4971073,1.480357,1.1455746,0.3256306,2.5481915,2.0239015,1.5072381,16.450636,0.6103628,2.307047
114_62,12.036726,2.002867,1.2932808,1.6020713,1.752485,0.86688924,0.13986659,1.4655708,7.08744,2.3834126,9.958806,1.7075884,2.538584
12_47,1.7217896,54.557518,1.173363,0.536713,0.61469936,0.8766924,1.1228546,3.3149135,0.5146413,14.684509,2.3566248,0.7229741,0.5781909
54_17,10.01896,2.2682962,0.9823655,1.186563,1.3095231,3.1565773,0.5808674,2.3583763,1.1334845,2.5301285,31.809845,1.0933551,1.5865743
59_43,11.389696,2.61698,1.5742548,1.5603678,2.12999,2.9491048,9.470382,2.809744,1.0456605,3.6122313,4.8349667,1.4845064,2.1354847
91_42,42.618263,2.5317554,0.7298373,1.0546354,0.82897794,1.3601024,1.4747281,3.0057175,1.4204906,2.0148876,18.848753,0.81721497,1.4998611
87_32,11.30731,2.6188312,1.0323982,1.2127223,1.6111734,1.6789846,2.4065177,1.5970305,1.5786567,2.6672115,21.997547,1.3093312,1.9041234
118_48,8.641334,2.0776343,0.8321096,7.190796,1.5466653,0.85357386,0.15454258,1.0264299,2.07028,1.923296,10.408977,1.1757798,1.7443315
87_21,1.5223695,84.62089,2.6716833,0.6842646,0.6637931,0.5925237,1.3927406,1.3454171,0.56929135,14.072958,2.645514,0.7543628,0.4475003
55_14,5.2265806,1.9875393,0.82735145,4.9391108,3.87611,1.2366393,0.27795827,2.1613977,3.0039766,2.7725587,8.747952,0.88275117,7.2216554
46_45,5.8867464,3.174929,7.1192775,2.2655663,2.009965,1.0653387,1.1370724,0.7588299,37.22372,3.6738918,3.9454587,8.912809,2.7747138
32_34,19.548458,2.3963223,1.7233597,1.788315,0.88244414,0.4673477,0.36326286,0.98652136,3.0490048,2.0956414,8.287888,1.5162922,1.3541209
10_45,10.583236,2.8659706,5.6578827,1.3287187,3.0596333,0.57605165,0.3327241,2.769803,31.99385,2.129251,5.411778,10.879366,3.5776381
108_28,2.9059858,3.431736,1.0743748,0.7169694,104.66999,1.8954929,0.103790104,15.097304,1.3124732,4.8934937,2.6167974,2.872032,1.0563524
7_50,5.3932123,2.5162592,0.888235,2.6655636,8.934719,0.76662207,0.05101533,180.1477,4.073105,2.3068118,7.2501297,0.7408626,4.0054874
101_26,2.998327,6.4933615,7.358533,0.9305017,0.8331774,1.5112096,0.9687028,0.8616917,1.1055284,6.2324576,25.554607,1.0021603,0.6102273
67_8,17.098587,2.5844243,1.0419472,1.2563881,2.0149133,2.9975114,0.45332572,1.5889037,1.7170068,2.0468607,12.741073,0.7291294,1.929008
88_57,7.514572,1.7842534,0.85497564,7.3145485,1.3541349,0.9006344,0.11151411,1.297034,2.4540482,1.7787454,12.015033,1.1950572,2.2909656
121_58,9.277366,2.5415006,1.7468729,1.8697848,1.6393368,1.1660061,0.12538923,1.0534538,2.630139,3.2921557,6.9087133,1.2443734,2.4685135
76_2,1.7376658,5.8226986,1.7717154,0.743631,1.2392492,38.70871,0.10346257,7.841446,0.97337687,4.1727085,2.4482522,0.92335516,3.8184838
55_40,7.8536124,2.4057558,1.7284749,1.4540353,1.2509787,1.0079195,0.2080241,1.7805614,4.297842,1.5186508,27.509483,2.8736706,4.121867
80_51,37.00287,2.1434126,1.114156,1.2656766,1.7293663,1.2568232,1.1836696,1.5366915,1.4334904,2.5742657,21.988058,0.8807988,1.1898952
98_40,1.5672941,17.20953,2.3812919,0.6022902,0.7046684,0.6845024,3.0292957,0.7043161,0.51099133,28.003605,2.6233528,0.7144937,0.48653165
103_46,17.063139,2.4101167,0.74616146,1.0749955,1.070826,1.3898966,0.34279516,1.7346116,1.4085044,2.3451557,25.276949,0.8820841,1.5485779
97_40,2.2161098,9.233352,3.0865011,0.81845975,0.8110742,2.7664683,25.14739,1.9877805,0.7426988,18.112562,2.8843772,1.178245,0.52669805
77_3,2.430659,2.1288707,0.8680793,22.188889,7.720627,0.68282104,0.16228081,1.9107689,1.5355507,1.498608,3.0321906,0.6912791,2.4947147
19_50,1.5009837,20.866089,3.746859,0.6544266,0.7438226,0.7701716,2.102196,0.98415035,0.49878922,38.508327,2.2856889,0.8936142,0.5417073
33_35,16.613121,3.1273463,1.909948,1.6959031,0.9673245,0.43773425,0.34955418,1.0875635,4.249774,3.078585,9.1082,3.783862,1.9669329
106_55,10.095215,2.5578747,0.7815018,1.421072,1.717624,3.2164598,0.3506699,5.7014375,1.4734372,2.5445182,24.275436,0.8255195,2.043803
69_18,6.38834,2.9010954,2.6559002,1.0526783,1.3127037,3.565328,1.26082,1.5839734,1.085731,2.9870224,26.057499,1.3822963,0.5979062
98_48,19.19629,2.321043,0.8158602,1.5430572,1.1722064,1.1155342,0.8113359,1.3558041,1.439754,2.472395,15.280954,0.8386145,1.2221005
92_13,17.986866,2.2642972,0.8979634,1.57339,1.262821,1.72088,0.32589474,1.9699018,1.704408,1.7631738,16.831493,0.9383245,1.9056994
11_47,1.5049882,38.17167,1.1856683,0.5421442,0.52306914,1.0580807,1.2481937,2.916048,0.4739231,22.518417,2.272811,0.7801756,0.37628117
90_5,3.1261587,1.8774133,1.8294945,29.741327,1.9581769,0.6970736,0.19913319,1.1169479,2.182515,1.9426472,4.6997113,0.85921943,3.2105792
87_20,1.6408993,25.607903,1.2872906,0.5779242,0.6760755,0.64409566,2.2811835,1.1462243,0.602688,23.358313,1.763712,0.83135587,0.39359736
76_35,1.6144294,24.970459,2.256356,0.59199107,0.6773725,1.0674613,4.6163216,0.91823155,0.6547798,22.653835,3.175012,0.97216773,0.3875322
86_43,29.522663,2.3291998,1.5451511,1.1522653,1.0236256,0.93128246,0.1598984,1.5259221,1.2108238,2.3249247,30.476696,1.0540016,1.1033353
98_50,20.311401,2.2918694,0.93297446,1.3188467,1.0503395,1.2797754,0.38136026,2.4630535,1.4684556,1.890023,21.569386,0.8230935,1.51643
107_27,3.8748007,2.7551944,1.2230021,2.4779658,4.052316,1.0286963,0.08644464,1.5603174,8.26278,2.4927592,4.5245905,1.9891386,3.7767096
57_16,5.2049556,3.4591928,1.3952093,0.74116075,0.9852632,5.3127317,0.87462425,1.8570038,1.2470063,4.660954,23.848581,1.1548206,1.3915484
55_39,6.983961,2.9604843,1.8043473,1.1870255,1.8887376,1.6012261,0.31837127,1.6395793,1.4794673,2.2629366,8.473383,4.186882,8.243001
74_34,1.6589553,39.37719,1.4742025,0.6845199,0.7136989,0.6159299,3.038835,0.87199605,0.6879831,14.003994,2.048352,0.96166724,0.49832565
65_26,1.5469183,28.31962,6.4062614,0.673409,0.8084146,0.64226437,3.7532966,0.82656676,0.77619386,52.22764,1.9989407,1.1989225,0.66987383
82_13,3.7855966,4.1280394,30.991337,1.0100162,1.4443567,0.9715142,1.2851046,1.9167911,2.721418,4.675539,3.1338875,73.86615,2.8518975
32_43,1.5119059,35.93737,1.2731209,0.58205533,0.6326262,0.6759114,2.6261048,0.74888587,0.50088376,17.047997,1.8185576,0.6737328,0.34365562
58_10,2.0109026,3.2646263,1.7335771,1.6751962,143.29672,1.1852767,0.36890137,12.506398,2.357503,4.0900545,1.5174444,0.95075834,0.96806175
91_3,2.0669456,4.243692,1.5648204,0.7945957,2.3312125,36.12001,0.26437965,1.9119815,1.1539581,4.951794,2.112769,0.8425001,3.2008584
76_47,4.478738,3.641867,1.9978216,0.8142865,0.88823473,8.033953,0.9999678,1.1695311,0.6266724,13.078223,14.821775,0.8723937,0.83195424
122_65,1.5400648,21.498924,43.253704,0.63514215,0.848878,1.0543239,5.773263,0.6917626,1.133009,102.26672,1.7259097,1.5103401,0.9605757
35_57,6.3231173,1.5458535,0.7538299,11.648205,2.4482324,0.7760097,0.097080395,2.0300267,20.226137,1.5520976,4.0471625,1.133996,2.5577605
44_34,12.936443,3.1288137,2.4660618,1.0853481,1.6419849,1.9280468,1.3388273,1.5047495,1.994394,2.2805903,8.089968,2.4751897,1.4862844
84_8,29.14804,2.1845279,0.8161845,1.6416069,1.1540277,1.0004642,0.11647212,0.9628965,2.0069451,1.8026574,11.775176,0.73853165,2.3670545
40_31,1.3559165,28.71901,2.0567226,0.69996667,0.82754827,0.53874755,2.430198,0.7920567,0.605343,21.762918,2.3741775,1.1425872,0.49469486
118_58,1.8836594,12.873558,2.2728477,0.8581791,0.8380548,0.5064994,0.8767432,0.5854812,1.6081231,10.759329,3.3683875,2.0368931,1.6000744
95_26,1.777108,30.850677,0.8310911,0.66609013,0.62028956,0.7586926,3.4922068,0.84516585,0.5443395,13.450461,2.7309303,0.85550255,0.38387856
83_15,1.4024409,27.673271,1.4895256,0.55013925,0.69132316,0.7016978,4.1859355,0.84846485,0.44991136,14.070663,2.034033,0.8612039,0.45055392
123_72,10.914059,3.2570407,1.7936527,1.1883392,2.875297,1.5393357,0.102724425,1.9935974,2.0066826,2.89191,82.05167,2.4744556,1.802014
70_41,2.616684,6.8649154,63.739815,0.73016644,1.4042943,1.4074113,2.998707,2.804175,1.3019255,7.417238,7.7946186,4.146559,0.7384174
41_37,7.125104,3.1034036,1.7910473,1.7858088,1.0813627,0.6575345,0.4369375,0.87699515,3.1246424,2.5221534,14.3562565,31.829435,1.7271204
