,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Arid4b,-0.068757266,0.022269081,-0.13085684,0.22206016,0.19510724,0.33768925,0.063778706,0.11487948,-0.20949535,-0.39179975,0.082443155,-0.12780753,-0.7653702,0.36397123,-0.12695725,-0.12824717,-0.037971187,0.22219089,0.24452175,-0.10124187
Psma2,-0.44317997,0.14336334,0.15605831,0.024097303,0.14019258,0.29349294,-0.3554801,-0.4825415,0.2462002,-0.3538217,-0.06522218,-0.3813801,-0.6755335,0.19768304,0.121713035,-0.20947303,0.1726838,-0.17324592,-0.5419257,-0.00939041
Rala,-0.12564729,0.000747126,-0.06855445,-0.33239117,-0.4581211,0.40669844,-0.075752206,-0.34788203,0.38008836,0.5019298,-0.35039416,0.050079416,0.25802895,0.6273804,0.29849356,-0.19058664,0.08826952,-0.4766035,-0.710355,-0.08095495
Vps41,-0.0070498497,-0.20178564,0.15157695,0.284067,0.0307378,-0.2808725,-0.7319169,-0.42736182,0.16652386,-0.12363864,0.3113297,-0.18727718,-0.77994347,-0.35837954,0.04015768,-0.0553542,0.004756693,-0.9519944,-0.06330696,0.12882583
Amph,-0.3429282,-0.27582625,0.71808857,-0.45454878,-0.31089398,-0.17159717,-0.3481086,-0.71104944,0.64038205,0.41033837,-0.6680853,-0.5362322,-0.28760734,-0.6215544,0.6949628,0.29193252,0.3904777,-0.9660872,-0.11895865,0.78024626
Elmo1,0.23612495,-0.09468651,-0.67995226,0.4903902,0.5384655,0.23864967,0.36846155,-0.38523993,-0.50719655,-0.5753922,0.6030155,0.27246767,0.16258381,-0.14405291,-0.6220645,-0.40586704,-0.6868842,-0.4276543,0.5746695,-0.62726134
Zfp322a,-0.10364627,-0.84892845,0.1184463,0.005061721,0.053132404,-0.20401713,-0.017342133,-0.075510256,0.055538245,0.2372462,0.06748064,-0.16853052,-0.15110293,-0.5762077,-0.029045481,0.03869329,0.04474422,0.17073175,-0.31539416,0.012721958
Fam65b,0.13526079,-0.71390855,-0.422443,0.6207955,1.2511334,-0.93614143,0.63219804,-1.0718466,-0.6917937,-1.5888946,0.7607605,0.08652808,0.107865684,-0.56145805,-0.8480784,-0.8584988,0.13862577,-0.6754619,0.6606665,-0.2936133
Mrs2,0.07546923,-0.20785552,0.06449665,0.054696273,-0.08225918,-0.16100635,0.011067552,-0.5414562,-0.1441012,-0.051587574,-0.026279211,0.049543697,-0.21410011,0.102076694,-0.0017664186,-0.077811025,-0.036346022,-0.019265808,0.21119027,0.03355708
Nrsn1,-0.24235204,0.33096483,0.01150161,-0.39786634,-0.39774242,-0.54778844,0.052040953,0.1314561,-0.43618783,0.919802,-0.5722421,-0.21942358,1.0933241,-0.045508496,0.15982199,0.97543967,-0.6332583,-1.4489466,0.12682496,-0.744016
Sox4,-0.7168998,0.42641315,-0.108541615,0.036800873,0.18101454,0.6506169,-0.018621726,0.31627,-0.78723717,-0.121389136,0.3758257,-0.6606005,0.3974292,0.06094817,-0.53456306,-0.016655644,-0.71734524,1.1544338,-0.5989754,-1.1096781
Cdkal1,0.041871283,-0.1984905,-0.08643076,0.6819799,-0.4776454,0.10873097,-0.04031575,0.27708772,-0.08512448,-0.052405164,-0.01850457,-0.44783273,0.028516866,-0.34475374,-0.3366279,-0.31878966,-0.11438468,0.8186639,0.51633334,-0.38822207
E2f3,-0.2100857,-0.36538503,0.06812955,-0.069904774,0.036540527,0.017040769,0.03301469,-0.036494385,0.018931998,-0.027306093,-0.00021906848,0.0107762115,0.020976614,-0.32846096,-0.0048354473,-0.22901733,0.012231271,-0.69999474,-0.032523498,0.22656375
