,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
46_81,1.3681943,37.704018,1.2299905,0.7820326,0.6622914,0.7126274,0.46009722,0.66448617,0.4541159,0.7383395,0.58464026,0.704323
43_26,1.54565,12.367231,2.1645598,1.4675335,0.8178712,0.8083743,1.0163476,5.8821898,1.343519,0.61740905,0.7320709,1.5416552
48_25,2.6014547,4.125098,9.681597,3.0717204,1.4845581,0.9606484,1.2907364,8.86147,2.9828115,0.55486584,0.7439889,1.2242517
12_32,26.955027,4.816017,1.6342466,2.3675556,0.6690321,1.7995495,1.1414226,3.1741962,2.6328833,0.8414002,0.92209893,1.1182567
37_14,11.008682,2.7445197,4.5943804,1.2824771,0.9713756,1.1379919,1.5539064,4.6023445,13.976273,0.58363205,0.9009071,0.79326624
25_32,1.2415099,59.854305,1.4692034,0.8618377,0.611284,0.5601458,0.516843,1.5085808,0.51043355,0.71025103,0.74017817,1.2261186
36_87,3.122591,5.5936,1.6089327,0.5999588,5.632557,1.07988,0.7987563,7.556085,0.7619414,16.933178,3.7560527,3.340298
37_55,7.8043613,4.2232075,1.5897393,0.89886284,3.6491816,1.5684907,2.0622156,2.1645722,0.7831854,5.514268,170.88841,1.0544935
57_97,4.1732006,3.8166413,2.054682,0.99252903,10.732151,1.9731888,1.1054854,1.3759694,0.93785244,3.5678356,48.06254,1.8406289
28_43,2.953328,4.9797063,3.0620005,1.7058659,3.348641,0.88931197,1.2032425,58.716167,0.97017336,1.5816,1.0514786,13.492259
65_7,10.338549,3.017939,4.225628,2.2307363,1.7226274,0.935817,4.018735,9.480942,5.7565846,1.3328372,1.0811988,1.5092168
24_23,23.408308,4.134307,1.4013524,1.0431095,0.7319391,2.4230762,1.008358,1.2018499,0.30614185,0.7935332,1.8030161,1.3587836
63_26,38.501694,2.3523002,2.9263358,0.7534456,0.6597695,1.547913,1.1614883,1.1808815,4.138476,0.56857836,1.0233856,0.56674457
24_35,1.4131666,23.636793,1.5702168,0.86471546,0.79957205,0.62353384,0.68803304,6.071994,0.76309,0.6926207,0.7133786,2.2673633
26_80,3.499844,2.895164,5.84087,7.0553064,1.8084617,1.3768519,19.656492,3.5412002,1.474278,1.6753596,1.9816446,1.1791002
37_18,2.6833158,3.5726838,4.934702,1.2055871,5.1737103,1.132181,5.0295486,23.094166,2.3742254,1.1283008,0.95242107,2.795386
46_33,2.9708323,3.7783656,11.599388,2.5610762,1.6791494,1.519239,1.8273957,5.576385,4.806806,0.6189922,0.80998695,1.2836988
22_30,2.8108053,3.6886175,12.616998,2.7273974,0.9761994,0.88641495,7.537982,5.462594,7.150517,0.87247705,1.0552807,1.0536002
35_79,3.1492755,4.226439,2.7729893,7.5482306,2.094192,0.9490603,2.4210825,11.445866,3.1001801,2.565136,1.2272369,5.2943544
30_39,5.1017456,3.1557267,3.4152296,5.4266114,3.7325969,1.0910835,5.4621234,12.441631,2.0721507,1.3337106,0.861668,2.051896
49_104,1.8117986,12.075344,1.5123322,0.65054715,1.5102023,7.9548817,0.6716507,5.001561,0.9130789,1.5700481,1.441027,577.5377
54_87,3.9954333,3.4301255,2.054597,5.8419123,7.907262,1.1385047,3.9339943,3.379727,1.0615226,18.167887,3.2375605,2.7635038
47_75,16.775944,3.3083405,2.3794875,1.2667584,2.5520835,1.508955,1.3094208,4.1085844,0.63271683,5.768849,3.2202666,2.8367534
42_26,1.1103337,37.774933,1.2964066,0.85378546,0.6379291,0.76592135,0.29343677,0.6077938,0.34175602,0.47423628,0.4474841,0.66414976
13_42,2.710235,3.2358224,6.216977,11.762539,1.9037538,1.0300574,1.6159323,3.8077188,3.5835614,1.1634773,1.7467142,1.362289
42_39,2.5370493,3.369554,20.317636,2.1710792,1.5829244,0.8755015,1.9732025,3.8343081,3.7617779,1.0703931,1.241182,1.1416051
