,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
23_24,28.129578,5.1798873,1.2295761,0.7502384,1.1843638,7.6518335,0.9398842,1.5421971,0.9833061,0.49270102,1.8575342,0.6112379
50_77,18.080944,2.9736018,2.2380848,1.262066,3.7842734,1.1466887,0.9009369,1.8828863,0.96862715,1.5173373,2.8341217,0.667805
3_44,9.76275,4.783854,1.5857892,0.86969334,1.7536225,9.112879,0.73154044,1.4752039,0.9104108,0.59865427,219.42914,1.6627202
34_35,2.7002385,5.666333,2.3380375,1.6797488,2.5515397,1.0416656,1.2828395,59.7093,1.4021387,1.3922629,1.590004,9.375532
21_66,2.4622388,3.8978992,3.5637784,12.932557,1.6133151,1.0897965,0.8869772,8.907267,1.3634187,10.339494,1.1965101,12.247499
44_99,8.313342,3.356276,1.880657,1.5273502,5.805107,2.8304965,0.8522501,2.4634664,0.7682641,32.48194,6.3724556,2.8662577
45_102,13.359836,2.743725,5.1095734,1.1997893,2.659771,7.4857483,6.032186,2.4257357,2.0167239,2.9368863,2.0030663,1.167129
25_35,1.1556294,68.78514,1.4516312,0.825024,0.48283622,0.5626948,0.5316278,1.6281648,0.5139449,0.6889348,0.6988771,1.3681602
56_86,30.638502,2.646512,2.575027,0.829848,5.253458,1.5086845,1.2846481,2.3193727,2.1598744,2.0834467,1.1623052,1.3175497
61_88,20.088984,4.1180544,1.4014814,1.1648172,7.0846815,1.5308621,1.0862873,2.3111162,0.8919127,10.462495,13.719761,2.645986
53_25,4.9842405,2.2666793,19.922382,1.6798322,1.2053909,0.9735636,3.1386287,2.107757,6.26041,0.7408842,1.2149827,0.5384626
25_24,11.927235,2.988205,3.2650974,1.5365615,0.9247196,1.1412457,2.270725,1.9100459,26.271254,0.602023,1.0919278,0.5921172
45_35,3.0060318,3.3217936,23.688616,3.3593755,1.2977688,1.0675781,2.1003757,5.888685,5.997331,0.60986763,0.8042922,0.9578072
43_18,1.925091,7.5924764,1.9841154,0.9994241,1.4805334,0.8977259,0.77480286,27.0779,0.79629195,19.086966,2.5067253,22.758474
66_2,2.2662811,16.008701,1.153345,1.0561492,3.511313,0.8388268,1.3741215,17.393646,1.5251995,3.54678,1.577022,4.444127
34_24,1.5252943,30.924366,1.3784701,0.7713729,1.1221666,0.8176067,0.4087728,1.9269247,0.59834146,1.0875568,0.63102674,1.5364395
49_111,2.8953118,9.268015,2.124764,1.349,2.397693,11.317956,0.8597973,3.1916184,0.6949022,3.3749197,1.6315451,1.4545897
20_31,3.8749113,2.92095,23.70297,1.7348882,0.9577272,0.9389358,2.725361,4.5862384,4.43642,0.86926454,1.053846,0.91982687
54_81,23.929874,3.0386167,2.2258406,1.4626977,1.5948218,1.0824798,6.470329,2.5286272,1.0200207,1.2494467,2.9456406,1.5445924
16_63,2.5259316,6.319543,1.7283301,44.711853,1.4591109,1.2844169,2.2849238,13.68597,1.4506114,1.3386599,0.8839125,3.803671
45_86,1.3103552,26.565773,1.1650671,0.6509632,0.89721906,0.9627124,0.49270946,1.3418157,0.45112005,0.5988036,0.7380728,1.4838642
28_34,1.7289088,11.32173,2.1489363,1.5770174,0.9292536,0.58630574,1.5396665,18.303328,1.2544342,0.77575475,1.1043538,3.6200573
20_46,0.9775711,44.33864,1.1458205,0.5919053,0.48472762,0.68221253,0.39825612,0.911569,0.39115074,0.73702234,0.57675743,0.9048178
56_10,4.029707,4.8792233,1.9145813,0.91561186,4.206844,0.9770613,2.035253,6.553807,2.55534,5.165104,1.8533964,2.5725884
34_84,1.5352142,42.605747,1.5110834,0.95402706,0.81320107,0.7991153,0.6032167,2.4002914,0.588244,1.2450167,0.77268386,3.404834
43_70,3.2869654,3.230799,4.221702,5.167676,9.410179,1.1550621,15.277489,8.917059,2.2910247,2.2850337,1.2397437,2.2269297
51_32,4.7369156,2.742378,21.278645,1.6109893,1.4653647,0.9549765,4.9946127,3.1283307,2.516917,1.1026839,1.2218015,0.79567605
16_74,21.744411,2.864732,2.8703318,1.7178252,1.4248282,2.463269,4.7102876,1.9955863,3.1051192,1.1260006,4.117205,0.5838546
40_61,2.6252792,5.0808325,1.7656692,30.431522,1.3485758,1.8735964,1.1077967,37.152855,1.22287,1.9668897,1.6830637,11.691383
50_32,3.871193,2.980053,8.351402,3.6085248,1.9575402,1.0165173,8.26578,2.4794207,1.8670478,0.8344407,1.1515942,0.7958691
29_31,1.1882472,52.348625,1.7749841,1.1225877,0.5967228,0.7317339,0.64496136,3.8646846,0.64708304,0.7259713,0.74397004,1.8525023
61_96,97.13066,2.660511,2.4447455,0.63301,0.7841966,1.4046806,1.9487741,0.91362226,0.8600891,1.1177582,1.7221805,0.509444
26_77,9.31523,3.7501872,2.3891606,2.4851599,2.596745,1.5216691,3.4910746,5.8973346,8.138887,1.8213174,1.510537,2.4113696
19_80,22.416634,2.9954133,2.5398037,1.2733665,1.6442733,0.98357373,1.2725433,1.6644182,7.637116,0.81094223,1.3055993,0.47173947
43_33,4.2307367,3.2923596,7.8659134,1.5363148,4.749633,1.2924739,3.8389745,3.251128,3.103254,1.2900761,1.3959234,0.9302978
56_9,3.0511243,4.377648,3.4817858,1.0582976,1.772187,0.74162406,2.4056776,9.217594,2.678939,0.6433607,0.8959448,0.9400906
49_115,24.152267,4.9494066,1.2516466,1.2802733,1.1496061,74.02129,0.480362,0.99718875,0.6299691,1.0112538,4.993047,0.4484354
41_33,2.3671184,3.6544218,25.2468,3.5556188,1.1255386,1.6740297,3.436177,5.4686623,2.729268,1.1838276,1.1332108,1.2366796
53_82,3.9213035,3.8996377,1.5406747,1.1262051,22.27819,1.0021657,1.7957604,2.7632287,1.199332,7.1843133,4.0736885,2.064002
43_19,1.7885158,9.38951,1.5544574,0.8085728,1.3869851,0.62691396,0.80781615,28.21669,0.99528205,2.6845858,1.3886415,5.8482513
32_71,1.3412791,29.670864,1.5934932,0.9707377,0.8440932,0.88064635,0.42435166,2.9473872,0.3994371,1.4199402,0.78491485,4.1761327
30_68,1.1241746,22.628616,1.2420502,0.7860842,0.6779296,0.68024826,0.5024786,3.0080895,0.5420333,1.2953391,0.8002307,3.4125268
10_40,3.9349484,2.9225168,15.431574,1.4272603,1.0455474,0.88238925,2.7791686,3.2737575,6.7771506,0.6601372,0.9858089,0.68390155
22_53,1.7146513,27.445417,1.6218702,1.1367129,1.0740733,0.89810646,1.4247285,16.570152,1.307201,7.3130255,1.4030372,5.5526185
36_70,2.661358,5.0274925,1.8030349,1.9699389,4.693177,1.6541318,0.97248036,6.658997,0.85756224,35.541454,3.2352304,7.8645444
51_8,2.6072083,4.6294537,2.6403947,2.5621476,5.7218595,0.9070962,1.5200244,9.715509,1.1752474,11.412152,2.4733655,4.5077543
61_25,14.965736,2.6344924,4.465734,1.3417649,0.80726564,1.3606136,1.7073256,1.6841458,8.544915,0.58874625,1.0573893,0.531281
24_75,1.824897,29.708735,1.4262395,0.9213675,1.1617033,0.66138065,0.6274815,3.681315,0.49493822,3.3388221,1.8852848,7.69798
41_89,3.0678325,3.613172,2.3809,2.2310486,7.988028,1.323474,1.5423697,3.6187427,3.408592,4.026296,1.2709115,6.3119946
56_22,18.644695,2.750058,21.549232,1.402292,1.1060066,1.4723946,2.4790292,3.863248,4.8469787,0.82878786,1.3735632,0.8082783
34_36,3.1289535,4.1613913,2.0107534,1.5292051,11.295255,0.96285605,5.751841,38.309616,3.4582539,2.0971925,1.3035488,7.7265854
27_20,13.216931,4.2611966,1.5417768,1.0311605,3.0719323,2.8932526,1.1344355,2.307489,1.4335555,3.4421837,12.046174,1.8586506
43_97,3.3754003,3.230437,2.7369554,27.86815,3.4663613,2.8795307,9.8239765,4.553469,2.1215906,1.7188604,2.063799,1.4017205
46_82,1.3206718,32.55063,1.243098,0.7496122,0.7772573,0.94976443,0.5273166,0.72168267,0.5589134,1.657254,0.7662483,0.7579848
26_84,4.1470165,2.9660356,2.8780732,1.8653526,7.504575,1.1621362,4.9907875,2.6174212,6.10274,1.1710713,1.5036402,1.1357647
51_7,3.4772077,3.371965,3.0477464,1.544355,4.4484053,0.8978196,0.8910293,4.9530144,3.0973322,0.7751136,2.1061149,1.2002313
49_49,3.9387503,6.3934574,2.788455,3.0579495,2.9278982,0.9778938,3.6448908,3.544909,2.366269,0.8233666,1.5412097,0.73409545
20_52,2.8575115,3.7387643,3.2817068,20.285666,2.0807927,1.5593926,1.9414492,6.9739246,1.8592228,1.4144936,1.359577,1.0809038
35_56,2.4041529,6.479796,1.9863375,2.834474,1.8843694,2.0138314,0.8713102,8.2291765,0.6927142,20.792604,1.2151784,13.945603
36_56,2.8101163,4.196563,2.0756698,13.495538,6.323955,2.072523,1.4532038,4.0541844,0.54191595,59.50637,2.5343976,3.0948656
12_43,4.3799353,2.6706033,17.49775,2.3315904,1.3349161,0.9061391,10.865438,2.5003467,2.7484255,1.2828728,1.6936114,0.93035
55_28,7.776106,2.6341414,16.981365,1.2170861,0.837562,1.1145964,3.698004,5.835645,1.9683288,0.8680573,0.86360717,1.1532929
20_42,0.97172403,70.724815,1.2209026,0.68997043,0.45926207,0.62863195,0.42335597,0.8454671,0.4401318,0.65384763,0.56836426,0.6150697
46_30,4.9638615,2.638742,17.730701,1.4036906,1.7987704,1.0764207,3.7842312,2.2979302,2.6533835,0.85183793,1.2804437,0.6685226
34_89,1.775402,6.475753,1.6336064,0.89824873,1.7531872,0.8825901,1.937452,15.440084,1.2107747,2.2310593,1.0384201,1.8880385
41_74,2.0009997,8.195932,1.5500426,1.2798461,2.430541,0.8587496,0.84377426,8.827103,0.95269555,4.492906,1.6809286,10.226891
42_50,1.2180009,20.356537,1.2058339,0.7098499,0.74202704,0.8775864,0.64772195,1.5262265,0.41427398,1.1740239,0.951682,1.2174817
48_28,2.9770036,3.0014706,15.3730545,2.30937,1.0838239,1.2326459,2.4056492,5.1858406,3.0602927,0.680373,0.9291647,0.88057274
38_56,3.3504217,4.91928,2.0015826,2.0213344,4.870405,2.1360703,2.226158,4.8613815,1.8873492,1.664355,1.859216,1.8970966
26_76,2.5206168,4.6287885,2.3822742,16.042494,2.2520247,1.1872026,1.7946922,9.061863,2.1154034,1.9511551,1.1907967,2.728001
10_38,6.3574705,2.5784922,20.441114,1.2890353,1.3163102,0.9109642,2.5574374,2.1140466,9.654769,0.76076126,1.3505672,0.7876521
8_38,21.82222,2.169436,6.8979588,1.0727961,0.8553182,1.3619707,1.0846199,1.0135547,4.078072,0.5772494,1.3456042,0.4327319
14_33,4.209872,2.9248126,10.158682,2.2897623,0.894961,0.7761958,1.9551598,4.720104,7.4840403,0.61882544,0.9774937,0.9949168
7_38,36.016403,2.7109146,2.1251664,1.0344234,0.9671209,1.1067382,0.9025598,1.1682456,6.5295877,0.57905024,1.3945209,0.38467968
40_44,3.5482602,3.1102057,9.1477995,4.0274963,1.5025638,1.0791361,6.4848523,28.878548,2.1165218,0.93901193,0.95470864,1.3705081
57_112,74.91892,3.3481398,1.4495965,0.6147841,0.9861715,654.3635,0.7667355,2.537229,1.6138785,0.75220084,1.7605042,0.77404267
36_62,2.4670527,6.28198,2.2881293,5.8187737,3.5485497,0.9847491,6.668801,16.863678,1.4195523,4.7916565,2.4929345,3.5796196
10_36,6.8094482,2.5370426,11.501361,1.1241122,1.2044079,0.6813238,2.2601445,3.0173237,4.87273,0.7005931,1.2919812,0.71740013
68_3,3.2919855,5.049429,1.8492193,0.8568547,5.9728723,0.61345595,0.89915437,2.36838,1.1682918,50.208683,13.454517,1.9264958
53_95,1.2012281,28.467293,1.1883243,0.5400388,0.54544926,0.78144217,0.3665485,0.7423086,0.38030446,0.66260225,0.5194834,0.93667835
7_60,39.38779,2.460931,3.240742,1.3687885,0.7863814,1.2628587,1.8248755,1.1485729,2.737796,0.8107233,2.1927755,0.5374509
48_39,3.4314454,2.867689,17.422186,1.7109635,0.9085376,1.0957385,2.3071547,5.496978,2.3969069,0.9144977,1.0362417,1.0000014
52_105,1.2061951,66.702484,1.2099485,0.6077435,0.5792581,4.3586884,0.3974379,0.93599546,0.4380638,0.59458256,0.60515106,0.85957193
35_20,3.3863378,3.135812,8.757798,1.582442,3.0272393,1.0818108,2.3083456,14.017792,5.7037697,1.9184545,1.121399,2.4135447
32_51,1.0942016,41.257988,1.2202487,0.904795,0.6277343,0.6964025,0.3696073,0.7965349,0.3810824,0.7016593,0.5798708,0.7838722
33_53,1.0597267,38.842113,1.2833035,0.8312969,0.65791816,0.65431666,0.44326204,1.0850437,0.45912272,1.007899,0.6424468,1.3582103
44_73,4.7716446,3.3408394,1.8089269,1.1796052,14.028137,0.9780045,0.65301496,3.2906444,0.8715078,6.2882724,2.842661,4.1116624
7_41,17.525555,2.3664777,4.9277606,1.010307,0.98982155,0.98241675,1.4760138,1.3446584,6.4596667,0.71038187,1.1123778,0.48243114
10_48,3.9596205,2.7476783,22.137953,2.4652781,1.5007063,0.9672099,9.560571,3.7561002,2.034413,1.0430702,1.3042443,1.1263028
43_42,6.6458273,2.763064,16.324244,1.5961292,1.2681553,0.87056345,5.9509416,2.0253847,3.636012,1.1955268,1.3999126,0.58585566
28_21,32.031326,3.8995512,1.4947058,0.95023876,0.86699307,1.11752,0.78137076,2.4418497,1.5118657,0.5699117,0.7832067,0.9192043
16_54,1.7728823,20.298119,2.0935955,2.034212,1.1099806,0.6650005,1.8457565,33.057087,0.9470927,1.6324687,0.9986607,5.9291434
41_47,2.308385,6.5231833,2.027746,19.402622,1.7424663,1.6125662,1.7525662,4.3964972,1.0953513,1.0935073,1.4130187,1.9374151
63_23,16.18484,4.151395,2.1133442,1.6581998,1.1350679,15.907563,1.5076525,0.94591314,1.0066413,0.78871036,1.5306993,0.549232
54_78,38.28199,2.674177,3.4339569,1.0089874,1.4216741,1.2117015,0.91374767,1.487333,0.87060237,3.4794247,2.5101175,0.9344342
58_3,7.296171,2.5091481,10.589456,1.2771771,1.2602024,0.7553064,1.9209602,2.0169797,11.276931,0.7045897,1.1091021,0.60324115
33_83,1.7550002,61.53695,1.1571456,0.68168116,1.6566107,1.033026,0.54582244,0.4757731,0.5766817,1.5873948,1.1366825,1.5468645
66_9,13.950578,2.83462,4.4421453,2.153711,1.5194435,1.1658888,1.6308337,1.7671202,3.9058144,1.2401576,1.2542944,0.5517012
30_66,2.0264003,6.616514,2.0902867,1.5785668,2.1590655,0.70799285,1.568192,21.468353,1.160564,2.2395782,1.0280915,11.575364
31_96,16.507473,2.367447,10.990658,1.2647566,1.0356603,0.94430554,0.8971358,1.7701648,1.5097857,0.8014439,1.007193,0.86194503
38_42,4.365861,2.4536781,17.571062,2.0064492,1.5069625,1.1103426,7.0962644,1.6405708,4.0031404,1.0725809,1.220697,0.7111124
54_107,1.3839831,33.076847,1.4853277,0.6558596,0.65513945,6.916802,0.45517406,4.31953,0.6324265,0.9090501,0.7556919,3.5068607
48_92,1.274504,34.79392,1.1246265,0.65508795,0.66597533,0.79707116,0.49810052,1.1575271,0.45470172,0.6143494,0.69204205,1.1262441
44_102,5.413799,2.835782,3.1750607,5.840229,1.7521546,8.4164915,3.8680558,4.259694,2.4717844,0.9171372,0.97824204,1.7320979
32_58,2.3532271,8.000446,1.9395616,2.2088099,1.1936171,0.99006665,0.6024199,5.4296284,0.73582107,11.548116,2.0496852,3.0110934
18_28,23.640148,3.3499973,1.4803112,0.85820323,1.0973251,4.653399,1.4203688,1.2352022,5.326642,1.4005806,1.7554351,1.001052
42_76,1.1741757,36.96257,1.3418252,0.84670615,0.71559036,0.7983088,0.36483675,1.4971358,0.4799548,0.7153495,0.6259552,1.8979522
42_27,1.1733961,38.63019,1.1191651,0.8436082,0.5480282,0.7424629,0.40418786,1.0245299,0.46727535,0.6673606,0.55281705,1.0818489
53_3,29.285505,5.490448,1.4175128,1.2137628,0.71598226,2.3874602,0.44847193,3.802449,1.0998098,0.49128112,0.8361957,1.2419488
13_57,2.4966714,3.5965075,3.7043505,36.00913,1.1160573,1.0109063,3.2510583,4.5317874,1.7388343,1.3197398,1.3514203,1.5220637
51_6,3.9009476,2.7542934,11.747036,1.7856693,1.3123507,0.9631389,3.497983,7.607704,5.5773463,0.95910424,1.041974,1.1625386
36_19,3.2586043,3.4092808,3.5565867,1.5988144,4.8931785,1.0485642,2.2459295,3.1322565,8.871517,1.068098,1.361603,1.0313145
55_79,16.48344,2.7456517,3.7872293,1.3297873,0.9256887,1.2535737,1.1011722,1.2552714,0.54504246,1.1558886,20.967188,0.59484273
36_27,1.2522924,29.173773,1.5383785,0.9701308,0.65877646,0.62746036,0.59422314,5.200142,0.5588042,0.85797924,0.69011843,2.0244431
51_109,1.3251209,75.45463,1.2994488,0.62817025,0.6211611,7.3692355,0.6760998,2.9224033,0.46726525,0.81045413,0.74305034,1.0987626
59_16,8.4913,5.2823067,9.915693,2.7438478,0.91425866,5.4135127,1.1619532,2.3431025,16.764997,0.5225693,0.9983861,0.6354416
45_28,4.73118,2.9467554,20.4164,1.4342468,1.1933917,1.0311589,3.1365893,4.669471,2.7204082,0.6503583,1.052011,0.93490535
32_40,2.2602742,3.796082,6.399338,6.400029,1.3039491,0.9161118,4.8791666,18.833494,2.5418684,1.9472947,0.971966,3.3479853
30_37,2.3526235,4.417025,5.282205,3.7340078,1.2418709,1.0249388,3.8291972,9.994841,1.895859,0.6337598,0.78083956,1.3093461
32_90,3.7461846,5.097589,1.6449244,0.78897357,11.840652,0.97086734,1.1093714,5.466982,1.6107225,2.735052,1.5153348,2.327037
9_52,3.416292,2.568924,15.994269,2.1637616,1.9032648,1.048092,4.8072057,2.9541802,2.652084,1.4429036,1.1275655,1.607666
43_95,3.8748088,3.6815357,2.0208752,1.5994477,20.068937,1.5093542,7.2369385,19.565708,1.2565322,2.4979095,1.7471585,7.9623523
39_24,1.2535472,23.911306,1.4381979,0.8408357,0.80641305,0.9230922,0.8051747,8.116246,0.7564822,0.9334923,0.78691983,2.2396894
27_31,1.1093979,49.447136,1.289264,0.79954183,0.586429,0.6257625,0.47541362,0.9531554,0.5308612,0.5572266,0.66675645,0.9775873
8_50,3.4972034,2.808157,9.310221,3.556653,0.9555926,1.1269752,3.5512774,3.4838834,2.3656003,1.0396591,1.1220758,1.00376
55_3,26.82182,2.5206652,4.293209,0.8558986,0.75695753,1.3334016,1.6618985,1.5031383,9.787824,0.53604376,1.0529803,0.42371485
52_89,1.4859618,55.8089,1.2111967,0.6029678,0.955433,0.9255695,0.44131738,1.7761048,0.5333258,1.5133699,0.78744584,3.1437016
56_24,4.5901613,2.623725,13.68285,1.4828672,1.0586742,1.0665448,2.633114,11.370026,4.5975866,0.974242,1.2321544,1.528605
4_41,32.04567,5.533286,1.3953757,0.7938814,0.87336564,7.400562,0.9438183,2.3839521,0.67650795,1.3095442,5.5078335,1.6215612
44_83,1.4249123,44.10465,1.3341008,0.8654664,0.85509837,1.7036898,0.4386511,1.3034866,0.48829123,0.87860173,0.7013822,1.7203074
40_79,1.3215733,24.816158,1.3201005,0.7890108,0.83171767,0.65458757,1.0740031,2.3337712,0.746995,6.203201,1.6126411,2.5798361
42_52,1.1837363,39.664124,1.2834182,0.683527,0.5955467,0.5910302,0.50172,1.4722965,0.49662495,0.74088085,0.66276,1.3300102
10_41,3.2394001,2.7819176,19.225208,1.4648583,1.2322516,0.7446017,2.8208296,3.38346,6.002535,0.7800207,1.0987989,0.8635131
14_61,2.6332245,3.9721467,3.5255766,40.644554,1.1622131,1.3239446,2.5011785,5.26258,0.7703118,4.5158706,1.9362041,3.7119694
24_65,1.0049299,37.168877,1.2146258,0.7486289,0.52351236,1.310653,0.3574281,0.8023482,0.44560155,0.58592165,0.66161495,0.86096334
34_23,2.0421238,9.305391,1.8553419,1.0832579,3.1644998,1.0058266,1.5612124,20.907167,1.6226251,6.949861,0.9786908,6.5201483
17_70,4.4596148,3.9236312,2.594335,21.145704,1.3450162,1.5625194,1.3034433,16.71267,2.5415728,1.6211569,1.3184718,3.9787078
27_76,2.5831137,4.0228844,3.1158164,27.966312,1.1450527,1.167586,1.3396312,11.660803,3.1144385,1.6283952,1.4998397,3.629105
44_49,1.0614423,34.803635,1.4789717,0.8388417,0.5183088,0.61401695,0.5911394,0.8356023,0.5784306,0.75814736,0.56699663,0.54948926
49_90,1.290673,31.586227,1.2096647,0.69359714,0.65134096,0.863589,0.47047302,0.8936479,0.42680946,0.8351842,0.6703144,0.82278067
24_22,12.696719,4.4183483,1.5036783,0.9769988,1.2003261,2.1619864,0.7978972,1.5040225,0.8940437,1.2891222,101.31999,1.0289168
62_9,2.5940442,5.848172,3.185485,1.102876,1.9986937,0.8305027,0.6734214,5.1858463,0.8386627,10.471449,2.7457387,5.089238
25_84,6.198248,2.6312404,4.0652056,1.751107,1.8880324,1.248477,2.293499,2.0127776,8.983051,1.0200204,1.2963258,0.90257204
45_72,3.8218465,4.0111566,1.7785645,0.95571494,47.495003,0.95718664,3.1047964,3.1193595,1.2422363,7.881876,3.3579123,1.9188626
52_98,1.091779,37.040874,0.9227237,0.57905966,0.69989705,1.7657964,0.5793438,1.2135308,0.58149695,1.52174,0.7512998,1.0863779
31_83,1.5821905,52.647392,1.191473,0.7484745,1.3146455,1.388004,0.4875767,0.7260661,0.58676654,4.824902,1.4276112,1.5145453
30_73,2.0852253,9.642365,1.7714665,1.1155589,1.5974236,0.880591,2.3058555,32.610878,1.4869153,50.271557,1.9173836,25.913685
19_49,1.7845147,29.242292,1.5356424,1.1798043,1.126403,0.66161007,0.5256895,2.7814405,0.52620864,2.3264477,0.9251673,3.470342
42_19,1.4218967,20.049854,1.7153646,0.88559425,0.9212707,0.6342476,0.5550414,19.97956,0.6653453,4.145909,1.3416578,4.1821723
59_33,3.8097496,2.7023325,25.996674,1.5994668,1.3652666,1.0689927,5.6864777,2.1559916,2.6015086,1.3210949,1.3920051,0.8648382
28_49,1.1776605,36.74817,1.457155,1.0239344,0.7814666,0.8130815,0.5885211,2.863851,0.6275597,0.97272885,0.9152301,2.2221448
25_60,1.0457009,28.48639,1.2725651,0.73916554,0.6094918,0.70099074,0.4435046,1.2638028,0.50430655,0.6775684,0.6261551,1.3454678
32_74,3.4832397,4.74899,2.1227899,2.4205132,4.3925076,0.9415128,1.2663763,2.5938919,2.558993,1.7367704,1.0208632,1.4363638
51_5,17.438208,2.323547,4.454585,0.8710674,0.8019402,0.97824013,1.6901627,2.4282584,16.659739,0.59431356,1.0496727,0.66402435
32_50,1.149612,40.493546,1.2251165,0.82560885,0.6728865,0.76723415,0.4584434,0.8782954,0.4071542,0.639784,0.55898654,0.73791194
47_89,1.1239812,15.015867,1.1444501,0.7504691,1.0870637,0.8196276,0.3637677,2.6515942,0.4299978,1.5259314,0.8872324,8.10729
57_89,4.596671,2.8395264,5.7950535,2.5299065,3.4497352,1.2010808,7.056524,2.473326,1.1977707,3.538061,4.100554,1.4113302
17_32,3.3967853,2.9632244,13.676267,1.6231694,1.2961261,0.8630159,1.8136668,4.604153,4.423677,0.6073263,1.1201376,0.778238
31_46,1.6612232,46.997475,1.2562056,0.74339813,1.0199261,0.844142,0.6161108,2.5826702,0.68719625,0.9832266,0.97650796,2.7939749
51_115,27.42139,3.6458085,1.5740311,1.0396234,0.91398126,563.9439,0.51541966,0.9797294,0.5501722,0.550717,11.404828,0.662096
47_111,16.316225,3.681472,1.6664379,1.1739155,1.6575882,443.60056,1.1781073,4.9063334,1.1417071,1.9716892,1.1699641,1.4623138
55_91,3.137152,4.3271303,1.9328296,0.8749529,16.380901,1.1366682,0.89303654,2.7022014,0.59449095,60.68168,13.494386,3.018529
51_86,1.0448552,30.009718,1.254056,0.6368692,0.57658553,0.68213177,0.537832,0.84525096,0.40972763,0.6270474,0.46922308,0.95160556
28_89,5.8136053,3.3546023,2.5849018,1.7289586,2.2155836,1.1651199,5.4804597,1.3712022,8.995543,1.8868655,1.7745712,0.7525972
18_75,6.310743,2.8971438,2.4483638,4.3980904,5.3690386,1.356888,1.2094733,3.0546389,3.632942,1.3189943,1.1533316,1.4389176
49_41,4.5677114,3.1627634,6.3694983,2.943657,5.1571403,1.2861137,28.776499,4.7235417,1.5375364,1.7972448,1.3848215,1.8352301
32_54,1.6719865,49.15543,1.2303847,0.73977315,1.2435527,0.8907884,0.48678038,0.5532546,0.5658666,2.0106747,1.2760731,1.1188468
41_85,3.0258553,3.3745942,3.0046043,3.117796,15.697971,1.1931529,2.9194028,4.5453463,2.3308396,1.6061443,1.0974532,1.8059667
47_30,3.8091726,3.0118608,20.380947,1.8496456,1.9882625,1.2887217,2.0349662,2.7207937,6.344008,0.6315552,0.84220725,0.62035596
12_59,2.501713,4.1613245,2.4891825,50.835094,1.3080935,1.2124127,6.943484,9.128981,1.0332478,1.4139755,2.6360605,2.4091463
32_76,2.6833692,5.2173643,1.555885,1.8006082,9.845172,1.107552,1.3497137,7.5403395,1.3169252,59.721157,0.9464242,8.76586
51_108,1.238486,51.56635,1.3405671,0.6755364,0.5940838,2.5816739,0.35165074,0.800344,0.40229157,0.5403795,0.53662723,0.83527154
49_77,4.3721766,3.6272974,2.0747988,1.0596936,68.30617,1.3476114,1.9503394,2.6909747,0.86177117,3.6527689,7.467796,1.6685178
18_33,3.3331006,3.1784637,18.063103,2.0037653,1.0632184,0.99538887,3.0042272,4.2356806,6.740193,0.687248,0.940057,0.84980893
52_87,1.5482485,13.253951,1.6923293,1.1864557,1.2478676,0.7045412,1.4250151,6.1444707,1.2624019,2.2030323,2.3677385,866.2545
22_29,8.03775,2.8778362,4.804371,3.9163709,0.9687968,1.16601,2.3228085,4.3717265,14.0993595,1.0081533,1.1497389,1.0581976
36_47,10.561284,3.006506,4.1233406,1.9018731,1.1922498,1.40807,14.709573,3.5494413,1.4633836,2.1740353,1.7103373,1.118099
14_39,2.4420447,4.8382998,3.6307096,2.3671107,1.1761628,0.5782592,1.62195,6.512688,1.7661954,0.523686,0.91716313,0.9769273
44_101,5.3280187,3.2353024,2.9314384,6.0363445,1.6724405,6.5234995,3.707379,5.657752,7.879833,1.074273,1.2755355,1.2296413
43_45,2.966338,3.788765,3.649796,3.162997,1.4777547,1.005556,7.828639,10.925142,1.6106662,1.7860866,2.0054753,2.6096697
31_21,6.6718674,2.858012,8.932621,1.6631777,0.880705,1.1964281,2.1381047,7.726467,7.942115,0.7038912,0.9251788,0.9112189
41_65,2.3517654,6.0458765,1.7169296,16.478867,2.4449804,1.0495665,3.602434,3.5326955,0.61129427,2.0001163,1.61563,5.866037
17_56,2.7378416,3.6881733,3.677614,12.409556,2.6900978,0.97126347,18.049818,7.7711244,2.6189404,1.9234368,1.1687692,1.4314892
8_42,8.945393,2.349493,10.095519,1.3687794,0.9478691,1.3909045,1.944449,4.4431148,8.974731,0.9585196,0.9581629,0.6947323
56_15,2.3681893,3.9376526,11.496032,3.4957855,1.0862801,1.1302556,2.0492003,8.227098,4.9053845,0.7563014,0.9347002,1.6533493
44_38,7.7054167,2.6022143,19.04852,1.3817885,1.7147504,1.399975,5.2438617,3.8314455,3.4714637,1.0794289,1.3693098,0.87445974
30_27,1.1321084,48.1538,1.2721279,0.55609,0.3733455,0.6507369,0.4485628,0.8460057,0.44207773,0.6752951,0.57859254,0.98676705
52_24,3.9263868,3.4291546,15.395678,2.86438,1.0182887,1.3793279,2.0871506,7.773252,2.0837255,0.6254106,0.80907476,1.4706792
46_31,4.5683684,2.809657,13.454936,2.7271428,1.0750942,1.3935844,4.3364453,2.240151,4.078552,0.88920236,1.4228152,0.59268534
36_46,4.1292744,2.9990652,8.349234,5.7029786,1.8866796,1.4125026,6.0527854,4.5000286,1.663517,1.6279756,1.0634073,0.96359134
