,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Phc3,-0.42604214,-0.10249744,0.21592024,-0.008503938,-0.05838222,0.015917737,1.9199317e-05,-0.0043882746,-0.00072621147,-0.59480184,-0.008117774
Skil,-2.856287,2.271663,-0.8572523,-0.86808246,0.24415366,-0.34875858,0.12630662,-0.71671677,-0.063086234,-0.44941297,0.13960133
Tnik,1.279276,-0.5468703,-0.33305526,-0.365635,0.0077571287,-0.071960814,-0.015630003,-0.013367313,0.024459518,0.7325803,0.008677583
Pik3ca,1.102135,-1.5272946,0.4804883,-0.11783651,0.1436551,0.11621362,-0.017365318,0.17085741,-0.08359334,0.40648353,-0.15306629
Ttc14,0.9893199,-2.920543,0.6492096,-0.15364125,0.5534281,0.2185142,-0.009526848,0.34373713,0.1125003,-0.5866724,0.046585515
Fxr1,0.44285035,-1.1523126,0.18952706,-0.035441704,0.15723784,0.0027713627,-0.0029556234,0.028402623,-0.0035888683,0.30381247,0.010519478
Dcun1d1,-0.23599814,-1.313584,0.50599515,-0.05151201,0.34639573,0.14713344,-0.005322619,0.11645797,0.0026784125,-0.0067062723,0.005589945
Atp11b,0.68963003,-1.4785542,1.1258221,-0.23336378,-0.28604776,-0.11870403,-0.026378393,0.34577185,-0.20924975,0.9266149,-0.38699314
Ccna2,-0.50844574,-2.7152176,1.727901,0.5730099,-0.08510854,0.81392825,-0.07551149,0.51488405,-0.20955732,-0.8637793,-0.29285374
Anxa5,-1.0351647,0.8890545,0.27005124,0.089649044,-1.0376562,0.04936847,-0.010414252,-0.10575909,-0.12221405,-0.62500924,-0.04899737
Ankrd50,0.40849188,-2.1106825,0.38552588,0.31335282,0.47564197,0.52223307,-0.042138953,0.036346182,0.026295768,0.42616335,-0.08902046
4932438A13Rik,1.0603437,-2.1816845,0.83439124,-0.24625355,0.3449063,0.13298279,-0.09089532,0.19840151,0.043586254,0.48440167,-0.3293532
Jade1,0.87616444,-2.483835,1.0947583,-0.03541719,-0.45730558,0.28425688,-0.055750784,0.050884027,-0.029561354,0.38408196,-0.40089765
Slc7a11,1.2506087,-2.9021463,0.36853862,0.38686037,0.14777441,-0.1112392,-0.29569012,0.74652284,0.020288652,1.030785,-0.75277096
Ndufc1,-1.568277,-1.1399238,1.1920118,0.0058852113,0.23204418,0.4469998,0.0023043863,-0.14271176,0.0061718817,-0.86231565,-0.33915824
Elf2,-0.13755208,-0.25661743,0.6810661,-0.0745778,-0.02045622,0.00430242,-0.0038150947,0.0072638565,-0.0023169194,-0.38543877,-0.0054248967
Naa15,0.7957573,-0.9526856,0.8728148,-0.14431311,-0.23263445,0.21935852,-0.014603207,0.41400534,-0.06340262,-0.9580758,-0.07119981
