,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Lypla1,-2.0225303,0.0133106,0.72425944,-0.16808839,0.58863366,0.1448197,-0.016035598,-0.0143564,0.009807705,-0.78792965,-0.018439565
Rb1cc1,0.8827284,-3.4948962,1.2091463,0.50699824,-0.15830953,0.66454583,-0.1103643,0.37488988,-0.066292584,-0.18644874,-0.15475698
Pcmtd1,0.8107848,-2.6948395,0.7245121,0.23240736,0.23194169,0.19725282,-0.04019897,0.26109353,-0.022143764,0.38371027,-0.16277663
Vcpip1,0.20626926,-1.1395398,0.6203159,0.03493687,-0.116620176,0.13475849,-0.0025232222,0.012775799,-0.035060097,0.7769111,-0.052589428
Sgk3,0.2140144,-0.5629935,0.40498066,-0.06076436,0.04672867,0.019507654,-0.0008595728,-0.014946749,-0.008524341,-0.50347006,0.009192912
Cspp1,1.6296496,-2.280825,0.0065273643,0.11983148,0.111122034,0.02600516,-0.053844422,0.36235687,-0.055558376,-0.5904504,0.09303336
Arfgef1,0.14327347,-0.038827077,0.35473707,-0.030586528,-0.038498983,-0.033634935,-0.0012099314,0.019149132,0.0006896581,-0.572037,-0.014523708
Tram1,-0.18108512,-0.87962186,0.68918914,-0.080329366,0.18979989,0.034419913,2.0630832e-05,-0.024404617,0.0027802712,0.29270855,-0.0007004442
Ncoa2,1.1404333,-0.17908476,-0.47894362,-0.05189427,-0.30765933,-0.08562732,-0.008382173,-0.036937103,-0.009099418,0.755187,0.04389879
Ube2w,0.2387506,-0.0045093894,-0.27824217,-0.06358403,0.044058252,0.0074921167,-0.0005768811,-0.010179393,0.0053278683,-0.12929711,-0.010992802
Eloc,-1.2205584,-0.335613,0.56156784,0.041496515,0.009111235,0.018170549,-0.0013461851,0.0017927215,-0.011714949,-0.32830247,-0.02357031
Mcm3,-1.3169613,-0.9812242,0.57580924,0.8128768,0.037188925,0.61093307,0.023988396,0.17971694,0.020608734,-0.8591655,-0.09610286
Kcnq5,2.2437968,-2.401086,-0.37133673,-0.17813264,-0.43904656,0.164722,-0.0071643614,0.35996673,-0.0048046825,0.052187037,0.12360597
Smap1,0.65381575,-1.7929856,0.06617348,0.11063463,0.06220351,0.0035041599,-0.010732206,-0.08446081,0.024289528,0.5546739,-0.007748394
Phf3,0.17005655,-1.1213608,0.93207157,0.037018493,-0.08097479,0.259164,-0.007678697,-0.035606306,-0.041131265,0.54399717,-0.03308995
Zfp451,0.13226351,-0.78240144,0.46245593,-0.20747104,0.03270584,0.012736984,-0.0009851092,0.0720612,0.009256817,0.61643916,-0.01873588
Ptpn18,-0.81304765,0.9642694,0.30280167,-0.05605239,-0.51515704,-0.070207044,0.009639145,-0.6005055,-0.11527509,-0.5003027,-0.07547149
Dst,-0.26330367,-0.6911757,0.07476384,0.027730646,0.07171308,0.074442245,-0.0037295609,0.31316462,-0.020617122,-1.3411169,-0.00029094488
Hs6st1,0.70350605,-1.9902728,1.0639173,-0.19971809,-0.14999261,0.18851484,-0.039242037,0.2545418,0.08672191,0.44985917,0.016836746
Lman2l,1.3374908,-2.3845992,-0.5691248,-0.023521122,0.60169154,-0.21013936,-0.06689201,0.20146345,0.21807425,1.1050775,0.0911628
Fam168b,-0.315835,-0.04713233,0.0714107,-0.006192297,-0.017148672,-0.005611992,0.0012201373,0.011764575,0.0033188504,-0.23511547,-0.005373229
Uggt1,0.60227835,-0.15843618,-0.0020628273,-0.9828612,0.26001042,-0.428577,-0.00017692521,0.23745815,0.032754853,-0.5621241,-0.052609697
Coa5,-1.2273033,1.967675,-1.2850034,0.14313006,-0.5651531,-0.3576912,0.037173163,-0.59420407,0.0060017146,0.12105456,0.008750702
Tmem131,1.7413924,-2.9653862,0.40494734,-0.025680237,0.16230671,0.06397492,-0.12738307,0.681242,0.056851745,0.022811309,0.00042978526
Mgat4a,1.388226,-1.0953467,-0.4928046,-0.20083047,0.05986236,0.016889576,-0.014708167,-0.15524282,0.05086038,1.0484209,-0.0566611
Eif5b,0.20586272,0.006911084,0.03501952,0.002367617,-0.01529781,0.0004911599,-1.9657018e-05,-0.012067787,-0.0017128538,-0.61789006,-0.0035509178
Aff3,1.7648826,-3.2887144,0.002069816,-0.39439067,0.5864581,-0.2768914,-0.22537076,0.3532356,0.23346896,0.99514437,-0.15305048
Mrps9,-0.43750954,0.0002424866,-0.016681306,0.028326113,-0.025587847,0.0030184546,0.00077331177,-0.0010957505,-0.003286385,-0.17497306,0.0007996967
Map4k4,0.18804179,0.9649023,-1.2179719,-0.20546512,-0.017984105,-0.78199184,0.007905313,-0.6038106,0.029751211,0.5915165,0.08281294
Tpp2,1.0434879,-1.9936978,1.133468,-0.22676672,-0.0033712306,-0.03856625,-0.022481669,0.2244317,-0.08239482,0.39765823,-0.34030384
Nck2,2.023182,-4.0479636,0.16553827,0.07242906,0.33803302,-0.34560117,-0.17778207,0.505992,0.23351547,0.90264016,-0.49474034
Stat1,-0.33427528,1.497985,-1.4211842,-0.19644058,-0.12515743,-0.53441006,0.039020322,-0.5875408,-0.07514901,-0.4175248,0.046665944
Stk17b,-1.5821171,1.0244001,-0.28474823,-0.06840426,-0.005892595,-0.2420691,7.776101e-05,-0.14960869,-0.012147327,-0.0039358158,0.051209636
Hspd1,-0.46604618,1.0184951,-0.057796806,-0.023919806,-1.1040808,-0.112965256,0.0140162185,-0.0881441,-0.0870444,-0.7900746,0.02850212
Mob4,0.1930665,0.5663663,-0.3542551,-0.032753088,-0.24295367,-0.051389106,-0.00034163357,-0.027055137,-0.004959739,-0.44392806,0.0036322093
Ankrd44,1.1627612,-0.7800834,-0.3501119,-0.4906498,0.20017792,-0.22115631,0.007808556,-0.21859862,-0.036333323,0.90705854,0.039477095
Sf3b1,0.11397153,-0.61086893,0.2941149,-0.07065377,0.072102666,0.22339872,-0.0027205995,0.011052718,0.0018729421,0.14288199,0.004522194
Plcl1,2.035521,-4.912273,0.562856,-0.16616155,0.78155744,0.38893795,-0.29754248,0.42302972,0.2357791,1.1892159,-0.12714507
Bzw1,-0.6665932,-0.6196232,0.6795697,-0.016361713,0.04582833,0.04142338,-0.0003786054,-0.045853782,0.0036135926,-0.126445,-0.004984489
Clk1,-0.13037863,0.3776026,-0.38741803,-0.18773785,0.10307366,-0.04784482,-0.0004755308,-0.08593776,0.012156574,0.18886417,-0.0027949084
Cflar,-0.6540477,1.0808922,-0.27372715,-0.1718878,-0.078380495,-0.62604606,0.019843241,-0.14809908,-0.007698592,-0.61142844,-0.003300616
Trak2,0.726677,-0.15507889,-0.102187514,-0.06765682,-0.002494732,0.01669136,-0.0058851102,0.07369445,-0.007036811,-0.90041274,0.0019339444
Sumo1,1.0298083,-2.5463238,0.836026,0.5464589,-0.7644173,0.36564633,-0.01509633,0.043485817,-0.15740615,-0.008753775,-0.4237224
Wdr12,1.4138215,-3.8497684,1.2616735,0.16922717,-0.25962493,0.6157444,-0.02646112,0.4383294,-0.16967781,-0.04149564,-0.2611001
Nbeal1,0.47425932,-1.2945807,0.6591972,0.046001688,-0.08644856,0.09148092,-4.925346e-05,-0.06402652,-0.00622474,-0.5700479,-0.012003739
Cd28,0.6281117,-2.3192103,1.022917,-0.5746379,0.37090725,0.67781335,-0.041639883,-0.07558422,-0.07243989,0.58037806,-1.0822846
Ino80d,0.8117255,0.30366254,-0.2261381,-0.05205111,-0.19587545,0.00026770268,-0.0016812956,-0.008811226,-0.010616335,0.6266122,-0.03644266
Ndufs1,-0.008372903,0.05877023,0.03761559,0.024478367,-0.0270049,0.010494755,-0.0007951436,0.07078534,-0.010426455,-0.50917065,-0.0021542371
Klf7,1.3061566,-3.7605004,0.31457406,0.14703397,0.62086236,-0.24383478,-0.008799326,0.24551542,0.5751865,0.48385242,-0.2662447
Eef1b2,-0.9908897,1.2785096,-1.3950768,-0.0032103772,0.24766614,-1.1116111,0.072701104,-0.47737548,0.025838515,-0.98433095,0.22497064
Idh1,-1.8206991,0.14120263,-0.4923342,0.058397308,0.06673581,-0.36576426,0.008163469,-0.13299102,0.14628386,0.07615119,0.19235234
Creb1,0.26785353,-1.8167249,0.68796384,-0.043356624,0.29665524,0.202667,-0.02664831,0.31874895,-0.18515751,-0.06746032,0.07441482
Kansl1l,2.1857028,-4.9679546,1.2048609,0.23369804,-0.016039973,0.12047639,-0.14285849,0.95236564,-0.20629165,0.037114978,0.023699697
Ikzf2,0.9443532,-0.7862166,-0.29288405,-0.10113808,0.3409153,0.09610094,-0.013463544,0.07471101,0.006711753,0.6819456,-0.14751056
Igfbp5,-2.480335,3.312391,-3.1890817,0.85366446,-1.4875702,-1.1419066,0.3611476,-1.1253762,-0.18615009,-1.40278,0.9807695
Tns1,0.7522938,-1.3858095,-0.9412085,0.23908174,0.08487059,-0.155808,-0.01290794,-0.04853094,-0.0023343402,0.36504343,0.15730031
Aamp,-1.7990122,0.5154242,0.124117196,0.0838866,0.0326597,-0.044063613,0.014527421,-0.30455998,-0.02223424,-0.0787261,-0.1679947
Cnot9,-0.08358097,-0.22491816,-0.2972005,-0.0807436,0.051839408,-0.041103054,-0.0013714693,0.0034749315,-0.0050526834,0.17801683,0.0032371434
Usp37,-0.5731441,-0.49063814,0.22609562,-0.010972981,0.0751086,0.015211713,0.00014644144,-0.027488695,-0.003201945,-0.07071863,0.017255977
Arpc2,-1.1356212,-0.26015455,0.9325447,0.089777276,-0.20003483,0.128944,-0.015983026,-0.18128853,-0.041921407,-0.29154602,-0.09694491
Retreg2,-0.9180484,2.1897087,-1.3477232,-0.4156087,-0.26318166,-0.706919,0.06534241,-0.5025499,0.013953757,-1.2307289,0.2818372
Cnppd1,-0.7569941,-1.2656538,0.673288,0.27836493,0.019339794,0.53811085,-0.0028239992,0.015880851,-0.026418997,-0.12226075,-0.116243735
Serpine2,-2.9445982,5.417827,-2.6711826,-1.3922403,-1.5788045,-1.1597712,-0.24152213,-0.8420258,-0.8466752,-0.98200244,0.09687386
Cul3,0.010807753,-1.942805,0.92748874,0.09408851,0.33856833,0.011010451,-0.009226905,0.30925524,0.010644391,-0.61983514,-0.15585403
Mff,0.25556582,0.067434184,0.08242944,-0.056409366,-0.12809545,0.015857073,-0.0017157702,-0.014997752,-0.008609681,-0.8776529,0.0026677756
Dock10,0.8192229,-0.027642202,-0.69613624,-0.4070127,0.046305694,-0.14560981,-0.000783073,0.08871775,0.0049548475,0.11175855,0.0124421315
Agfg1,0.5719428,0.7176153,-0.3233644,-0.45256275,-0.21370947,-0.1001494,-0.005383873,-0.0878888,-0.013101856,-0.3749289,0.00039546713
Trip12,0.41580522,-0.94553757,0.54806775,-0.105785154,0.13202605,-0.011676949,-0.017501635,0.031956945,-0.10359507,0.6262941,-0.035712443
Sp100,0.027843982,1.0365123,-0.32882774,-0.48582104,-0.45197,-0.09989807,0.016226243,-0.18830718,-0.1498775,-0.50475687,0.00999587
Psmd1,-0.06700818,-1.5083778,0.93373924,0.0048830346,0.00840974,0.06589178,-0.0034998648,0.33990565,-0.014387994,-0.96553504,-0.020776846
Cab39,0.7996886,-1.5694058,0.28407454,-0.41406956,0.46878272,0.12352576,-0.014065734,0.43342242,-0.0071904925,-0.73980856,-0.5342855
Itm2c,-1.8278061,3.152666,-1.9874806,-0.70459276,-0.60724056,-1.1356446,0.08021126,-1.0228004,0.12421383,-1.1747856,0.25080428
Gigyf2,1.6892085,-0.80290586,-0.2738027,-0.066282846,-0.9335945,-0.48098,-0.020101221,0.21377942,-0.024424812,0.10530896,0.1188233
Inpp5d,-0.007494375,0.22654441,-0.6928434,-0.06957942,0.082155295,0.085827075,-0.0006779518,-0.057131916,-0.010203232,-0.8109555,-0.0011997863
Arl4c,-0.72337484,1.0611423,0.3504203,-1.0765675,-0.05350982,-0.012003707,-0.027491251,-0.11749036,-0.059582252,0.0016757284,-0.15903215
Hjurp,0.6156716,-2.456077,0.25585294,0.0941808,0.41235852,0.10868745,0.0016090444,0.27531484,0.039470002,-0.39368773,-0.11431343
Dgkd,0.722396,-0.8101134,0.022604182,-0.6376553,0.6709488,0.056825053,-0.033373006,0.005290747,0.011658682,0.6043341,0.0008575215
Cops8,-0.028906673,0.83708453,0.5866728,-0.7092314,-0.7249933,-0.16993183,-0.011688038,-0.10823478,-0.067345455,-0.11879479,-0.1137882
Lrrfip1,0.5864167,-1.0572103,0.13140883,-0.100375555,0.03516745,-0.004091488,-0.004385746,0.11194856,-0.010402055,0.04576995,-0.015728805
Ilkap,-1.292477,0.2636513,-0.36997142,0.0304275,0.08911888,-0.189213,1.3811514e-05,0.14749473,0.014510606,-0.5287712,-0.011502838
Ramp1,0.76045233,-3.4062676,0.7027178,0.25045922,0.43826276,0.6893604,-0.11478105,0.21209829,0.021063225,0.54765195,0.059372347
Ndufa10,-0.43060046,0.7932302,-0.19916943,-0.6488894,-0.47942728,-0.14109316,-0.019501667,0.1390601,-0.009901352,-0.97478616,-0.09741563
Hdac4,0.9235344,-1.4164486,-0.46542597,0.3479297,-0.2122072,0.099672206,-0.017682606,0.25219575,0.018269502,0.6522466,-0.0024571205
Cops9,-3.3038416,1.6375904,-0.46068963,0.2163299,0.16358031,-0.15660839,0.06162636,-0.84553826,-0.28251442,-1.5699341,-0.005769673
Gpc1,-0.72420985,3.1148925,-2.7421558,-0.36637402,-0.53693026,-0.68302083,-0.015690316,-0.83451605,0.19958386,-0.22853877,0.57463086
Rnpepl1,-0.8180429,-1.1157733,0.12433918,0.22904834,0.23345116,0.0024221446,-0.0018489582,-0.017194154,0.006970718,-0.00063975557,0.025589477
Hdlbp,0.16469343,-0.9500543,0.34250474,0.033365883,-0.18223585,-0.024220603,-0.0010675522,0.013224748,-0.007393989,0.08618184,-0.004262869
Stk25,0.6261869,-0.50772846,-0.099539176,-0.11140191,-0.027034083,-0.030235047,-0.005023922,0.009037149,0.0019441413,0.32951757,-0.01337912
Dtymk,-0.48708394,-1.3982259,0.20759508,0.33842567,0.3459828,0.015400857,-0.008491708,0.11796279,-0.012290382,-0.48336327,0.010132461
D1Ertd622e,0.31936908,-2.8891828,0.9713961,0.027613157,0.6525686,0.12117555,-0.018962082,0.16016503,-0.100398354,0.574073,-0.39194125
Ppip5k2,-0.007821478,0.48374224,0.50533074,-0.2528642,-0.515796,-0.13277581,-0.0034100295,-0.0021334898,-0.0022839485,-0.07721894,-0.008754714
St8sia4,0.7936172,-1.4034127,0.41961545,0.055821523,-0.017115545,0.2880961,-0.013009571,0.001835875,0.0007646125,-0.35206577,-0.070032895
2310035C23Rik,0.5601246,-1.4036583,0.30857855,0.04468946,0.17975327,0.22279544,-0.007447474,0.1551551,-0.0016939545,0.3118954,-0.10523569
Zcchc2,-0.24049671,0.7622487,-1.092998,-0.16770159,-0.3627664,0.04006194,-0.011900434,-0.08950185,0.0035832655,0.43670112,0.08885913
Bcl2,-0.21559446,1.9019566,-1.2673473,-0.6643775,-0.33335954,-0.73361844,0.049394593,-0.4519303,0.1795839,-1.3025315,0.20826046
Tsn,-0.32727328,0.48448417,-0.29501814,-0.35619047,0.15911469,-0.49523523,0.005684923,-0.14385836,0.040699847,-0.5521575,-0.013625602
Clasp1,1.5184528,-2.5021586,0.1759338,0.04479252,0.53965974,0.10788916,-0.053283066,0.22553371,-0.045239232,0.44279385,-0.03571057
Dbi,-0.52732897,-0.01180578,0.3944119,0.052379932,-0.4336259,-0.01152441,1.3550947e-05,-0.1166654,-0.024172725,-0.25268933,-0.038409147
Actr3,-0.9058058,0.22099437,-0.1860861,-0.23858958,0.19389828,0.08552464,0.010468734,-0.3692855,0.037484005,-1.2502507,0.016565256
Rab3gap1,0.47991428,-0.38256988,0.29140085,-0.03439933,-0.20044741,-0.17031851,-0.0010105154,-0.13040239,0.011319506,0.8071495,-0.037102707
R3hdm1,0.94557214,-2.1673248,0.5465402,-0.05614618,0.22021292,0.14545201,-0.018216869,0.11262483,-0.07588749,0.676008,-0.11188596
Ubxn4,0.3923162,-1.1164556,0.485155,0.09221678,-0.16800389,0.12960112,0.0018167162,0.058646362,-0.0009719996,-0.34753788,-0.00408866
Mcm6,-0.10274852,-1.8657789,1.1083517,0.42443356,-0.057161085,0.22578119,-0.04936752,0.31538153,0.05753558,0.08156688,-0.17865749
Mgat5,1.9059559,-3.377521,-0.017016575,0.020719355,0.42047423,0.0006950325,-0.15357037,0.27733192,0.24125966,0.8281356,-0.06792247
Dars,0.24831681,-1.8292904,0.99648726,-0.012795868,0.19619916,-0.025760435,-0.012298259,0.1469756,0.0017602919,0.36775035,-0.056457877
Mapkapk2,-1.3682071,2.1917214,-0.98737943,0.021354277,-1.0358877,-0.29419175,0.073774464,-0.57201856,-0.32282546,-1.2522706,0.12754016
Srgap2,1.719588,-1.2691767,-0.81008095,0.21482374,0.025918016,-0.13307211,-0.05522958,0.27878314,-0.08403328,0.40294468,-0.3157682
Rassf5,-1.3755481,1.1012998,-0.61675626,-0.15207733,0.4128208,-0.33193964,0.048628457,-0.5172321,-0.0053440267,-0.22601514,0.4696416
Nucks1,-0.65496963,-0.70529014,-0.5323151,0.43803555,0.50998193,-0.5709834,0.007575172,0.10105907,0.3775137,-0.3620123,0.061377525
Elk4,-0.20199808,0.016061857,0.0035918562,-0.0035582355,0.0074810926,0.0043942495,0.00018192324,-0.00026134384,-3.3004846e-05,-0.17034774,-0.0019600415
Ppp1r15b,-1.0035655,-0.23634394,0.06262939,-0.10193581,0.15788148,0.012325693,-0.0015224741,-0.02571879,0.0045907567,-0.08809145,0.024752092
Mdm4,1.5647659,-1.3138628,0.18529809,-0.36790788,-0.03509342,-0.13904007,-0.029527618,0.27087745,0.024897078,0.7107884,-0.07350437
Snrpe,-1.7239326,0.6049466,0.3884032,0.028452054,-0.43336517,0.08994445,0.013062739,-0.6405374,-0.0036368873,-1.4267392,0.032084703
Adipor1,-1.1613653,-0.04237905,-0.22922504,0.080053546,0.17265673,0.0950468,0.003195269,-0.19092469,-0.0128138,-1.0550209,-0.01646981
Kdm5b,0.5871277,-1.4232855,0.9773823,-0.59052324,0.13641557,0.2753904,-0.01631358,0.33955842,-0.05148269,-0.36176538,-0.16482621
Ppp1r12b,1.1680778,-1.1966326,-0.5878107,0.2074504,-0.031278305,-0.012024728,-0.025503062,0.121902175,-0.03682161,0.56600136,-0.16781808
Ptpn7,-0.05737838,-1.8512038,0.46377265,0.2983658,0.37790567,0.08905492,-0.0004487459,-0.29015833,-0.032818425,0.63472027,-0.052631397
Rnpep,-0.3983766,-0.23759061,0.20956993,0.66723955,-0.8735078,-0.08137042,0.0016885696,0.14451292,-0.08444065,-0.9455211,-0.05653802
Btg2,-0.029441547,-2.2576714,0.5532044,0.21765144,0.58910286,0.34009624,0.027837116,0.14673656,0.13588336,-0.58549917,0.104798876
Kif21b,0.66527414,-1.7779776,0.057265192,0.14503315,-0.008424546,-0.18433401,-0.0060737347,0.012503206,0.077581204,-0.05938971,-0.007595026
Zfp281,-0.55211496,1.2471173,-0.586225,-0.6141695,-0.06445658,0.00813516,0.0077573955,-0.26827204,0.017263781,-0.5772601,-0.029579502
Nek7,0.3807428,-0.2850253,-0.032665573,0.0084524285,0.018469015,0.005381623,-0.00079420384,-0.0037756122,5.451427e-06,0.11998914,-0.007848019
Dennd1b,1.5924199,-1.3661351,-0.09476505,-0.04249447,-0.099688835,-0.17371245,-0.012149844,-0.13671173,0.0064762523,1.3040966,-0.1794097
Cdc73,1.1075249,-1.8335662,0.5170287,0.0073233997,0.101170145,0.37098303,-0.036293834,0.047021613,-0.053431537,-0.29538885,-0.108887546
Rgs2,-0.27459067,1.0682373,0.042119473,-0.6907051,-0.2741816,-0.01747585,-0.004061751,-0.1877233,-0.030299153,-0.6441324,0.08026962
Tpr,0.2010379,-1.934106,0.88464767,0.112721376,0.059259377,0.2551165,-0.021402521,0.22406422,-0.04469719,-0.17425768,-0.17363726
Rnf2,0.16044903,-1.3623632,0.6052274,-0.28770375,0.36585826,-0.051191837,-0.010431351,0.054402262,0.009976053,0.298271,-0.05060551
Ivns1abp,0.0003921315,0.8441917,0.046519835,-0.16492681,-0.78064066,0.0077632093,-0.0007547941,-0.07701839,0.0021563813,-0.07515355,-0.0044004777
1700025G04Rik,-1.075325,1.759838,-0.7127887,-0.50919944,-0.22545671,-0.40162167,-0.0076220483,-0.3162548,-0.0751533,0.33526772,-0.109992735
Arpc5,-1.7532803,1.2332499,-0.7717297,-0.2531575,0.38997766,-0.16881758,0.079907596,-0.75179344,0.3090949,-0.7741349,0.109361745
Smg7,-0.2793528,0.44886366,-0.268121,0.005142806,-0.006900258,-0.0073857503,-0.0009613903,-0.009185776,-0.0015281131,-0.047452714,0.004385038
Dhx9,0.20851602,-2.2870889,1.0360425,-0.012335225,0.3051625,0.45676076,-0.03390086,0.40799156,0.0067590405,-0.6021528,0.048067074
Glul,-0.6339454,0.23644316,-1.1452503,0.45029366,0.2179786,-0.46945488,-0.008857378,0.009209437,0.039799687,-0.059840437,-0.05428806
Ier5,-2.8019567,3.667211,-1.7563223,-1.1390766,0.014005921,-0.6866143,0.10256776,-1.11569,-0.069720894,-0.5226917,0.8416458
Cacna1e,2.6300807,-5.4414215,0.80518425,-0.5098233,0.073779896,0.1929553,-0.40752482,0.5411763,0.1886333,0.86926883,-0.0095532965
Xpr1,1.1699389,-1.4691079,0.61530477,0.07314862,-0.032700285,0.32121277,-0.0397177,0.24065393,-0.09635718,0.6729101,-0.2698287
Acbd6,-0.0678865,-0.01227019,-0.73250353,0.35068518,0.1321285,-0.05985652,-0.013407585,-0.038719937,-0.011394626,1.1392335,-0.066094466
Stx6,1.4453535,-4.1921415,1.1649644,-0.46960667,0.4964139,0.24732174,-0.26858258,0.36192104,-0.22400889,0.995364,-0.043775197
Cep350,0.740011,-0.68630743,0.2120976,-0.11165009,0.029920215,0.18221657,-0.004781858,-0.04001869,-0.015465015,0.22824726,-0.031558763
Tor1aip2,-1.034894,0.96349186,-0.11497114,-0.11142068,0.04300733,-0.09590813,0.010807576,-0.11669307,-0.04407217,-1.1980598,-0.012242525
Tdrd5,1.7397456,-5.993247,1.5490351,0.44658673,0.8437785,0.82858247,-0.21544297,0.5067444,0.30118525,0.8424278,-0.16948508
Soat1,0.855055,-2.5786376,0.8209032,0.102646224,0.17139456,0.14711238,-0.0073834034,0.20312274,-0.10634271,-0.03538043,0.021669742
Abl2,0.5419943,-0.65498745,-0.50411177,-0.034988295,0.031730443,-0.054022506,0.0010288141,0.10611442,0.030244213,0.22100586,0.053801052
Ralgps2,1.3806884,-3.3285804,0.8253796,-0.32050323,0.3979856,0.16087353,-0.080308035,0.24641803,0.06890052,0.66516036,-0.49337387
4930523C07Rik,0.13513243,1.4688293,-0.45509088,-1.0999783,-0.22769664,-0.15926982,0.0022436227,-0.23067048,-0.042658266,-0.58985984,-0.04109839
Cop1,1.1071715,-1.7475266,0.4904832,-0.2517126,0.48702422,-0.076109216,-0.03377791,0.21691456,0.0751035,-0.67748445,-0.25699452
Rabgap1l,1.3218188,-2.2757697,0.60305196,0.18480742,-0.10133522,0.07888025,-0.07505871,0.35060924,-1.0064452,0.5272815,-0.56108576
Rc3h1,0.08891532,-1.1691552,0.62427855,-0.4083921,0.7020426,0.34869683,-0.0063971593,0.14053956,-0.055028636,0.06311071,-0.31363124
Suco,0.7800877,-0.11871173,-0.26545054,-0.05244895,-0.11166608,0.006452027,0.000943548,0.0026087184,0.0023969419,0.012125645,0.0009446977
Prdx6,-0.32398218,0.29076648,-0.13168177,0.021421721,-0.26299626,-0.25247213,0.00040001702,-0.07386697,-0.0144294575,-1.1046607,0.0019955398
Prrc2c,0.62530136,-1.993385,0.74877346,0.15575843,0.029540144,0.015254551,-0.04366075,0.40098858,-0.12893791,0.77155024,-0.06465462
Sell,-0.2831862,1.2363224,-0.5803871,-0.20956041,-0.17202444,-0.12377752,0.012548573,-0.20934725,0.024827093,-0.31738314,-0.019494006
Atp1b1,0.19034573,1.3707423,-0.65353715,-1.053916,-0.43240634,-0.226555,-0.0331296,-0.46564123,-0.09201386,0.69974595,-0.073487274
Sft2d2,-0.3028677,-0.36217165,0.56262225,-0.020725887,-0.1313686,0.033650283,0.0012200683,-0.04146813,0.006216174,0.14688265,0.005179777
Creg1,-1.7909349,1.3699331,-0.4602528,-0.043460768,-0.06469465,-0.49538505,-0.0050725606,-0.05182026,0.027730597,-0.2561267,-0.029588524
Rcsd1,1.8125422,-4.919899,0.8476697,0.071598984,0.20717773,-0.047177263,-0.71407896,0.6970776,0.0036200974,1.0158507,-0.39612588
Pou2f1,1.3818765,-0.8855476,-0.570802,0.1892198,-0.0048261248,-0.04543917,-0.010790658,0.24070692,0.023070475,-0.27122623,-0.017275825
Uck2,0.90037763,-1.5486915,-0.073858075,0.06852004,0.39329678,-0.0703692,-0.010627592,-0.14131714,-0.03671842,0.8748024,0.008893669
Pbx1,-0.26653773,1.8723764,-1.8371911,0.095132895,-0.7643845,-0.37087494,-0.021903006,0.1814943,-0.014026545,-0.56327736,0.027726458
Rgs5,-2.836986,5.1044235,-2.951306,-1.3105705,-1.3246064,-1.1712149,-0.26393405,-1.2132338,-0.6281323,-0.48590657,-0.25917292
Uhmk1,-2.0898802,0.86233807,-0.036771514,-0.07937139,0.13394904,-0.145296,-0.0033980897,-0.5360622,0.00825562,0.08557207,-0.022459105
Sdhc,-0.27415514,-0.3115334,0.3503573,0.27323216,-0.5540085,0.09015457,-0.0010841835,-0.002802277,-0.06725868,-1.3592421,-0.05000318
Ndufs2,-0.6943112,-0.3384252,-0.16037634,0.023178767,0.12974995,-0.008356031,0.0020711916,-0.0033085656,-0.00012633138,-1.0330586,-0.01042753
Pfdn2,-2.0660446,-0.0803819,0.9444228,-0.07627394,-0.023514567,0.009216071,0.0015035131,-0.012357577,0.01067058,-0.8970266,0.0012221846
Cd84,0.9125507,-1.2452061,0.55395246,-0.06964359,-0.26126224,0.2624691,0.002823367,0.23245512,-0.0015288894,-0.6440573,-0.066634685
Arhgap30,0.40875927,-0.2980288,0.009785727,-0.012843101,0.033968616,0.026113754,-0.001192082,0.004568633,-0.005564739,0.06099484,-0.013082993
Slamf6,1.4498308,-2.896023,0.2276638,0.6265244,-0.344835,0.5202505,-0.08470818,0.26182935,0.07444964,0.28513038,-0.34893078
Pea15a,-2.7233543,4.4540496,-2.4267116,-0.9701156,-1.0068002,-0.93965304,0.11932786,-0.6937983,-0.18957828,-0.9559595,0.22254227
Dcaf8,-0.095054045,0.19126588,-0.16686164,0.00047829936,-0.024540253,-0.03499349,0.0017571757,-0.021281758,0.0021448396,0.36670104,-0.0004193595
Copa,0.40015164,-0.16435097,0.99882036,-0.30975613,-1.0088123,-0.0648791,-0.040492833,0.33862484,-0.10522725,0.40901423,-0.22965635
Tagln2,-1.5479324,2.9639065,-1.5595466,-0.15509927,-0.76476425,-0.55468225,0.028828708,-1.0720941,-0.50721824,0.30804253,-0.055927485
Ifi209,-1.3433372,1.326421,-0.51083624,-0.44036776,0.021185918,-0.095899574,0.0027691317,-0.18084532,-0.061020628,-0.77953726,0.049342744
Mndal,-0.7255764,2.0832317,-1.5366158,-0.48383078,0.05532928,-0.42125332,0.03980218,-0.38106772,-0.146167,-0.7863255,0.09989736
Cep170,0.76318955,-4.318269,1.5143721,0.39428174,0.31995854,0.6330043,-0.20940635,0.6112965,0.10980257,0.23584567,-0.2111812
Akt3,0.089058906,0.42772013,-0.5971976,-0.09945953,-0.03178561,-0.23503092,-0.0007006182,-0.0005660272,0.001724632,0.27781755,0.005487103
Sdccag8,0.5943404,-0.7172209,0.067160636,-0.026331427,-0.04226983,0.12620433,-0.010799475,0.0073143914,-0.021198964,0.9986422,-0.041096196
