,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 5,ATAC private topic 6,ATAC private topic 7,ATAC private topic 8,ATAC private topic 9,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
14,0.599385,0.46347675,0.7016151,0.7592442,1.420979,1.0556635,11.593134,0.992365,0.44984,0.92736137,0.41176116,1.1687472,0.6156875,1.7373306,0.9033641,44.031044,1.0975542,0.5964546,2.019648,0.8812738,2.7504466,0.8339634,0.69630986,1.021258,0.66366416,0.78361213,1.3425446,1.2147764,2.038051,4.1328373
15,0.70694363,0.5078819,0.850843,0.9983164,1.4842117,1.3979971,10.904722,0.86640406,0.5681789,0.79640615,0.5831499,1.112185,1.8730155,1.1267183,0.9116319,57.707134,0.83660567,0.5575032,4.9197383,0.7745326,2.1365669,0.72164685,0.66288024,0.9349454,0.57748175,0.9683547,1.0268434,0.7660955,1.5799677,1.6202074
16,0.372944,0.81841487,0.58991134,0.40504196,1.9561486,1.2066853,11.181125,0.6441109,0.466483,1.0351686,0.7677113,0.9858425,0.5909639,2.75126,2.2835765,187.63113,1.2645161,0.7654648,1.2327054,1.421517,1.9582846,1.1708043,0.85538286,1.0315601,1.4916637,0.8945987,0.8863336,4.0971766,0.94990957,13.246633
17,0.4168284,0.75217974,0.6275995,0.41186494,1.4080601,1.0677793,12.588641,0.7113192,0.50922143,0.97382945,0.7932332,0.8939848,0.55418897,3.8580477,2.4632368,119.50772,1.2418226,0.71131325,0.9434555,1.2844743,1.9157131,1.0705879,0.7773483,1.0269457,1.1766489,0.8074892,0.828196,2.7629967,0.94488573,10.612625
18,0.40708768,0.83097655,0.59117186,0.41470513,1.8060945,1.036318,12.600656,0.7438568,0.5012461,1.0925906,0.79901344,0.99377686,0.7641035,3.2223117,1.6975214,175.02777,1.0706372,0.74990153,0.9595862,1.2724187,2.5385506,0.9375334,0.6351358,0.8244556,0.66335297,0.62420046,0.9168678,1.5999395,0.94829804,9.631858
19,0.42593634,0.624914,0.5478935,0.45008337,2.185641,0.7363901,13.8862915,1.0546964,0.47740942,0.9712304,0.6085169,1.0160266,0.82033443,3.5282397,1.1444416,128.51587,0.78641677,0.7274807,0.80728245,1.0528278,1.9154252,0.87205684,0.6664332,1.1039362,0.7706595,0.72023094,0.8386651,2.1708608,0.8501247,11.426801
20,0.4731841,0.6716192,0.66547465,0.5333996,1.5666078,0.7830306,13.832514,0.81721115,0.52692366,0.9377996,0.7538658,0.97281975,0.7815573,2.5088198,1.4002196,141.49985,1.0781513,0.72760636,1.0654458,1.2402601,2.7297082,0.92608136,0.5778484,0.66100514,0.61874586,0.50528246,1.2595778,1.6244112,1.2112981,7.3264723
21,0.52923477,0.5524216,0.69817865,0.68867743,1.7104721,0.846545,13.670606,0.9330126,0.52549744,0.91565806,0.69666326,1.0186231,2.7638657,1.1288007,1.0290098,61.965183,0.77901804,0.56985015,2.6419296,0.80294305,1.703036,0.998087,0.63153994,0.51144195,0.8421738,0.5044572,1.8190703,1.2560765,1.7188518,2.241475
22,0.62421274,0.5296385,0.7454337,0.75339735,1.6130531,0.90574354,13.971952,0.91610116,0.57789326,0.8162664,0.47785214,1.0098528,1.0571542,0.8954279,1.0245074,54.540226,0.8969505,0.56501764,4.465739,0.9409385,1.6372132,0.8332589,0.6697351,0.6520886,0.6643866,0.7278795,1.478976,0.84301096,1.8127699,1.1373581
23,0.8237426,0.45748937,0.7974795,0.8482349,1.3383127,1.2461038,13.102246,0.91399485,0.47475523,0.7111717,0.4531646,1.1496882,1.4045923,1.2360587,0.8170451,62.24755,0.94608146,0.52526927,3.5391285,0.7877241,2.0002708,0.7921258,0.76800674,0.78337014,0.5426426,0.84679645,1.1399128,0.8361298,1.6695402,1.7131519
