,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
TBCA,0.6194617,0.115232706,0.05059102,-0.9929085,0.009938288,-0.26808205,-0.19301297,0.4930117,-0.75765556,0.20000859,-0.22227636,0.16641235,0.5994373,-0.10458315,-0.30308467,0.04759786,-0.4816589,0.43315667,-0.15677907,-0.08978614
BHMT2,0.526089,-0.4089155,-0.02005257,0.032476857,-0.09901667,-0.015303238,0.19410338,0.11143129,-0.274083,0.050679296,0.03955412,0.008176871,0.36607832,-0.025258299,0.06380197,-0.010842621,0.16270827,-0.26806587,-0.09078645,-0.030165171
BHMT,-0.15248111,-0.18645804,-0.1770264,0.06044323,0.044301752,-0.17213425,0.2651102,0.18551846,-0.4986292,0.06173624,0.06554782,-0.6794637,0.16958521,-0.108140595,-0.28335944,-0.005152038,-0.03544155,0.054212607,0.2677865,0.039541863
VCAN,-0.4035917,-1.5768026,-1.9795289,-0.77689105,1.2856781,-2.2789025,-2.4619079,-1.7793263,2.1891742,-0.14348796,-2.168366,1.3084654,0.11476981,-1.7420174,2.2212856,-1.8112698,-0.30724254,-1.332358,0.2460805,-1.5026622
EDIL3,0.043309387,0.55967003,-1.8692213,0.21799994,0.5198397,0.31692287,-0.09011659,-0.52453417,0.44625598,-0.8910206,-0.47244287,-1.5271753,0.5954711,-0.13031004,0.9522972,-0.3769661,-0.6423875,0.46789858,-0.48626265,-0.8381981
ARRDC3,0.460192,0.02782026,0.021698754,0.043250754,-0.26628238,-0.036812723,-0.28081328,0.2513639,-0.006314961,0.0011941721,-0.012135987,-0.073593855,0.46556142,-0.015509653,-0.33295664,0.003649623,0.2216615,-0.00822091,-0.014787928,-0.24351995
GLRX,0.43456605,0.3658779,0.2884334,-0.96479726,-0.552265,0.08810587,-0.0803594,0.109345086,-1.0772762,0.26923347,-0.21346392,0.3164933,0.12210925,-0.02873942,-1.7148511,-0.35423297,-0.13666798,0.13757086,-0.9148103,0.4877001
CAST,0.5993371,0.12678006,-0.0230075,-0.5950872,0.035100203,0.005207212,-0.2585232,-0.002787888,-0.11617267,-0.027876604,-0.063156925,-0.2865751,0.14494559,0.00082900556,-0.32604262,-0.015480377,0.37839758,0.08660557,0.010532502,0.01688519
ST8SIA4,-0.48143885,0.7829633,0.14670123,-0.62600416,0.7189067,1.0798006,0.3456481,-1.5260096,-0.37006393,-2.209206,0.56955767,-0.97108555,-1.4500885,1.0637941,-0.021947026,0.0620349,-1.0048913,-0.41329148,-2.0170236,-0.11962869
PAM,0.15990447,-0.058644813,-0.020761224,-0.04602126,-0.033283822,-0.12037053,0.098198466,0.22807057,0.026150225,0.13459417,-0.016849753,-0.44424734,0.48145023,-0.011677471,-0.552413,-0.024667189,0.20779258,-0.015901143,0.015901864,0.016518284
PJA2,-0.58293486,-0.0032126773,-0.08237218,0.027083728,0.013149513,-0.034292195,0.0052621285,0.05476558,0.09815828,0.01723432,-0.01287436,0.15407233,-0.49588457,-0.00034557233,-0.34614387,-0.028537089,0.27330995,0.030597571,-0.06506005,0.009736805
NREP,0.2557986,-0.077739224,-0.45843697,-0.14940204,0.047122385,0.012837421,0.13236663,0.07427859,-0.07709876,-0.04113075,0.022773212,-0.8796356,-0.26627222,-0.02568291,-0.15767433,-0.042625748,-0.34758928,0.15280454,0.25806126,-0.0012643153
EPB41L4A-AS1,0.14970787,0.46905306,-0.5284462,-1.3934625,0.43342865,0.38758123,-1.1539849,0.23795278,-0.29374596,0.33879513,-0.6318,-0.2962082,-1.0478414,-0.08132317,-1.6732274,-0.121885724,0.6113253,0.6605055,-0.16505732,0.1585388
REEP5,-0.03648024,-0.005338414,-0.009330926,0.06310378,-0.027961968,-0.0038715175,0.034138635,0.020256525,-0.00041946265,-0.06753711,0.0004050616,0.106776714,0.25017786,-0.0019171159,0.029045949,0.005979743,-0.1539899,-0.054595318,-0.015820827,-0.09862707
TMED7,-0.03594387,-0.04673338,0.026222564,0.0021688493,-0.107569285,-0.005194637,0.19537596,0.015732698,-0.29339147,0.044435274,0.020785632,0.34688094,-0.31094348,0.001671549,-0.49225396,-0.0027546838,-1.0757507,-0.04954632,0.036463723,-0.014188189
AP3S1,-0.40585142,0.48448995,0.019134812,-0.45356062,0.24578853,0.09951198,0.0988816,0.2515804,-1.0988816,-0.009760799,-0.4953914,-0.34340703,-1.5874615,0.33817145,0.34145454,-0.24254447,-2.0109322,0.5604197,-0.029383402,-0.09316117
LOX,0.5530155,0.23379475,-1.2213207,-2.4559073,0.8041627,-2.4268277,-2.3246994,0.8145339,0.99154294,1.5487213,-1.9068462,0.9072765,-1.5975101,-1.9306895,0.69131935,-1.8889147,0.6212876,2.0474691,-1.6787792,-0.935566
SNX2,-1.4649462,0.28049293,0.0599596,-0.95547396,0.03713734,-0.0986623,0.06820746,0.31834793,-0.16692351,0.22017285,-0.052606814,0.3210766,-1.9557996,-0.22918528,-1.0031226,-0.041196056,-0.005500229,0.4188414,0.009190676,0.31266266
ALDH7A1,-0.94761086,0.2528183,-0.3346638,0.12956467,0.032606155,0.18635656,0.27845016,-0.29598472,-0.6612043,0.07581356,0.16983432,-0.10407194,-0.513647,0.08123619,-0.6717924,-0.6069424,-0.018243128,0.23308742,-1.4016353,0.35468277
CDC42SE2,0.35809112,0.07048784,0.122302085,-0.12333194,-0.052978523,0.00029493793,0.0037963851,0.06887628,-0.45400724,0.006255316,-0.017024579,0.23239474,0.06052936,0.005417415,-0.86104816,0.0047720885,0.03330879,-0.056336552,-0.073662415,-0.008399938
