,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
20,14.324508,2.3860822,0.37235248,0.4060858,0.42995977,0.40406296,4.043863,1.6734099,0.3357361,0.5632102,0.6126745,4.3136945,0.9206429,1.0900834,2.174428,0.7727571,0.20260336,41.196903,1.3682239,529.9475,1.3945701,1.4998254
21,18.1376,2.0371478,0.3500622,0.56378514,0.45340574,0.4770754,2.6932642,1.0671756,0.41256002,0.7560607,0.59941465,9.5279455,1.3497583,1.6377391,2.2729018,1.0445626,0.32300368,23.871918,0.66188467,1065.8789,1.3574423,1.5389837
22,11.368698,2.7211878,0.37065077,0.51029664,0.4363127,0.46794456,6.3620973,1.1660103,0.321121,0.8440443,0.5305909,10.085055,1.4078461,1.7711526,2.491268,0.92736876,0.33094943,20.726418,0.47049132,321.67752,1.2827842,1.3732095
23,15.02097,2.5359209,0.42723733,0.4661569,0.5081633,0.42828,3.2001998,1.3969215,0.30908486,0.864584,0.8333664,2.5744965,1.1734778,3.1181214,1.6941688,1.5125574,0.35565117,10.177767,0.8108946,463.21585,1.28595,1.4426459
24,14.262077,2.1715133,0.46433645,0.5221268,0.48719966,0.48377532,4.8605843,1.1976833,0.32370216,0.6555947,1.7540419,1.2691506,0.71399695,2.9032762,1.0040591,1.6226561,0.34818277,7.3044157,3.1030424,618.77716,1.3302908,1.4598716
25,15.204204,2.6071534,0.41972736,0.50380576,0.46425986,0.47202623,6.273675,1.2239729,0.31333056,0.6762015,1.4918337,1.4931074,0.8018008,1.7527559,1.276563,1.766248,0.31854448,11.967694,2.4229696,492.7734,1.3158922,1.4024493
26,10.062639,2.0835,0.30438063,0.39127207,0.34516048,0.39202797,7.289111,1.2699493,0.32357478,0.5202657,2.9966679,0.7655836,0.5867928,1.1626531,1.0660948,1.4783572,0.33279377,9.083245,14.443559,427.22205,1.276056,1.5312154
27,9.458957,2.048732,0.36278498,0.41649994,0.43763992,0.40403184,7.3269944,1.2377352,0.3496429,0.54534775,2.7098634,0.7572274,0.6198536,0.87024736,1.4482114,1.0305462,0.32320595,8.548142,17.279078,158.8499,1.2900364,1.5130011
28,1.4844596,1.8811495,0.34125027,0.4223272,0.4673068,0.434241,13.456985,1.3302337,0.52532864,0.94268984,0.80941653,7.9688015,1.0680586,1.0791532,11.429913,1.0166097,0.57662666,3.2965312,0.49640295,2682.5938,2.0028884,1.7847493
29,1.7828557,2.4784398,0.3593967,0.44635415,0.47797188,0.4164487,25.30085,1.5239936,0.32399076,0.6629356,0.91860235,1.9780903,0.87309974,1.2207167,16.604845,0.48798785,0.38711733,68.165794,1.487079,21.444283,1.2787637,1.318515
30,1.6377805,2.673078,0.35692418,0.46890864,0.47358167,0.44412774,21.907528,1.4231867,0.3504626,0.77809983,1.0707799,1.5037407,0.90056556,1.2617837,3.0493217,0.5306991,0.44788325,31.127783,1.5992576,46.604313,1.3982798,1.4347736
31,1.5607364,3.1691399,0.37708026,0.47682673,0.4221192,0.46937966,29.480736,1.3823411,0.31915736,0.825489,1.0502168,1.5544114,0.9391344,1.2728769,2.9912128,0.55210716,0.47557923,37.20297,1.5852692,15.483011,1.2669737,1.2508671
32,1.4589903,3.7835896,0.33210933,0.4346109,0.41154814,0.42347354,21.386934,1.4568173,0.33169943,1.0535767,0.626332,2.9918175,1.3616276,1.8541957,9.731295,0.60900205,0.406481,112.45003,0.8678297,26.736399,1.1762855,1.2386869
33,1.4706533,4.2954698,0.32452214,0.4530748,0.4193917,0.43750408,15.387473,1.2954032,0.332371,1.0110941,0.7162039,2.1224923,1.0093269,0.8778271,15.286465,0.6690715,0.50994664,250.48413,1.0883623,326.37866,1.3378692,1.3091753
34,1.6037745,3.6657715,0.33858407,0.4664679,0.4368168,0.44884372,16.188606,1.2767367,0.34466332,0.94757414,0.73699737,2.144561,1.192068,1.4941245,5.6960344,0.8277575,0.4492975,80.32809,1.1448735,534.5948,1.7874814,1.720222
35,11.834696,2.0423572,0.37307137,0.45856738,0.5282144,0.4656673,5.009648,1.0896175,0.63070905,0.62473994,1.2501326,1.053625,0.80445844,1.0504826,1.5930394,1.4763755,0.48563462,27.24516,4.1055174,641.35767,1.7020695,1.8046876
36,12.186277,2.178307,0.3418432,0.5660436,0.50397104,0.42607984,4.932037,1.1718142,0.5297485,0.61664605,1.1184855,1.2687662,0.81077886,0.96624184,1.4715214,2.308283,0.3772198,32.443016,2.6426687,72.27664,1.468934,1.5545101
37,12.55553,2.4742265,0.35254535,0.47927406,0.4844652,0.41555947,5.789643,1.2026014,0.42413384,0.5640564,1.3577096,1.1407378,0.7686773,1.058619,1.117712,1.4648759,0.39958423,18.649689,5.684966,132.16695,1.7070969,1.5880702
38,12.399781,2.348929,0.3713653,0.5668055,0.45989507,0.4688585,4.622361,1.100535,0.37492836,0.8175837,0.57516605,6.028679,1.4041677,1.6647378,3.5632167,1.2801281,0.3193478,28.996397,0.7255323,571.943,1.3323892,1.3759973
39,12.307664,2.521306,0.39492843,0.480632,0.46137476,0.43361294,6.5020933,1.2484622,0.3051077,0.895244,0.5392462,5.7556577,1.286932,1.7631474,2.0482585,1.4844325,0.34016863,19.275349,0.4483168,312.85324,1.2663094,1.5007542
40,10.236154,3.8169649,0.38402426,0.5626311,0.4502218,0.51523775,13.579121,1.211152,0.32253325,0.8779544,0.6637117,3.4871805,1.2844347,3.89281,1.5636094,1.438619,0.36584237,8.148658,0.48063222,12.645589,1.3943615,1.1605512
41,14.093044,1.9514354,0.41613752,0.62732583,0.5352771,0.5063306,2.1145158,1.0511764,0.44524553,0.8454166,0.8392068,2.2108335,1.0569614,3.0258784,1.3547564,1.7597734,0.3586909,8.809608,0.7347755,176.43,1.7070544,1.5974109
42,13.697475,2.887287,0.37918103,0.5117361,0.43173486,0.509328,3.6880493,1.181112,0.4407749,0.8552055,0.71086884,1.7996924,0.9761902,1.8642002,1.510028,2.3519192,0.39162508,10.135572,0.9093406,431.9143,1.3061944,1.3594892
43,10.041951,1.89805,0.42061472,0.58549553,0.4978609,0.500564,2.8398151,0.99019396,0.45115542,0.62895435,2.0258954,1.0938696,0.64252234,1.7026571,1.319856,1.4877427,0.35755584,11.116821,4.1180115,178.59729,1.704736,1.5736529
44,7.983198,2.5995858,0.36320502,0.44856304,0.4846722,0.41909298,4.6493163,1.1361696,0.42284623,0.64119637,2.1060693,0.9780263,0.7373308,1.5037602,1.6990355,1.4373239,0.47064576,11.386144,8.355218,234.9294,1.2334104,1.5750427
45,6.9435577,2.1797843,0.4311317,0.57030785,0.6545316,0.48033375,2.647133,1.0226572,0.40661967,0.7737403,1.390042,1.0147339,0.85266596,1.3159834,1.9820546,0.4884368,0.51012,9.756415,2.3773794,827.05035,1.2999992,1.597192
46,1.3181795,3.0314937,0.41935915,0.787852,0.8053624,0.5022259,13.512501,1.1806229,0.34098324,0.5730214,1.1899444,1.4683794,0.7438609,1.5187545,7.913538,0.48123112,0.40613544,35.340374,1.4580406,37.475784,1.5384929,1.5635532
47,1.5334709,2.7684631,0.5066183,0.5870061,0.6790045,0.46092385,20.103485,1.3064512,0.3396244,0.78377885,1.8127214,1.1129104,0.87889165,1.2202063,1.6735628,0.4777804,0.5188759,28.980001,3.1675384,10.99888,1.2760907,1.3354664
48,1.278326,4.106051,0.3542948,0.5868397,0.5665149,0.44297117,19.101011,1.2622354,0.32812563,0.80616474,1.0641,1.5306975,0.915932,1.2671425,2.9994595,0.5434377,0.46975815,35.565647,1.6474729,11.414037,1.3172296,1.1641523
49,1.5377612,3.6263742,0.33659893,0.5030939,0.41821194,0.47899354,21.836657,1.3432333,0.3188939,0.8201538,1.0445094,1.5578142,0.937728,1.263236,3.0368152,0.54714715,0.47039306,36.668007,1.6256878,10.91099,1.3063481,1.2163517
