,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
ECHDC2,0.009514477,-1.6302675,0.007000272,0.08855963,0.043765433,0.00059737236,-0.018541044,-0.71131235,0.007603339,-1.2586187,0.10780379,-1.9837664,-1.2952905,0.33263305,0.11654935,-0.18346004,0.33480343,0.037257437,0.3031768
SCP2,-0.025866318,-0.51403606,-0.13166977,0.04536252,0.045342997,-0.002802749,0.046087686,-0.2482206,0.012412953,-0.14872444,-0.08234031,-0.63117033,-0.26282308,-0.0347804,0.33846265,-0.1394851,-0.44038963,0.48061785,0.17335713
CZIB,0.31762075,-3.2363873,0.7992194,-0.4634191,0.27683976,-0.007953242,-0.200146,-0.0666826,0.032305103,-1.0179789,0.42830494,-1.447275,-0.57593244,-0.8066058,-0.58964974,0.72886616,0.8860585,-2.2974398,0.4684703
TMEM59,-0.007647901,0.3641637,-0.02781883,0.018974602,0.01808211,-0.0020404344,0.027910655,-0.15665753,0.0032583226,-0.16009872,-0.03701267,0.14230521,0.15185872,0.04489294,0.5170866,-0.07930321,-0.55614555,0.38451576,-0.015712919
MRPL37,0.054642558,-1.2846984,0.14157961,0.070783705,0.13768077,-0.006271356,-0.042208318,-0.34439775,-0.031644374,-0.18241438,0.4250194,-1.6152482,-1.8061094,0.3476656,0.20091599,-0.03693382,0.16696471,-0.60420054,0.43222347
PLPP3,-0.008668704,0.9620967,-0.10553283,0.14204934,-0.017078077,0.0015488871,0.014354444,-0.25018921,-0.0054875216,-0.47868016,-0.14812517,0.62543976,0.37567803,0.39201435,0.5139476,-0.2645804,-0.71635693,0.31736508,-0.10892097
JUN,-0.038682196,-0.7297444,-0.14518557,0.044540465,0.32272437,0.048872173,0.13645971,-0.61546284,-0.16388917,-1.167366,0.43198287,0.06148958,-2.2344074,0.22166277,-0.22578208,-0.1783668,-0.43689677,0.38687962,0.36502647
CYP2J2,0.008051655,-4.5567055,0.06468809,0.36779186,0.51989824,0.022839077,0.46453187,-1.3137307,0.077894405,-2.2448692,0.49462965,-2.4049754,-2.2327933,-1.4727821,-0.012416265,0.2264257,0.23285602,0.8102258,0.6695337
NFIA,0.026676279,1.6120591,-0.30081776,-0.0010620798,-0.11259474,-0.031329427,-0.10684945,-0.03288292,-0.031204447,0.29109553,-0.5425826,1.077113,0.66777277,-0.25836694,0.2850825,-0.9469389,-0.43214905,0.24571861,-0.015081393
PGM1,0.030730315,-4.0805073,0.4605797,-0.3961383,0.31119868,0.03852035,-0.04640489,-0.37410685,0.1024738,-1.6634848,0.48636273,-1.3329213,-1.208902,-1.1023028,-2.0059996,0.62182355,0.9156163,-0.7306315,0.6318976
