,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
437.9553421313627,-1.2953235,-9.245882,2.7070477,3.0407495,0.46528625,2.4434948,0.0770722,-4.711615,2.8231175,-20.166359,8.380308,-3.3039052
439.2466690433175,-4.8975563,-8.864983,3.0792608,1.8168552,1.4355152,3.323943,-4.8995724,-4.5069265,2.5823758,-27.322891,9.566854,-4.2934155
439.9524092951356,-1.0920346,-8.467699,2.6361277,3.1398945,-1.1959865,2.237742,-0.31590575,-4.406391,2.8709052,-20.024714,8.442404,-3.514838
440.2657472665796,-3.907424,-10.114216,3.0577168,2.8211615,2.2396023,2.6550784,0.9517266,-4.8830466,-2.610931,-18.487066,8.583322,-3.9176323
444.3048509006433,-5.407248,-10.004265,3.1538484,0.010935183,3.0358548,2.8255658,0.91325384,-4.617556,-4.458633,-16.328444,2.4415927,-3.8330271
464.85043842507764,-3.379085,-4.9576426,-0.21765754,1.3504211,-4.2728457,2.9243214,-4.841115,-4.5352387,4.079595,-23.665298,8.296967,-3.9637482
465.986391371257,-2.302506,-8.607903,3.0784156,2.992468,2.1343243,2.4794466,0.10589917,-3.9036248,2.0300725,-16.85397,8.690222,-1.9375681
466.26566230669573,-4.1564426,-6.2775307,2.953109,2.3599298,2.004032,2.8087392,-3.0400336,-4.5181007,2.5731921,-20.875906,9.227666,-3.2593668
466.84747244516325,-3.29154,-7.5085406,-0.6775918,2.1260064,-4.5113387,2.8178718,-4.6281853,-3.943622,3.9494236,-25.011755,9.266096,-3.8430967
511.4731019323091,-5.2812986,-10.129791,3.3469322,1.0375634,2.791783,3.0806372,0.6918023,-4.7477865,-4.2514076,-18.056408,6.3029947,-4.2652283
528.2732926516458,-1.0186146,-7.266362,2.5840282,2.506549,1.6952198,2.348522,0.7242688,-3.6410725,2.659581,-10.777403,8.757097,-3.0534074
529.2763089845431,-5.2758107,-10.466435,3.0526938,2.6996365,2.508987,2.8460386,0.7637169,-5.201405,-3.8300734,-23.411846,8.472621,-4.0311165
533.4572806325616,-5.16646,-10.138897,3.021416,2.009208,2.938637,2.690317,1.4457648,-4.784357,-4.4947505,-18.852974,0.14352131,-3.7732952
536.4762155955389,-5.4302855,-10.669643,3.01675,2.44479,2.563149,2.7766826,1.1561477,-5.037035,-4.4003673,-17.611492,4.8892155,-4.250131
538.4918702010622,-5.088734,-10.7788515,3.0487144,2.7389977,2.2292774,2.7369123,0.93917435,-5.055063,-3.9643414,-15.482198,8.420126,-4.5543394
539.5036711800542,-5.253618,-10.226948,3.3670323,1.4839499,2.516767,3.0928776,0.16878998,-4.668198,-3.9296267,-19.609177,7.988209,-4.1098685
556.2687527107976,-2.3892589,-8.621638,2.557875,2.7312114,1.6897842,2.3771956,0.030154703,-4.89011,2.947084,-17.856373,8.968647,-1.7907765
557.2725747492069,-3.370247,-8.764924,2.7371008,3.0808277,2.3361394,2.867172,-2.8438127,-4.4028826,2.246282,-20.333273,8.029413,0.08401834
557.4581092568693,-5.0923343,-10.033678,2.8518357,2.5413187,3.0206544,2.4253933,1.5845926,-4.8749394,-4.3345246,-18.653584,0.059736967,-3.7104566
566.5241637298645,-4.8874674,-10.362186,3.0781038,2.4657843,2.4564767,2.8999221,0.9203804,-5.094947,-4.273766,-18.914068,7.4872966,-4.1938167
583.4739266558681,-4.9170494,-10.104267,3.1008608,2.5560024,2.586798,1.7889264,1.9158833,-4.797626,-4.545849,-15.7652855,2.869917,-3.6254816
585.5114708567991,-5.289274,-9.715841,3.2746396,-1.1399176,2.9862142,2.9783359,0.057321556,-4.4688168,-4.1506314,-16.553972,3.6907835,-3.9238584
587.5046144894162,-5.2011957,-10.146889,3.0998037,2.3280404,2.7821794,2.467931,1.4977483,-4.8866024,-4.253371,-18.261597,2.788589,-3.8631914
589.5205829321543,-4.789858,-10.538807,3.0727987,2.7219305,2.4954405,2.7669663,1.2503992,-4.9240108,-4.2338786,-18.34284,6.6780214,-4.362223
591.2693226296545,-4.8582397,-9.685841,2.9549327,3.2995753,2.0152497,2.8181326,0.2674501,-4.8083234,-3.1397228,-23.394884,8.217557,-3.7490454
591.5359958315314,-3.470583,-10.661451,2.950382,2.7083628,2.2967458,2.7490864,1.079484,-5.1087127,-3.9434798,-17.624601,8.099588,-4.486115
592.5395536450224,-4.531645,-9.831898,3.1238077,1.3878584,2.921255,3.0076973,1.0579675,-4.7933245,-4.2373967,-18.039055,2.1779308,-3.8868318
606.0749691379767,-4.175276,-8.720638,1.5826684,2.8337977,0.2208726,3.7230117,-3.9915867,-4.837375,2.3336482,-26.93826,8.438697,-3.5236895
