,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
ATP1A1,0.45100284,0.7814279,-1.2067595,-0.016611366,0.6123382,0.02216109,-0.46768758,0.2687792,-0.19102655,-0.48149776,0.12445588,-3.2817523,0.18805853,0.17596877,0.20002998,-0.21998607,0.42699173,0.5048177,-0.70545447,0.95720875
HAO2,0.8497097,-2.9335585,-2.9793317,-2.2055738,2.2181995,0.41152892,-3.2011628,-2.0048459,0.40460068,-2.295878,-3.1077492,-1.8435664,-2.5834365,1.9299998,-1.0433706,-2.761953,0.3740093,1.3645358,1.5937622,-2.619886
PDZK1,0.6076459,0.81013536,-1.4098277,0.034799278,0.8061209,0.057716344,-3.8466642,0.12537582,-0.16207497,-0.26666224,-0.9290812,-1.5418147,-2.151477,0.25761706,-0.5321491,-0.10603277,0.61975825,0.8826758,0.2741001,0.90136933
RBM8A,-3.9041367,0.34470338,-1.5329537,0.2126496,0.19407813,0.7458348,-0.76187116,-1.2118477,-0.01376646,0.71741444,-0.8993699,-2.3655279,0.62271774,-0.35705185,0.023149332,0.68197757,0.7554467,-1.2089409,0.6773201,-0.42441398
APH1A,-0.8289056,-3.5763547,0.42415875,0.04316036,0.47011414,-0.23071347,-0.5008423,-0.106007084,0.24405295,0.70756584,-0.24895056,0.20406684,0.6937548,0.742233,-2.4038079,0.5416378,-1.3165601,-2.149002,0.86087245,-2.6358147
MRPS21,0.19647568,0.33771974,-0.18924525,-0.004090549,0.34772325,0.103746384,0.11712165,-0.8127566,-0.2916182,0.0077738822,-0.16635,-3.0210516,0.043841653,-0.31436834,-0.081704386,0.30506235,0.21370627,0.41497502,0.14353406,0.5495259
MCL1,-0.9956619,0.21385625,0.7952276,0.14269644,-0.38904312,-0.7652484,-0.9494567,0.27746993,0.21852073,0.3166989,1.1482502,-2.8873496,0.41758817,-1.1052303,0.5591813,0.70106524,-0.04335418,-0.69704574,-0.68797714,-2.7221828
ENSA,0.72683805,-3.1623905,-0.19149944,-0.08413205,0.44349122,0.4787393,-0.9055495,-0.21135108,0.045549553,0.2300056,-0.027822256,-0.77907026,0.73925066,0.5505049,-1.0378097,0.19035104,0.1460495,-0.287621,0.44059968,-0.9471491
CTSS,-3.7302167,-0.6397367,1.3038316,-2.8632448,-3.3170671,-3.678181,0.3475642,-0.45907173,1.1416969,1.2657654,1.1723669,0.54231924,-1.9791234,-2.9703028,0.9126724,1.3334931,-1.0607129,-1.4369148,0.8774155,0.5912727
CERS2,0.5102441,0.8222531,-1.3326645,0.092270084,0.64675874,-0.1291996,-0.97134465,-0.12496791,-0.29953453,-0.41214707,-0.64636636,-1.2277999,-0.14532804,0.012537337,0.123774275,0.015901996,0.5796948,0.7240142,-1.0291778,1.0809195
PSMD4,-0.029708274,-1.3384918,0.09099544,-0.46733868,0.57054865,0.8004783,0.44892666,-0.45635667,-0.22567435,0.41717678,-2.7002635,-2.2342691,1.000702,1.0218809,-2.1746,0.89544153,0.12385337,-2.0945292,0.26539785,-2.52843
PSMB4,0.26309282,0.9886482,-0.076393664,0.0033769363,0.5832353,-0.003173531,-0.71026504,-0.16849034,-0.087436534,-0.29654133,-0.045598287,-2.472496,0.06478006,0.11063893,0.43061563,0.027460782,0.54730105,0.7661622,-0.39859727,0.79656017
RORC,0.671299,-3.0694058,-2.5869799,0.35319462,1.1391207,0.7301513,-3.2578077,-1.7819202,0.4584909,0.5148567,-2.6464992,-0.8246772,-0.9699704,1.3436213,-2.8249595,-0.12421252,-1.7366056,0.62606,1.5075426,-2.603678
S100A10,0.041688055,1.2171631,0.9833327,-0.637153,-0.0020258354,-1.0178249,0.13815558,-0.08086894,-0.927614,-1.9973272,-0.41966295,1.7301822,-2.4776244,-1.6232371,0.083823346,-0.9603424,-0.41830114,0.2238447,-1.0529137,1.1382935
S100A11,-0.056173082,1.1582404,0.9082919,-0.5831287,-0.10043864,-1.0841817,0.49557832,0.04268573,-0.5925956,-1.301269,0.121911585,1.5839497,-1.8818886,-1.7271943,0.25821453,-0.50775594,-0.2754061,-0.025030086,-0.72771937,0.92761815
S100A9,-3.2210245,-2.8969853,2.6703432,-3.097129,-3.1059124,-2.8045824,1.3770374,-2.8843906,-0.11666748,-0.7327338,2.470142,0.25556332,0.19807413,-2.5258129,-2.2570744,0.50886637,-2.3750107,-2.779671,-2.7283227,-2.274306
S100A4,-4.0346923,-0.83701104,1.7123187,-2.0299416,-3.1541436,-3.134725,1.3078623,0.10468325,0.32711607,0.40010965,1.4264671,1.7362661,-0.09123903,-2.9298835,0.97088116,0.48597303,-2.3259656,-2.9470036,-0.42552084,-2.1153631
S100A16,-0.60824317,-0.32943028,0.13738242,-0.11099731,0.15801418,0.911328,0.7171104,-0.34322053,-0.454142,0.424974,-2.3870614,-1.157848,1.5105652,-0.04227819,-3.2244434,0.83654207,-0.4470801,-3.0982943,0.5376292,-1.6423062
S100A13,-0.1432615,0.95077133,0.5635731,-0.38272873,0.0366959,0.06185786,0.538918,0.005036091,-0.5458789,-0.35419232,0.28597966,1.4671977,-0.2193664,-1.1946807,0.037472557,0.27307647,0.19675538,-0.1597664,-0.46364337,0.2613764
ILF2,-3.158943,0.048408132,-0.10677997,-0.7760744,0.38144463,0.42088342,-3.2564735,0.20855087,0.15082322,0.76184493,-0.7652023,1.1048261,0.46134827,0.6186465,-1.9965283,0.62904763,0.049025122,-3.1523893,0.8375754,-0.9101901
SLC39A1,0.114717245,-0.25801456,-2.7110767,-0.04878153,0.6013363,0.5371966,-1.2410734,-0.6416352,0.14685524,0.3665813,-0.7421099,-2.4115412,0.68039554,0.66030866,-0.5141443,0.66152173,-0.076906495,0.13280073,-0.2802862,-0.027631225
JTB,-0.07921194,-0.34978583,-0.28151655,0.06474921,-0.05317475,0.5176348,-2.4753036,-0.33225933,0.038154803,0.4389625,0.1435743,-0.8687766,0.41786504,-0.25583887,-0.1902759,0.71671194,0.31169614,0.13440056,0.19338515,-2.6355958
RAB13,-0.05896444,-2.7142107,0.19014461,0.025359418,0.31912327,0.49480617,0.13142852,-0.33163863,-0.17983744,-0.009387488,0.13527387,-0.021050354,0.95629525,0.07454538,-0.10253237,0.22478753,-0.07472934,0.16238211,-0.44069004,-2.2365334
TPM3,-0.34497052,0.447168,0.69586927,-0.18828821,0.22206126,0.30852783,0.049423456,-0.14749555,-0.15177257,0.013234959,0.5285103,0.407994,0.1820805,-0.66126084,-1.9162334,0.34365657,0.85079956,-0.22262521,-0.27683556,0.27004886
C1orf43,0.3076026,0.39692366,-2.163271,-0.0009676492,0.551872,0.42898744,-1.0991657,-0.8699276,-0.07152531,0.20724262,-0.72846335,-0.6551538,-0.16813442,-0.08457584,-0.69512224,0.69217294,0.7746581,0.71739,-0.0806069,-2.0646799
ADAR,0.40963554,0.10634057,-2.846437,0.02778309,-0.021206088,0.07551002,-2.5860462,-0.49751467,0.20033386,0.55068874,0.012887879,-3.0118654,0.36642167,-0.151346,-0.022375612,-0.16477308,0.46616822,-0.09348876,0.83583784,-0.8811637
PMVK,0.027230993,-0.5364145,-3.2813249,0.2905319,0.55975866,0.538472,-0.3713053,-0.8345314,0.053558342,0.3965366,-1.8932515,-2.070323,0.84985316,0.5872109,-0.21669318,0.21911187,-0.8633426,-0.0702242,0.6781792,-2.0151947
PBXIP1,0.5259974,-2.9618952,-2.7901704,0.18059808,-0.80448526,0.05072111,-2.5480163,1.1967865,0.31069213,0.7414514,-0.13711013,-2.2869744,1.796343,0.9740935,-3.0138357,0.05005975,-2.9608612,0.2808735,0.039725136,-2.855286
SHC1,0.01876569,-3.2149785,0.67486924,-0.54359955,-1.6868291,0.52353257,-2.1175354,0.7756957,0.37643787,0.95809287,0.77595884,-2.1465795,1.9111844,0.32624772,-1.5145044,-1.5599855,-1.5104645,-2.6951122,0.57014626,-2.8595314
EFNA1,0.6398179,-1.5416871,-1.3195723,0.23416334,0.42858604,0.3598137,-1.4448619,0.74598676,-0.41841245,0.10876538,0.3948098,-2.9854515,1.4381254,0.75738853,-2.542872,-0.766061,-0.25527292,-0.38518462,-0.3167313,-1.6409405
DPM3,-0.28927186,-3.451386,0.24282263,-0.0009243081,0.4482707,0.058461614,0.5456864,0.5977763,-0.28501618,-0.0033654575,0.361332,1.1298598,0.94792646,-0.5318657,-2.4124837,-0.11336763,-0.09751023,0.08204274,-0.047492128,-1.816173
KRTCAP2,-0.10249646,1.1419042,0.249232,-0.09391158,0.42789558,-0.20360304,-0.07850635,0.03962007,-0.34101766,-0.63374,-0.14232801,1.0471344,-0.3005584,-0.37429196,-0.627455,-0.17952432,0.42247832,0.42162833,-0.40031567,0.663401
