,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
21,1.3005197,0.6421121,0.42294708,0.938553,0.44625378,0.23978487,2.0296764,34.345776,2.2345476,0.28352672,0.56602573,37.221245,2.6998563,3.7472363,1.1570786,1.9921983,1.0089008,8.8899145,171.84496,2.5150063,1.2361948,3.9022884,12.169482,1.0721376
23,1.491359,0.5737556,0.52436787,0.95081735,0.64653754,0.40715432,1.8721287,279.89804,1.4706337,0.5605731,1.3541812,7.708129,2.6750038,1.4411317,0.9561473,19.3625,0.5720232,1.0659838,1.5077715,0.8770499,0.6706468,0.7822841,0.842264,1.5212106
24,1.3217497,0.5708847,0.59394944,0.928325,0.57586575,0.39981467,1.9994309,366.74487,1.4550769,0.54370785,0.6700052,3.967367,3.1398473,1.6401983,0.95614725,19.362509,0.5720232,1.0659838,1.5077715,0.87705016,0.67064667,0.7822841,0.842264,1.5212106
25,1.2054352,0.5915974,0.68872607,0.9839545,0.5013155,0.3996182,2.1842825,373.5128,1.388741,0.4748568,0.555647,4.793026,3.0136323,1.6303918,0.811548,31.61334,0.50736696,0.47069535,1.2332324,0.97124654,0.5327108,0.8004176,0.7373299,1.3122854
26,1.1589774,0.78904605,0.65464616,1.5938842,0.4710008,0.47106788,1.5550724,359.4942,1.9213016,0.47825062,0.5798969,4.024047,3.0694196,1.4994097,1.192047,2.113686,0.58088636,0.7515349,1.9645103,1.0326252,0.81668985,0.94610274,0.9163659,0.6663264
27,1.082446,0.590755,0.74468625,1.2180375,0.4200458,0.3992652,2.6157002,243.4158,1.4501392,0.4465049,0.6019149,4.5900927,2.819905,1.5261686,1.1068529,2.4877024,0.56675655,0.7049736,2.1225307,1.0461799,0.79586166,0.97134185,0.88297325,0.7036631
28,1.206313,0.6935951,0.52891016,1.7803081,0.39720404,0.33504403,2.641789,171.39761,2.0694633,0.40565643,0.7895135,3.1753511,2.6975918,1.521782,0.92573273,2.0144143,0.46730775,0.74846447,20.99859,1.3966724,0.782437,1.8192503,0.89673525,1.1372577
29,1.2465531,0.6490168,0.5080304,1.804199,0.45423716,0.3587588,2.28703,61.841934,4.616885,0.43591917,0.5120473,6.5370245,2.527828,1.8245851,0.68049467,2.254434,0.44943982,0.7602798,25.091171,1.4327005,0.8542838,2.0087328,0.9897044,1.2255816
30,2.2968774,0.7903865,0.50680953,3.5118365,0.51347005,0.38355732,2.0716608,124.483955,5.0284786,0.39879853,0.4748273,5.0958757,2.5894094,2.3164551,0.840521,2.1576722,0.6243414,1.5861955,48.059948,1.476074,0.9552261,2.4365394,1.6045113,1.2198759
31,1.342002,0.850821,0.46990436,1.0850587,0.44806653,0.29388204,2.084764,51.731796,2.8864355,0.36199117,0.40417847,8.817984,2.6188421,2.4798982,0.9683943,2.0028179,0.88965875,3.6952465,93.74402,1.5346743,1.1217887,3.0272968,3.0789635,1.2575291
