,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
521,0.7095993,0.6269115,1.4062653,0.547078,1.5285138,1.0533757,0.8102816,1.0507479,0.5710256,7.1557546,16.712215,1.0228858,19.108612,0.46076676,5.276417,0.75214416,1.0976009,0.9687408,1.2495633,1.921614,0.6452848,0.5632656,1.9431717,0.6525051
522,0.7833111,0.610832,1.1867999,0.5454213,2.0060534,1.131639,0.76900685,0.800707,0.6054565,6.013295,13.228942,0.99372447,20.60479,0.49830517,2.3226693,0.6365267,0.95152855,2.495486,1.2615316,1.717909,0.50307727,0.6888159,5.699669,0.5129327
523,0.8443458,0.6544075,1.0639894,0.6472534,2.2213566,1.1555932,0.74029744,0.7848041,0.69225717,6.047867,4.2646728,1.032893,17.207588,0.6503375,1.7512892,0.5989992,0.57641196,2.2291903,1.6811239,2.459857,0.6206297,1.0225519,5.327002,0.58204526
524,0.8729501,0.792899,1.3129299,0.4189431,2.86025,1.2440141,0.7330189,0.643994,0.56846917,8.511959,8.356126,1.0113442,14.274609,0.5457567,2.1356993,0.62107515,0.6646244,2.367197,1.3937774,2.1928706,0.65780383,0.92596316,3.7277105,0.60097224
525,0.8839544,0.72669256,1.2728074,0.53649235,2.2643733,1.0247376,0.71430314,0.66324,0.4901111,7.363734,7.9590244,0.9075912,13.478482,0.41288376,1.5445445,0.59298956,0.6698004,2.8498847,1.2271096,2.1907144,0.58708423,0.94485986,4.2970467,0.51740587
526,0.75818884,0.6646374,1.36255,0.78876674,1.3089831,0.9594536,0.67592853,0.8274534,0.6337661,4.1340895,1.7573553,1.1673706,14.771534,1.0182819,1.5193897,0.6715349,0.41465586,1.2812588,1.5156054,4.0387864,0.75596607,0.8552099,4.453002,0.7290709
527,0.6761503,0.67957556,0.9730303,0.93956494,1.6813151,1.2560259,0.7764304,0.66597843,0.81705534,4.671513,2.1685002,1.4808998,9.568995,5.0459285,2.2568965,0.652807,0.7205255,1.5646113,0.907639,1.6443192,0.61564946,0.69192487,1.8164397,0.5859928
528,0.7089461,0.6786411,0.94405997,1.7374272,1.2403371,0.792499,0.8157337,1.1139219,0.73517495,3.755721,8.678882,1.3694072,7.979664,6.232679,4.0223465,0.6983343,1.3130524,0.8221053,1.167219,2.1111984,0.47960767,0.48256958,2.629033,0.65627235
529,0.8055542,0.5923982,0.7439718,2.2721915,1.3956878,0.9410832,0.75475883,0.7951385,0.7783059,4.550183,5.134606,1.3892188,12.015847,2.0064259,3.4128578,0.6745327,0.80936563,0.6863601,1.3265715,2.7977934,0.536795,0.45399582,2.828777,0.7194264
530,0.65363115,0.7399559,0.9697045,0.7019175,1.6745744,1.4898309,0.6264257,0.68641305,0.70705605,4.4417543,2.3895867,1.2288294,19.508347,1.2479825,1.5231614,0.6135965,0.36752045,1.688154,1.5872943,3.0188355,0.65988344,0.9709684,5.0490727,0.64506316
531,0.6836157,0.80342615,0.9412235,0.7143646,1.883529,1.8842702,0.6415428,0.6939534,0.7118729,3.9964538,1.6981205,1.2637961,16.114693,1.888867,1.2609868,0.6233028,0.32762352,1.6097461,1.8255296,4.068199,0.8264005,1.0682929,6.855369,0.6277835
532,0.5944379,1.1311951,0.79155636,1.6047926,2.0028307,1.1651254,0.70851344,0.60764027,0.7940569,2.4899263,0.72406405,1.8257904,15.00085,7.047689,0.9852315,0.72218746,0.26233992,0.81761795,2.7652001,8.310596,1.3649211,1.1390821,5.170979,0.75334895
533,0.75146675,0.56242794,0.60243005,2.5588098,0.90846467,0.63467276,0.8238651,0.9177591,1.9770542,2.2399204,0.47464466,11.585318,5.2340393,5.0576944,1.8281866,0.62969065,0.62340605,1.4806851,1.0454277,3.7463758,0.67740685,0.72238237,4.778088,0.56255007
534,0.89922273,0.47622168,0.63537467,1.9032061,0.5565687,0.77981865,0.92652524,1.1238575,2.5444117,2.0852196,0.82152,11.098449,4.868765,3.4239347,3.038835,0.6197714,1.0972545,1.1423714,0.7272693,2.836808,0.5606038,0.6203158,4.040271,0.45402998
535,0.99629503,0.56920886,0.4334745,1.9621956,0.41993177,0.4763506,1.3515968,2.1391902,15.130913,0.74651814,0.56912345,8.240018,2.8433363,1.6436116,2.884642,0.6523219,1.0558418,1.07728,0.86184686,2.324925,0.52064604,0.6252563,3.1052227,0.5003733
536,1.0538455,0.62484026,0.42086637,1.372998,0.4945321,0.44917226,1.2711272,1.4579535,14.68037,0.6568537,0.75522465,13.8816,2.610068,1.7873265,2.2331429,0.6968988,1.2530943,0.9389114,0.9169069,1.4324371,0.5225052,1.0036733,1.1989304,0.48575318
537,1.1942987,0.7593775,0.49093622,1.1967123,0.54882526,0.40245348,1.0864812,1.1274067,10.98091,0.5407659,0.8013119,13.419745,2.7367702,1.7995098,1.2299907,0.71565306,0.40138066,0.9712119,3.776986,1.288828,0.99940246,1.5402273,0.7345596,0.6676433
538,1.1418526,0.65931547,0.476164,1.454114,0.5637487,0.41531995,1.0607839,1.0660839,10.673712,0.55293375,0.54109484,15.488655,2.869812,1.9602202,1.0418892,0.6297616,0.39657044,1.1219224,1.8101466,1.3495637,0.9653916,1.5263393,0.91635203,0.6327221
539,1.0593872,0.4070562,0.42148578,1.0940672,0.40488988,0.3475805,1.3159444,2.1468637,10.881707,0.51032454,0.5712999,26.518677,2.8916698,2.613209,3.9489214,1.0555757,1.957428,0.6289363,1.4470251,0.9377318,0.66316766,1.7461914,0.5002342,0.84451497
540,1.0130167,0.3844123,0.42872253,1.1707984,0.37209213,0.34475082,1.4092865,2.2929902,10.693663,0.51852906,0.56015635,29.435818,2.9078686,2.8830483,6.508315,1.0621085,4.4616537,0.59583825,0.83588815,0.87896943,0.5475773,1.7512847,0.49848905,0.700219
541,1.330547,0.50398296,0.36936116,0.8235733,0.42918754,0.2926966,1.5806262,1.5107188,10.794598,0.38625628,0.52738774,33.04669,2.758672,3.0907989,4.173802,0.9679831,3.9605994,0.826798,0.7637448,0.7794404,0.5091375,2.6682155,0.5389763,0.58732784
542,1.638401,0.49882782,0.3732658,1.1742487,0.49096435,0.3107635,1.3043401,3.6070683,12.56933,0.4052367,0.47042108,37.615078,2.5892978,3.3570457,3.8742833,1.0444391,4.370184,1.1279984,0.9616712,0.66233087,0.5044328,6.2456503,0.5251122,0.63869625
543,114.63873,0.74866724,0.48641634,1.7621847,0.65250516,0.5086508,1.608243,4.1544175,1.4693164,0.4275586,0.6922404,9.997244,2.6647773,1.414435,0.78364664,1.0673752,2.644124,0.9800341,1.2748008,0.7265743,0.68901765,1.7609335,0.5583028,1.1614482
544,98.75972,0.77648926,0.4606492,1.9830186,0.60789156,0.501976,1.638602,5.960059,1.5923889,0.4071919,1.0599985,5.7864757,2.848949,1.2721987,0.8098267,1.0802408,4.458876,0.6904558,1.1648811,0.71033645,0.9095844,1.7257364,0.5764875,1.132424
545,51.628044,0.71065426,0.4917031,4.537455,0.6707598,0.5496555,1.237792,1.4073497,1.3015491,0.51078856,0.46872428,16.43496,3.0200052,1.2463557,0.6268847,0.7762223,1.7643846,1.9250538,0.9958073,0.84934634,0.7629028,2.5257468,0.60965204,0.86986303
546,20.038664,0.79646176,0.48249254,6.1314416,1.3051697,0.81296605,0.8394131,0.77683884,1.0168918,0.6111628,0.3621931,9.5933075,6.2661414,0.8802467,0.5639188,0.6321755,1.3603998,1.9531071,0.8251385,1.0102173,0.8603065,2.366056,0.6486837,0.8040143
547,31.170967,1.0428576,0.5715425,6.19837,2.0543063,0.76482666,0.8928281,0.868828,0.88989246,0.57857555,0.5428004,6.1033964,8.731702,1.2080535,0.48740888,0.770241,0.58792,1.0905193,1.2398827,0.8671414,0.52465624,5.3055296,0.52475536,1.0395439
548,26.822483,1.1056886,0.5386976,5.623725,3.120696,0.80222356,0.82329524,0.74538976,0.82259136,0.5913343,0.52295434,3.8390627,10.073742,1.4470779,0.46603957,0.72947013,0.59580624,2.3302937,0.91438043,0.7640882,0.61738247,10.563841,0.5829655,0.9027725
549,11.990047,1.0904382,0.49335992,4.4612713,5.094473,0.5995872,0.9265457,0.87977993,0.70778006,0.52867776,0.83230895,2.6647842,8.5823765,4.001301,0.618621,0.8340246,0.5994838,2.9085915,0.94930094,0.43520734,0.75850075,120.44716,0.51925516,1.3032138
550,7.3761725,1.026268,0.5031436,4.1463895,8.1476555,0.5823208,0.7741611,0.7165598,0.7242439,0.5294635,0.76475304,2.839263,6.856352,5.492402,0.5988315,0.8280698,0.58241075,3.5032694,0.94989467,0.4545322,0.90107447,135.45834,0.56089336,1.1844246
551,7.126189,0.93418264,0.52559257,3.72124,8.929804,0.5624312,0.7873799,0.7187927,0.65175533,0.55841744,0.932571,2.1587682,6.671751,5.0569,0.63611317,0.99052453,0.56448203,8.516697,0.94294167,0.61704206,0.8307116,142.14717,0.8038274,0.86693907
552,6.1227565,1.1547457,0.55403113,3.8705926,6.952192,0.6385889,0.8769513,0.7726031,0.67081153,0.55541754,1.135869,1.835928,10.275978,5.603199,0.6178378,0.8705777,0.5797814,4.1425533,0.97549886,0.48642257,1.0311947,120.13634,0.62797093,1.1215059
553,8.601801,1.1021512,0.48132217,3.9663482,7.5943823,0.6075004,0.8004458,0.71118975,0.78709996,0.4883743,0.5818016,6.7742667,6.0984793,5.3607764,0.60512567,0.8070899,0.44957766,7.418423,1.1264944,0.57693684,1.5051974,70.01134,0.77137995,1.012588
554,6.0352097,0.9391761,0.523837,4.6959105,7.493309,0.63500196,0.80911815,0.777326,0.6549165,0.54328406,0.6973763,3.519662,6.781561,4.764888,0.54353374,0.7233879,0.5885309,11.4214945,0.7716254,0.52652186,1.3173051,62.695396,0.6116042,0.97612584
555,12.334389,1.4865324,0.41385564,1.980974,5.9549627,0.46327722,0.8612337,0.79252934,0.8927311,0.42377204,1.8736633,10.48788,4.217846,3.0878901,0.53865564,0.71726817,0.58133084,12.605765,0.7625792,0.52941793,1.597738,51.17059,0.6132096,1.0366747
556,13.83889,0.9951792,0.40808403,1.607794,4.6232896,0.5337604,0.8995733,1.0728004,0.89081216,0.4721589,0.5089633,13.92837,3.9697423,1.6515933,0.64891046,0.81588787,0.61351293,28.382244,1.0962632,0.4743772,0.9536548,21.893929,0.54978615,1.2402341
557,18.824282,0.84223574,0.4198578,1.5819561,4.6693354,0.46339697,0.8643786,1.0086007,1.139228,0.5008905,0.47055572,15.778923,3.3415189,1.5967262,0.59747213,0.8142214,0.5427127,30.420021,1.2467461,0.4440633,0.9717963,37.496128,0.4800779,1.5510204
558,54.791428,0.9747633,0.5151486,2.409118,1.6478534,0.5238,0.9798276,1.1333234,1.0859351,0.50285137,0.6815672,11.335594,3.3219352,1.2033045,0.6060465,0.87277055,0.4480822,9.545243,1.3630847,0.55816203,0.8588984,21.309944,0.5469412,1.5503311
559,37.616158,0.94717085,0.38164884,1.2916846,2.0069766,0.46130008,0.95149577,1.2492753,1.064874,0.42770952,0.98702437,11.929712,3.0277839,1.2799025,0.65091395,0.8862049,0.5416861,18.448729,1.2569497,0.51501346,0.9407978,16.801035,0.53012264,1.4712521
560,26.997604,0.763668,0.39854282,2.1035342,2.711845,0.58436704,0.86754525,1.1238202,1.0967555,0.47920412,0.65565515,11.062965,3.5051887,1.3317574,0.74126846,0.88691294,0.68928283,23.272217,1.2794287,0.47067168,0.95685726,11.089939,0.4921789,1.4127301
561,23.738316,0.5967283,0.36945924,1.9196897,3.6270108,0.55223167,0.7939237,1.0458127,1.0784912,0.45606714,0.7476523,11.831753,3.282836,1.3543627,0.66752696,0.9282793,0.58449703,32.53788,1.355043,0.458453,0.85006714,18.067926,0.48858982,1.53443
562,21.181335,0.5023011,0.36047566,1.8087816,2.931498,0.5233207,0.8399216,1.182126,1.0819175,0.4105928,0.9746568,12.557842,3.159066,1.2046702,0.63308704,0.95937556,0.60200053,28.190578,1.3211197,0.5305355,0.73229337,7.251101,0.5794226,1.4646332
563,27.554663,0.63560975,0.38978252,1.9223391,2.1594884,0.47074065,0.93298364,1.1675856,1.1695001,0.42853248,1.0414066,11.414265,3.0710073,1.434835,0.66387004,1.0030062,0.62525094,28.644361,1.3943549,0.50534916,0.6975015,8.003797,0.54449373,1.4859968
564,7.2855425,0.49854636,0.4391544,3.6743379,3.5445054,0.7854959,1.0231353,1.371727,1.0844506,0.5827295,2.7720852,10.037469,3.5080905,1.2970283,0.6548821,0.98586243,0.64596796,25.523388,1.3292192,0.5281257,0.6830138,5.9003706,0.57130134,1.4284313
565,5.987182,0.5221664,0.44231355,3.5413446,3.2896042,0.7623101,0.9955176,1.4441018,1.3443267,0.58870816,2.615695,5.607626,3.6193871,3.1283896,0.6631157,0.9778406,0.6880606,25.229935,1.2741725,0.53427696,0.686391,5.7412696,0.57298505,1.4243956
566,4.01264,1.6591027,0.5610442,2.5088522,3.4681435,0.7857822,1.0016365,0.9898023,0.6873572,0.7386261,20.538128,1.2357087,13.168598,1.5108038,0.67223275,0.97878087,0.5183862,23.753431,1.663886,0.552554,0.9893215,7.4579406,0.5361611,1.3469437
567,3.4597077,0.88395023,0.60664123,5.334441,1.721143,1.0255486,0.91387904,1.1204437,1.2099832,0.6757573,1.0967851,1.9008611,8.151624,7.253276,0.6689529,1.0032115,0.5768415,26.460358,1.4920634,0.54963315,0.7793735,6.225969,0.56642485,1.413841
568,0.9641999,0.5344541,0.7569295,3.3332086,1.299787,0.5750141,1.0187974,0.8839851,1.0488802,2.2712462,2.2324681,5.2284265,5.0190187,6.785295,3.398122,0.70191216,0.8956949,3.042073,1.8267219,0.7475644,0.5109923,1.0245388,2.6559873,0.6615252
569,0.774934,0.41143546,1.1282,1.5057551,1.1792107,0.71837854,0.86360186,0.92978394,0.7552552,2.637835,4.7211614,1.5804431,8.301192,9.403176,6.122174,0.9479397,1.736804,2.2155206,1.8108891,0.9137748,0.46863723,0.93136907,1.6610975,0.6267593
570,0.78990424,0.4418806,1.2320685,1.4279511,1.1017578,0.73524,0.95325583,1.1287445,0.65329015,2.6283507,6.4880586,1.1107036,23.273678,1.3755214,6.2551513,0.95321465,1.835346,2.2042518,1.7880169,0.9275455,0.46751827,0.92726433,1.641862,0.622512
571,0.64056534,0.7416023,2.1838095,0.6034312,0.70091915,0.8167771,1.0052923,1.4006441,0.53931034,3.9562328,3.9272578,1.0288771,31.669384,0.4572678,13.186777,1.2844166,4.524824,0.88616663,1.700762,1.0572594,0.6819176,1.0756488,0.7528819,0.6927127
572,0.6611892,0.6520057,2.122868,0.5825289,0.5472446,1.0782353,0.8339052,1.3188374,0.52546346,6.7489266,2.2737699,1.0259595,24.787125,0.39342982,6.55437,1.4557967,4.3567977,0.34211203,1.2928178,5.804633,0.5774539,0.62876594,0.40063834,0.6697195
573,0.5743116,0.58306503,2.1254673,0.60561866,0.51965916,1.4237008,0.7379801,1.7079502,0.5494953,5.4083858,1.1353612,1.2109342,28.77145,0.5378637,3.05899,0.9650405,3.803197,0.36492458,0.854753,5.85862,0.6983083,0.6713623,0.5245247,0.6514356
574,0.6032197,0.62188464,2.1601737,0.57768345,0.5851078,1.6123853,0.7130783,1.3210407,0.55150515,5.2907524,0.79836154,1.123791,26.507189,0.48114094,2.06234,0.7630732,3.1958315,0.5340637,0.72766423,4.7932963,0.7471605,0.6655264,0.7158646,0.5900304
575,0.5881306,1.0215169,2.7386477,0.55663836,0.5206368,0.8462243,0.8186421,1.2942271,0.59573114,2.5169995,0.94096684,1.1518042,30.038172,0.5325007,13.681086,0.87832373,2.8170068,0.47595683,1.1821173,5.1531057,1.1008097,0.71616286,0.60510135,0.6771
576,0.6083933,1.3528513,2.7273555,0.52358276,0.6198164,1.0601993,0.8118112,1.0456014,0.5741184,2.3044941,0.7910189,1.07038,24.834923,0.43282834,17.967737,1.0500902,0.58872956,0.70014536,3.752788,2.940737,1.8022373,0.9143154,0.5291628,1.4104453
577,0.70581424,0.9630685,1.9315106,0.52855355,0.80939245,0.99928296,0.79837084,1.0865568,0.5899552,3.6286564,3.173144,1.1369781,22.817163,0.5338686,18.00285,1.125504,0.8115883,0.61885494,2.4286282,2.3810594,1.4926134,0.79153526,0.54924375,0.99092305
578,0.6483631,1.0634174,1.4890966,0.53263587,0.91007704,1.0788095,0.8569435,1.0614325,0.6235676,4.958517,2.1797419,1.1503165,21.510658,0.48133647,17.969513,1.2490962,1.1525664,0.53770113,1.2814744,1.8913164,0.9916377,0.74835366,0.4804933,0.6774574
579,0.70095205,1.0323857,1.4077418,0.3899378,1.4121411,0.9947932,0.77920204,0.94565,0.5976762,6.1629524,3.6889482,1.1383159,32.96432,0.45605698,10.340581,0.7760071,1.0870098,0.7649816,1.1963804,1.1619148,1.355622,0.9047487,0.58136326,0.6377382
580,0.7104777,0.8430102,1.5360649,0.47971946,1.1497147,1.0234096,0.81187487,0.9573364,0.563137,6.116785,16.683617,0.96208954,20.075253,0.3959916,8.148743,0.66920805,1.5137072,0.614185,0.7211396,1.4582816,0.94358426,0.6670171,0.69459605,0.48146376
581,0.68801224,0.63742745,1.3760514,0.5457321,1.7165291,1.0916674,0.79688597,1.1003089,0.5517096,7.4078054,21.7907,1.0359685,15.704303,0.45141274,5.2213326,0.764728,1.587077,0.689562,0.8761165,2.508258,0.6054628,0.59393686,1.0281148,0.4807478
582,0.6776653,0.6754021,1.5858486,0.5275972,1.7873669,1.0653806,0.8271791,1.0145757,0.56796277,8.077619,17.859034,0.97914183,17.10968,0.3876595,4.8217874,0.75689775,1.0875149,0.8734572,0.9306769,1.9102923,0.57890487,0.5431601,1.1300759,0.5284247
583,0.70244265,0.82458115,1.4179455,0.5131329,2.4117327,1.068111,0.7336629,0.6579148,0.6522911,8.027925,5.4348955,0.94317365,19.187069,0.40013435,3.317619,0.66524434,1.1646672,1.6675074,1.155561,1.7443185,0.5597485,0.6378279,2.6886814,0.54929054
584,0.82954025,0.6857969,1.2967799,0.58935773,1.5976412,1.1137396,0.680652,0.685941,0.64035195,6.6555214,1.5948359,1.0532066,27.850647,0.46039045,1.8995397,0.61647314,0.79022604,2.2942593,1.0072831,1.9795485,0.60111785,0.79829454,3.1083188,0.5145907
585,0.8242302,0.8040036,1.3179753,0.5278425,1.7265667,1.2574487,0.76023746,0.6994303,0.568151,8.400216,8.601588,0.92198384,13.762144,0.39158687,2.0345304,0.65052634,0.99911433,1.8493093,0.9773625,2.4999363,0.5433739,0.7117554,2.740117,0.51511616
586,0.7891576,0.599041,1.7193235,0.5019438,1.2682066,1.1906648,0.62310594,0.81514144,0.5451894,6.769198,1.4657942,1.2026348,57.201103,0.49146697,1.7621616,0.62582946,0.8625169,2.7037191,0.9075069,2.1274989,0.59661514,0.791337,2.152599,0.50403637
587,0.7184773,0.6129217,1.7899165,0.5723736,0.89334905,1.0633062,0.75883704,0.7995901,0.70168984,3.8751645,0.718682,1.1455269,22.77578,0.6981817,1.510897,0.5612891,0.39190865,2.8257425,0.8579736,3.075972,0.7584065,0.8953636,2.5955398,0.7291576
588,0.7230272,0.7512601,1.4342148,1.1898875,1.1076019,0.95358133,0.9030181,1.033608,0.7175435,3.846087,1.1938468,1.2411352,12.421907,3.5291955,5.1315684,0.77968025,0.9367061,0.5183813,1.0450262,1.6570768,0.7362343,0.6676534,1.0768993,0.91214633
589,0.7167384,0.89735484,1.3720763,0.97211945,1.0627493,1.1466308,0.74191463,1.0250084,0.70904696,3.3076086,2.4448645,1.2511841,13.319529,1.8851224,6.859304,0.8451902,1.9737033,0.6011375,0.9329778,1.2279177,0.5924531,0.66836965,1.0131458,0.7296935
590,0.69684476,0.83701587,1.1119008,0.5930235,1.5951679,1.8919532,0.6189289,0.7900662,0.6834495,4.802263,3.2787232,1.2438097,31.000038,0.554474,4.332294,0.7198674,0.93383616,0.55670655,1.207209,2.3449798,0.51743937,0.42589188,2.2273402,0.7680022
591,0.63410294,0.81412774,1.163067,0.5630395,1.6467124,2.0990179,0.689121,0.7139901,0.6261481,4.9913845,2.7624853,1.193963,28.985907,0.5467738,2.9095757,0.7689657,0.7042194,0.8404139,0.97949934,1.6170855,0.5504303,0.57429934,1.4503077,0.73629016
592,0.68267184,0.7715386,0.9367041,0.8805328,1.4803405,1.8076103,0.65113086,0.6359257,0.72087955,4.123521,0.89111596,1.2158582,17.699312,1.6843966,1.3173028,0.62797093,0.37043864,1.6753149,1.2936337,4.842873,0.82660145,0.9243008,6.0197177,0.6649956
593,0.66718656,0.7420804,0.8629705,1.1250263,1.7470002,1.4202634,0.6997887,0.60077167,0.80255145,3.8218198,0.76395005,1.3797244,12.334496,5.0070653,1.6830895,0.62828094,0.4693332,1.3001733,1.1957148,4.8091,0.80738074,0.7832147,6.0933757,0.58911747
594,0.8058591,0.60747474,0.9613149,1.2944345,0.96884215,0.7875923,0.9091023,0.8583931,1.243958,3.9714432,1.2081208,1.8594071,6.8100386,6.273557,2.963354,0.6247742,0.97616094,1.1259433,0.7407589,2.8732798,0.58814406,0.6132867,3.7469187,0.4755227
595,0.8241116,0.6395368,0.5670027,1.8181784,0.5508343,0.5529942,1.04104,1.1788156,5.262446,1.2183561,0.92094916,13.535524,3.8127964,1.7803832,3.2923355,0.60846543,1.2015212,1.089145,0.8117046,2.9606407,0.5253874,0.57102317,5.0117016,0.47309726
596,1.048174,0.7370687,0.45947975,1.5400002,0.43612692,0.45223212,1.4124467,1.4187226,12.856047,0.6605331,0.41876194,13.975638,3.0255203,2.004878,2.221101,0.6051176,0.892136,1.2825689,0.87088054,2.300663,0.54859036,0.67010504,3.617283,0.50507206
597,1.0568854,0.87855184,0.45051104,1.0560064,0.55544823,0.4509023,1.2081631,0.97561264,14.317803,0.638564,0.5749146,10.419012,2.6898584,1.5995317,1.2645284,0.5644031,0.6096982,1.4076049,0.91929686,1.470755,0.63898337,0.8949621,1.8205488,0.48006225
598,1.1097434,0.7054367,0.4950846,1.5259899,0.7004214,0.46673143,0.87996924,1.0203118,10.922621,0.6444534,0.73886484,11.623731,2.7545877,1.7639376,1.0184683,0.6284599,0.37872222,1.1410829,1.9000397,1.3599054,0.9899164,1.5436343,0.9307524,0.6459144
599,1.161092,0.5421009,0.45383677,1.5098128,0.4069189,0.38832855,1.263993,1.4013071,12.281485,0.48088437,0.5794913,21.101948,2.8564634,2.1271043,1.260703,0.72171706,0.5064347,0.9137173,1.9790025,1.2236097,0.89241475,1.585735,0.70041966,0.6538864
600,1.0031266,0.45790172,0.43831414,0.9806961,0.37223762,0.3289007,1.6833586,1.685318,10.200017,0.4494592,0.55372363,27.535969,2.81742,2.4675808,7.955904,1.1152275,3.968884,0.5565461,0.86361563,0.9623759,0.5859831,1.1049495,0.5443519,0.78792197
601,1.1956047,0.47436166,0.4184667,0.87105864,0.484697,0.29738024,1.448166,1.7216859,8.661297,0.39057976,0.4732972,35.15452,2.614614,3.3127468,7.0381637,1.106893,3.9507997,0.6052957,0.8229729,1.0094469,0.57126796,1.1299822,0.5832702,0.7137059
602,1.3348773,0.42840675,0.3714218,0.9194906,0.4426635,0.31053305,1.3600466,2.8191502,11.324872,0.40496802,0.3805431,35.61815,2.3268406,3.609951,4.7099795,0.98202604,4.126008,0.8802379,0.831499,0.7867735,0.5267913,2.7671373,0.5707224,0.6158925
603,1.8030144,0.63593954,0.37194508,1.2292335,0.5067806,0.25144598,2.5569203,2.727788,17.935646,0.36206418,0.5224226,7.723759,2.545292,1.6727955,0.92913646,1.1477811,0.89812446,10.320971,1.4798232,0.45166484,0.5887834,15.0271845,1.6050396,0.81061697
604,62.5253,0.7675747,0.4928447,4.46197,0.67358947,0.5751233,1.2741668,1.2730019,1.43801,0.53432447,0.71254194,11.0276,2.9131992,1.6517172,0.64852244,0.765254,1.0287621,2.2642372,1.1357987,0.94517034,0.77441216,1.8562635,0.65224016,0.8899085
605,42.718052,0.600844,0.4855109,5.5465183,0.7410156,0.5870482,0.975106,1.3530163,1.5367444,0.5388253,0.54927087,11.720007,3.3566668,1.1928123,0.5451278,0.5843735,0.6992583,2.4696848,0.8782802,1.3761578,1.1230562,2.0354514,0.72042733,0.72950894
606,24.28925,0.56487226,0.4800118,6.7753944,1.2986408,0.7407286,0.72273314,1.0775625,0.9367654,0.5879901,0.6465608,9.836134,3.6154385,0.93296933,0.59280515,0.6419621,1.4085251,1.9244912,0.85722995,1.0745909,1.164928,2.0448472,0.6544013,0.8200375
607,29.837452,0.6873027,0.45097694,6.0080347,0.9889195,0.6974021,1.0131207,0.91542983,1.0794108,0.56161094,0.4767015,9.357358,4.0902267,0.99711144,0.55141073,0.74686766,0.5430677,0.78646815,1.5283067,1.0958364,0.73633224,2.7816026,0.6109416,1.0322956
608,22.811169,0.5981291,0.5028641,12.368773,1.9165502,0.91733706,0.6689342,0.83767444,0.858497,0.67094755,0.37832084,3.8328142,9.247286,1.5272976,0.2808634,0.46714357,0.35416514,2.874389,0.66287,0.9111672,0.67107517,10.762606,0.57938856,0.6181809
609,9.416757,1.0330528,0.52541935,7.902751,3.138113,0.7442424,0.86312926,0.87547493,0.80327725,0.5523304,0.47664705,2.5896976,11.97752,3.4699643,0.38763857,0.644884,0.37681407,3.7670999,0.92135257,0.70286167,0.7065811,38.492085,0.61431235,0.83342713
610,7.5862255,1.1188506,0.5289358,5.018511,5.534969,0.60051143,0.77407587,0.73519385,0.78240657,0.52850235,0.61653364,2.8459249,12.448503,4.319849,0.5359379,0.83465356,0.43823645,6.637137,1.0086715,0.6294175,0.8379031,90.52445,0.7403833,0.9106071
611,6.9278846,1.0050329,0.52595735,4.0827594,7.879389,0.5837392,0.7329822,0.7157779,0.70637643,0.5520682,0.83668864,2.9658918,7.1527557,4.9312587,0.61684316,0.9066482,0.5257927,7.2444115,0.95744795,0.6167291,0.95967,120.760185,0.79557556,0.87423086
612,5.1885824,0.93692845,0.513068,4.231229,9.479231,0.63426936,0.76941466,0.77799433,0.7119355,0.54164183,1.2961503,2.2596467,8.937555,6.2997456,0.6288329,0.7551733,0.48547703,26.128782,0.9370931,0.50516146,1.1542861,80.30094,0.70010096,0.8641415
613,7.590521,1.0175593,0.4944996,5.121667,6.6177206,0.58374274,0.8703801,0.74903625,0.6919172,0.5185385,0.752915,2.7353895,7.3016663,4.5673075,0.62602675,0.7616978,0.4868151,29.01118,1.015264,0.50056344,1.0210885,91.25246,0.7507737,0.8221991
614,5.66433,0.8943205,0.49259838,3.9816885,7.5607567,0.5065684,0.84501237,0.82544047,0.73842454,0.49053153,0.62622046,2.5780053,10.57476,5.6323786,0.5858548,0.7050288,0.48912528,30.849957,0.87461203,0.5035255,0.99835384,72.722664,0.6913661,0.84413755
615,6.5077868,1.2375762,0.54899466,5.7301946,6.8106546,0.6644822,0.7593403,0.6744485,0.66847634,0.5210024,0.60654885,3.0645533,10.512111,4.657786,0.47162515,0.8154786,0.42316034,4.0807147,1.521462,0.66265774,2.2384002,89.8145,0.7717443,1.2216556
616,5.794512,1.1693068,0.58138925,4.3721533,10.456444,0.62039655,0.77644193,0.68365204,0.6134596,0.53046054,0.70673525,2.6736157,8.145948,5.4916005,0.47299954,0.65462875,0.51961,16.670607,0.68276614,0.52502316,1.5252138,63.737812,0.5894689,0.9414568
617,5.457163,0.88267106,0.51678544,3.6396182,6.730096,0.50967133,0.9028328,0.8828747,0.6614329,0.44931382,1.0756584,1.8563936,9.231195,5.6078253,0.55892295,0.8892909,0.4960763,8.335913,1.3517779,0.5791121,1.3616676,47.235138,0.678811,1.3805103
