,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9
390.25012601755395,-4.1518674,-4.114984,-4.301845,-3.821769,2.772459,1.8937222,-5.0455394,-4.66713,-3.2711678,4.025325,4.7560897,-7.311595,-9.946717,-3.1967719
391.24406119228485,-4.3348475,-4.2871337,-4.3755484,-4.1313834,2.820702,1.7629621,-5.269702,-4.957149,-2.5368466,4.101625,4.746046,-8.529869,-9.194648,-3.645359
396.9206742817861,-3.9199483,1.6361697,3.6373131,-3.567998,2.4799,3.4686048,-4.405053,-3.3990169,-4.171843,1.7099407,3.0709672,-6.6204667,10.765081,-2.796407
398.9177721690224,-2.7489562,1.4888799,3.2402658,-3.688418,2.6578991,3.4760993,-4.5737157,-4.368728,-4.3930483,1.9545693,2.8928053,-7.0867214,11.584074,-2.938009
399.2752958986302,-4.2374606,-4.127018,-4.0205865,-3.853277,2.9251802,-0.49155095,-5.170762,-4.7366996,0.94681984,4.144212,4.8752294,-7.4700384,-12.898341,-3.2294464
409.05158671653425,-2.4142745,2.8830822,-3.3304868,0.832538,1.8650205,3.2070506,-2.0911987,-3.5677917,-0.5442677,2.6322894,-0.6500028,-0.6168468,10.35516,2.0173936
413.246789811073,-4.9335427,-4.619647,-3.8640544,-4.304878,2.7879825,0.7993192,-5.3082757,-4.8043466,0.1672157,4.1828666,4.6809297,-8.281822,-8.428644,-3.613144
416.15636215171224,-4.24198,2.3507771,2.7212524,-0.032542184,2.6320922,4.0403404,-1.8462282,-1.9327077,-4.3849626,-2.5383108,-1.5105697,-5.3043375,13.620695,-2.2651944
421.94272151368267,-1.2330354,3.148005,-1.3204373,-2.431891,2.7930448,2.6515083,-3.0126007,-0.75011706,-0.88104266,1.9594636,3.332102,-2.8621278,6.8573494,-0.80822814
423.9395643825002,-1.0384427,2.807942,1.4255024,-1.2390249,2.586599,2.9911704,-3.7161407,-1.0809839,0.07589997,2.0554698,3.2690258,-0.66401196,12.544487,-0.46837008
