,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
19,0.6519505,0.8719383,0.72969306,0.41774306,0.3635379,0.7640403,6.451665,2.3547416,3.2153096,1.1883694,1.905744,0.610466,2.0641882,63.75724,0.67822266,0.6204958,0.88451654,21.4884,2.737342,1.221697,0.69087476,1.2541647,1.0490043,1.0144441,0.97655374
21,0.7170421,0.73378694,0.5459151,0.40966797,0.2766418,0.5425026,2.379408,2.7805324,29.608477,1.0896876,2.0169425,0.58642304,1.579928,52.22223,0.636194,0.8281014,0.49766195,0.3734386,1.093289,1.1779969,0.46912357,0.5333692,0.9822171,0.7704135,1.1223774
22,0.5896377,0.8627863,0.6298609,0.442069,0.30303448,0.6303649,2.3511534,2.3496907,38.213924,1.1127951,1.9848466,0.5736651,1.6292846,52.74845,0.62975305,0.7944827,0.49162123,0.36326456,1.172343,1.3924516,0.41099155,0.47707984,0.97574955,0.88684,1.2329865
23,0.5808368,0.9887134,0.5859202,0.44012353,0.29632363,0.63649833,3.2806056,1.5662335,31.830889,1.1599206,1.8475432,0.48611966,1.8893888,13.562355,0.5605419,0.61308557,0.6188801,0.463988,1.1086473,2.7412276,0.4743001,0.51438874,0.988056,0.85207295,1.1426458
24,0.5722832,0.8991678,0.6444782,0.4337026,0.3162952,0.63931894,6.2747445,1.7454731,34.527172,1.1652938,1.9267414,0.5504109,2.0735712,19.947712,0.67584676,0.59869254,0.58722126,0.43400103,1.0262473,1.2696172,0.4799044,0.51201737,0.8945766,0.8448332,1.0756627
26,0.97809196,1.0301763,0.5487686,0.58309317,0.41279948,0.66433847,1.4285293,0.63515306,62.75746,0.9470211,2.1180284,0.45251507,3.3100405,5.238114,0.57078415,0.6440745,0.6297205,0.45368615,1.1928061,1.1712992,0.5361114,0.51186633,1.1012635,2.7048473,1.4553282
27,0.68477,0.9255833,0.5410953,0.4045117,0.29723954,0.6113305,1.7322136,2.4425578,33.551315,1.2922916,1.9717401,0.5286313,1.9411944,22.22066,0.63042074,0.5441875,0.58837223,0.33183882,1.0149326,0.9680706,0.5946511,0.58263683,1.0492756,1.246189,1.5073419
28,0.785258,1.3185529,0.5203256,0.42909268,0.30164015,0.5880987,1.4066978,2.421697,20.263556,1.2038095,2.0242996,0.5277213,2.6118267,21.017508,0.6529912,0.5258385,0.7808934,0.5032858,1.3100299,0.73117965,1.2228025,1.3892059,1.1306429,0.838359,1.0537559
29,0.7535711,2.933682,0.6915927,0.40243474,0.30225787,0.87163305,1.5697427,2.6916032,9.100953,1.1082714,2.0913281,0.53845555,2.2438412,30.300032,0.5929259,0.55418235,1.1762512,0.6735361,0.8005336,1.0454595,0.5236367,1.399597,1.0228417,1.1326828,2.004962
30,0.66036,1.127887,0.6666733,0.43801478,0.33090448,0.7295892,1.5790973,4.3288236,35.19025,0.9234854,2.1002264,0.5925848,2.21318,43.822662,0.6535362,0.5686739,0.5720647,0.3366106,0.8335253,0.96487075,0.4618194,0.50861233,0.7451003,0.75055456,0.8926001
