,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
276,1.4319286,2.9663634,0.5871105,0.9308547,2.8981538,2.0579562,0.7356249,1.3865056,0.7077182,1.3594277,3.6189923,4.706416,0.7929159,0.82848155,4.820586,0.72414714,0.6688226,1.3084743,3.5269186,1.221277,10.810274,0.69698924,2.306491,1.2474172,2.1050687
277,1.3604131,2.051168,0.5879041,0.90638506,4.748659,1.6386225,0.70055056,1.4899161,0.7102645,1.1703364,3.3833015,4.811454,0.7399786,0.88213897,6.9821377,0.93290806,0.7116466,0.92762685,1.9231313,1.1070796,8.50496,1.0219859,1.3642693,1.1714302,1.2097739
278,1.2842203,1.442961,0.7598256,0.7663795,4.322189,1.2606344,0.64116645,1.8824003,0.71530735,1.1261742,2.671747,4.533421,0.58841157,0.859556,3.246182,0.6133856,0.90749687,0.6297006,1.1833819,0.90120393,7.189468,1.1613524,0.9331286,1.0387025,0.80393726
279,0.8364928,3.681587,0.6992842,0.64522934,2.774919,1.5123048,0.9459939,1.183599,0.75560486,1.2790792,2.7938004,2.7562447,1.3890824,1.0750458,2.0698164,0.4810741,0.6570908,0.93478596,2.9134636,1.2114011,12.257823,0.8619847,1.8679839,1.2808444,1.4003016
280,0.8670924,1.7851381,0.9582499,0.66373175,3.3693166,1.340888,0.8857269,2.270363,0.6600816,0.9603342,2.7069917,4.1090536,0.66947186,0.9871674,2.0724967,0.5687092,2.0759563,1.0549423,0.82160944,0.7686244,6.8181663,0.96410155,0.9218395,0.82380617,0.7917044
281,1.1345656,1.2506206,1.8597419,0.5446181,2.8978784,1.493616,0.8053534,1.8697331,0.6729593,0.7275468,3.1270704,2.1341465,0.96952367,1.2344736,1.1185727,0.49701038,3.436439,1.3716862,0.73166704,0.76543444,4.3224587,0.7324095,0.9746987,0.76751107,0.79312086
282,0.87548566,1.3974216,1.5740166,0.75244594,2.7427773,1.392109,0.737177,1.3944147,0.7546281,0.77438575,3.2698154,1.2578833,2.0704002,1.2393758,2.8009803,0.47603476,3.836054,1.6800343,0.6506473,0.7770784,3.534221,0.7010855,0.9346328,0.7764382,0.7827776
283,1.2465532,1.1642829,1.593734,0.4978807,2.4156158,1.8620577,0.7716059,2.2033443,0.7340538,0.7953087,2.872251,2.7938948,1.1415719,1.6541368,1.2185746,0.35968867,3.0180106,1.9362695,0.6722553,0.7462178,3.7151065,0.7580319,0.9038685,0.74806494,0.8591132
284,0.7199564,1.454946,2.1884656,0.46795768,2.743011,3.397699,0.7312436,1.436889,0.82805854,0.9795152,2.6067963,3.433477,0.9061228,1.4223369,1.0059927,0.3274322,3.3279402,2.9943,0.7069331,0.72832143,2.0236347,0.6390788,0.807627,0.7548305,0.8463925
286,0.6991102,0.8831781,0.7686216,0.4316184,0.41770488,0.9763944,11.038826,1.7939821,1.8902504,1.562511,1.8494449,0.40392286,12.616294,2.4355621,0.61943966,0.7379835,0.755576,1.3444649,2.534022,1.5461489,1.1874324,1.2568405,1.5562028,1.2389815,1.853569
288,1.2369076,0.9464392,0.6828829,0.62452877,0.48406366,0.7287325,1.8217974,1.5052234,7.6590652,0.94354963,2.1371858,0.5786342,60.673637,1.7414833,0.8835728,0.6497785,0.8685102,1.1049746,47.872204,1.5636775,49.037277,0.6779929,1.1220816,1.127815,1.8067784
289,3.0616753,1.2012788,1.0245981,0.48285913,0.49962443,0.9862679,1.089077,1.3516673,12.130448,1.1557713,2.00996,0.559677,71.137634,1.8470634,0.7194057,0.6185536,0.8279897,0.90089417,1.2025826,1.0440048,0.63118684,19.017258,1.4862905,0.9778897,1.6225903
292,1.3655633,0.7345936,0.78235394,0.6816289,0.55194247,0.5880624,0.95004874,0.5671261,105.02681,0.77068967,3.588857,0.8793952,2.353707,0.9242433,0.94058645,1.0370986,0.78925025,0.80851895,1.0696378,0.94320226,0.6341034,3.9854953,1.1542549,0.85489845,1.2381564
294,0.9389477,0.82855475,0.8530824,0.725683,0.51814914,0.651927,1.3154957,0.62760967,102.05326,0.8793454,2.2629886,0.7221324,4.334773,1.2034353,0.85586184,0.774155,0.5437823,0.32615468,1.1297786,1.2986064,0.47082585,0.6896864,0.8301548,1.112302,1.0820996
295,1.5419736,0.86483395,0.86848354,0.6858725,0.5549555,0.6299354,1.2077476,0.69114673,102.96413,0.8082965,2.8411798,0.82067364,3.0838814,0.94806385,0.92826205,0.96469665,0.54378223,0.32615468,1.1297786,1.2986065,0.47082585,0.68968636,0.8301548,1.112302,1.0820994
296,1.3332903,0.9062272,0.92937946,0.70485127,0.57691145,0.66359246,1.1356082,0.67253196,90.18757,0.8340383,3.6839619,0.8626575,2.329741,0.9324865,0.93299675,1.0458466,0.6396807,0.4353396,1.0660018,1.2265612,0.5048729,0.74885976,0.8929489,0.98658395,1.1631888
297,1.0044458,0.84757745,0.84146297,0.614051,0.46322238,0.6199671,1.2074305,0.9275442,85.66439,0.8989249,2.744001,0.68899524,8.972964,1.2495873,0.77701145,0.8161066,0.8855814,0.54722536,0.9995293,0.9833986,0.6321451,0.8413318,0.79599404,0.7937656,0.85173255
299,0.62641263,1.0946609,0.487243,0.4295411,0.26193827,0.57515424,1.9704933,2.2418375,40.420906,3.6671257,1.9322927,0.4635367,1.952035,14.820174,0.5658992,0.5444041,0.4465421,0.28125498,0.8572424,0.9564601,0.42939195,0.4962759,0.68963844,0.710025,0.7150395
300,0.96243966,0.85432315,0.38045216,0.36312744,0.19875658,0.40286154,1.9656196,1.9018679,16.404512,6.916112,1.9926019,0.4434327,2.118518,17.887585,0.5094735,0.5704105,0.30693394,0.26667696,0.9510293,1.0699222,0.30889395,2.9128666,0.6325495,1.2016039,0.7796219
301,2.6712723,0.7640183,0.41348287,0.34793645,0.21568206,0.3927853,1.3903826,3.1792207,6.3509827,8.242838,1.9332054,0.59408015,3.2697623,48.343273,0.6999246,0.70571667,0.40007928,0.39793682,1.0196127,1.0902485,0.3655172,6.69924,0.8607895,1.2938311,0.8859089
302,2.2811236,0.71162796,0.4328664,0.36421242,0.25953034,0.41727886,1.7031395,2.7139907,6.3282595,6.5850763,2.155468,0.55290604,1.356588,39.496162,0.62071663,1.0954335,0.38428685,0.37361917,1.7223612,1.8417677,0.32850975,4.165523,0.77804995,1.597518,1.0265112
303,1.4587524,1.4760667,0.39807695,0.4221794,0.23733091,0.42710242,1.4832475,3.7101343,5.8369493,2.213573,1.7889035,0.5452805,0.79335934,3.8251457,0.5372352,0.84164906,0.7444767,0.4351928,1.9483178,2.5825617,0.4462359,1.2348535,0.90053266,5.014274,1.1643249
304,1.1005744,3.3665018,0.613761,0.61414963,0.4035803,0.6302717,1.6522002,3.9959984,2.4802752,0.9586375,2.5427892,0.486638,3.5201023,2.4523692,0.50370324,2.043481,2.0350785,0.3497834,0.8513258,2.5187254,0.595939,3.2493556,0.5246993,4.786218,0.73737514
305,1.7923578,1.5077233,0.6859087,1.1699207,1.1077945,0.77398765,0.8552848,2.5433714,1.3129032,0.7265215,3.2250679,0.644955,6.359603,1.3204548,2.462957,8.888401,1.9944465,1.2460473,0.5933268,1.1347919,2.1200738,4.554425,0.68608314,0.8156586,0.80236745
306,1.0472305,0.611489,0.94272935,2.368416,3.516836,0.81248736,0.60749733,1.1062275,0.81691706,0.6216163,4.384598,0.95816964,8.706648,0.7888656,2.3742254,14.353319,1.299047,1.5224998,0.5244976,0.8970016,2.3610995,5.2948794,0.6497796,0.5134672,0.66864043
307,1.1022698,0.58405834,1.1058924,2.6674128,3.0879514,0.767372,0.57471144,1.9282577,0.8352314,0.53906757,4.1984215,0.7332782,9.74544,0.90691465,2.6627448,18.832203,1.3241374,2.2467828,0.5203943,0.74199915,2.4770756,4.3525677,0.6960209,0.48851255,0.71231043
308,0.83873785,0.58189046,1.5751187,2.3280923,4.925847,1.168541,0.5417217,0.8706591,0.671888,0.5970237,3.873962,0.9654175,1.612414,0.83475083,4.30335,5.94776,0.7468683,2.6867878,0.48327214,0.6726514,1.4092777,1.0500242,0.74251056,0.42403033,0.7175387
309,0.67692846,0.6323794,2.06886,0.9270812,4.6656427,4.134589,0.6597293,1.6059752,0.6828716,0.7053164,3.4179163,1.3240602,1.1387194,1.0965984,11.517119,1.9973768,0.80405915,3.6739955,0.47460657,0.636389,1.0281146,0.6339411,0.8081263,0.45535788,0.8058552
310,0.6165548,1.3393646,0.9651557,0.8693589,5.3932047,3.7241607,0.6545624,3.2451396,0.6942483,0.74170387,2.296445,1.2642593,0.5433281,1.035474,4.539878,0.6496697,0.8412179,3.6752098,0.47968537,0.6217167,1.0033787,0.5344216,0.8032474,0.45084193,0.7731415
311,0.69475704,1.3296384,1.1716642,0.7908478,4.7231207,2.9640818,0.63701046,1.5881345,0.72635114,0.7728268,2.2395976,1.8539078,0.5390471,1.0001154,2.2665918,0.44794446,0.74904984,3.1931968,0.5322403,0.6889176,1.4366246,0.6732733,0.8366743,0.47476637,0.83138996
312,0.63107955,0.8416544,1.4635849,0.7724912,5.555501,2.906867,0.63561416,1.8267434,0.7265427,0.67577124,2.5890205,1.7176605,0.5633406,0.93907166,3.327107,0.6348439,0.7462034,3.1087406,0.5369968,0.70607316,1.8079095,0.872576,0.8041897,0.46471006,0.8200641
313,0.9238038,0.702876,1.2629988,1.2729645,6.3692465,1.6882166,0.60899043,0.99105597,0.72944903,0.722326,4.4421835,5.163285,0.7321269,0.77416813,7.573695,1.4447143,0.7821351,2.673622,0.5859042,0.78111225,2.5804179,1.4609618,0.7719897,0.45472428,0.82338053
314,1.3317013,0.80154645,1.0871365,1.3032682,6.4610915,1.3756025,0.60553694,0.9632876,0.6693703,0.86373985,4.5807347,12.276278,0.91149384,0.72061944,4.894319,1.3859286,0.81665474,2.699716,0.5972111,0.76373243,3.0871353,2.3941493,0.7590671,0.4651956,0.7914768
315,2.7764232,0.62195504,0.764372,1.4381393,6.0801573,0.9768507,0.55268997,1.5044863,0.57766366,0.72688293,5.668615,32.18971,1.3242527,0.79419225,0.9022196,1.0646706,0.7048466,1.7550961,1.1660619,0.980014,5.1449466,4.4108047,1.0134585,0.5995688,1.1469623
316,2.9174473,0.7909955,0.7163055,1.2137609,4.548047,1.0927289,0.52904886,1.2158606,0.61159426,0.90306,4.207886,11.991406,1.0548506,0.7091669,2.020644,1.3100823,0.5887595,0.73981434,2.189512,1.1081591,9.378808,2.1169715,1.3859179,1.0269775,1.3616056
317,1.5826428,3.0022252,0.57123613,0.90203154,3.8099284,1.6884485,0.7816092,0.7921702,0.71843684,1.7152715,4.078403,5.5543,0.6828431,0.7876137,10.077968,2.2296615,0.57598674,2.1371613,6.284412,1.363576,11.658829,0.44420978,3.712815,1.2329057,3.429821
318,1.8565001,2.1153302,0.6053194,0.90374565,3.1098661,1.8703346,0.76402724,1.2798898,0.7539902,1.349043,3.6567502,8.269571,1.1051404,0.7370449,5.0326037,0.99654114,0.71694726,0.97270226,2.263091,1.1420252,10.669969,0.88525295,1.5593963,1.282145,1.3196526
319,1.7203057,1.6092924,0.541887,0.9258959,3.9782457,1.6559889,0.6657291,1.6356227,0.70934695,1.360619,3.4410868,6.560326,0.92832637,0.8946869,6.493972,1.0131783,0.65817946,0.7825788,2.820894,1.1350952,11.175522,1.037185,1.7514292,1.1743847,1.371042
320,1.0743821,3.046382,0.75543034,0.7127927,2.7590327,1.609097,0.81166315,1.696406,0.6913239,1.1752672,2.5024686,3.7268207,0.63350326,0.8587508,3.1815183,0.6028073,0.9989801,0.81787544,2.127575,0.9951332,12.695194,1.113808,1.4543494,1.1072495,1.094564
321,1.3255055,1.4072709,1.2129618,0.6246358,2.809916,1.1887729,0.7395102,2.7890005,0.6754119,0.94100815,4.0153017,1.4070662,1.126925,1.5712771,0.9836344,0.6826183,1.6474972,1.1756845,0.9307126,0.78442276,10.142297,1.02807,1.0047215,0.8903324,0.8213351
322,1.3137913,1.2642055,1.5401604,0.5624912,2.2564378,1.249043,0.78431326,2.1672108,0.68605304,0.91637087,4.501631,1.1019782,2.3742042,1.423836,1.2447681,0.6554674,2.5055087,1.5762442,0.73124295,0.73852193,6.2464623,0.8077427,0.97263134,0.75051624,0.8521109
323,1.4187319,1.09116,1.5351074,0.56357306,2.3631866,1.3014351,0.73262334,2.050773,0.7517985,0.78633326,5.342164,0.98645735,4.1226583,1.6123596,1.0892637,0.483419,2.8533368,2.0036044,0.64373946,0.7319294,4.6071606,0.7912903,0.9228179,0.7464607,0.8440701
324,1.2418396,1.3793603,1.8490367,0.46174905,2.2087915,2.5465193,0.69494367,2.253313,0.73642623,0.90431887,5.103321,0.9634139,1.8252698,2.9222548,0.91109055,0.40327466,2.8536708,3.042853,0.61066806,0.72623694,3.172799,0.7091744,0.87132144,0.7596565,0.8522615
325,1.1268326,1.5631073,3.434534,0.4195916,1.8878652,3.0664215,0.6383325,1.373661,0.8315245,0.96936774,5.379453,1.0405084,1.7288272,2.239106,0.8063126,0.33893505,3.0257735,3.9163358,0.83342385,0.7409039,1.7587521,0.63048095,0.8157079,0.8189308,0.9093155
328,0.52913296,0.85625553,0.5906571,0.49377733,0.33587077,0.62451863,64.48291,0.52243245,1.5120442,1.0371132,2.237731,0.47568566,10.010649,1.7185258,0.7166148,0.69424605,0.8023093,1.9323635,1.6267967,1.913696,0.67203575,1.1498227,1.8694742,3.0708854,1.5173367
329,1.464122,0.7942492,0.7566298,0.65392786,0.51966244,0.83004403,3.659462,1.4054048,2.2754033,1.2800152,2.1188529,0.44850025,38.285557,2.0525086,0.63597757,1.0228716,0.98022115,6.2668386,2.224825,1.1472133,0.9316,2.5118449,2.2899277,1.0054924,2.390235
330,2.1057765,0.74840426,0.72045314,0.6339722,0.49083203,0.7239452,1.0225252,1.3530883,17.577244,1.0031799,2.1425927,0.6514686,48.749744,1.6842612,0.7961697,0.6783529,0.7884805,0.8789581,1.1698914,1.0054419,0.63036036,11.929811,1.3831159,0.930456,1.4717987
331,1.8486401,0.754863,0.79270303,0.57349104,0.49595857,0.67002845,1.0948803,1.0369987,22.127993,0.9133091,2.1105814,0.63422155,39.272884,1.6376259,0.7571496,0.7023163,0.80792725,0.89932644,1.1553447,1.0010426,0.6575071,11.786513,1.4158437,0.91379637,1.3785189
333,2.9879987,1.5308564,1.5041683,0.40111777,0.45945507,0.9566872,0.8022771,1.1740582,17.717918,1.0734307,2.0176282,0.5625299,2.545408,1.5268073,0.63428605,0.5860489,0.94884545,1.3330631,1.2476647,0.95817137,0.680901,6.1094046,1.1664951,1.0678234,1.7037075
334,3.3976152,1.4635501,1.3907484,0.4727993,0.49879715,1.0051324,1.1949975,1.2872303,16.78232,1.1919369,2.0733697,0.62808114,2.7409227,1.5089375,0.719035,0.6018358,1.749789,1.1371226,1.2926764,0.9620953,0.8507444,1.6243001,1.1445769,0.8750657,1.0871305
335,0.9048979,0.96897936,0.84701395,0.65047586,0.51656735,0.67542416,1.3392649,0.6766962,101.51367,0.8087541,2.1014621,0.65024054,1.3703654,1.6434886,0.6662083,0.5306312,0.71243906,0.57314354,1.0448451,0.5939408,0.6116848,1.4608966,1.096752,0.87897694,1.0028332
336,2.256383,1.248165,1.0814972,0.48288208,0.451342,0.8690634,1.2221737,1.3239036,23.234684,0.8836889,1.9728315,0.6197267,2.2708485,1.3230004,0.69262326,0.67295814,0.553652,0.35911936,1.0252467,0.7361486,0.5212963,1.1363941,1.0348548,0.9030077,0.9241397
337,0.93604875,0.86732996,0.83798647,0.6134892,0.47311294,0.61660856,1.4384162,0.7652449,100.728516,0.841964,2.0807388,0.5186209,10.304464,1.6234477,0.6206898,0.64342505,0.60453063,0.42005453,1.0880227,1.2428095,0.4910523,0.7522384,0.8755197,1.0380005,1.1622119
338,0.6280911,0.9417658,0.60013944,0.49902678,0.34421468,0.68913615,1.9358153,1.4233928,54.10961,1.240706,1.8087244,0.39062136,2.3832555,5.6247864,0.44557872,0.5438672,0.4323072,0.32513013,1.0324615,1.6371459,0.39876038,0.5138078,0.84793085,2.2504206,1.2648814
339,0.7892047,0.5838256,0.35330927,0.32491067,0.1891321,0.36434484,2.16845,1.7575011,24.025434,11.060768,1.7425854,0.4296253,2.648134,23.163597,0.5136549,0.55067146,0.34230858,0.27311254,1.0063524,1.251176,0.34987295,0.9181529,0.72235066,1.2046708,1.015459
340,1.0871838,0.48241603,0.38093883,0.33319783,0.19970559,0.33962247,1.7894087,1.8343734,18.260868,11.083756,1.8855085,0.5450289,2.6680799,38.991608,0.64437723,0.55212486,0.33726084,0.29241532,0.9532589,1.1099548,0.32183194,2.8334608,0.6652156,1.2740602,0.8210516
341,2.3387518,0.91401505,0.43334973,0.38347292,0.2423478,0.44429106,1.2704136,3.9285736,5.195449,9.497755,1.9627285,0.53898233,2.8249133,37.29507,0.60932183,0.5918848,0.4408549,0.53252935,1.0539724,1.0315903,0.4419169,13.3919,1.0090384,1.2472073,0.96781766
342,3.1398964,0.8652124,0.44533896,0.360384,0.2305548,0.41680637,1.4051113,4.222438,5.191348,6.960126,1.964668,0.54364455,1.9114271,48.72045,0.65281117,0.8048694,0.4832258,0.646706,1.0574498,1.0035691,0.5215585,14.000049,1.0719242,1.2393208,1.0153489
343,2.052626,1.8585074,0.74768174,0.5047867,0.3035117,0.5092538,1.04935,4.9100485,2.2965825,1.4735854,1.7133832,0.58445036,1.0756494,5.079658,0.67934537,0.8050626,1.8441002,0.7814727,0.67918336,1.238138,0.9674504,4.635671,0.6232853,1.8260876,0.6840246
344,1.9697442,2.6522703,0.63820624,0.54424834,0.46148783,0.84702396,0.9813853,4.6848955,1.7098234,1.3226366,2.1620564,0.9358103,0.82617396,1.2545614,2.091193,0.6612918,1.7983754,0.35180593,0.94583005,2.2491546,0.57293403,2.370766,0.544987,6.185531,0.79221755
345,2.8856094,2.3464396,0.8888722,0.991327,1.0664622,0.6341804,0.87122273,1.5042936,1.4235342,0.6046492,3.5951166,1.034176,1.565124,0.95650315,9.780161,10.297259,2.4725544,0.44124833,0.69628257,1.6771307,0.7019179,4.3156343,0.5028488,3.2557478,0.633359
346,1.1404078,0.6868948,1.3262776,2.6961327,3.175034,0.78728676,0.63540167,1.2456019,0.9474099,0.5882528,4.4748325,1.9380118,1.195134,0.70331556,3.3648036,12.090808,1.1577673,2.4338307,0.5391675,0.8612054,2.1488314,3.4193418,0.70600075,0.5291551,0.6011199
347,1.1841005,0.5661151,1.6768299,2.1498084,4.656704,0.87362635,0.5275699,0.7892744,0.65591085,0.6179831,4.5338473,4.1610446,1.165881,0.6400126,1.4083695,10.095196,0.77523077,2.4996135,0.5175369,0.703437,1.5098354,1.5917497,0.70218587,0.43320367,0.7272329
348,0.832149,0.545969,1.9258358,1.3523507,5.554985,1.7025585,0.52984816,0.73528206,0.6021825,0.62474644,4.040895,1.938996,1.1563244,0.83746606,11.634097,5.9698205,0.7666671,3.2121592,0.45344052,0.65877265,1.1578432,0.83133745,0.74128747,0.4236068,0.7430123
349,0.6296283,0.6094435,2.458187,1.1455461,3.932668,2.9579127,0.5655968,0.5828979,0.6765102,0.6442902,3.9946685,1.6334909,0.7564101,0.83570784,7.939775,1.4554172,0.93395156,3.7309682,0.49098316,0.6542666,1.0581145,0.5927562,0.85194016,0.49836153,0.8618693
350,0.6193329,0.5833563,2.500237,0.8772111,4.459969,4.520462,0.5800688,1.0501623,0.64225626,0.655846,2.4714313,1.769877,0.72581005,1.0957123,1.5587848,0.48197785,0.87654454,4.488777,0.55664766,0.6727398,0.88361657,0.44267616,0.9443542,0.54326504,0.96601015
351,0.5799124,0.62004465,2.1385248,0.9262136,4.432085,3.9784107,0.6187358,1.4709512,0.6572381,0.6648827,2.3044474,2.5849617,0.49455652,1.0495203,2.231056,0.51273155,0.78303325,4.090032,0.5583901,0.6774701,1.0480005,0.4673397,0.9415764,0.5058372,0.92606133
352,0.61008465,0.7662238,1.9305823,0.81919503,4.707773,3.860362,0.6424901,1.4427052,0.6808414,0.6865586,2.277748,3.5953612,0.54881406,1.0622219,1.2223852,0.446421,0.7140927,3.3180623,0.55722755,0.7017357,1.3752484,0.6653961,0.8649534,0.48199886,0.88006014
353,0.84705544,0.8221525,1.3390915,1.0283393,6.792513,1.9408854,0.64391005,1.0528753,0.72063833,0.72791004,3.1218243,4.6129246,0.87039196,0.8793499,4.715603,0.778413,0.6951788,3.0367491,0.57326394,0.7296906,1.8104293,0.9928777,0.8129546,0.46319276,0.84500235
354,1.3987099,0.6722958,1.1154612,1.4818606,5.286574,1.1768816,0.5889827,1.1484166,0.6634468,0.7849791,4.067148,14.8752775,0.99069464,0.7160213,2.9105976,1.6401174,0.6845586,2.6165612,0.67050916,0.8076993,3.3716505,2.3302069,0.8009408,0.4760084,0.85332376
355,2.0254328,0.6647704,0.7801366,1.414958,5.6691046,1.1209674,0.54105914,1.3453189,0.5996585,0.82839197,4.9876685,18.916813,1.047587,0.6944245,1.1719209,1.6278067,0.6170943,2.0100517,1.1821982,0.9790477,6.3005853,3.5804276,1.0989136,0.56850064,1.2451715
356,1.885234,0.71144354,0.7398732,1.6555529,5.0597982,0.88163626,0.5595256,1.2262639,0.6571154,0.94233936,4.272603,14.855586,1.1465645,0.7788131,1.5466818,1.3852705,0.5990107,2.0618556,1.2431065,0.9302276,7.0959945,3.7685893,1.1454605,0.5987114,1.3016623
357,1.9801438,0.8505677,0.70072806,1.1082885,3.8323908,1.2554103,0.51053166,1.141268,0.63844514,1.3461614,3.111279,17.974623,1.2087352,0.81666327,2.656615,2.534064,0.5397891,1.4415721,3.6297436,1.1261244,11.25969,3.209436,1.7108773,0.9852377,1.9706308
358,2.0820847,1.0122535,0.6328021,0.9452846,2.8146436,0.8918534,0.7702901,0.7008623,0.8136674,1.7602272,3.6692698,15.116209,1.1107429,0.8346314,2.4190946,3.210311,0.5533939,2.1305888,15.480754,1.4179589,15.648064,0.54722244,5.6877193,1.3555152,3.607982
359,2.3029356,1.3786154,0.5717405,0.86122763,3.6581903,1.1145204,0.6774987,0.6886416,0.7392807,1.9216408,3.1471348,17.14607,0.9943912,0.8753302,5.21114,7.658873,0.51925844,2.1830227,17.428139,1.421964,17.410833,0.5188458,5.778565,1.2881396,3.7754638
360,2.1594903,1.938604,0.63304394,0.8807143,4.3904433,1.141912,0.7397834,0.6465388,0.74831975,1.9446704,3.3784356,8.69711,1.2359432,0.72284245,4.322527,3.315999,0.6182713,2.0835698,11.37638,1.3205038,21.715832,0.5725473,5.2933455,1.257317,3.2815585
361,2.7619424,1.6828167,0.80725896,0.7095883,1.8803785,1.207228,0.7419046,0.9691081,0.9255464,1.5485405,6.808264,0.9353871,7.0193257,0.77391165,2.6331444,2.9836607,0.6823995,1.4414709,6.5432687,1.2818878,19.937109,0.721857,3.385928,1.2374738,2.356794
362,2.825819,1.2677386,1.0253278,0.7330072,1.4606098,0.9028325,0.70705056,1.539049,0.9624779,1.0327599,5.577915,0.9297427,8.488744,1.0066767,1.9155207,1.2635652,1.026817,0.92102563,2.3537989,1.0052457,17.524572,1.1774361,1.6117895,1.1347326,1.145577
363,2.1620498,0.8834977,1.3610048,0.8429905,1.6153879,0.96346796,0.65748185,2.052707,0.8851831,0.7882576,6.9426594,1.2124852,9.561203,1.0223852,1.5719454,0.9820063,1.8675843,1.9538227,0.79795134,0.6932204,9.796209,0.94670254,1.0389005,0.7874127,0.847767
364,1.2872497,1.5927923,1.3713621,0.49447384,2.0334773,1.7003862,0.80510765,1.6980952,0.8592181,0.9699491,5.5218387,1.0237268,2.816746,2.5381818,0.9791858,0.39802688,2.4672723,4.1631894,0.58128977,0.655047,3.9109147,0.5603937,1.022629,0.7609193,0.8837517
365,1.4838605,1.6859279,1.5489904,0.4796586,1.9968507,1.5716245,0.7810298,1.7768047,0.8121826,0.91548526,5.4971924,1.040686,2.4707687,2.5396535,0.9865013,0.40088207,1.7392492,4.170247,0.6694062,0.7325162,4.7313404,0.9621885,0.89791894,0.684241,0.7916755
366,1.8332738,3.2493348,0.86081135,0.37639028,0.68227154,5.489726,0.8939657,0.54682773,1.6297694,2.5629053,6.3648663,0.86494935,4.351623,2.4888337,0.9214765,0.3613943,1.0697932,13.68441,1.1904576,0.7430231,0.766444,0.5201782,1.560219,1.2443719,2.6051724
367,1.5529745,3.2771056,0.86618644,0.39774716,0.7304404,5.7997313,0.847589,0.6458686,1.4066062,2.39428,6.2777987,0.9417662,3.68075,2.3859696,1.0303055,0.36343896,0.76080203,29.3685,2.5119991,1.2592056,0.6605491,0.50760394,1.6815035,1.5829635,8.992519
368,0.5737761,0.76741177,0.622036,0.43224066,0.32668626,0.6621715,31.945404,0.7780062,1.7157619,1.0682845,1.6515796,0.41704118,1.8146719,5.3412566,0.5947534,0.5966486,0.6199843,0.62903076,1.1587018,1.026717,0.5327123,0.5171629,0.90063834,0.95078796,1.1294965
369,0.5992677,0.83421147,0.5843354,0.521959,0.351777,0.64546615,81.81602,0.6846486,1.2423263,1.1417832,1.7901661,0.45536217,3.6758008,4.1633005,0.73550797,0.62692827,0.58853436,0.5261232,1.0713478,1.301984,0.4961153,0.5321676,0.99557024,1.0125456,1.1436019
371,0.5333394,0.8462955,0.55560017,0.54133666,0.3552519,0.59185916,47.229668,0.5113138,1.9268584,1.1143713,2.1945205,0.49605632,38.704033,1.814905,0.69656646,0.69606036,1.0306516,1.2230331,1.3831012,0.9771267,0.76929915,0.8646429,1.4177837,1.3006212,1.4162079
372,1.0963472,1.0202984,0.97468436,0.5323316,0.4877824,0.7538434,1.1155357,1.2941805,56.99624,0.9011689,2.0874405,0.6767918,4.0438027,1.3484725,0.7272121,0.61954033,0.8785105,0.4526376,0.92690915,0.9018902,0.6392915,0.7338411,0.6983886,0.71352667,0.72945285
373,1.7918249,1.402513,1.2844793,0.4113515,0.41406107,0.8538774,1.0065185,1.0780735,24.445564,1.1506563,1.9473019,0.5046708,2.57049,1.546754,0.5636035,0.5565443,0.80485433,2.9464617,1.5110409,0.7438373,0.677896,1.0372838,2.249742,1.016268,2.007752
374,1.7402867,1.4233414,1.4597356,0.4058243,0.41144013,0.86313283,0.9896398,1.1804132,24.463676,1.1794472,2.073179,0.6259216,2.1444314,1.8938711,0.6686823,0.47374737,0.80485433,2.9464617,1.5110409,0.7438373,0.677896,1.0372838,2.249742,1.016268,2.007752
375,1.9233596,1.2375524,1.1338568,0.51503503,0.45306033,0.80568945,1.1374791,1.0186019,27.774464,0.9349262,1.9784777,0.5785951,1.4813012,2.0523496,0.58260053,0.4838166,1.5052966,0.78533906,1.240854,0.8455755,0.865628,1.6064695,0.80664265,0.885342,0.9560412
376,0.8882996,1.3100351,0.7961072,0.48553133,0.3772664,0.72150576,1.6081841,1.3294314,39.629173,0.9889894,1.8486824,0.48320603,8.064876,1.7897897,0.50116026,0.46736258,0.38685495,0.26583803,0.892374,1.3688991,0.3523348,0.4131784,0.86908925,1.3693643,1.4191002
377,0.59724575,1.0887856,0.5793178,0.42260674,0.31025285,0.69160736,1.9140682,1.2990772,39.634598,1.089077,1.890388,0.40582174,1.9877704,3.9959998,0.4522891,0.5560629,0.3329176,0.2623811,0.9590094,1.3944321,0.34157133,0.44840443,0.77864796,1.3187927,1.29076
378,0.88111407,0.8066945,0.35041767,0.3551118,0.19020244,0.38485932,2.1426187,1.7277024,20.351551,8.297892,1.8269377,0.48319328,2.3053296,21.664055,0.55114007,0.53893405,0.34653646,0.27425018,1.0513377,1.3064212,0.35936582,0.7044351,0.76826817,1.1863924,1.1167908
