,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
ADAMTS4,0.975556,-3.2140374,-1.373259,0.33859912,-0.9259052,-3.207683,-2.5168216,1.1423256,-2.8543458,1.9991664,-2.876087,-2.0599365,0.6386561,-2.416322,1.2440411,1.7039539,-1.4940939,-0.09911036,-0.6776396
NDUFS2,-0.85540247,-2.4905527,0.5812314,0.28235725,0.5906651,0.16950066,-1.8841224,0.76404625,-2.6047332,0.6323466,-0.12916957,0.4869234,-1.6296484,-2.4044135,0.8226738,-1.0459619,-1.5233296,0.24207932,0.2826266
FCER1G,1.0766977,-2.4239018,-2.597987,0.10620126,-1.141199,-2.0152879,-2.2361321,1.2717817,1.1754752,0.9204776,-2.1800566,-1.70164,-0.010242369,-0.21125758,0.8569923,1.6665382,-1.4326054,-0.27427375,0.96311885
SDHC,0.0069046663,-0.15234727,0.48504722,0.35052183,0.70186347,0.54095006,-2.8595238,0.037609927,-1.7105645,-1.838322,0.4857224,0.73965406,-0.8908475,-1.6996146,0.58623815,-0.08282805,0.21406129,-0.4679031,-0.5109155
FCGR2A,1.0987581,-3.1602764,-0.5842279,0.31562373,-2.2703712,-1.3609324,0.6257742,0.97242004,-2.152078,0.9765244,-2.9483685,-2.263715,-0.20184924,1.020598,0.32681224,1.693905,-1.7865056,-0.7183376,0.72831583
FCGR3A,1.1213166,-3.208554,-0.17144361,0.29317257,-3.0869546,-2.175001,-2.6180472,1.1600097,0.2111687,1.5638939,-3.09753,-2.5774817,0.99268425,-2.3710444,0.4465153,2.0567229,-2.560839,-2.749178,1.2672352
MGST3,0.104039736,0.4560765,-0.5510825,-0.5472371,-0.34790954,-0.28862283,1.0871911,-0.74690884,0.5414394,0.16227448,-0.3299591,-0.24554281,0.48734966,0.88620716,-0.96413934,-0.3579632,0.2825048,0.79746723,-0.5484915
TMCO1,-0.97904843,-0.1347992,0.41847488,0.014409565,0.22391024,0.18549809,0.6100189,0.30853167,-1.9477186,-0.7495746,-1.099237,-0.17094246,-2.8680356,0.5476405,0.5506231,-0.45490187,0.77367705,-1.7228936,0.32634914
CREG1,0.43657562,0.19156854,-0.5263975,-0.31598836,-0.040703155,-0.13935027,-0.4700174,0.1482465,-0.28117383,1.095873,-1.5084741,0.22955456,0.16875984,-0.8491649,0.008320241,0.6959265,1.0784504,-1.4927914,0.6871651
MPC2,-0.6168396,-0.14167088,0.23672996,0.23089638,0.42380127,0.38915145,0.021698011,-0.81018734,-3.0503001,0.6385255,0.41714075,0.23767786,1.0552313,-2.793668,-0.31289023,-0.92462885,-1.4037362,-1.9703286,0.26668468
ATP1B1,-0.35342023,0.31587476,-0.17710805,-0.9938471,-1.378081,-0.22703929,1.3958137,-1.731158,-0.106107466,1.0164446,-1.545089,-0.23366874,0.6003815,0.5345512,-2.2044373,-1.4756174,0.96109426,0.7961879,1.0
