,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
CFLAR,-0.5345981,0.61571413,-0.099148415,0.12065319,-0.12127797,-0.6788197,-0.50746834,0.40294936,-0.25811854,0.5702468,-1.5859197,0.8333476,0.022572506,0.15664719,0.0068733925,0.23907325,-0.56288755,0.82008225,0.17504896
SUMO1,-0.7425062,-0.25063264,0.53952503,0.4593359,0.53547335,0.14701033,0.42486212,0.35321856,-1.336083,-2.9037256,0.058304872,-0.25337547,-2.7667613,-1.4692339,0.5058269,-0.7319539,0.836921,-0.30350474,-2.548643
EEF1B2,0.0034411398,0.002947147,-0.82323456,-0.88958526,-1.2528946,-0.24401532,1.035947,-1.3986721,0.8876562,1.1273217,-1.1832409,-1.2177569,0.6728823,0.6985802,-0.9374638,-0.5199781,0.6910424,0.3329129,0.89951026
PECR,-3.0462003,0.23136178,1.1815916,0.18130623,1.4193069,0.2202536,-1.8891964,-2.6727517,-2.6222534,0.30128524,1.0399407,0.6334352,-2.4986508,-2.3226879,-1.6060424,-2.6100202,0.9721376,-2.187515,-2.3661885
XRCC5,-0.35150346,0.2314889,-0.041778013,-0.021771288,0.33137682,-0.032758586,-1.2521079,0.13942938,-2.191109,0.47339162,-0.36810613,0.5801469,0.25841525,0.11305068,0.100557335,0.092136815,-0.47368756,0.3441383,-0.33330426
IGFBP2,1.818567,-2.7244043,-3.1364474,0.5443542,0.6720972,-2.4652812,-2.5285168,0.12982745,1.0767951,-2.732635,0.8739397,0.33763242,-2.3412814,-0.55817366,-1.4812648,1.8972559,-2.3364522,0.34251016,-1.9883118
TNS1,-0.13551283,0.43474448,-0.5740837,-0.5961185,-0.48360917,-0.22054714,1.0974725,-0.877733,0.46049222,0.63073486,-0.608071,-0.6870595,0.5231155,1.2289613,-1.1910778,-0.88626045,0.23547822,0.84336305,0.46654168
ARPC2,0.547967,-0.053717192,-0.5935502,-0.26810852,-0.545553,-0.22223614,0.4916789,-0.004102977,0.1332066,1.0762808,-1.0501039,0.07018154,0.38478687,-1.0337008,-0.3485393,0.5918996,-1.1730694,0.41444126,1.2631235
AAMP,-0.0623709,-0.39003864,-0.1429797,0.37207004,0.6810759,0.009160463,-0.024183966,0.6337458,-2.361513,-0.5727458,0.34112278,0.5099993,-1.2973627,0.5574588,-1.041151,0.86484057,-2.1758907,-0.75588524,-2.252418
PNKD,-0.23712574,-0.18743353,-0.09672156,0.5918565,0.9084199,-0.39560062,0.38143995,0.35852847,-1.2551504,-0.9184826,1.1078874,0.088180155,-2.6428266,-1.8805251,0.15280496,-0.35081673,0.42545342,-0.11971958,-2.591502
TMBIM1,0.032846972,-0.45116132,-0.16252157,0.07135458,0.04176373,-0.65042526,0.4635843,0.6073241,-0.13825686,-0.26358953,0.408737,-1.1336167,-3.0021303,-2.0420783,-0.03948054,0.7677195,0.29554978,-0.093506604,-0.8278567
CTDSP1,0.23639062,0.01577149,0.0034630145,0.17893039,0.1595707,-0.12436586,0.677885,0.100286,-0.48313263,-1.7433202,0.8067973,-1.004635,-2.4450169,0.20593569,0.1389623,0.2457225,0.40679616,0.1461219,-3.0328455
CNPPD1,-0.7682324,0.5607682,0.21343827,0.7224538,1.1079233,0.4517945,0.12014364,-1.2444861,-2.5473838,-2.5973608,1.4729962,0.27368882,-2.8643517,-0.20671964,0.13869245,-2.2643292,-2.202819,0.5510358,-2.747738
RETREG2,-0.7729674,-0.46861622,0.07310943,0.54536945,0.63399684,0.14462236,0.22361775,0.16484633,0.24455269,-3.0157158,0.87510794,0.23514085,-1.455092,-2.6746483,-0.16564927,0.28766668,0.48279622,-1.9671715,-1.7045966
OBSL1,-0.3290674,0.45300484,0.058247007,0.1466939,0.5287368,0.06998843,-0.43210304,-0.10275064,-0.09154798,-0.9729197,0.5930445,0.7945837,-1.8770559,-2.863898,0.7814557,-1.1462091,-2.8125863,0.54756737,-1.1230066
SERPINE2,-0.21902248,-2.8977363,1.6553518,-0.645112,-1.8488384,0.98574036,-1.7691389,-2.122424,1.3036313,-0.376218,-2.0610135,-0.681367,-2.1255703,0.4320279,1.332208,-1.4384866,-1.8656124,-1.8096225,-2.06661
MFF,-0.8938047,-2.4633968,0.54635215,0.49399632,0.9160735,0.22950053,0.20384948,-0.2429308,-2.8191397,0.899124,0.57398456,-0.598307,-0.77673507,-2.304348,-0.4362788,-0.6831509,-2.4184103,-2.820404,1.1325854
CCL20,-1.676495,-1.6132876,1.5535967,-0.021120489,-1.7165915,0.26872104,-2.025295,0.8104389,-2.1508677,1.5203475,-1.568422,-0.0047992966,-1.5976782,-1.4559119,-1.5584049,1.1575109,1.5859509,-1.8014218,-1.3735292
NCL,0.20155533,0.045381043,-0.22174838,-0.20806822,-0.12297313,0.061668053,0.7482598,-0.34170023,-0.29295233,0.7474893,0.2815727,-0.74596703,0.34162122,0.32705113,-0.79188174,0.07001353,1.1108747,0.5712705,0.689937
ACKR3,0.62123877,-1.5827636,0.05772179,0.03078611,0.064792566,-1.0491153,-0.9380621,0.7821927,-2.1212654,1.2634602,-2.0712261,-1.1549029,-0.41294557,-2.063965,0.7156841,1.1692638,-1.2599137,0.20901147,-1.115962
COL6A3,1.8093953,-2.812098,0.90965116,-0.41456127,-2.0877175,-1.1114529,-2.2951736,-0.9522665,-0.3077776,1.4881462,-0.20137158,-1.7111762,-1.4123931,-1.8475125,-0.41342515,1.9139261,-1.5766261,-2.2588553,1.1272683
RAB17,-0.70644844,-0.13147989,0.45738572,0.62753206,1.2141554,0.45856234,0.29085055,-1.1913234,-2.4326549,-2.1648595,1.3883954,0.051638443,-2.039622,-2.4184816,0.91107655,-2.428929,-2.656757,-1.7369484,0.49758175
NDUFA10,0.23209508,0.11712196,0.34104934,0.13590337,0.6107883,0.27399352,-2.2033806,-0.30872706,-1.4362842,-0.7607961,0.7008249,0.34476775,-1.1601696,-0.8138137,0.115854256,-0.38282683,-1.9923909,0.19615026,0.251968
COPS9,0.079252735,-1.7136434,0.03424821,0.12684307,0.19409184,0.083862625,-1.4822975,0.33187422,-0.65282404,-0.04473008,-0.069155306,-0.43224272,-0.04997346,-2.3639767,0.2522583,0.3865653,0.30667,0.42372236,-2.9426901
PPP1R7,-1.067087,-2.3774247,0.58421856,0.85229456,0.73629826,0.04324191,-1.0152165,0.9786614,-2.1997423,-0.9824263,0.5135746,-1.1511843,-2.699597,1.2514869,0.848864,-0.2626059,-2.5285118,-2.268788,-0.86904716
HDLBP,0.51597923,0.4095604,-0.18210949,-0.10131888,-0.2780779,0.087014146,-2.1268816,-0.100559436,0.7367102,0.080086805,0.07382918,0.59959275,-0.9457483,0.23748091,-0.25133282,0.6524731,-1.2453014,0.29191253,0.11521815
SEPTIN2,0.09508615,0.31403425,0.005167365,-0.18340142,-0.083405785,-0.006966194,-0.3602275,-0.11253263,-0.9645171,0.9140979,-0.2535739,-0.09791231,-0.60872185,-0.5460639,0.0022288682,0.33141598,1.0354444,-0.2504761,0.41711804
STK25,0.024930337,-0.5811164,0.3858903,0.46713853,0.78674984,0.20987241,-0.4696129,0.30319482,-2.5112674,-0.391819,0.72382665,0.5921971,-2.1992326,-2.447094,-0.23114863,0.8167865,-2.1140223,-2.201576,-2.4537146
BHLHE40,-0.14420089,0.52052027,-0.747191,-0.44961497,-0.30284932,-0.50252527,0.8889122,-0.5837365,-1.0546423,1.149676,-0.6915773,-0.009622911,0.4894652,0.0004470841,-0.9605914,-0.27784723,0.98217875,0.31415835,1.0927136
ARPC4,0.27336177,-0.26852912,-0.34267068,0.0225261,-0.12822422,-0.38323826,1.2972995,0.2174451,0.8456256,-2.0892575,-0.0937335,-1.9465944,-2.6493127,1.4422814,0.18293425,0.48392656,0.5528887,0.66684127,-2.7960231
BRK1,-0.29909983,-1.1136373,-0.21199335,0.4669219,0.39560345,-0.1725766,0.674572,0.45798075,-0.13475385,-1.7325687,0.5294129,-0.216962,-0.1843177,-2.4475987,0.5564992,0.39709303,0.7297134,-0.53988534,-2.5294547
LSM3,-0.47000915,-0.31032288,0.35498926,0.90532607,0.9437472,0.16232981,-1.6853739,0.51023155,-2.6757817,-2.1411378,0.017775472,1.5302894,-2.4387949,-1.6573508,0.6512538,0.049767043,-2.2621205,-0.93865806,-2.246968
CRTAP,0.0976179,-0.21629359,-0.06749625,0.0262856,-0.41449618,0.005058783,0.958255,-0.11465463,0.32604232,0.40284094,-0.15364677,-0.55427,0.42608896,0.5514607,-0.36218536,0.028879927,1.0009078,0.37392253,-1.3535239
ACAA1,-0.91018254,-0.15949053,1.1379187,0.8461731,1.0213842,-0.55136234,-2.2698972,0.39897466,-2.3125892,-2.5606976,1.2940608,-0.7038349,-1.4108765,-1.1344023,-0.10452582,0.03389079,-2.286721,-0.087363444,-2.3440428
CTNNB1,0.35240158,0.16502814,-0.38551536,-0.4952595,-0.77581614,-0.60900074,1.1155523,-0.09036746,0.12795322,1.073541,-1.7567947,-1.0395465,0.973475,0.63745755,-0.6380755,0.6182203,-0.1371196,-0.4597258,-0.08510078
LTF,-1.161412,-1.54632,1.6071651,-1.1853236,-1.6573582,1.7031034,-1.3120074,0.119529866,-1.7760125,-0.7885434,-2.0333617,-0.007948542,0.9331461,1.104669,1.9180573,-0.44056356,-1.3845042,-1.7139767,-0.49599457
TMA7,0.29405433,0.34342256,-0.2101611,-0.07500468,0.039917044,-0.21441676,-0.16041362,0.034352157,0.4479681,0.78379035,0.30954528,0.3243751,0.53256136,-0.69976616,-0.48827544,0.44309455,-0.25197437,0.0007211026,0.48879614
SHISA5,0.14203079,-0.71189237,-0.1689204,0.19411239,0.21303584,-0.5098211,0.575264,0.645647,-0.240174,-1.3129163,0.2010471,0.0077058035,-1.5977212,-0.9175736,0.51130056,0.6416768,-2.6364365,0.7009061,-2.2445514
UQCRC1,-0.56908643,-0.157961,-0.027811559,0.321412,0.37422216,0.07334292,0.9035589,0.07445847,-2.1950228,-1.6569735,0.81356484,-1.8417367,-0.5425886,-0.50240076,-0.4511954,0.35622114,-0.093104355,0.43873444,-0.14466837
NDUFAF3,-0.13740557,-1.3484237,0.1915967,0.5726012,0.6775921,-0.9119771,0.146812,0.77051526,0.27216,-2.7005343,1.1374874,-1.5613357,-2.9084022,0.2730855,-0.26145673,0.7587534,-2.686615,0.85338825,-2.7677584
RHOA,0.04720536,0.5193129,-0.6151451,-0.6483731,-1.0238155,-0.6789738,1.1163535,-0.8433538,0.36954328,0.9582756,-0.8940973,0.07796991,0.8849364,0.63699645,-1.686808,-0.13133548,0.6729293,0.7114333,-0.032087464
SEMA3F,0.64544684,-0.5541398,-0.040409043,0.06313557,0.26236787,-0.9904841,-2.8873696,0.8836288,1.0661193,-0.49588698,0.09371505,-1.298975,-0.3851003,0.16467042,0.61440295,1.1179988,-2.5375633,-0.09475827,-2.5751238
GNAI2,0.3922008,0.00013781444,-0.6339887,-0.55392754,-0.7796362,-0.84502083,0.8339445,-0.21276385,0.5499873,1.1032671,-0.37167102,-1.4500719,0.8452953,0.8744602,-0.9116456,0.5849383,-0.7010597,0.19019589,0.56054604
HYAL2,0.28957465,0.17697899,-0.5062129,-0.13506001,-0.09378266,-0.9793898,0.20375398,0.66029364,0.8752375,0.009579675,0.5621662,-2.2545528,-0.13194197,0.77118886,-0.13555127,0.9121807,-1.3295647,0.62177885,-1.4604819
STAB1,1.2812711,-2.871091,-0.7184434,0.23748203,-0.4438678,-3.3973615,-1.0995141,0.9057664,0.84467256,0.22592962,-1.0835692,-2.633782,0.69088244,-0.85050404,0.76488256,1.6167591,-2.6178076,0.0063011087,0.13442709
SPCS1,0.32278007,-0.68741745,0.22343402,0.17050101,0.5885513,-0.33059075,-1.1758641,0.510563,0.0900595,-1.8812218,-1.3488864,0.961896,-2.3792672,0.071870275,-0.5702756,0.7678863,-0.9718463,-1.5384582,0.37444112
SELENOK,-1.4496955,-0.24679832,0.38163373,0.7365042,0.9516372,0.3565795,-2.8657577,0.874527,-2.8468215,-0.027464394,0.69065857,-0.13755168,-1.3648851,-2.3773968,0.94693875,0.62114775,-1.5635977,-1.7293239,-2.484903
ARF4,0.44912833,-0.71376866,0.32143497,0.44113603,0.5111286,-0.37235633,-2.2897036,0.7155887,-2.5862546,-0.3029591,-0.89669424,0.2386453,-2.3993902,-2.4325917,-0.014637771,0.9117223,0.08669212,-2.7404366,0.83339655
FLNB,-0.14856118,-0.40604267,0.88431686,0.11202955,0.18046463,0.31695598,0.6431243,0.06169669,-1.0454735,-3.047799,-0.5273674,0.26310822,-2.6724844,-0.78388256,0.43497077,0.2518405,-0.71530634,-1.4783459,-0.36835065
ARL6IP5,0.3909114,-0.3143485,0.22068608,-0.0060816845,0.065721706,-0.041063573,-0.62190074,0.047378436,-2.176177,0.56373996,-0.23489451,0.46138215,0.15438159,-2.4326558,-0.14663154,0.55357504,-1.6561226,0.22250526,0.4663233
PROS1,0.088560015,-0.7846722,0.57190037,0.034250773,0.3524299,0.5348419,-0.37064466,0.26912168,-2.3538027,-0.3883872,-1.5299038,1.3311164,-0.60590774,-2.1878912,0.45278174,0.32461524,-2.304813,-0.49989957,0.29971126
MTRNR2L12,-1.516619,-0.051346824,-2.9639356,-3.4263744,-3.462371,-1.4663787,1.9917244,-3.4551086,1.6783022,1.2040168,-3.1035485,-1.4668548,0.6284809,1.323844,-3.2215552,-2.9125133,1.4554626,0.8009949,1.0312483
COL8A1,-0.3893426,0.64892113,-0.050862372,0.07000571,0.5044659,0.051430564,-0.46853662,0.27600133,-2.5899942,-0.4198787,-0.7108416,0.53144735,-0.5092845,-2.8279705,0.4760925,0.2959808,0.4280583,0.24528429,-0.9805773
NIT2,-0.17236577,-2.3065012,1.200912,0.6421979,0.77114743,0.97133255,-2.7187912,-0.2703357,-2.7365582,-2.4002914,0.7602955,1.5038836,-0.43695623,-2.2144797,-0.17988913,0.04400335,-1.9650935,-2.498511,-0.580471
PCNP,-0.39516717,-0.457377,-0.22776079,0.1349983,0.4638965,0.26013932,0.090988345,-0.082336165,-1.0787337,0.62566745,-0.030278513,0.22001745,0.3546999,-1.8447781,0.6177622,-0.46875837,-2.8264773,-0.295273,0.5229028
HHLA2,-3.0758755,0.3424992,1.1481291,0.3855746,1.3722324,0.6411494,-2.5083017,-2.8694513,-1.8333495,-1.8125839,0.7044602,1.017541,0.35772812,-1.2257789,-2.078849,-2.743523,-1.5876312,-1.0110008,-1.2200129
COX17,-0.07354196,-1.5001562,0.011949511,0.2975827,0.39213762,0.17102735,0.2089197,0.08501923,-2.971256,0.13859951,0.17330566,0.588249,-0.20330705,-1.5059229,0.29280388,0.086557396,-0.38403293,0.029728452,-2.2184432
FSTL1,0.31871322,0.22954069,0.30209005,-0.959449,-1.0121415,-0.16821146,0.78465784,-0.46816155,-0.15600902,0.80620706,-1.6418736,-0.9856214,0.683958,-0.18960094,-0.1881984,0.12464579,0.47717407,0.5944678,-0.15042007
NDUFB4,0.24069437,0.44233495,-0.3646225,-0.52416396,-0.5206476,-0.019336935,1.0930918,-0.8996612,-0.0313657,0.59312433,-0.68756604,0.4585205,-0.04560623,0.24868852,-0.12572384,-0.09439074,0.8507338,-0.17192344,-0.36192235
FAM162A,-0.17672698,-0.67666394,0.20102307,0.02554403,0.17361996,0.6468483,-1.729861,-0.18801275,-2.6997943,0.8460686,0.010173348,0.6896166,0.34253713,-0.6603791,0.63227576,-0.3573067,-0.04250233,-0.38046974,-1.487462
PARP14,-0.59994453,-1.2919576,0.7125195,1.0152549,-0.13300413,-1.2257394,0.36374092,0.91889596,-2.696057,0.28214207,-1.8077135,-0.62927574,0.32965124,-2.3049915,-1.0103985,1.1954674,-1.9836215,0.41914436,-2.2638297
SEMA5B,-0.3787042,0.17546384,0.13667987,-0.050116014,0.18420644,-0.0691508,0.046260085,-0.44622108,0.3468828,-0.41860813,0.7734668,-1.3138592,-2.8918586,0.24704702,-0.06169407,-1.2773091,0.6610887,-0.22947446,-0.4751636
PDIA5,-1.3795931,-0.10794564,0.93032,-0.13116014,0.6657727,0.47871116,0.3651231,0.04462198,-2.8456638,-0.3388484,-0.21524596,1.0344081,-2.8334308,-1.1781507,-0.11435858,-1.0792104,0.5449207,0.2926597,-2.693642
MYLK,1.0418495,-1.0564425,0.32686228,0.12382483,0.70256394,-0.68891823,-2.7244833,0.365907,0.2583444,-1.0729644,0.09559138,-1.5728633,-2.2796996,-1.3308115,0.51600796,1.2148341,-1.1857803,-1.5424054,-2.392767
ITGB5,0.6607521,-0.66928077,0.005021519,-0.1919919,-0.1308393,0.117162645,0.35885516,0.27203122,0.32264385,-1.1434624,-0.58247656,0.70144206,-2.87937,-1.1150305,-0.2915024,0.88722014,-0.59697664,-0.16361971,-0.1649904
ALDH1L1,-1.7249799,0.4039785,0.16943233,0.52755725,0.8467444,0.4440952,0.8060033,-0.38872808,-2.951985,-1.6534643,1.1504557,0.8079651,-2.8468344,-2.4536464,0.53350514,-1.3951145,-1.6928356,-0.5146046,-2.6071396
MGLL,0.08403402,0.57236934,0.061732713,-0.21541971,-0.6085406,0.024652425,1.010534,-0.6177593,-0.48350823,0.52915794,0.0736766,-1.2435575,0.7755417,0.47504202,0.09481384,-0.12861773,-1.1441761,0.22862197,0.5225377
SEC61A1,0.26788047,-2.092968,0.18576735,-0.055769198,-0.24527538,-0.18434332,0.83829796,0.026875865,1.1843884,-0.52044654,0.64062864,-1.1873403,-0.27122816,0.15791196,-0.5981522,0.8621577,-2.0197237,0.36705464,-1.3809288
RAB7A,0.094242886,-0.045065578,-0.02961207,-0.088174656,-0.3649145,-0.13726614,-0.75611466,0.14702402,1.3945944,-0.47372794,-0.020320643,-0.34955838,0.30287525,-2.1761107,-0.38523036,0.6395595,0.63884336,0.65419966,-0.124845706
CNBP,0.015148019,0.50390506,-0.31099993,0.0148243895,-0.012504344,0.20880362,-0.76828486,-0.37785277,-0.71744734,1.0003991,-0.35690013,0.56818736,0.5272211,-2.333178,-0.05195616,-0.5280969,0.6972563,0.4488001,0.8828029
H1FX,0.01918465,0.5125959,-0.64337206,-0.540096,-0.8293704,-0.71177775,1.2989004,-0.55289614,1.2992193,-0.2378872,0.21158853,-1.7562765,0.25744885,0.49665985,-0.55980885,0.34289008,-2.4520457,0.6264965,-0.3055487
PLXND1,0.6506476,-0.298961,-0.26285726,-0.06986781,-0.3440256,-1.3473315,0.30907226,0.55994004,1.1856639,-0.94168437,-0.31860065,-2.4227278,-0.86815006,0.84103894,0.3190187,0.95075643,0.23206353,-0.7882468,-0.040931795
TMCC1,-2.5779228,0.54878724,0.58871657,0.3316241,0.9367854,0.63762087,-2.754583,-1.4259881,-2.931714,0.57606804,0.8370092,-0.05731802,-1.8044072,-2.6941192,-0.040572766,-2.2535028,1.304721,-2.5938625,0.885111
ACAD11,-1.9136896,0.61264443,0.4501793,0.15096658,0.3886537,0.6289107,-0.22754808,-0.91177136,-0.71548676,-0.14613642,-0.013085933,0.8818507,-0.254099,0.24913065,-0.2220524,-2.3026466,-2.8474672,0.08333681,0.8007978
UBA5,-0.9862497,0.48734674,0.75204533,0.20194235,0.81888795,0.854346,-2.2492204,0.13048784,-2.5310385,-0.94938475,0.45093778,1.5618848,-1.776508,-2.1879687,-0.6103757,-0.03687117,-1.4365218,-1.8797573,-0.52809125
SLCO2A1,-0.963859,0.52725875,-0.819094,0.25176388,0.24751745,-1.226439,1.5285548,0.40394217,-1.3797696,-1.5167242,0.6656006,-1.2359601,-2.7997515,1.2678868,0.47794175,-0.015349802,-2.1631246,1.0233296,-2.432401
RNF7,-0.5248639,-1.4528174,0.34942093,0.5929285,0.58470106,0.5469494,-1.0665988,0.6231237,-2.6233253,-1.1019962,0.36955404,0.72344136,-0.17686132,0.559672,0.8290551,0.23680528,-1.2426901,-2.5620782,-1.7525613
PLOD2,0.31517547,-0.47039533,-0.11932727,-1.2290857,-0.43042824,0.31882125,-1.2680609,-0.42152822,0.13583347,1.6999665,-1.5283201,0.5253437,1.2336798,-1.8227898,-1.509559,0.50336605,-0.75150883,-0.54679096,1.3589934
TM4SF18,0.4522956,-1.150672,0.7615605,0.28550452,0.27859938,-0.7493001,-2.2743735,0.44197077,-2.6200612,0.5014571,-0.62059027,-1.3170459,1.1705478,-2.1562455,0.4549751,0.4676216,-0.4845167,-0.99229735,-0.9426168
TM4SF1,0.5355063,-0.22082455,0.03950426,0.0023077324,0.21599782,-1.2561022,-0.20597337,0.78001285,-2.504749,1.1444573,-1.4880998,-0.6574148,-2.0228317,-1.0433989,0.68956757,1.0311697,-1.85945,-0.48231286,0.599453
WWTR1,-0.0055871396,0.41289195,-0.3120609,-0.024452925,0.31463084,-0.031312056,-1.0065492,-0.07223892,-0.20939842,0.27696216,-0.5400645,-0.33633524,-0.13048202,0.6604394,-0.4025559,-0.32011402,1.083563,-3.2008538,-0.43780088
SERP1,0.035629287,0.12974878,0.028030917,-0.06731489,0.07798256,0.15412179,0.57008797,0.2277618,-3.1019247,-0.26556313,0.053444486,0.5972785,-0.8432286,0.5331956,0.10553259,0.24686798,0.44973934,-1.4566997,-0.692207
EIF2A,0.24767034,-1.302078,0.29257578,0.27922443,0.55846757,0.5727784,-1.2805396,-0.49853656,-3.0263617,0.7577957,-1.8262254,0.34907883,-0.43077955,-2.4536252,0.93024045,-0.6897806,1.2156589,-2.7978048,0.19708917
SELENOT,0.08353331,-0.6408099,0.5303188,0.21781103,0.36676803,0.23887737,-0.7304261,0.3847433,-2.5052972,0.08812944,-0.08204246,0.48526934,-2.269572,-0.80328244,0.26591542,0.7943026,-1.7945285,-2.8511882,-4.0280585e-05
MBNL1,0.14681461,0.047945365,0.313381,-0.012270091,-0.05036764,-0.31406897,-1.313943,0.07097506,-0.85837394,0.893964,-0.17087989,-1.2031898,-0.5348565,-1.8694897,0.3564215,0.14468326,-0.9856143,-0.53080034,1.3277973
MME,-2.9320896,0.3248196,1.6616372,0.14766334,0.943432,-0.18322279,-2.0974414,-0.91572016,-1.7516252,-2.52848,-0.61141384,1.6083229,-2.515896,-2.051697,-1.9647608,-2.3352294,-2.1694233,0.8353396,-2.3086686
SSR3,0.22352381,-0.711035,0.61797374,0.21600723,-0.3242441,0.6828048,-2.452305,-0.22864598,0.27618647,0.52177984,-0.9161297,0.9939621,-2.1627963,-2.0809617,0.12804474,0.824263,-2.0462084,-2.5937605,-2.0264986
SEC62,-0.25463808,0.50429547,-0.15074582,0.061553378,0.06398848,0.12281498,-0.45696187,-0.41386786,-1.7981895,0.7567357,0.35284424,0.4427783,-0.09322915,-2.2913637,-0.14256144,-0.14657828,0.7647619,-0.09881835,0.46560588
TBL1XR1,-0.5269038,0.32276905,-0.14797735,0.19447955,-0.3179406,0.2633577,0.7074859,-0.20594405,-3.2725985,0.45820278,-0.22068292,-0.14051773,-0.22169727,-1.0529996,-0.09508581,-0.7902651,1.1732587,-0.07769041,0.75238776
NDUFB5,-0.089641616,-0.9938425,0.3487709,0.6331585,0.2000155,0.9421419,0.46381018,-0.06893742,-1.8829843,-2.3903377,-1.2756916,1.3320625,-2.7732503,-2.5757456,-0.5369637,0.9004062,-2.102809,-1.4470584,-0.72459894
FXR1,-0.27718222,-3.0789971,0.44605663,0.547917,0.35642022,0.62897503,0.70933783,-0.09016481,-1.8123295,0.40146512,-0.2757746,-0.37894106,-0.04366883,-2.5976512,1.0157181,0.071266666,-2.3014185,-2.6144392,-2.4591856
AP2M1,0.2707724,-0.12844844,-0.38625258,-0.24031146,-0.31024092,-0.11564742,1.2882719,-0.43827537,-0.12216802,0.5144759,0.047754653,-0.3995668,0.55816156,0.13952151,-0.6610592,0.19263986,0.16917042,0.8381099,-0.4559396
EHHADH,-3.1589882,0.7744678,1.1489363,0.0245413,0.9972024,0.6591663,-0.7198973,-1.6193801,-2.940496,-0.7565215,0.51656306,1.7014432,-1.9784595,-0.28442445,-1.090218,-2.7672632,-2.4371986,-1.7874762,-2.5948958
EIF4A2,-0.09901954,0.608571,-0.7065327,-0.5124502,-0.24090898,0.04742137,-0.0015039218,-0.87357944,0.1348165,1.1425973,-0.533982,0.2763048,0.65176225,-0.15339647,-0.36684448,-0.73195183,0.7427003,0.059842926,0.79166514
P3H2,-1.1564343,-0.049760774,0.4518715,0.460678,0.6265275,0.30406246,-1.0232376,-0.11741382,-2.0777783,-0.29680938,0.44402796,-0.23044024,-2.6183307,-2.2050726,0.693362,-1.1314529,0.85280627,-0.44409347,0.008358871
HES1,0.021648353,0.61420095,-2.0885503,-0.5835284,-0.28939676,-0.71786165,1.2529347,-1.1562,0.19635804,0.98137283,-1.2423953,-0.0033231121,0.1267581,1.029483,-1.2699208,-1.0158818,1.1525053,0.5973605,0.44659397
ATP13A3,0.23681521,-3.154006,0.73113513,-0.06117884,-0.6669629,0.93906903,-1.6024504,0.77390623,-2.7486417,0.42822778,-2.0016308,1.0521146,0.8420124,-0.28208795,-0.2516363,0.6758659,-1.0902252,-1.4408684,-1.3948565
MUC20,-2.7490506,-2.6553876,2.1609352,-0.98123425,0.72563255,-0.18813372,-2.2381105,-2.3384535,0.7636418,-2.4399698,-0.46023327,-0.93975896,-1.1637527,-1.8227984,-0.42551202,-2.1190634,-1.5454316,-0.37891993,-1.7306248
ATP5ME,-0.0016632578,0.34008864,-0.579129,-0.7203764,-0.894277,-0.34470156,1.277595,-1.3170329,0.8207874,0.6011816,-0.41437095,-0.39648494,0.6117101,0.8482713,-1.2653166,-0.12420184,0.26788494,0.80562556,-1.0884055
SPON2,0.4062449,-0.23232484,0.015171493,-0.115714036,-0.4219968,0.20211716,0.7364624,-0.032793608,0.45755854,-1.1905105,-0.1528302,-1.3490092,0.10805676,1.3181919,0.12486799,0.060183,-3.0417123,-0.20331687,0.3283356
CTBP1,-0.15863773,-2.8828063,0.6430447,0.27268878,0.46500495,-0.18895511,0.8786661,0.10186815,-0.019476699,-2.1606097,-1.7686712,0.24516965,0.008527459,0.01752239,0.26180908,-0.009006497,-1.6910855,0.46152234,-2.6256588
MXD4,0.70434785,0.18775235,0.57573074,0.74075127,0.6482694,-0.56625444,-2.6341426,0.39194763,-2.6814547,-2.3316722,1.3440785,-1.8190978,-2.591785,-2.4515097,-1.0474415,1.1670564,-2.3710022,0.27690697,-1.1415949
SH3BP2,-0.034344565,0.54864943,-0.41928652,-0.16037849,-0.0060544363,0.15833372,0.096531235,-0.09021848,0.43228647,0.02482805,-0.22324559,-0.009856575,0.4302698,-1.8761885,0.17573802,0.24253924,-2.016046,0.32932743,-1.5609688
ADD1,-0.46026957,-0.32641768,0.29301828,0.21589434,0.33609876,-1.1357784,0.75791997,0.17480722,-1.3929712,0.30342335,0.47417435,-0.54931235,-0.09615602,-2.7129002,0.47549108,0.06484165,-2.4236145,0.12465087,-0.6336089
MFSD10,0.2166778,-2.6595738,0.78683376,0.9160757,1.0569792,-0.2109544,-2.7004192,0.84291655,-2.6466835,-2.1630557,0.72065276,-1.0321183,-2.4872315,-2.095139,0.99678814,0.75807256,-2.2722948,-2.1521251,-2.506886
LRPAP1,-0.14470077,0.5806593,-0.19988942,0.22230558,0.3215106,-0.18920703,0.19052689,0.26379663,-0.39554918,-2.7071865,0.7007678,-1.0304368,-3.0288715,0.65503186,0.3337631,0.38929847,-2.013626,-0.09056965,-0.48585102
MRFAP1,0.025371706,0.4722652,-0.18613508,-0.0113995895,-0.08951362,0.0069818404,0.04121826,-0.1925822,-0.49514323,0.85655016,-0.1900548,-1.2230211,0.40611282,0.6163269,-0.09467104,0.22436565,0.24647783,0.1982779,0.3483519
