,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7,Protein private topic 2,Protein private topic 4
27_54,13.637939,2.7001162,2.1935441,1.3311732,0.79884547,97.10197,2.5201213,1.7792678,1.238417,8.176066,0.7127292
69_3,3.1404152,4.7135973,41.80933,1.272485,1.2735368,2.5251937,495.19083,0.91095185,1.2142447,15.861672,0.9754739
115_53,7.9505982,3.768559,1.4455022,2.4394228,1.3212165,14.694357,2.0678704,1.2986678,11.748391,4.5726376,0.63829195
64_25,4.156499,8.329548,0.6953577,1.8238426,3.2655745,2.9466014,0.7292557,1.0844783,4.63383,3.9405913,0.701864
64_19,4.211584,8.108362,0.810224,3.1272101,1.2868934,7.653313,1.2827564,2.9720736,2.0319734,5.45874,0.9871873
89_24,3.0223365,20.304792,0.52627677,0.88112473,1.1273651,3.5839086,0.5363881,0.91306496,0.97012824,2.147862,1.4683822
82_21,2.227591,55.47124,0.54797864,0.60717314,6.3989534,1.5570213,0.6005953,0.42095533,0.6751124,2.3591442,2.072943
111_34,18.926813,2.7726066,1.1768216,0.76353467,0.80737674,20.38459,1.1865008,3.1599352,1.0741028,5.7186418,0.56909084
35_41,2.6289096,41.800026,0.5544167,0.6400832,1.7355996,1.7019676,0.7398566,0.42488983,0.8322745,4.812453,28.163767
72_26,2.3146324,22.668087,0.44987792,0.53983635,21.392742,1.5929883,0.8318769,0.530284,0.75202024,3.285008,1.9319569
36_34,12.708832,4.8909407,1.3438838,0.97603005,1.4528394,13.485022,1.5845572,2.5773652,34.323715,5.2538786,0.5992831
19_48,3.8180373,9.398323,0.75877964,1.8392103,0.94455254,9.947702,1.2876512,3.0261884,0.9836942,9.256971,1.0815461
94_26,2.6078897,52.602036,0.53114605,0.6392505,1.7005476,2.5243201,0.87485784,1.2448924,0.7479268,3.104192,2.505487
23_49,6.197042,4.44282,1.4380137,1.5962826,1.0462574,20.454384,0.71430135,1.3829176,1.0911523,16.460562,0.9136108
72_45,15.738929,2.616008,3.0315146,1.0438781,0.5431447,8.990534,1.1488132,1.8282954,0.78282,5.2164493,1.2203008
45_33,5.0248947,6.1074805,0.7402781,2.7298808,2.1625352,4.9229436,2.8226624,0.91863126,9.641261,5.0150685,1.0529535
100_52,32.237564,2.641253,0.95708835,0.9801078,0.6844247,20.428705,1.1819896,2.667455,1.0328348,4.119848,0.9333541
105_50,30.417402,2.3974981,1.2499369,0.70748293,0.60659426,23.907808,1.2977785,1.9134558,0.95713365,4.3353324,0.8099043
12_51,4.5434113,4.728718,33.871872,0.8844787,1.4708368,3.1460338,862.51324,0.80337375,3.1067815,102.43945,1.3521394
88_38,19.776787,4.5462604,0.88610166,2.0896556,0.8480059,21.773758,1.4572386,8.921677,0.71304256,20.349405,1.3603435
41_49,22.212902,2.1355329,2.3322852,0.5259704,0.63757795,9.932815,1.4201851,1.5482106,0.89107215,5.4324255,0.6652394
97_11,5.9339857,9.39459,0.791623,1.7839332,0.6931397,14.962288,2.0432456,7.8134656,0.91087335,2.5504775,1.1695329
93_27,2.6291027,28.41413,0.5646375,0.9179994,2.5171223,2.3917973,0.799423,0.8137783,0.8336738,6.8723364,0.8784049
95_10,22.077944,2.5995529,0.93615925,1.2226841,0.6617058,22.477179,1.4095402,2.5715528,1.3278332,5.198368,0.71776277
47_36,11.491849,4.017827,1.5822167,1.4007764,1.8439945,3.6498585,1.5258272,0.94109654,6.1590943,3.5760448,1.734886
45_48,6.954135,2.9178476,3.8787756,2.3285193,0.81383425,8.570072,2.4966943,1.2531261,1.5179214,12.950263,0.8949071
74_22,2.418602,22.080168,0.528438,0.804924,4.4397054,1.5927147,1.2404723,0.7092541,0.9872573,20.799793,1.0937595
38_34,104.03199,4.117952,1.8522551,0.94621795,1.6749434,4.8743477,9.541518,1.5235627,6.509427,12.092672,0.738378
37_36,5.562046,4.282329,1.2370981,19.866123,1.4116039,4.1377983,2.9244032,0.8437833,3.0132854,15.568017,0.9313717
