,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7,Protein private topic 2,Protein private topic 4
110_38,2.7843175,75.86733,0.5984115,0.5403997,2.0193934,2.0897033,0.8023898,0.5042893,0.7373855,2.8939104,2.9999225
71_20,4.1374063,10.06988,0.7891661,5.2648525,1.241368,3.57382,0.7061145,1.488259,0.90915954,5.420346,1.8798863
48_23,17.245934,3.1540184,1.4581007,2.180916,0.88055813,11.233115,1.1547258,3.498839,0.98799485,7.952915,1.1034733
94_54,38.94526,2.6943433,0.8893645,0.9160214,0.7769759,14.162807,0.9523066,1.7196785,0.96153766,4.8995194,0.511321
69_34,2.5608358,36.089993,0.5465574,0.6168639,1.6948882,1.7851555,0.79598284,0.5364687,0.7464908,2.5517602,2.7822332
9_46,7.6729536,3.3667765,8.111965,1.331635,0.80280536,23.378288,1.952536,6.8390107,0.87090033,4.7621837,1.0783123
108_57,18.727324,2.1542788,11.30295,0.93711543,0.46125415,3.1232414,1.438173,0.6616826,0.56001174,10.742284,1.0965096
115_65,24.109863,2.4149196,3.78407,0.84541196,0.51595527,8.088683,1.309344,1.3985226,0.67649853,21.395977,0.9435828
104_42,4.182154,9.362475,0.7859519,1.2055259,0.9887392,43.264076,1.2408545,5.6818132,0.8022645,11.349312,0.65929574
94_23,2.726519,47.197823,0.56198823,0.6910421,2.5175753,1.6588622,0.55847156,0.47812912,0.72430664,2.3031456,2.8525836
111_42,4.953902,30.318363,0.717608,0.7711738,1.3912264,8.152488,1.0576249,1.1311754,1.3389972,1.8900301,1.0876579
13_51,61.420025,2.897521,1.7860109,0.53169847,0.7383158,6.0934925,1.7619365,0.9747843,1.4693956,43.704277,0.910232
17_39,9.839857,2.5528526,15.299722,0.9378753,0.6526681,8.612838,1.9548833,2.465124,0.6960824,39.984215,1.1291122
63_20,7.001043,4.82198,0.82959104,16.10028,1.4759127,8.549126,1.2308637,1.1168764,2.5945613,8.038109,0.70649296
89_44,35.72109,2.748695,1.0702335,0.91115415,0.7740027,17.04195,1.1447709,3.5426116,1.0662268,5.415023,0.6348186
99_40,4.163826,7.211611,0.79707205,2.321103,1.0914985,25.319965,1.1364957,6.1597815,0.9441895,14.229951,1.1923217
72_27,2.4902456,17.587267,0.5510786,0.7862799,22.168121,2.2265873,0.9493679,0.55197644,2.0448558,3.5515153,2.275212
82_0,6.032364,4.210069,0.9679254,17.840893,1.6552378,4.7985764,6.945563,3.2605097,2.3541362,13.293777,1.3163894
64_27,4.754189,6.3417077,0.83923197,9.064407,1.9002984,6.137415,0.8000042,0.9890071,8.252369,9.109345,0.74372953
78_46,5.878153,4.2960663,1.1647379,3.5831141,0.83274776,17.876747,2.4162893,21.836151,1.17673,22.924244,1.562811
89_14,2.6352668,48.412365,0.5953173,0.6639976,3.2282326,2.4594717,1.0182707,0.5846448,1.2407993,2.8758342,1.0904614
78_8,34.026924,2.9478602,0.9350674,1.060436,0.9630957,20.288528,1.8624462,9.469485,1.0483358,4.159684,0.88475
78_18,5.6677628,4.972733,0.98902583,24.861265,1.3148763,5.1430354,1.0725808,1.3601246,1.1134198,12.231046,0.72032326
96_24,2.6383796,65.12575,0.5444076,0.5361856,2.1514828,1.8828279,0.6329966,0.46388745,0.6480309,2.0631514,4.0533204
63_29,2.0965626,50.03605,0.42716736,0.581084,2.7700028,1.576763,0.5598359,0.5400143,0.695561,2.524253,3.3555803
97_7,35.955135,1.9822857,1.8449953,0.68674934,0.59584296,6.300649,1.190498,0.93987125,0.84512305,4.399419,0.89818394
88_9,66.30715,3.002724,1.1562485,0.88762325,0.8289776,10.285801,1.245042,1.0325323,1.0587373,4.633153,0.7670835
53_31,4.7230773,5.082446,1.1815615,20.337502,2.0629709,8.379136,1.2773408,1.2339505,4.3091083,3.4294724,0.9946631
45_38,2.296046,34.865913,0.5145971,0.53763556,4.131027,1.4444742,0.6703797,0.39651957,0.68332,3.0440042,4.235482
88_49,9.8144,3.6675103,1.0108389,1.4475044,0.7944147,36.642704,1.7602826,7.6247406,1.0653694,7.4291415,0.7963173
117_46,2.5239859,31.071749,0.5237973,0.7241602,1.9912391,3.7963586,0.9071093,1.240847,0.8936198,4.9813457,1.2205536
29_46,2.304094,56.066624,0.5031821,0.59449255,3.963806,1.7482358,0.6385188,0.5020507,0.6991373,3.2796364,3.5498946
87_26,8.220722,5.901374,0.84942824,5.864817,1.055057,21.85882,0.97376627,2.6295395,1.3055781,5.413552,0.72425294
55_23,6.129851,4.3765965,0.776659,7.7085032,1.0153612,14.247378,1.1394362,1.3052279,1.8605894,10.4946785,1.3229914
94_31,8.717619,4.336511,0.8778652,2.382606,0.78983897,23.353172,1.2462497,6.4502068,1.055419,16.545465,0.94317836
75_26,2.4646196,51.48368,0.55722797,0.5716677,4.4336867,1.4757226,0.6958491,0.41123435,0.68276256,2.365623,3.2044015
67_32,3.3329802,7.1845174,0.8508333,10.733194,2.7349133,3.1866994,1.9373397,1.2337401,3.0802076,4.048167,1.7424446
78_12,13.483358,2.8868291,1.0726732,1.7882674,1.0436219,14.416262,1.8256338,2.4247901,7.6350183,4.0530863,0.5678357
115_52,16.726261,2.5280235,3.2445164,2.0129833,0.970636,5.7689533,1.3829621,0.86623645,2.588504,5.3503675,0.68828535
109_39,3.6472235,59.13987,0.6215278,0.5730375,1.6733001,2.9625335,0.7654904,0.5874532,0.87801015,1.8043932,2.972951
48_25,5.1515408,3.9165726,0.9391582,7.80383,0.7061397,14.893947,1.4636774,2.4330635,1.2077824,5.447507,1.3768327
43_26,4.5597525,6.3134327,1.0028212,2.8229933,1.7994092,7.3451486,1.3129772,1.2800713,4.1237297,2.523461,1.8128539
111_50,18.018923,2.6610632,1.1251435,0.5329162,1.2569579,7.7887263,0.8947338,0.8139122,1.748931,7.93059,0.60401833
94_52,26.677137,2.6596181,0.98378325,1.0301118,0.80354357,31.106213,1.3069988,1.0846276,1.2884974,5.215561,0.71509916
91_17,2.2935257,22.1642,0.5376903,0.68009067,15.354336,1.6186738,0.85401857,0.433354,0.7711442,2.5438075,2.291348
112_46,6.4604816,23.840282,0.8795233,0.6263002,0.9913724,12.280033,0.8710506,1.1690394,1.0372326,1.9431331,1.2376413
79_19,2.7413094,51.92179,0.55720633,0.6985082,1.8193487,2.1403458,0.70467496,0.7040125,0.79346895,2.3398488,1.8376166
82_47,12.422088,3.8824291,1.3492172,1.4973315,0.83833325,18.38037,1.3233551,3.6354542,1.2316678,9.701604,1.2358207
83_4,32.985577,2.4480777,1.6159768,0.9174582,0.551056,15.030125,1.7755136,1.2192935,0.7654087,4.947717,1.0753485
95_18,8.736907,3.504384,0.86733747,2.4316244,1.4760882,16.273558,1.4005637,4.2217193,1.086027,11.839106,0.5668788
103_32,3.0820994,50.65168,0.6906973,0.6275755,1.519317,2.9094195,0.958195,0.6983245,0.83473736,2.3455305,2.9874437
61_41,37.5422,3.1411347,2.100218,0.84032834,0.99584013,7.6807556,2.7043211,1.2801528,3.845542,6.647494,1.1372792
28_43,2.4196663,46.300304,0.57959914,0.6323564,4.0500507,1.6266371,0.62150806,0.481168,0.6891347,3.489684,4.094659
63_26,8.491622,5.3320217,0.85480833,1.8520914,1.3672911,9.189199,1.8493469,0.9763753,8.152254,3.9478178,0.7019897
118_46,6.654027,5.1267967,0.9151637,2.7554488,1.0258373,32.621452,2.7647688,1.4676545,1.727998,4.1794925,0.79113424
24_35,4.113522,4.924426,9.995571,1.2147076,1.3426758,2.855488,182.05893,0.87116116,1.8776531,41.350056,1.5071393
46_33,3.4967165,6.2246575,1.5528498,4.443077,3.5931866,4.211609,1.9364871,0.69934016,7.757781,18.71185,1.913531
78_36,2.5742702,54.01737,0.56526315,0.58072436,3.3732314,1.6994288,0.5719555,0.49892807,0.699634,2.1069472,3.011774
76_46,10.921555,3.0219612,0.9455749,2.1990843,0.6010212,26.32127,1.867979,5.297357,1.0451655,3.4447346,0.85114324
30_39,25.530294,3.270624,1.9007305,1.2214253,1.2015369,4.3286295,10.576525,0.8769203,4.2807174,17.236208,0.89601475
88_37,13.161482,3.3813758,0.9956907,2.101216,1.0222353,11.952607,1.5044277,19.945719,0.8601759,18.281956,1.0579695
79_25,3.459022,21.867493,0.58769864,0.9834876,5.4192905,1.397233,0.6116256,0.6793176,1.1269176,2.7725291,1.290742
42_26,8.39591,4.3233547,1.3905834,7.6287026,1.2365385,10.933528,4.192407,2.2489262,2.8625395,2.6306763,0.9461463
93_28,7.8313875,6.164192,0.8975112,1.7908498,1.0023363,8.86437,0.7164075,2.0935771,0.58071446,5.1617107,0.7798763
42_39,2.4787035,57.917793,0.5833053,0.7545746,2.5868793,2.3279817,0.80403143,0.7578785,0.8844001,4.6957335,1.7054676
13_42,14.99324,2.7630591,5.5055265,0.82248616,1.1436839,4.8980236,1.3546145,0.7653643,5.1840096,9.408191,0.5813191
20_37,11.316366,3.7771313,12.059841,1.5920451,0.9476417,6.8472595,12.837262,1.6098636,1.6427494,37.880005,1.6953534
101_40,2.7809548,49.291115,0.61981547,0.71789986,1.6412991,3.733759,0.7799646,1.0775353,0.76032484,8.500185,1.0689427
108_25,9.845845,2.704641,12.391604,1.1316526,0.6508554,8.647279,1.7397815,3.0424845,0.5483237,6.764681,0.8591782
13_39,3.4954362,5.014721,34.981884,0.951414,1.7982508,5.938393,2.382561,1.0474517,64.34827,102.43857,1.352211
91_9,16.193104,2.705007,1.2723671,1.1623056,0.5684713,56.1088,1.5483196,2.2290897,1.569003,6.1326795,0.6621086
63_41,17.56626,3.4848258,1.4440615,2.0789003,0.8691719,14.66871,4.8289046,14.043173,1.7007127,14.483589,1.8874575
107_34,3.5337384,49.581223,0.62076414,0.74601996,1.1994942,5.0820894,0.81812143,1.0782267,0.7273694,2.00598,1.942266
120_45,22.006224,2.5177855,3.1428757,0.7404899,0.58804154,5.2099085,0.87964374,0.73152405,0.90163696,5.8088365,0.6908653
90_10,17.340847,3.0224068,1.2094281,0.9910117,1.0739884,19.193619,2.2871008,0.9933136,1.9744468,4.57251,0.97342443
62_11,38.108356,2.128275,3.702958,0.9027428,0.54288995,11.764154,1.082618,0.62369025,0.9901385,7.9728756,0.94638956
26_34,3.8553843,4.428866,16.569544,1.2984451,1.2948855,5.9949827,18.606531,1.392755,7.959539,102.44322,1.3522226
59_29,2.731917,34.463978,0.53775376,0.65545523,4.6209598,1.5108746,0.74166006,0.45994532,1.0165254,1.91097,2.0989861
107_43,8.812119,4.7488446,1.6939002,1.338702,2.1495697,9.779813,1.3827083,1.3109771,5.6018877,21.972305,1.0221922
100_42,20.090359,3.0973065,1.2835191,1.0143981,0.5989035,22.019016,1.260715,2.7481012,0.81519145,7.931177,0.5946254
94_41,17.041014,2.747681,1.3780918,1.812104,0.53299415,15.5127735,1.5586497,3.0135956,1.1507473,11.836756,0.5685487
79_27,2.7501988,16.557076,0.7567606,0.9195032,4.8942046,1.673718,0.9396785,0.597394,1.0361264,3.2608304,1.9689744
95_33,4.996099,5.292492,0.84150624,8.485143,1.4323411,6.737726,2.145978,2.1258216,1.022859,3.5978699,0.6179939
81_35,5.332358,4.5019364,1.0673718,61.459663,1.1450605,5.555334,1.2618642,1.1347317,5.098729,14.415281,1.2436785
72_9,15.056695,3.548519,1.494009,1.5719736,0.7363164,24.394089,1.9589624,20.47937,1.2454706,16.45901,1.5245035
81_11,10.696096,3.6602583,1.0950843,2.1375308,1.2478728,17.32577,1.941466,2.9663846,3.4055896,4.2427454,0.5669804
22_55,6.618537,3.4413805,24.136257,0.81415004,1.0614376,8.90024,2.739456,3.9837518,0.6386861,44.14179,1.6578577
88_33,15.633808,3.0775378,1.1248975,1.3862236,0.8487046,19.26433,0.8736177,2.269662,1.0941865,9.244487,0.6852919
106_22,7.0329547,3.7151258,9.833343,1.0528817,0.95615906,6.6718335,3.0854251,1.7528394,0.8595765,101.91516,1.6688865
97_41,19.316141,2.825281,1.2124698,1.1623172,0.5671686,15.880946,1.4939197,2.5031586,0.9706254,5.351919,0.6679592
86_51,17.210003,2.7936907,1.2081814,0.79977375,0.9485791,14.518973,1.7153871,32.12363,1.4593378,5.416012,0.7763915
56_16,11.995902,3.0343874,2.1710165,2.0414486,0.6356508,21.626263,2.1702147,12.143748,0.73581326,5.042076,1.1362828
39_38,5.5225086,4.8511763,1.4230064,5.7723594,1.4546195,6.375683,0.945719,1.7792019,2.866625,6.598238,1.384002
83_36,17.426424,2.9461827,1.4131179,1.1177952,0.85619193,28.65443,2.5525827,2.5001006,1.5345161,9.749254,0.66317016
99_58,27.450863,2.2468572,1.3585799,0.7468693,0.5773156,24.177515,1.3287663,2.3977542,1.0210714,5.276496,0.79275143
24_56,5.6315117,4.068803,14.165796,1.3906455,1.2828645,6.252718,279.9021,2.015571,1.1816099,14.485662,1.8873928
48_40,2.6458132,24.29486,0.64432406,0.59392023,24.440979,1.7826798,1.167003,0.52451634,2.6954758,4.482048,13.462671
85_18,2.159236,36.15941,0.40675086,0.69917583,2.4354303,1.8092686,0.53119755,0.54700077,0.67928624,1.9115819,2.6456382
82_52,18.617762,2.175792,3.0141845,1.0072607,0.55632955,12.525953,1.1712765,1.4779303,0.861577,10.41743,1.2011404
75_37,2.4308739,28.264938,0.5067842,0.58746153,4.6283407,1.4870234,0.6224077,0.46600512,0.709477,2.6542857,2.4336472
65_29,4.6293635,8.698685,0.6426654,3.108557,1.8142295,4.990551,0.81014943,1.4805517,1.9832813,3.3181913,1.5331057
64_23,4.1516004,9.146698,0.7195828,4.757247,2.1212413,7.530976,1.200744,1.1406584,2.3074498,4.042953,1.2006108
93_46,24.87241,3.080118,1.0760331,0.87702096,0.7506844,21.394499,1.1411144,5.124748,1.0124229,5.4003716,0.805135
64_18,11.55467,3.8896632,0.8928633,8.179053,1.059277,17.763905,6.011597,1.6773298,4.3317327,4.2424507,0.5670665
10_46,24.945026,2.330525,3.132882,0.56513464,0.60850847,11.198315,1.2933388,2.6444886,0.9690644,13.303707,1.2423279
85_7,25.928654,2.9621844,0.8916054,0.94693077,0.7816932,70.55283,2.5186553,4.059554,1.223696,5.2482905,0.6709318
33_25,8.13983,3.8333976,4.402379,0.9038155,2.8972154,3.4678357,143.68141,0.94898605,2.874676,9.149557,0.9535996
32_39,6.711331,3.941081,1.3712572,23.44883,2.7585938,4.2694383,4.0148115,0.9667863,42.647923,15.884251,0.74631655
88_45,44.336952,2.9232476,0.97484684,0.9020682,0.9481124,8.679612,1.0548477,2.2260926,1.1408937,4.150258,0.5753921
78_4,16.03384,2.7296793,1.6152337,0.90994227,0.6897444,30.695192,1.1733766,8.372145,0.82053024,5.837897,1.2668628
21_44,2.1453128,32.763344,0.480158,0.5226724,3.2559748,1.7078409,0.60552835,0.48053616,0.72111034,3.7750118,3.1591916
57_29,2.4350467,25.277807,0.5611547,0.63404006,7.78182,1.6168479,0.6883386,0.39635384,1.225383,1.9379812,1.6363466
84_10,18.374512,2.7629862,0.94857013,1.2006832,0.6538326,20.327637,1.5855855,1.9216158,0.9962383,5.2804284,0.63599634
121_48,11.665984,3.105066,5.2371297,0.6637124,0.5900222,16.10949,1.2290133,1.6567008,0.7454121,6.767679,0.692867
92_33,8.053356,3.623755,1.7655191,1.880945,1.3442929,17.257442,1.1071209,1.9605458,0.888447,8.131593,0.66126883
83_7,21.608799,2.6267543,1.054801,1.1913012,0.7000039,22.631325,1.6653373,3.3134508,1.1032015,4.8432283,0.7692189
103_28,2.077347,42.04131,0.45011443,0.6073228,2.1274226,1.5422777,0.64044607,0.5838002,0.5114322,2.361627,2.0825033
105_49,19.749588,2.1187603,1.3623784,0.8726682,0.5817211,26.81395,0.93056405,1.0556107,1.0313773,3.0859432,0.8181477
97_20,2.2641845,37.60582,0.6440987,0.838676,1.7626013,2.8537908,0.86916673,0.9588741,1.020265,2.9033103,2.2738075
72_32,9.907242,6.630941,0.99235034,6.1050153,2.3268404,5.8643727,0.8594349,2.9538984,2.5440476,5.3879695,0.9079391
40_26,9.026834,6.1304235,1.039016,0.6142203,0.855601,16.816162,1.0430312,1.4426659,1.4500631,2.361203,0.7904919
91_48,30.803518,2.9114337,0.9016386,1.0099368,0.63358927,13.55578,0.93916345,2.6060874,0.91167974,5.8923297,0.6638958
91_50,17.194191,2.832936,0.94893557,1.473918,0.71328485,45.93122,1.6977574,1.6037948,1.2145605,6.131152,0.7877337
78_47,5.857382,4.2621694,0.8164507,4.6608186,0.92350686,18.300644,1.8648375,22.481571,1.0403526,6.3710775,1.5781013
39_40,2.5012255,22.881084,0.5908707,0.6443387,17.248825,1.6091354,0.8056994,0.41440547,1.1291944,4.143402,13.986787
79_26,3.7651033,15.497893,0.67138505,1.2150443,1.3617121,5.1074233,0.72445935,1.5035838,0.89341974,2.3878207,1.359408
34_33,15.879013,3.0138927,2.5292492,1.0368235,0.73678535,7.387575,0.9253511,1.1567909,1.4535488,2.9665601,0.9438203
77_5,28.272255,2.690369,1.8218355,0.81389964,0.8096261,14.432999,1.9270386,2.0841377,0.89728373,7.4303226,0.91495
31_47,2.6207228,26.22358,0.5721083,0.67619944,5.052614,1.6119834,0.7574225,0.40781397,0.6903733,5.8614893,34.642776
67_22,3.725585,10.843558,0.5295409,2.0746377,1.6443075,4.9428706,1.2519339,1.4053032,3.9878252,4.131103,0.90934247
122_57,7.580222,3.76198,1.2992266,1.4826974,0.9556143,16.900167,1.0962329,1.6510607,0.8594512,4.1861057,1.088455
92_20,2.5324726,41.543694,0.6360545,0.5965773,13.994923,2.5305183,0.8706563,0.5692455,0.8672834,5.3769865,1.0904819
18_43,2.7319324,39.257816,0.5920738,0.6941426,1.9629629,2.8592165,0.89455765,0.82307494,0.7828625,3.5083718,3.6597588
37_40,2.6313164,37.132343,0.56827974,0.70571995,1.6024156,2.6830766,0.99411714,0.89939886,0.7771838,5.7039404,80.64899
21_42,5.235715,9.776409,0.9971454,2.1654472,0.8184299,15.452143,1.8271605,11.494869,1.3059641,4.731983,0.98992795
32_38,13.654987,4.185756,1.2710537,3.1235228,1.4353255,6.65641,10.783603,1.2837411,4.0316405,13.114973,0.8601378
43_28,4.3273163,18.886078,0.7635319,0.959041,1.3668756,2.9173226,0.78434974,0.82552725,1.7082133,2.0658522,2.496785
43_32,5.2901154,6.7026067,1.1424235,2.1218898,1.2973238,5.0339913,1.0208195,1.2728734,1.5220516,2.7458558,1.0187514
86_55,28.05203,2.3023834,4.212039,0.81998575,0.53711236,6.604932,1.318743,1.2449596,0.6880349,7.9792395,1.3753425
88_31,23.479736,3.0269349,1.1236452,1.3294611,0.7993673,24.779976,1.3548704,3.0253663,1.239484,11.846032,0.57256025
89_32,20.897076,4.315741,0.80859435,3.0770135,0.6558436,35.795532,1.3773943,6.155813,1.2258639,21.32251,1.0239038
29_48,2.3411398,28.885242,0.51979125,0.8753046,2.2847826,1.9274235,0.7731937,0.46729404,1.0136356,4.4087095,3.3724787
39_29,9.547557,6.3352556,1.0798348,0.74509466,0.975918,16.740473,1.0961219,0.6924436,1.0823911,2.4125528,0.760956
98_15,23.52903,2.9229603,1.0029638,0.81010664,0.6763502,22.698557,1.7943648,3.7950668,1.0986288,4.8116217,1.1257844
119_65,20.32375,2.5030367,1.5077589,0.8844537,0.53874123,17.104069,1.2337977,1.1638043,0.8781619,4.64766,1.0894588
115_60,9.183584,3.473134,0.989807,2.6164312,1.6497371,8.420381,1.1253114,1.0561825,22.443172,11.241598,0.67994386
27_36,18.387339,2.6838727,3.1160538,1.1460412,0.58178395,12.308867,1.4846494,1.1337142,0.651668,7.9728727,0.94638973
98_46,19.374977,2.8165016,1.3629899,0.9228222,0.54788417,14.608501,1.1702665,1.5899564,0.88183093,6.2806296,0.6696829
101_28,5.106651,40.85679,0.73924434,0.64368004,1.1139854,4.898224,0.9554197,0.94565153,0.67947644,2.9781904,2.8515782
66_24,2.4189184,20.461266,0.47112492,0.8224071,2.2150857,1.925113,0.674026,0.8612743,0.45937884,2.7008994,2.2462375
54_16,30.480997,2.6341417,2.3230393,1.3382676,0.6445175,11.976229,1.9109089,3.7618296,0.84766495,5.41421,1.185062
116_61,13.334021,3.1835449,3.489472,0.95288,0.8637454,8.31637,3.840644,0.86525583,19.88015,8.344021,0.6103163
86_15,2.9114037,36.13308,0.60995495,0.78637207,15.957292,2.2958956,1.4219843,0.7541095,3.3721282,2.3522143,1.5918452
39_25,9.54176,3.2893016,1.1482952,1.2357695,0.8269863,27.014778,1.9872371,1.3454967,1.5548072,2.6620665,1.2184252
29_45,2.4686873,53.786636,0.55635464,0.6326724,2.5254195,1.634356,0.5792896,0.4958541,0.6826969,3.8478656,3.842795
95_49,35.765648,2.4962282,1.1495553,0.9473523,0.754687,16.880928,1.5533849,9.78672,0.8297804,4.242544,0.56697303
17_45,2.091427,61.99258,0.4672825,0.5834112,2.2670877,1.8423221,0.6761126,0.49298322,0.7376168,4.814026,2.83889
108_46,2.5084422,41.180153,0.65190446,0.94524395,1.873301,2.2015357,0.78853405,0.62807363,0.88983905,4.815335,1.0333102
89_5,14.947578,2.2638485,17.403574,0.8473089,0.7600895,4.257777,1.406348,0.9429403,0.8325723,5.2206416,0.80207837
61_32,2.5250578,24.485268,0.81013656,0.6847231,4.5674934,1.6008172,2.3561842,0.6151136,1.4313312,3.2435796,2.1633363
114_32,4.4858627,5.2177052,7.2900763,1.826955,1.3864088,3.8678708,575.34485,1.2281713,1.2432636,101.91516,1.6688865
106_25,17.091602,2.7694435,1.5034196,1.0381492,0.7954306,20.674814,1.1921057,1.753678,1.3037375,8.081036,0.6334178
42_33,9.1754,5.432354,1.2456887,1.7543935,1.4378661,18.332535,1.2116944,1.884905,2.0975416,2.7068157,0.69504076
47_32,4.3783903,5.77042,1.574692,4.3857956,3.314419,5.369004,2.1430078,0.8877268,299.30545,18.711615,1.9135239
59_14,47.256287,2.6796455,2.026087,1.4657791,0.653446,13.379557,1.4637237,4.0620427,0.92486453,4.07812,1.5198579
68_35,2.5462139,47.037304,0.5575865,0.61863524,3.1432166,1.7519553,0.86861604,0.5635341,0.8986563,4.434647,1.85372
79_17,5.2316446,5.216641,0.94823134,4.4133987,0.99353445,11.372607,1.1270772,1.1330124,1.6895567,5.970973,0.82660735
42_30,3.2907188,12.102807,0.61750007,1.2770917,1.5173125,3.5341237,1.3714057,1.3372796,1.4497803,3.0994554,1.4574991
99_45,37.263298,2.8527455,1.3342019,0.9534091,0.6186721,35.92495,1.4208505,2.1716394,1.1133618,3.7635193,0.6448076
79_52,17.468,3.418585,17.029076,0.97252345,1.0274599,2.7376828,19.751913,0.69163805,2.2094564,82.43234,1.2985096
31_45,2.4930105,39.34981,0.59477615,0.6306003,3.9607236,1.8303499,0.61675197,0.5117503,0.7115796,4.599889,34.94114
94_46,39.600193,2.9282396,0.7505706,0.8334911,0.81277096,13.623549,1.039397,8.191951,1.089968,15.262561,0.8483352
97_55,40.851357,2.6770039,1.0712363,1.1944199,0.70444584,25.619333,1.3657899,2.2174432,1.0679938,5.1132026,0.47610214
85_15,2.9888196,11.190529,0.533361,1.1673908,5.728548,2.1080441,0.5391186,0.61581576,8.348639,2.7213883,0.8756237
76_49,15.121479,2.3076425,12.665141,0.9481001,0.79575074,5.1065373,2.2211697,1.1909776,0.78453124,6.589158,0.7972224
85_30,6.147606,3.8595128,1.2796714,5.745151,0.8397318,15.166792,1.2463143,7.203014,1.6624117,23.5552,0.9810798
21_43,2.6566515,46.92983,0.5366293,0.71704125,1.8009148,2.678086,0.8616252,0.92521065,0.8512288,3.4168618,2.059687
67_39,8.638201,3.2103086,1.5853143,4.8499436,1.0289557,8.673081,1.3927135,2.0339375,3.1553361,10.975224,1.5396279
35_31,8.628236,5.245942,2.19855,0.55568445,1.0191295,4.656896,1.3884951,0.624691,2.8482106,2.558776,0.7346746
84_49,16.228111,2.9689562,1.3081708,1.2192023,0.5112246,49.758507,2.576465,1.8781437,1.2618423,9.593155,0.7990851
46_35,41.342278,3.7266192,1.3474357,1.3765483,1.4120115,13.350357,1.2732083,1.5820881,5.4329834,5.40637,0.7034662
38_30,9.810192,5.758719,1.1021669,0.64945614,1.3685611,11.953344,0.8235181,0.83016384,1.0214254,2.9186742,0.6184249
64_29,2.4134712,45.97643,0.5511962,0.6137892,3.4720407,1.8322581,0.64244103,0.56696665,0.67330843,4.152788,1.9959021
44_18,52.35305,2.027865,3.5403674,0.64723456,0.51317805,4.4203186,1.0114571,1.1013018,0.67202026,4.667795,0.9072446
116_38,19.916067,2.3649802,3.0050392,0.84764254,0.62212175,15.3898735,1.518265,1.5782617,0.77779126,5.78027,0.63675445
53_20,3.0727386,9.029646,0.99396396,3.0578108,3.251723,2.7966027,1.3806821,1.1060189,1.3852777,6.572048,1.4418763
91_27,7.6091256,4.533484,1.5942416,2.2674468,1.2478012,18.465557,2.037842,1.0079398,4.0557804,4.9660277,0.6187068
75_10,9.012963,2.971643,1.253625,4.3101945,2.5341704,7.4228296,0.9437665,10.457591,2.3900034,4.38461,0.6194162
40_36,7.310068,4.1800804,1.2722208,3.3392,1.0674001,8.494562,1.7409594,1.4651084,6.4305167,11.4256935,1.4949418
84_34,23.157969,3.4623432,1.092271,2.5720732,1.1635209,14.329166,2.558631,12.5457115,1.9718693,19.444702,1.0540774
33_37,11.923868,2.529654,2.2944326,1.6278938,1.2511626,12.590319,1.4833539,1.9411379,4.7136793,4.780565,0.65685946
87_36,6.700921,5.0291805,0.79999274,2.8962226,0.82851094,21.390966,1.9971392,6.7319303,0.73782533,15.256606,0.79447114
116_52,7.1388683,4.65458,1.5198615,5.4118485,1.7780343,10.261633,2.0114992,2.3319955,9.697902,5.823642,0.7649143
76_8,15.941117,2.6725864,1.2908925,1.2244031,0.7529811,15.937841,2.312403,3.1448123,2.3786957,4.3730435,0.69347435
100_22,2.6149242,45.127613,0.57212746,0.6574135,3.6846821,1.9474452,0.8048935,0.6871243,0.99545544,5.1377993,1.3773965
99_37,2.5731864,53.342285,0.55362934,0.66152406,2.3838313,1.7939451,0.637419,0.53997314,0.67479074,2.438445,2.755417
98_53,18.331753,2.7242389,1.4908242,0.78210205,0.64220786,18.093077,1.2122581,4.320721,0.8456941,5.1665797,0.43437195
110_30,18.054296,2.362513,3.5640225,0.791648,0.56548333,10.905464,1.0452875,1.5588851,0.63245726,5.5577226,0.836628
114_33,6.638517,3.6368508,10.179074,1.669549,1.0239624,5.4891915,0.923855,1.3007259,0.826198,23.14217,1.6415036
92_48,34.43373,2.7194061,1.3014562,0.74897504,0.6267114,7.276263,0.99018306,1.320005,0.7126898,3.6432908,0.6032734
92_11,11.940438,3.086008,1.3049121,1.8250457,1.43412,7.5712786,1.2498971,32.226315,1.4866514,3.1826057,1.3185813
97_22,2.403709,44.756176,0.54818666,0.5813962,1.8680464,1.8054719,0.6434343,0.53167695,0.6934633,3.775661,2.0603647
37_54,42.5289,2.6268325,3.186188,0.56183666,0.625525,3.9153314,1.2985756,0.57235205,1.186353,4.989905,0.8019643
60_22,2.4735966,51.71052,0.5118446,0.65792286,1.1399136,1.5367935,0.58156717,0.28909016,1.228375,3.0218587,2.7651098
118_47,3.5009408,13.97284,0.55943924,1.1797961,1.772438,4.5359125,1.1832223,0.98306954,1.6467326,2.1340284,1.6430241
88_27,8.664199,4.2217264,0.7420721,1.6509533,0.7917098,40.9759,1.3029671,1.3365515,2.8138669,5.372464,0.6375096
106_49,25.013638,2.625499,1.2778525,0.86312926,0.7170014,37.35374,1.6951116,2.107325,1.40114,5.016573,0.7136654
29_49,4.186677,5.96947,1.2046208,2.640781,1.7358891,4.0660434,0.8086379,1.4858843,5.1922417,3.801538,1.8158618
123_59,20.862164,2.2967312,2.9315398,0.71438175,0.8326236,13.384905,1.3293289,1.2330326,1.3586601,4.3585935,0.81495595
