,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7
Pcmtd1,1.1992948,-2.5901942,0.52360636,-0.13024397,-1.001198,0.45107418,0.50171494,-0.00827288,-0.75189227
Sgk3,0.21798363,0.79374886,-0.25861952,-0.8602633,0.35935327,-0.116418526,-0.78849244,-0.05310705,0.15966143
Cspp1,1.2721156,-2.1932626,0.8457778,-0.5114149,-0.20842189,0.16299775,-0.33409515,0.042294845,-0.012305488
Arfgef1,-0.013964806,0.2672424,0.12084366,-0.009820157,-0.011014759,-0.0011612155,0.010814612,-0.03061078,0.016020462
Tram1,1.2172841,-1.9294021,-0.21762073,0.03445682,-0.27285752,0.39829695,-0.6615596,0.032119464,-0.8306137
Ncoa2,0.2200622,-0.028833628,0.65510136,-0.38341296,-0.30616218,-0.2325031,0.4606986,-0.51466143,0.70865655
Terf1,1.6597954,-2.9224777,0.33011052,-0.08337616,-0.55298126,0.25325412,-0.12676536,0.8094619,-0.47931552
Ube2w,0.34820795,-1.2443776,0.21111356,0.06731489,0.23188052,0.029476896,-0.699627,0.045383424,-0.51546454
Mcm3,0.18145633,-0.9044429,-0.24189566,0.06616341,0.03163813,0.04243029,-0.34612912,0.13539611,-0.17116179
Kcnq5,1.2220882,-3.5825915,1.1604878,0.040138222,-0.4848682,-0.17615214,0.22135004,-0.0031058406,0.18278505
Smap1,0.13539952,-0.11957684,0.37639138,-0.94182366,0.46054053,-0.1259025,0.6328522,-0.049912628,-0.057364997
Lmbrd1,0.648271,-0.8764001,-0.066002704,-0.07662817,0.037054334,0.06417198,-0.8344465,-0.004921341,-0.41104296
Phf3,1.119953,-2.5015264,0.13495056,0.16341868,-0.5824827,0.09169717,0.7263107,0.043772697,-0.70809865
Zfp451,0.86814386,-1.4401726,0.31955957,-0.40350455,-0.47266296,0.049569026,-0.7710999,0.025022253,0.20946704
Ptpn18,-1.8148329,0.905951,-0.6199686,0.5150736,0.16004257,-0.016932806,-1.2091928,0.035016853,-0.91290843
Dst,-1.239363,-0.4574745,0.30215737,0.5080593,0.21124886,0.025479667,0.4939339,-0.015251297,-0.09138923
Plekhb2,-0.9406749,1.5516995,-0.00079353194,-0.38749856,-0.01668776,-0.40088248,-0.6719975,-0.017747257,0.26216725
Fam168b,0.18966916,-0.21613914,-0.6981995,0.069158725,-0.3152045,0.009561892,-1.124947,-0.06285143,-0.40522647
Hs6st1,1.2738957,-2.480649,0.3450386,0.35406175,-0.5191813,0.3421031,0.15841867,-0.2576813,0.040039197
Uggt1,0.39576423,-0.7809083,0.3354866,0.0056481105,-0.051605552,0.012148477,-0.49774724,0.0062590986,-0.05066801
Kansl3,0.015880764,0.51282114,0.40835565,-0.7870023,-0.32687533,-0.16204663,0.24753529,-0.1739998,-0.65325457
Zap70,0.3798563,-1.2716694,-0.28992727,0.11054812,-0.74121433,-0.0061522657,0.3616531,-0.0128658535,0.12259592
Tmem131,1.3994861,-3.4931529,0.7562092,0.126147,-1.0170727,-0.091536194,0.70032763,-0.05755922,-1.66066e-05
Coa5,-1.8948511,2.2428293,-0.7682931,0.2797525,0.5276739,-0.6545967,-0.83726144,-0.32667264,-0.015718516
Mgat4a,0.5033519,-2.0534017,0.6731446,0.17864995,0.20077984,-0.14878619,0.5577988,0.080403656,-0.24821848
Eif5b,0.022125345,0.1034444,0.18157694,0.00031261516,-0.21989156,-0.014549982,-0.089117035,-0.0074259858,-0.01771205
Aff3,1.5276254,-4.1933804,0.80369866,0.19506887,-0.2807715,0.3742404,0.990321,-0.33449072,-0.11407631
Map4k4,-0.37032813,1.4404454,0.030827686,-0.10563102,0.6318078,-1.1042087,-0.05097234,-0.37765715,0.60079706
Mrps9,-0.08238014,0.10784103,-0.2437422,0.02708601,-0.30973044,0.0014998871,-0.2804398,-0.016387392,-0.1281443
Tpp2,0.96483886,-2.1190057,0.26722404,0.0050302534,0.09242729,0.123459496,-0.23661238,0.013982153,-0.7059198
Nck2,1.0269265,-3.7576733,0.97187203,0.38022682,-1.2097473,-0.22718404,1.0249069,-0.08165974,0.8606614
Stat1,-1.6896312,1.9679055,0.048915375,-0.36118835,0.2235249,-1.3948095,0.33451596,-0.2643537,-0.24119525
Nab1,-0.022196472,0.06751001,-0.027929632,-0.3076491,-0.544179,-0.037663236,-0.8108832,0.09733627,-0.19834208
Gls,0.65897816,-0.79784834,0.18629067,-0.08697715,-0.35688215,-0.0069542243,0.30914545,0.015380705,-0.11762211
Stk17b,-0.28072685,1.1427764,-1.1260705,-0.026086412,-0.4781768,-0.020315612,-0.51185226,-1.0149193,0.10107365
Ankrd44,0.29842156,-0.8892014,0.44211367,0.16964081,-0.5456875,-0.060581565,0.21582815,-0.11599273,0.6320186
Hspd1,-0.9580013,0.16378224,-0.89529324,0.50035274,-0.3177776,-0.16909997,-0.99333924,0.04759288,-0.49923778
Mob4,-0.36641106,0.39452025,0.053692427,-0.10521984,-0.76483655,-0.062324293,-1.0603448,0.00091997394,0.03313764
Plcl1,2.276907,-4.8602324,1.2308264,-0.7591895,-0.31615278,0.71300614,1.1718787,-0.18855476,-0.34711036
Clk1,0.13540845,-0.3367746,0.2801324,0.009792502,0.06380701,0.008058311,0.6180041,-0.0072248345,-0.066539355
Cflar,-0.68589777,1.2354187,0.3151322,-0.38768843,0.4720686,-0.48366836,0.45069954,-0.035775337,-0.8614334
Trak2,-0.11867142,-0.9826908,-0.15170369,0.2781879,-0.7530648,-0.044404924,0.1414079,0.0056862016,0.091701046
Nop58,0.26468638,-1.0246557,-0.37825865,0.020748885,-0.6098977,-0.006982323,-0.8914681,-0.007477467,0.01841752
Fam117b,-0.6716801,1.2544755,0.26124296,-0.2768681,0.22299433,-0.38151023,-0.7045961,-0.15603662,-0.2134669
Wdr12,2.1231263,-4.80601,0.62808204,0.23637961,-1.2049626,1.6208143,0.7258968,0.14192945,-0.7784479
Nbeal1,1.3215355,-1.8165418,0.059724495,-0.073913135,-0.43919736,0.005815977,0.63652885,-0.21308097,-0.31432638
Cd28,1.5055385,-2.0508726,-0.06496126,-0.10301814,-0.38468978,0.60461754,-1.3354462,0.015799819,0.015674049
Ino80d,0.46953082,-0.009339601,-0.00074011646,-0.05023775,-0.09945968,0.0009834999,-0.71377367,-0.018605057,0.031930126
Ndufs1,0.013903039,-0.67180604,-0.12512058,0.027673751,-0.14061582,0.014954821,-0.27768788,0.00059199135,0.020632206
Klf7,1.4170301,-3.129054,0.41129535,0.13755707,-0.16861242,0.1398516,0.33065945,-0.035436008,0.53795993
Eef1b2,-1.8767469,1.7752581,-0.85829645,0.3600823,0.58422405,-1.5900103,-1.2335353,-0.1457657,0.22111633
Creb1,0.6880413,-1.6965165,0.25101006,0.0053312825,-0.25441295,0.098974876,0.60866374,-0.06369345,-0.11221358
Kansl1l,2.951769,-5.715726,1.0733184,-0.95932984,-0.68734723,2.0488427,0.6646221,0.35280448,-1.178022
Ikzf2,0.44407362,-0.22743562,0.67885256,-0.25364223,-0.3423136,0.017431589,-0.18029553,-0.34843516,0.049876295
Igfbp5,-6.440463,3.0158367,-0.37944642,1.1338568,0.6668775,-3.485584,0.4379138,0.22335456,0.07877629
Tns1,-1.2985923,-0.047374904,0.38931322,0.53750545,-0.020094236,-0.14993885,0.66099256,-0.03255759,-0.24509998
Aamp,-1.7219008,2.1420372,-1.1298549,-0.25271454,0.08308408,-0.08251682,-1.3157938,-0.00730927,0.18155572
Arpc2,0.40591776,-0.45426422,-0.67371744,-0.27544174,-0.69731885,0.48906714,-1.1872597,-0.0069512255,-0.44130114
Usp37,0.58283734,-2.1639209,0.102310926,0.35280344,-0.058873568,-0.07685295,0.08496181,0.13836935,-0.19137132
Cnppd1,-0.77891785,0.17293216,0.48240188,0.045712527,-0.40316242,-0.029493235,-0.15933299,0.01578894,-0.03130902
Retreg2,-3.1927195,2.109128,-0.21206959,0.44770047,0.7936116,-1.4386077,-0.03159333,-0.64763844,1.082
Farsb,-0.4899798,0.057596534,-0.30728486,-0.034567904,-0.13818713,-0.003766721,0.18069507,0.007867048,-0.16029887
Cul3,1.5490615,-2.6200216,-0.2945576,0.1556069,-0.80697644,0.5878394,-0.1995802,-0.033144016,0.1437412
Mff,0.63151604,-0.10616958,-1.0516797,-0.04943934,-0.4981179,-0.12681028,-0.18021144,0.010886398,-0.3197936
Dock10,0.3550669,0.116927,0.32454482,-0.21929589,0.033262126,-0.020704774,0.11585464,-0.060811665,0.020796912
Agfg1,0.1299561,-0.3450123,0.31038666,-0.2988812,-0.30108732,-0.06984459,0.04389789,-0.041229263,-0.05224616
Trip12,1.0085618,-1.2260365,-0.31186375,-0.09177088,-0.25521,0.23772547,-0.80086416,-0.0019996094,-0.1295519
Sp100,-0.98676264,0.65261215,-0.74584776,0.3296713,-0.21788554,-0.09125774,-0.3262226,-0.07388809,0.10354187
Psmd1,0.748862,-0.4815408,-0.45847708,-0.043527473,-0.13020368,0.01508747,-0.09424625,-0.037974212,-0.25051084
Itm2c,-3.8391912,3.3113189,-1.0061923,0.25379932,0.45144302,-2.576222,-0.17025799,-0.50800556,0.32345328
Dis3l2,0.50508994,-1.1029224,0.7824375,-0.16821031,-0.56201255,-0.086569995,0.6821646,-0.31830984,-0.76788455
Inpp5d,-0.3388791,0.723089,0.3097777,-0.02417143,0.08406904,-0.062619485,-0.28029138,-0.3053909,-0.00615586
Hjurp,0.80543685,-2.406826,0.55317104,-0.14254335,-0.11737515,0.0027302764,0.210531,0.08688873,0.19554944
Arl4c,-0.12500001,0.9158148,-0.67933995,-0.30715555,-0.36104193,0.057792142,-0.6903199,-0.12039502,-0.60633206
Lrrfip1,-0.057070613,0.050389558,0.74436224,-0.12801741,-0.44938576,-0.017740153,0.43043175,-0.21041225,-0.11654709
Ilkap,-0.65911555,0.19879206,-0.13231549,0.25260368,0.44066542,-0.10595126,-0.58646864,-0.061279595,0.5179719
Hdac4,0.27355587,-0.7709531,0.71708614,-0.009317444,0.17228903,-0.031328276,-0.33715898,-0.021175206,-0.10895191
Gpc1,-4.2690563,3.330874,-0.19113795,-0.115122214,0.83537054,-2.7734308,-0.16040216,-0.60324335,0.12822083
Cops9,-2.2331393,2.2990584,-1.7223748,0.34683636,0.53244185,-0.7370279,-0.69325966,-0.2697085,0.3462368
Rnpepl1,-1.2291219,0.08019394,0.0010707605,0.2764154,0.15790717,0.025007281,-0.5337174,0.0068225884,-0.047482483
Hdlbp,0.7438838,-0.8674818,0.15829185,-0.25409544,-0.29449096,0.06375128,-0.726676,0.039172627,-0.86673474
Sept2,0.47890145,-0.7589842,-0.5244194,-0.17273338,-0.75262135,0.015376629,-0.8921129,0.005896707,-0.21842878
Dtymk,0.27298683,-2.1561403,-0.1878117,0.59219456,-0.5719078,0.16820964,-0.20939894,0.6798637,-0.39633647
St8sia4,1.8281517,-1.9437584,-0.5336672,-0.13638549,-0.6894089,0.21421541,-0.08386026,0.015145006,-0.34983283
D1Ertd622e,1.8441706,-3.0034947,-0.19004793,0.012420753,-0.17226943,0.40958992,-0.92306316,0.16079144,0.65122855
Ppip5k2,0.96236444,-1.0307097,-1.2179697,0.01750663,-0.19895287,0.051208403,-0.47252765,0.015843432,-0.039265145
Pam,-3.023259,3.2811117,0.2662578,-0.85046947,-0.024969699,-1.2896503,-0.68761873,-0.16027881,-0.58136016
2310035C23Rik,1.1412174,-1.7392415,0.48322257,-0.3407925,-0.31316936,0.19292937,-0.09828739,0.027592428,-0.008251166
Zcchc2,0.043611825,0.3306393,-0.45850748,-0.12284125,0.05386931,-0.05147765,0.36372206,-0.05727558,0.06869194
Vps4b,0.2846368,0.52656376,-1.0500686,-0.46630684,-0.023080898,0.07127917,-1.4024835,-0.30317366,-0.11510267
Bcl2,-1.2737565,1.9758575,-0.114290886,-0.6785596,0.5564033,-1.5717572,-0.036983974,-0.52167296,0.4056454
Tsn,-0.7770861,0.42033628,0.10402889,0.04591648,-0.08314797,-0.0051170117,-0.14878608,-0.019642802,-0.06812481
Clasp1,1.389173,-1.783834,0.54262286,-0.1637005,-0.5786743,-0.014948895,-0.91559803,0.032672103,0.39142728
Ptpn4,1.5665753,-2.554468,-0.15056258,0.39486948,-0.5294199,0.12774122,0.21341875,-0.09141354,-0.42104772
Dbi,-0.2011503,-0.31816006,-0.29718614,-0.10896326,-1.0656476,0.037209027,-0.30831873,0.06779895,-0.47763112
Actr3,-0.4980986,0.74847096,-0.30285338,-0.027409475,0.30791694,-0.15695906,-1.7508593,-0.057833858,-0.0054585943
Ccnt2,0.38130865,-0.69203264,-0.08079589,0.024282346,0.17141528,-0.029037993,-0.28643665,-0.006685821,0.10210785
Mgat5,1.9192231,-3.6238704,0.9011179,-0.32849962,-0.16060154,0.13051781,0.9544347,-0.04586446,-0.16942681
Rab3gap1,0.20839661,-1.0366207,0.39987034,0.11512022,-0.3718513,0.01275512,-0.70689774,0.015642578,-0.039216563
Ubxn4,0.642228,-2.0037198,0.028516058,0.008697091,-0.49592924,0.029594393,-0.17040619,0.056880258,-0.06516053
R3hdm1,1.4196965,-2.3091521,0.027686287,-0.018067677,-0.5590458,0.2645446,0.23477502,-0.055501904,0.03022861
Mcm6,0.78286403,-1.8921608,-0.043765802,0.4491161,-0.6868696,-0.0477871,0.019770307,0.51140773,-0.26420528
Mapkapk2,-2.5552459,2.0326242,-0.40969205,0.301089,0.285413,-1.1329362,0.6953932,-0.43121615,-0.38299766
Srgap2,0.37805936,-1.7954164,0.845314,-0.1435028,-0.8128111,0.008212106,-0.69734585,0.061173942,0.25579968
Rassf5,-1.1435597,1.396446,-0.17989539,0.13599859,0.420216,-0.76120675,-0.9761159,-0.5061944,0.4441952
Nucks1,-0.96209216,-0.021694899,-0.38650423,0.6251641,0.47589463,-1.0590745,-0.52541614,0.02590581,0.68543833
Elk4,0.07075697,-0.00727548,-0.22520995,0.0040940596,-0.105211,0.022247452,-0.29069677,-0.04609943,0.04313254
Ppp1r15b,0.11166158,-0.24726732,-0.25119442,0.01204536,0.15275526,-0.0035356507,0.3129635,-0.0031635822,-0.0076778783
Mdm4,1.0509834,-0.82370293,0.6662451,-0.75191945,-0.24666809,-0.039973773,-0.104803294,-0.052598465,0.115132995
Snrpe,-0.40164566,0.44175437,-1.2232207,-0.053435035,0.085449204,-0.007551518,-0.12222542,0.016282136,-0.73900294
Zc3h11a,0.6078675,-1.4494627,0.041618656,-0.02495136,-0.19959542,0.09349625,-0.10952514,-0.021733202,-0.021481346
Adipor1,-1.1567401,0.6603448,-0.22896604,0.13818535,-0.0453013,-0.11081703,-0.058247812,0.0034925274,0.33615598
Kdm5b,1.3438803,-1.9526758,0.1326334,-0.058167595,-0.5868521,0.3722456,0.19521183,-0.10801438,-0.076039866
Btg2,0.8741862,-1.9489396,0.084148444,0.32427025,-0.22756933,0.56142384,0.01497473,-0.15672632,0.7460373
Ppp1r12b,0.15598702,-0.8369879,0.50295734,0.040922057,0.04446808,-0.041829854,0.43167937,-0.011357244,-0.1407013
Rnpep,-0.37887794,0.032096624,0.15953751,0.11248768,-0.5213222,-0.031076465,-0.49933508,-0.0164252,-0.093770444
Csrp1,-0.46729955,1.3796256,-0.52075154,-0.43191117,0.3772029,-0.4902446,-0.9614194,0.056470685,0.07775457
Kif21b,0.92003787,-1.5181895,0.07098337,0.02882029,-0.08493301,0.07439687,-0.5614411,0.014706414,-0.4177769
Zfp281,-0.98005855,1.0828916,-0.9740791,-0.0702265,0.2344113,-0.050781976,-1.013939,-0.0013328802,-0.44492185
Nek7,0.39659637,-0.1415096,0.15801883,-0.02649417,-0.057356026,0.0040565925,-0.10625401,-0.01591685,-0.10681165
Dennd1b,0.4265151,-1.0646027,0.098023325,-0.043846287,-0.11452216,0.014361596,-0.9791746,-0.013192468,0.49988422
Cdc73,1.4160868,-2.4860458,-0.042385846,-0.09533751,-1.121852,0.62620026,-0.2635812,0.08074123,-0.09628677
Uchl5,0.87712157,-1.194268,-0.40535223,0.09393934,-0.7961444,0.016354248,-0.6431599,0.054663,-0.18352956
Rgs2,-0.24991843,0.4647185,-0.8329216,0.011472583,-0.40233424,-0.20727274,-0.48158833,-0.04055354,0.17086643
Tpr,0.60969627,-2.2818267,-0.14902383,0.1657925,-0.3452852,0.36248592,-0.28902763,0.18768391,-0.40536746
Ivns1abp,-1.4447389,1.1960796,0.38638303,-0.06522001,-0.50702703,-0.2013382,-0.4639448,-0.023532877,0.10423891
Rnf2,0.39511308,-0.88628644,-0.27481213,0.042902045,-0.4980198,0.13648948,-0.041596826,-0.0028999997,0.032376427
1700025G04Rik,-0.9845942,1.0585904,0.5505105,-0.36104104,0.2345916,-0.78511167,0.94028467,-0.029360117,-0.69466144
Arpc5,-0.6268442,1.2331045,-1.4030142,0.054787174,0.15199365,-0.7859119,-0.6690883,-0.024766702,0.4925227
Dhx9,1.2495914,-2.5397055,-0.38515002,0.47945246,-0.9750024,1.3620986,-0.9982643,0.10018349,-0.706291
Ier5,-3.282786,4.2528987,-1.5859957,-1.3100342,0.44104075,-2.2218223,-1.0792397,-1.0472231,0.29163417
Cacna1e,2.4640021,-5.599051,1.0462412,-0.21767724,-0.5448767,0.59802574,1.0097269,-0.29008716,-0.5211543
Stx6,2.1209342,-3.4612691,-0.021706952,-0.15278102,-0.52839684,1.0243402,0.13287944,0.113576345,0.31466708
Xpr1,1.1418116,-1.9274325,0.48080438,-0.116596736,-0.18143363,0.06609282,-0.15713501,0.0067280857,-0.28377584
Acbd6,0.38688943,-1.638964,0.65329766,0.0076914416,-0.5284836,0.0040237326,0.79290897,-0.012104809,-0.23385303
Cep350,0.6946051,-1.2997133,0.37108654,-0.120238535,-0.59827757,0.020825699,-0.8187043,0.004353463,-0.05253391
Tor1aip1,-0.3809951,0.5765226,-0.06294746,-0.29449335,0.25544822,-0.050523486,0.35613328,-0.051705897,-0.08543576
Tdrd5,3.6008754,-7.187373,0.6417501,0.4455729,-1.3340063,2.6584487,0.20944689,0.42452374,-0.9149963
Soat1,0.4555568,-1.1216587,0.31073594,0.10592928,-0.023046171,0.026239134,0.04360193,-0.10906814,-0.46577355
Abl2,0.5496574,-1.2734773,0.6309205,-0.0938302,0.17757295,0.027422767,0.5219353,-0.086393856,0.21503665
Ralgps2,1.2939575,-2.1352065,0.4719246,-0.15718076,-0.096735165,-0.06415833,0.3633198,-0.04702143,-0.5075251
Cop1,1.4713342,-1.6361465,0.3710059,-0.35001802,-1.008219,0.11550418,0.083032124,0.07778926,0.108266346
4930523C07Rik,-0.20063388,0.8851731,-0.18634816,-0.06881774,-0.037125442,-0.02435356,-0.2761459,-0.008842661,-0.07669248
Cacybp,0.5392415,-0.9072379,-1.0975854,-0.058371756,-0.20347257,0.09732728,-0.9904576,0.12806611,0.19206366
Rabgap1l,1.4466827,-2.466209,0.5999664,-0.25769368,-0.614467,0.6592037,0.7014138,0.09085716,-0.4272849
Rc3h1,0.6281583,-1.2867601,0.21638422,-0.0006421112,-0.25279012,0.06730958,-0.8031585,-0.03305385,-0.011081529
Prdx6,-1.1793431,0.9155829,-0.5767232,0.2436426,0.2666064,-0.02649891,-0.147015,-0.050433766,-0.022539182
Suco,0.19811498,-0.3683018,-0.10250281,-0.039699197,0.40425527,0.042000026,-0.13113911,0.0049596527,-0.44561625
Sell,-0.4579801,0.935037,-0.18602657,-0.09435089,0.4079532,-0.054534554,-0.9110531,-0.1033904,-0.34313992
Prrc2c,1.4309993,-2.556242,0.15978184,-0.08755971,-0.48255605,0.3995754,0.19971208,-0.031205961,-0.11620718
Atp1b1,-1.0100136,2.4121008,-0.52717566,-1.0504522,0.17707966,-0.10108778,-0.34319118,-0.028220473,-0.89011127
Sft2d2,-0.12977059,-0.1705676,-0.05867204,-0.015713878,-0.41740027,0.0008554491,0.7082118,-0.02856353,-0.00066507154
Dcaf6,0.44709602,-1.9583209,0.89386636,0.23986192,-0.4391788,0.12204179,0.86057115,-0.13855547,-0.08554158
Creg1,-2.2254844,2.0016313,-0.6868002,0.3130272,0.9152947,-0.8484383,-0.7007478,-0.49619123,-0.25799763
Rcsd1,1.2588472,-3.9972963,0.75992346,0.12037995,-0.6221551,0.21541409,0.35148028,0.11844316,0.33456516
Pou2f1,0.4889611,-1.3192993,0.39399892,-0.02854614,-0.1463046,-0.034726575,-0.3576736,0.026086895,0.22090678
Uck2,0.874388,-2.9737012,0.612565,0.21799354,-0.2645593,-0.1261403,0.79638505,0.036343463,0.3022562
Rgs5,-6.1003323,5.503062,-1.3672907,-1.3620834,2.0114472,-4.563638,-1.151417,-1.1323255,-0.78208876
Pbx1,-2.8427436,1.7221124,-0.08195951,0.5116834,0.7147385,-1.3781315,0.7730574,0.042081766,-0.5614561
Uhmk1,-0.7812216,1.0829782,-0.91554666,0.05857824,0.20717858,-0.17687377,-1.0936257,-0.08122619,0.2491076
Sdhc,-0.7847918,-0.029580772,-0.20004857,0.049122643,-0.38292816,-0.065045744,-0.8044428,0.18233246,-0.07138447
Arhgap30,0.31164777,-0.07420232,-0.08827192,-0.02155396,-0.034425415,-0.00064801006,0.47602215,-0.005884041,0.012643964
Slamf6,2.1752462,-4.1004467,0.568235,-0.4789059,-0.9320667,0.7595674,0.964509,0.40267026,-0.98347956
Copa,0.37135518,-0.89874184,-0.031364292,-0.001632496,-0.19310172,-0.027473494,-0.34890363,0.036720492,-0.01735534
Pea15a,-4.9704413,4.3740454,-1.5613582,-0.23416638,1.4330574,-2.4358675,-0.9182062,-1.0416408,0.6693303
Dcaf8,-0.90890896,1.0797213,0.3270983,0.019010762,0.3817261,-0.36832976,0.11132953,-0.045518342,0.05151401
Tagln2,-2.5967674,3.0255563,-1.0279038,-0.07691548,0.8977966,-2.351789,-0.47355866,-0.60519254,-0.43615332
Ifi209,-1.2054539,2.0579588,-1.0313454,-0.027955793,0.40320945,-0.57629865,-1.0333741,-0.20619395,-0.044027783
Mndal,-1.6040927,2.4264975,-0.29886124,-0.23580812,0.34272844,-0.60884976,-0.8642649,-0.29537624,-0.7113198
Cep170,2.4469836,-5.6151066,0.39585286,0.40600666,-1.4012007,1.5140773,0.4026702,0.24037838,0.49833468
Sdccag8,0.79700124,-1.6011126,0.6784798,-0.2160796,-0.25641742,0.022444196,0.7843508,-0.09606384,-0.29183933
Akt3,-0.3487631,0.13153422,0.6268963,-0.106384516,-0.0955787,0.021159789,-0.18255027,-0.15170571,-0.52367586
Adss,0.8626984,-1.4360571,-0.76702434,-0.020786917,-0.46384436,0.13454938,-0.99065256,0.04291654,-0.21020299
Desi2,0.6305832,-1.9821451,0.4719825,0.027260326,-0.73542684,-0.13013394,0.8080787,0.16292717,-0.2361903
Ahctf1,0.9575789,-1.9004834,0.4007321,0.12205331,-0.967627,0.20029683,-0.089275844,-0.009378103,-0.42432898
Smyd3,0.62116873,-2.8670666,0.8735635,0.28069887,-1.0545542,0.08095058,1.3373966,-0.3078305,0.021515328
Parp1,-0.029499218,-0.62669957,0.112918824,-0.0023357878,-0.7899649,-0.015434822,0.5104453,0.0069665,-0.14175491
Acbd3,0.058325954,-0.27900815,-0.016425785,-0.03844321,-0.28850004,0.0019824384,-0.19439396,0.0034744341,-0.020489005
H3f3a,1.0747285,-1.0524145,0.4012158,-0.43316314,-0.3381723,-0.11534116,0.6897756,-0.024192456,-0.35337973
Itpkb,1.0168287,-0.9514791,0.6573783,-0.647109,-0.03115982,-0.026571488,0.6423075,-0.22903337,0.113912426
Pycr2,-1.3288418,1.0767529,-0.9122145,0.2961853,0.33941674,-0.13813256,-0.23505239,0.025259301,0.0700854
Wdr26,0.82331955,-0.9709561,-0.47412628,-0.17533305,-0.5306657,0.23636624,-0.8932451,-0.031950675,0.07027967
Fbxo28,1.0844882,-2.628355,0.6109985,0.27453172,-1.0688226,0.23017153,0.14119749,-0.07741245,-0.19360884
Disp1,0.0006427765,-2.4016032,1.013631,0.10446262,0.10802324,-0.19284698,0.9214212,-0.0625242,0.20398909
Dusp10,1.0291765,-1.1276077,0.4339228,-0.111404516,-0.83205837,0.0832129,0.04319294,0.09044404,-0.86934423
Marc2,-2.4246838,2.2693737,-0.32736745,0.08935583,0.6269088,-0.5905771,-1.1247104,0.030679027,-0.78742594
Eprs,0.62343,-1.2405527,-0.24883148,0.10477351,-0.42150885,0.19387665,-0.7694908,0.013241135,-0.982196
Cenpf,2.0723338,-5.0282393,0.23097897,0.72195196,-1.2754452,1.1467876,-0.5528328,0.717939,-0.23388797
Ptpn14,0.19648725,-0.47198522,0.2170376,-0.00015028215,0.06569272,0.017881121,-0.9011491,-0.012942003,-0.045632847
Angel2,0.27191442,-1.3684317,-0.08615019,-0.030300684,-0.2925286,0.010008555,-0.15940987,0.09658629,-0.12612385
Ppp2r5a,0.40069604,-1.1886529,0.0833261,-0.010938497,0.3680052,-0.024958195,0.4374807,0.027185299,-0.033495445
Ints7,0.15074307,-0.8865769,0.13809745,-0.008382444,0.093763255,0.02924262,-0.641206,0.0060626664,-0.26744962
Lamb3,-1.0328045,-0.2888429,0.05966076,0.8306497,-0.12872154,-0.22317168,0.8413695,0.14858216,-0.058856256
Cr1l,0.5601726,-1.2510756,0.47061154,-0.43207973,-0.3195338,0.03419884,0.42953986,-0.06776719,-0.30874932
Akap12,1.2041975,-2.9364364,0.7614663,-0.18245442,-0.7083569,0.08119501,0.786835,0.09873631,0.28603604
Syne1,2.1878152,-4.021296,0.37853858,0.14332534,-0.6734312,0.6122155,-0.67980397,0.3476738,-0.18060167
Ipcef1,-1.52764,2.534357,-0.2659062,-0.61033475,0.4175022,-0.7341845,-0.73576665,-0.43427074,-0.13473703
Pcmt1,-0.19795088,0.23343495,-0.40235284,-0.016324596,0.009579095,-0.008311695,-0.15489511,0.0056349062,-0.018022692
Lats1,0.0061908364,-0.102535084,-0.3022949,-0.019642476,-0.13161065,-0.03730457,-0.22596116,0.027617216,-0.003690777
Ppil4,0.45992705,-2.093855,0.14896744,0.43170407,-0.73661995,-0.024793893,0.3847692,0.48840016,-0.72882336
Tab2,0.13628584,0.19264331,-0.02709805,-0.0013058501,-0.20581624,-0.013692705,-0.22455615,-0.021861212,-0.070423424
Stxbp5,0.73508656,-2.1794114,0.65595675,0.096543655,0.05641547,-0.038965292,0.76120174,-0.031363156,-0.2915207
Shprh,1.3177646,-2.2100425,0.21223474,-0.43115926,-0.15400988,-0.03803141,0.05707216,0.46606666,-0.22266403
Sf3b5,-0.44429755,-0.7342474,-0.045870725,0.11881326,-0.45742506,0.010749544,-0.525489,0.018144239,-0.075758085
Utrn,0.09496385,0.24927232,0.45886058,-0.16783985,0.20310068,-0.18344888,0.5425719,-0.9176753,0.66168946
Vta1,1.0767179,-1.9770311,-0.20679297,0.02323992,-0.70258784,0.18981048,-0.43818915,0.5072669,-0.25127518
Hivep2,1.3528584,-2.438747,0.25339392,0.052275106,-0.48050967,0.38971105,0.45246357,-0.46937624,0.26720494
Heca,-0.51044565,0.5871105,-0.7643713,0.0008770361,-0.18557148,-0.018140733,-0.1093323,-0.052441563,0.035185635
Reps1,0.19444412,-0.70987725,0.599004,-0.0056954944,0.1514386,0.008508809,-0.43231162,-0.009090039,-0.29369634
Tnfaip3,-0.15482941,0.18325305,-0.28636062,-0.04504358,-0.0643464,-0.0009875817,0.012970977,-0.012207439,-0.018241797
Ifngr1,1.2309169,-3.5941832,0.18920158,0.4925762,-0.27753538,0.59456044,-0.43159983,0.35810378,-0.014769334
Hbs1l,1.7650028,-2.3042293,0.48657498,-0.4086385,0.044807147,-0.26657438,1.0144061,-0.1037936,0.055587173
Sgk1,-3.5781875,2.2447453,-0.33870032,0.632452,0.63414675,-0.85359544,-0.73946464,-0.3056834,0.15965271
Myb,2.813696,-7.0550003,0.4304683,0.7077617,-1.7625618,2.3422122,0.47917235,0.18048891,0.6029213
