,Shared topic 1,Shared topic 3,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 3,RNA private topic 4,RNA private topic 6,RNA private topic 7
Ppig,0.9240772,-0.73714125,-0.011898814,-0.48448876,-0.36604673,-0.05594054,-0.4851331,0.16575235,-0.4587911
Ssb,0.2664597,-0.72391456,-0.5121563,0.060529027,-0.07974914,0.010274294,-0.70578355,-0.0072675147,-0.2893236
Ubr3,1.3624921,-2.0133798,0.44369596,-0.30060306,-0.6251049,0.00041580573,0.52855194,0.021557538,0.062089283
Gorasp2,-0.9462602,0.83269334,-0.3778003,0.1025057,-0.26289734,-0.06980854,0.67788893,-0.006875332,-0.35039616
Tlk1,1.6732193,-2.549076,0.27432278,-0.029400129,-1.0430636,0.6420022,0.0070974855,-0.25664464,-0.5682626
Dync1i2,1.3539319,-1.8769468,-0.15915938,-0.008724862,-0.41752994,0.13712451,-0.3574764,0.053780742,-0.17667606
Slc25a12,0.37297302,-0.6885859,0.5296391,-0.11961005,-0.0016466886,-0.08262944,-0.0100167105,0.0060243485,0.46423507
Itga6,0.5506383,0.08862227,-0.055631317,-0.14826307,-0.26856908,-0.009788009,-0.4229406,-0.023286866,-0.20276594
Pdk1,1.0038319,-2.013311,0.27338398,0.065343976,-1.0407903,0.35882628,-0.8597032,0.0777117,-0.34944406
Cdca7,2.622286,-6.5600176,0.23068611,0.9785055,-1.5323048,2.1738672,0.43839505,0.79098654,0.23882672
Ola1,1.1777356,-2.3549626,0.29153413,-0.3909808,-0.38654852,-0.020047717,0.30592462,-0.043918326,0.26875654
Wipf1,0.18399781,-0.41604808,0.11966708,-0.11309476,-0.22712095,-1.7313287e-06,0.23869348,-0.0009132837,-0.09280874
Atf2,1.0043212,-1.9070431,0.4128808,-0.07513793,-0.018174825,0.16539638,0.071886994,0.017958296,-0.4549256
Atp5g3,-0.88937026,0.4912628,-1.6169854,0.39039177,0.23242857,-0.1064317,-0.67902243,0.26783502,0.013494281
Nfe2l2,-1.2665763,1.0694644,-0.49244434,0.08171729,0.17927921,-0.024793424,-0.21854536,-0.12941381,-0.46084863
Agps,0.42232043,-0.6693931,0.5408973,-0.011591518,-0.07584558,-0.0059603956,-0.3953778,-0.026293369,-0.34271824
Ube2e3,0.056391656,-0.93525136,0.20015557,0.08247065,-0.56222105,-0.0057408772,-0.027585296,-0.008859871,-0.277833
Itga4,0.81463665,-2.3157961,0.54963124,0.20935237,-0.7611785,0.047395002,-0.35410753,0.00036707614,-0.20653093
Dnajc10,-0.104570866,0.41233802,-0.3410642,-0.037642144,0.020195102,-0.019773774,-0.8243135,0.0062918672,-0.30439332
Calcrl,0.3686561,-0.49145558,0.2107225,-0.11152447,0.110239066,-0.06642494,-0.383988,-0.09031711,0.55063146
Ctnnd1,-3.0375106,2.6776054,-0.2552526,-0.123989575,0.747699,-0.90099794,-0.25059152,-0.2490023,0.07138823
Zdhhc5,0.41687378,-0.39023256,-0.6702451,0.023875723,-0.36368906,0.00015982054,-0.6067801,0.0013312595,-0.07413839
Ssrp1,-0.74919116,0.8410044,-1.1309282,0.04410534,0.3157314,-0.04627168,-0.8557316,0.060851738,-0.050065454
Fnbp4,0.25348294,-0.5122224,0.63103414,-0.032291155,-0.64019614,-0.051443603,-0.09902055,-0.111550845,-0.16618066
Psmc3,-0.58846176,-0.009335101,-1.2014259,0.6748466,0.25140578,-0.6432573,-1.3880529,0.86029714,-0.3244652
Celf1,0.41560507,-0.80346453,0.13785791,0.0020855968,-0.42370483,-0.03535999,-0.4762634,0.020750774,0.44711074
Madd,-0.89704555,1.5239296,-0.08306665,-0.31376186,0.4198975,-0.23170063,-0.97719043,-0.11246617,0.3875201
Ckap5,1.3835552,-2.978692,0.014323131,0.137105,-0.5306079,0.2879201,0.43727693,0.33569735,-0.6144947
Arhgap1,1.062533,-1.0642815,0.014221083,-0.07529758,0.11531905,-0.02156988,-0.723293,-0.006765601,0.035010368
Ambra1,1.2892469,-2.2529078,0.86347795,-0.18967113,-0.2294298,0.0794037,-0.5078497,-0.39902326,0.38433534
Dgkz,0.24616963,-0.14116073,0.07173014,-0.0642813,0.47743335,-0.01733578,-0.1947585,-0.0037591245,-0.20477489
Phf21a,-0.41530067,0.23274076,0.71479714,-0.6098684,0.3738461,-0.10666674,0.48332947,-0.16313176,0.052975822
Trp53i11,2.450323,-4.4172087,0.21251935,0.10512144,-0.5027616,1.1699994,0.41755494,-0.13052954,0.22900927
