,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 5
Fcmr,0.32368314,-0.14926341,-0.005730626,-0.06054996
Mapkapk2,-0.093040496,0.08170592,0.026356302,0.1001925
Ikbke,-0.08605629,0.32095855,-0.08443175,-0.011994462
Ctse,-0.016437516,-0.24705274,-0.6080104,0.9416684
Elk4,-0.08243862,0.13757972,0.09793958,-0.08108579
Tmcc2,0.33909085,-0.30589026,-0.6635666,0.7457676
Plekha6,0.060472354,-0.09614213,-0.16762105,0.17101756
Snrpe,0.106227405,-0.03599673,0.035600256,-0.03168633
Lax1,0.019286774,-0.1022115,0.20129745,-0.2768788
Prelp,-0.09824409,0.20795031,-0.16278686,0.05297225
Fmod,-0.08256912,0.13187738,-0.1056437,-0.1427354
Ppfia4,-0.014439019,0.06192673,-0.11435618,-0.070602216
Adipor1,-0.01155169,-0.08410437,-0.13786991,0.34882203
Ptpn7,0.02549694,0.22682302,0.04442624,-0.2154841
Arl8a,0.010760378,-0.04726136,0.057536,-0.08766153
Ipo9,-0.051261004,-0.06908861,0.006433365,0.057113208
Nav1,0.04316189,-0.072570845,-0.19748792,0.056762956
Csrp1,0.058214545,0.042813495,-0.02890848,0.01644616
Kif21b,-0.063395016,0.24938782,0.00034016278,-0.034726754
Zfp281,-0.00947992,0.042960104,-0.03189969,-0.0094688
Ptprc,0.42210415,-0.112507604,-0.23444144,0.031300362
Cfh,0.0051015224,0.3136135,-0.099518925,-0.048763726
Rgs2,0.038167343,0.0009651265,-0.1425105,-0.0072398847
Rgs1,0.03945561,0.07282531,-0.06634048,0.042825922
Rgs18,-0.063093916,-0.046641707,-0.052122258,0.059523888
Pla2g4a,0.0013828827,-0.029271318,-0.026298134,0.04733398
Tpr,-0.058414724,-0.046349272,0.01431912,0.057996076
Trmt1l,-0.07101072,0.04990538,0.0064977007,-0.07928298
Rgl1,-0.020897135,-0.024461223,-0.13494581,0.008914307
Glul,0.0024719778,-0.023629308,-0.07615125,0.16136274
Cryzl2,-0.0013195053,0.03510945,-0.01883505,0.00031164568
Cop1,-0.062975965,0.027239343,0.0016859919,0.088472545
4930523C07Rik,-0.13464615,0.0041893064,0.14274842,-0.15957224
Rabgap1l,-0.055403683,-0.0031805893,0.14538117,-0.045737684
Rc3h1,-0.09965119,-0.05459372,0.04404656,0.035705153
Klhl20,-0.023957673,0.11190236,0.0608807,-0.056904353
Prdx6,-0.017726494,-0.0105882,0.059685588,0.02299223
Eef1aknmt,-0.08941564,-0.08183794,0.09703934,0.016672438
Vamp4,-0.028680768,0.056928746,0.073379315,-0.056013152
Sell,0.21628194,-0.08546769,-0.15396832,0.029796991
Atp1b1,-0.054687288,0.20316626,-0.12506041,-0.04009054
Dpt,-0.19528584,0.34427246,-0.0741205,-0.085011
Sft2d2,-0.06698292,0.06670124,0.003974051,-0.06814375
Mpzl1,0.024478056,-0.1185606,-0.12689868,0.0942907
Rcsd1,0.20812033,-0.069955036,-0.06100802,-0.017169867
Cd247,-0.05895211,0.39779136,-0.16657189,-0.015700748
Pogk,0.0475813,-0.0037362406,-0.06466477,-0.04767791
Uck2,0.002897798,-0.023813074,0.108777046,-0.030419726
Aldh9a1,0.022113755,-0.009209917,0.025160857,-0.09232201
Pbx1,0.024370393,0.10741309,-0.030142529,-0.013053216
Fcrla,0.06583561,-0.1349451,0.09174748,-0.108141035
Fcgr2b,-0.067121476,-0.108503915,0.08602874,-0.043009646
Fcgr3,0.020265631,-0.058059573,-0.17171347,0.05155279
Fcer1g,-0.12338695,0.0033393404,-0.21614039,0.068290256
Ndufs2,0.13612546,-0.122958705,-0.09413199,0.019689841
Nit1,0.086708106,0.27541393,0.098295376,-0.3782941
Arhgap30,-0.11121617,0.10737624,0.15290223,-0.04210606
Usf1,-0.020808687,-0.008216282,0.011925088,-0.17508712
Ly9,-0.2199048,0.18997388,0.24608769,-0.24715933
Cd48,0.011409359,0.064752646,0.0986861,-0.20932671
Slamf1,0.053327955,0.0062036174,0.026500119,-0.047433306
Slamf6,0.08723697,-0.082025714,-0.038213335,-0.10270627
Ncstn,-0.15345556,0.054918893,0.056370594,-0.07276968
Pex19,0.011101276,-0.1413893,-0.025182512,-0.030246276
Pea15a,0.12895639,-0.123102404,-0.16600534,-0.0037906244
Pigm,0.043952767,-0.058944337,0.012151528,-0.017475337
