,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
ADH5,1.4328475,-0.17301169,0.1850895,-0.92112625,-0.01482554,-2.7633157,-0.11648963,-1.150134,0.33646247,-1.0276954,-2.9681377,-0.16223794,0.10785715,1.2582631,0.055584636,0.6515136
H2AFZ,0.23200679,0.058381468,0.21131526,-0.009963514,0.34310335,-1.9472451,-1.851037,-0.11110114,-1.1734483,-1.562153,-3.132895,0.65556014,0.99451804,-0.077286795,-0.24200247,0.55272007
EMCN,-0.12372625,-0.2548238,0.537227,0.060637664,0.04995088,-3.10401,-1.6484642,-2.5921197,-3.428346,-2.5317094,0.6868176,0.02822028,0.18283851,0.772669,1.2102787,-0.09044864
UBE2D3,-0.088323,0.07733387,-0.047362998,-0.0649873,0.41769966,-1.6169043,0.27652976,0.67785907,-0.46233773,-0.4494104,0.11417239,-0.006013635,0.67546624,-0.4664166,-0.021659918,0.06414374
CISD2,2.8976345,-4.11046,0.3476629,-1.3648784,-0.20342825,-1.0116701,-0.19343887,-2.6854596,-1.2420769,-2.381113,-1.465802,-0.79011023,-0.37483594,2.061906,-0.6481056,0.62397397
BDH2,2.0487952,-2.241489,0.62051666,0.23024736,-0.42654538,-0.6305987,-2.9284332,-0.7840709,-2.8712616,-2.1978621,-0.76185656,0.99924237,-2.5104456,1.5968513,-0.37301713,0.59668803
OSTC,-0.0803376,-0.053080037,0.3675898,-0.7511756,0.28661898,-3.029504,0.5971069,-2.6115105,0.5468515,-1.0415426,-2.864513,0.22511825,0.63275856,0.22083145,0.19069424,0.45347038
CFI,1.9804509,-2.2438896,0.59111553,0.01373743,-0.055522062,-0.4779919,-2.4630377,-1.0933013,-3.0678997,-2.524605,-1.7465833,1.0910947,-0.50560856,1.8570278,-0.50002205,0.10875677
ENPEP,2.176849,-2.2184792,0.57459724,0.13374452,-0.44999138,-1.0830147,-1.6924075,-0.7477911,-2.8060954,-1.1957209,-2.5284152,1.066878,-1.5164545,1.4439248,0.69573575,0.371135
SNHG8,0.62433094,-0.19876714,0.7305789,-0.12650405,0.3944242,-2.7760515,-1.4405555,-2.1083615,-3.4673045,0.6060066,-2.9532084,0.58983374,0.48306814,0.86183643,-0.57444096,0.8020593
C4orf3,-0.19591442,-0.1342875,-0.09656206,-0.017659957,0.073467724,-0.74691224,0.7343414,0.36856806,0.51692593,0.36476523,0.7344891,0.41076413,0.21475671,-0.37102646,-0.06083189,-0.75332814
ANXA5,-0.48520583,-0.13744313,-0.49805143,-0.17158203,0.21855152,0.704707,1.0037738,0.7835969,0.95944697,0.31608644,0.07497205,0.21820839,0.10390233,-0.7292323,-0.05892662,-0.58746153
SPRY1,-0.7614244,-0.030246913,0.4381951,0.06953232,0.624294,-1.4236062,-0.118649304,-2.0097775,-3.3883107,0.3637685,-0.66553205,-0.70047235,1.1229008,-0.5198149,1.3051101,-0.408344
PGRMC2,1.1112944,0.007885072,0.04180976,0.0603665,-0.17488767,-3.0771303,-1.6583992,-0.53642255,-1.317084,0.08571133,-0.5309125,0.72422403,0.36309552,0.20132607,-0.18308498,0.6027298
NDUFC1,0.8254635,-0.32718518,0.1291833,0.09273396,-0.050028913,-1.2066282,-0.6524787,-0.29359442,-0.4198122,-0.013154805,-1.6543007,0.8212364,0.05907045,0.5580289,-0.4320427,0.3761887
MGST2,1.494607,-0.9939256,0.59530795,-0.68177515,0.26014906,-1.0609689,-1.3668131,-1.5259274,-2.6895351,-2.5737956,-2.7060888,-0.11637598,0.5760506,1.83281,-0.14530306,0.7870521
SFRP2,-8.709425,0.69908226,-2.6876597,-2.8845792,2.0667567,0.6805842,0.0011595684,1.0055816,-0.27169046,-1.597572,-1.4658996,-2.38587,3.1519074,-4.8539267,-2.3266723,-1.920885
GASK1B,-2.7239573,0.5739815,0.4768606,-0.17417863,0.6345176,-0.9533704,1.0755504,-2.0214198,1.0210422,-0.2249176,-2.5778456,-2.3006608,1.098451,-0.723137,1.2018294,-0.6000334
CPE,-6.432741,0.36013326,-1.1973363,-0.6491982,0.51662844,1.4135399,1.3793762,0.5839284,0.89166325,1.0707979,1.3381603,-2.6053061,0.64368725,-4.8291473,-0.088932455,-1.225885
HMGB2,2.7070384,-2.0518172,0.23026894,-1.3457935,-0.2967512,-2.9502318,-1.7531729,-0.46038064,-2.2345324,-2.8892856,-2.2709844,-0.20704247,-0.1722888,2.1054325,-2.4508934,1.3527732
SPCS3,0.21347591,-0.13501436,0.14455737,-0.16819446,0.3108566,0.420711,-2.3955054,-1.2044201,-3.0648253,-2.5405297,0.87165505,-1.1613404,0.46276963,0.45487314,0.082993835,0.8728422
ACSL1,2.408674,-1.3165476,0.5488055,0.07993899,-0.87270516,-2.7301855,-1.8405504,-1.6705505,-2.4240994,-2.6501062,-2.7486994,0.9006836,-0.048514277,1.7517588,0.51312006,0.13572894
SLC25A4,1.7187642,-4.010554,0.65077055,-0.2113622,-0.47166085,-1.0078608,0.35791042,-2.7014885,1.2070855,-2.1467538,-2.577045,0.093603514,-2.7086232,2.1322193,-0.2683545,-0.50199354
TLR3,3.434356,-5.9147425,0.996386,-1.3720654,-2.9780428,-2.6622512,-2.5971034,-2.6147199,-2.5037143,-2.5648334,-2.3312733,0.66489935,-2.7667437,3.7048635,-1.4355192,-1.680967
CYP4V2,3.4499435,-4.1752863,-0.73303604,-0.09814723,-1.3022735,-0.13586345,-2.6386647,-1.9769703,-2.6528494,-2.3715649,-2.0166607,0.3042757,-2.14091,2.761362,-0.38927704,-1.7262881
FAT1,1.6449761,-1.1185002,0.2752171,-0.0052398527,-0.07405972,-2.0481002,-0.6434209,-0.6102272,0.3833378,-1.7979562,-2.7130935,0.39949414,-0.65531075,0.8058857,-0.1494456,0.9322283
SDHA,1.3385835,-0.80770975,0.35179615,0.11422045,-0.28776506,-2.1315367,-0.8283209,-0.11267613,-3.0865722,-1.091761,-0.7305537,0.39368007,-0.6872142,1.1609169,0.19937982,0.77206343
PDCD6,0.9869477,-1.6184437,0.68310136,0.24124172,0.45550913,-3.2407339,-2.372791,-2.7733166,-0.42478696,-2.6804814,-2.9639778,0.4658251,0.9678745,1.3885791,0.04822628,0.5614534
SLC12A7,-0.29987687,-0.06208484,0.14875425,0.048786584,-0.056639437,-0.09176089,-1.8481956,-0.57447934,-2.6179504,0.25444442,-1.4777153,-0.1286574,0.42183048,0.39814085,0.5269467,0.0966931
CLPTM1L,1.5553629,-0.35598117,0.39070204,-0.21036287,-0.11755227,-0.53766483,-2.2013211,-0.39898586,-0.8173409,-2.6613371,-2.7797956,0.8919353,0.07039598,1.2546073,0.3257607,0.34860232
SLC6A3,0.8653456,-0.794119,0.8638561,0.6726959,-0.46711832,-2.473009,-2.7501223,-1.201541,-3.1760976,-1.3241163,-1.8135427,0.21612649,-1.4792808,1.7593668,1.2018929,-0.40855363
LPCAT1,2.7172275,-3.7011669,1.161899,-0.1278697,-0.4944197,-2.577684,-2.8967433,-2.878211,-3.0091474,-1.1061761,-2.706216,0.41196713,-2.4764318,2.2797384,1.1782464,0.34141093
NDUFS6,-0.69263625,0.45889735,-0.4274812,-0.044619903,0.1652046,0.7027566,0.47701925,0.7809248,0.023967596,0.6849366,-0.8636106,-0.6284211,0.82116336,-0.4569966,-0.6699573,0.24920683
CMBL,2.432488,-2.0503645,0.88989776,0.19475463,-2.7453723,-2.3191957,-1.7143515,-1.4284022,-1.146893,-1.5709674,-1.3735161,1.4482136,-2.6963587,2.0947647,-0.90851235,0.45519
MARCH6,0.3121629,-0.43045363,0.1666713,0.23050374,-0.36548597,-0.9307748,-1.2815151,-0.8597017,-0.7918488,-1.6069084,-1.3448404,0.42288867,0.9612205,0.5550627,-0.08773764,-0.06553845
GOLPH3,0.03426776,-0.5892467,0.29469103,0.26417935,0.40209582,-2.9125133,-0.9405222,-0.6035955,-0.07667915,-2.9734974,-2.6494071,-0.50005674,1.0601116,0.87242436,0.46543825,0.13423473
SUB1,-0.22443229,0.01611108,-0.028338991,0.02727615,0.41965532,-0.5913586,-0.12899937,0.3124116,-1.6366134,0.53572375,-2.610261,0.31846857,0.75232923,-0.4603109,0.20450553,0.12897228
NPR3,1.973567,-2.6906943,1.0878825,-0.7848595,-2.7156274,-2.7156515,0.05712942,-2.553017,0.07366586,-2.615135,-2.3206742,1.4213794,-2.6078274,2.6692486,-0.18569908,-2.0466468
AMACR,3.8226054,-4.508732,1.1056516,0.2573969,-3.3818316,-2.8538735,-2.463384,-2.5144126,-2.78998,-1.0865866,-2.424706,0.7541278,-2.7349603,3.0479856,0.106961615,-0.6641036
AGXT2,2.6535258,-5.4423394,-1.6539433,-1.8576022,-3.1521125,-2.522536,-2.3573947,-2.0671039,-2.2808068,-2.0587819,-2.004302,0.9277044,-2.6022162,3.862474,-2.633242,-2.4535823
UGT3A1,3.4398026,-5.4405556,-0.06917232,-0.87442803,-3.4388423,-2.7181628,-2.5674744,-2.4181204,-2.4583204,-2.4709542,-2.2520602,1.5635371,-2.6839738,2.808763,-1.5921448,-2.6316352
OSMR,0.45530534,-2.5483084,0.4704832,-0.35813195,0.035328932,-0.27165043,-0.102146216,-2.917645,0.4614596,-2.4303923,-3.089149,0.40066063,0.375407,0.34610966,0.765874,0.31412393
DAB2,-0.27544594,0.2840123,-0.6051695,0.0055147693,-0.022553522,0.3884398,-0.24992669,0.6686495,-1.4436303,0.23019058,0.27411547,0.52785766,0.62378734,-0.87514806,0.08484055,-0.64621204
ITGA1,-1.4000069,-0.16568175,-0.09841726,-0.63824034,0.29577246,0.53403836,1.2624444,0.025423499,1.3781037,-2.130022,0.7354279,-1.5358874,0.19760473,-0.98604214,0.8489271,-1.7015538
NDUFS4,2.19213,-0.8051755,1.022713,-0.7710251,-0.4275873,-1.2740316,-2.5302591,-2.7213118,-1.1070409,-2.5528922,-2.4791918,0.5385669,-0.017478721,1.9232705,-2.5659866,1.3971528
ESM1,-1.6809664,-0.25224033,0.6077213,0.30934617,0.13196337,-1.0423846,-0.28179136,-0.6730669,-1.72706,0.5912491,-1.7826754,0.21932703,-0.07102437,-0.028792998,1.0987303,-0.18028095
