,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
HES4,-4.8465977,-0.5264592,-0.4265994,-0.35820907,0.4001097,1.4011469,0.95353395,0.9351142,0.73832965,0.3002477,1.2855618,-3.168278,0.29629812,-1.9996939,-0.23551597,-0.23642184
AGRN,-0.21774466,0.08096499,-0.29677585,0.1953067,-0.11174905,0.7372606,-1.2027417,0.71564245,-0.129593,-0.6777361,-0.8221271,-0.35404032,-0.10364462,-0.46185452,0.6252265,0.24609202
TNFRSF4,-7.0985956,-0.37403727,-0.56193125,0.3715837,1.3540547,1.2534608,-0.92035615,0.7992732,-1.2626041,-1.8465061,1.1703055,-2.9905975,1.8256209,-2.3323884,-2.1585941,0.42774433
SDF4,-0.55160713,0.021076612,-0.6814745,-0.032892104,0.31778443,0.79679966,0.44633165,0.81442726,0.17631002,0.45789754,0.7672972,-0.19271512,0.45880294,-0.96802187,0.041274857,-0.46179646
MXRA8,-1.8607811,0.03545414,-0.7918053,0.0461169,0.17250434,0.18956253,0.7844982,1.0544077,0.17871524,0.49846092,0.35930908,-1.83103,0.57777596,-1.5769184,-1.2342762,0.012049061
AURKAIP1,-0.39494973,0.017800767,-0.24649599,-0.00029649,0.123652704,0.8224487,0.2233786,0.7066799,0.30828208,0.46379423,-0.13106689,-0.03075573,0.37338766,-0.27180457,-0.46866173,0.34690875
CCNL2,0.15087155,-1.4307473,0.5165141,-0.2340614,0.8115896,-2.8752558,0.66322166,-2.3729358,-2.6082478,-1.0226816,-0.37044793,-1.4444913,0.50388724,1.1890392,0.8204004,0.7772421
MRPL20,-0.03399633,0.07299074,-0.014475008,-0.16559342,0.14481968,-0.71315837,0.2993251,0.26450142,-0.063881986,-1.8869336,-2.833461,-0.0060872673,0.5941183,0.19280295,-0.008837944,0.03822302
VWA1,-3.3334606,-0.35217202,-0.457164,-0.057676516,-0.117313154,1.3931317,1.0086279,0.50058585,0.046282236,1.064616,1.559392,-0.94040763,-0.12549736,-2.7046173,0.2666854,-1.4303095
SSU72,-0.7479437,-0.07212059,-0.1465053,0.06545634,-0.0029869864,-0.14719746,0.5352921,-0.51534986,0.36163622,0.5626148,0.6488996,-3.0468886,0.54301816,-0.17568175,-1.1258621,0.6120176
GNB1,-0.21049267,0.018448137,-0.1014488,-0.11413013,0.40381327,-0.22474238,0.6115262,0.5090488,0.123319276,0.67683715,-2.2294388,0.23129459,0.6635984,-0.3533435,-0.020851085,-0.38663447
FAAP20,-0.012793809,0.0028544134,0.0019409779,-0.012372192,0.09153491,-0.08977562,-1.6451107,0.47839004,-0.43419358,-0.87983626,-2.5979483,-0.59470624,0.5328053,0.0022737682,-1.1266884,1.0064955
RER1,-0.25564852,0.19523987,-0.065265834,-0.09769694,0.31382278,-0.22954352,-1.2658285,0.15620282,-2.0920713,-0.28250885,-1.7667116,-0.34901023,0.886553,-0.012789607,0.27379254,0.63922083
TNFRSF14,0.114775226,-0.43376657,-0.07703197,0.14006528,-0.23358287,0.50659215,-2.6521666,-0.7727957,-3.4036236,-0.7342204,0.53720987,-0.19079092,0.34382507,-0.15250391,-0.17656814,0.7959881
CAMTA1,1.2016286,-0.79141647,0.37084994,0.15332656,-0.3313958,-2.5640595,-0.60363644,-2.5506868,-0.100999735,-2.1200042,-2.4894786,0.117587365,0.15131174,1.071794,-0.10125841,1.0967923
VAMP3,-0.44961086,0.46282303,0.61554825,-0.08873822,0.05930132,-2.043202,-1.1364864,-1.2975938,-1.0889251,0.27434224,-1.3562852,-1.9846438,0.9660404,0.47414148,0.49595237,0.72741246
PARK7,0.06416124,-0.12939985,-0.12801032,-0.06956826,0.24229293,-0.33308357,0.96663046,0.06558137,0.7289181,0.366323,-0.36841503,0.25052515,0.28558776,-0.09251183,0.039996695,-0.15936436
ERRFI1,-0.47683918,-0.16821799,-0.3872882,0.19860172,0.9168119,0.20021832,-1.3501902,-0.34281102,-0.2960727,-0.70894927,-2.3447435,-0.1296928,1.0521864,0.41779983,-1.0806806,0.63326466
RERE,1.8602891,-3.469327,0.7134734,0.0946098,0.4316944,-1.439854,-2.4316936,-1.7063416,-0.82459855,-2.581265,-2.582071,0.13888858,-0.10201374,1.9240805,-0.09443972,0.7614835
SLC2A5,2.2475502,-2.6973324,0.81227344,0.33416304,-3.0475395,-2.5660644,-0.7365302,-1.8374139,-0.72023153,-1.7436697,0.6206665,1.0473131,-3.1657634,2.075179,0.31442353,-1.3866016
CLSTN1,-0.45525903,-0.11117182,-0.060203787,0.05531382,0.14236975,0.116858885,-0.04818689,0.18694878,-2.1280787,0.47309962,0.008335039,0.26376247,0.57293445,-0.352026,0.20260476,-0.42677683
RBP7,-2.9519997,-1.6399293,0.9553913,-0.06382517,0.95970535,0.5802857,-2.0274198,-1.2409291,-0.4027575,-2.2859457,-2.3195238,-2.1486318,0.69629896,0.52846485,0.73867655,0.902508
PLOD1,-1.3073795,0.3385639,-0.38301373,0.05588145,-0.15661268,0.40582368,0.71220326,1.0564376,0.68011326,-0.10967141,-0.72135913,-0.3268838,0.3732704,-1.211409,0.10674098,-0.026065264
DHRS3,-0.45810634,0.2276215,0.09299164,0.13846117,-0.43589705,-0.2176061,-1.5629566,-0.053265944,-1.131917,0.6854477,-0.58737063,-0.19533531,0.20632355,0.25770712,0.05171902,-0.2751437
SZRD1,-0.16730452,0.05549205,-0.027211951,0.004331704,-0.02582673,-0.28249577,0.64547604,-0.13407375,-0.3308104,-1.0101175,0.7044109,-1.4918699,0.7810656,-0.24655935,0.10738166,0.72097343
SDHB,2.2043076,-2.8068984,0.57675284,-1.9690261,0.5106122,-0.24893257,-2.5677657,-0.46866855,-2.898511,-2.7247002,-2.0972192,-0.52622145,0.4356367,2.1403646,-2.6094985,0.7378358
AKR7A2,2.031628,-0.33198014,0.033231787,0.12189447,-0.5607443,-1.8381338,-2.8573508,-2.2022314,-1.6391361,-2.4436734,-2.6792517,0.20328753,0.73469937,1.4413182,-2.059448,1.1311669
CAPZB,-0.8385174,0.25311682,-0.6999559,-0.33420917,0.38258505,0.34790665,0.63762164,0.4259181,0.29903683,0.7150982,0.4272324,-0.08119307,0.804966,-1.265903,-0.5987415,-0.42729968
MICOS10,0.26399934,-0.15626614,-0.09806888,-0.023124613,-0.022119882,-0.95975703,0.35317415,0.32124397,0.5196191,0.74904156,-1.9797924,0.3025124,0.2084865,0.08949557,-0.190889,-0.08031507
RNF186,0.9055532,-3.9841723,1.6137482,0.3696138,-3.1189723,-2.56695,-2.5912657,-1.816156,-2.4170017,-1.7069911,-2.0343776,-1.4239193,-2.693953,4.038832,-2.3251402,-1.6932284
CAMK2N1,1.1134177,-0.40253899,0.43666252,-0.19303153,0.41135064,-1.8496748,-2.8533862,0.019448208,-3.0099702,-2.7262824,-2.830373,0.8045936,0.8197926,1.1726756,0.3357697,-0.74790937
PINK1,0.0021201968,0.07357456,0.03649404,-0.1640903,0.33990774,-0.110906504,-0.7501866,-0.4410254,-0.39567012,-0.4298322,-1.9809648,-0.5730347,0.92347634,0.16789149,-0.020847151,0.5111174
DDOST,0.3618539,-0.41612214,0.543529,0.22331828,-0.29023626,-3.1921296,-0.60003173,-1.501093,-0.8056637,-2.426586,0.027852692,-1.6465287,-0.281036,0.725155,0.49506757,1.2069708
HP1BP3,-0.05353427,-0.26475388,0.09178446,-0.048090503,0.054621495,-0.98416406,0.1368901,-1.1518948,0.07226026,0.27859193,-2.5604858,0.5041651,1.0313755,-0.43225354,0.2883453,0.08462882
ECE1,-5.572702,0.30100727,-0.043456186,0.05248182,0.70593804,0.8903503,0.73822975,0.8480133,-0.20328352,-0.5902919,-1.6136696,-2.647123,0.9339929,-1.618433,0.6980329,0.069348216
ALPL,1.5626667,-0.2618606,0.09175439,-0.20058331,0.060801525,-2.1981893,-2.3192542,-1.9077523,-3.0025198,0.24602617,-2.707051,-1.1780292,0.98631155,1.5376232,-0.020310191,0.51610893
CDC42,-0.67182004,0.006964553,-0.86597425,-0.06286027,0.20562127,0.19386183,1.0229874,0.749755,0.8969058,-0.008794172,0.129069,0.2363692,0.34834597,-1.708456,0.20435703,-1.1956013
C1QA,-3.9908292,-0.40619105,-1.0258398,-0.37522778,-0.27532017,1.4871186,1.4401898,0.36199966,0.9590383,1.1085833,1.9467659,-0.6678439,-1.0220171,-4.7878685,-0.83522624,-1.9930513
C1QC,-2.829893,-0.32840386,-0.9405511,-0.1182818,-0.10331523,1.2812217,1.0399292,0.65009516,0.31367683,1.0429114,1.5984833,-0.47806716,-0.07907367,-3.7456753,-0.77115613,-0.8389947
C1QB,-3.1422884,-0.78044295,-1.0148005,-0.391735,-0.29968503,1.4223056,1.2532909,0.5066395,0.597236,0.95150065,1.7778983,-0.59571743,-0.6402648,-3.786935,-0.9094879,-1.079143
TCEA3,2.12791,0.032516867,0.7605858,0.21622339,-1.8750066,-3.0793087,-2.7924464,-1.4975191,-3.0633783,-1.245755,-2.5643644,1.3284926,-1.8858867,1.3442888,-1.3274022,1.1840152
FUCA1,0.27493513,0.25515282,-0.2953919,-0.27223897,0.6117785,-0.0069260756,-1.5701594,0.08804334,-2.881194,0.70556235,-3.0320005,-1.3757902,0.9322749,-0.6126329,-2.1797338,1.2796156
CLIC4,-0.33687848,-0.13882709,-0.5510389,-0.022796975,0.093487605,0.41473424,0.9621423,0.09838741,1.3091277,0.3484376,-0.49233547,0.21192802,0.44047606,-0.77979356,0.20711273,-1.0087821
SYF2,0.72374713,0.36334592,0.5475089,-0.46621975,-0.18313928,-2.0590246,-2.2658894,-2.046515,-1.4580238,-1.2790425,-0.89377433,0.71482295,0.81641144,0.86591774,-0.26841503,0.516931
TMEM50A,-0.35431287,0.062652335,0.21496859,-0.05636382,0.3560085,-2.7783313,0.34665942,-2.3364992,0.6541199,-3.2173645,0.18727078,-0.47719365,1.0128222,-0.09791836,0.37367362,0.30932584
SH3BGRL3,-1.7664165,-0.38672945,-1.3837668,-0.25528964,-0.07583076,1.122099,1.2623433,0.7594849,0.9508447,0.81996465,1.2454841,-0.2932551,-0.1597752,-2.5084527,-1.0592301,-1.5946066
CD52,-3.901624,0.8273752,-0.5074448,-0.00022632645,0.9042706,0.1942833,-2.255246,1.1542279,-2.280266,-1.7374468,-2.1813214,-2.4087927,1.6161096,-0.6386498,-2.2553234,0.7646669
HMGN2,-1.0561945,-0.0012758948,-0.41774237,-0.19957209,0.0126639865,0.7098929,1.076971,0.842589,0.26245314,0.67152655,1.0377594,0.18010072,-0.027144866,-1.1622336,-0.2527215,-1.0495579
NUDC,0.6076317,-0.13898787,-0.0068076323,0.28490567,-0.046320207,-3.2272196,-1.2248094,-1.9709349,-0.030006291,-1.3624392,-1.4267584,-0.7175238,0.7714924,0.7000186,-0.9093428,0.89726037
FCN3,-2.3037262,0.3531322,0.4470734,0.45643216,-0.05060682,0.65420246,-2.930823,0.32474524,-3.3144565,0.5604754,-1.3352346,-1.051676,0.44588616,0.041771688,1.0473859,0.10775152
WASF2,-1.3163582,0.25284156,-0.24732688,-0.6582269,0.3112357,0.7484427,0.65129995,0.6082219,0.5865392,0.26195246,-0.06715897,0.34586346,0.3831803,-1.2440317,0.08847177,-0.42632124
ATP5IF1,0.30530554,-0.29212922,-0.010586585,-0.1608858,0.16321674,-0.5504974,0.17725326,-0.21983275,0.5361908,-0.20278797,-0.58825004,0.40798277,0.008670208,0.27168667,-0.59844553,0.35039145
LAPTM5,-2.764121,-0.24875669,-1.2895257,-0.4162002,-0.083231404,1.4150906,1.1967872,0.6573058,0.49226537,1.1135814,1.7519878,-0.7272907,-0.32628822,-3.8837698,-0.46548164,-1.053939
SERINC2,2.9148865,-2.337526,0.8654885,0.773647,-3.722586,-1.923319,-2.6462967,-1.5592289,-3.0009453,-1.0954076,-2.4551523,1.2142303,-2.6253443,2.4106593,0.06136656,-0.050164692
TINAGL1,-2.058135,-0.3328715,-0.7253277,-0.12004134,-0.24313849,1.0064701,1.3852369,0.39471632,1.2670844,0.7370819,0.88983655,-0.276908,-0.06457656,-2.2674744,0.23341215,-2.023738
PTP4A2,-0.21952578,0.8827976,-0.09622969,-0.69716096,0.47662723,-1.6156099,-0.40367842,0.59645283,0.09154943,-0.20829104,-2.7242844,-1.1306204,1.1459464,-0.54337895,0.18960376,0.53442705
KHDRBS1,-0.029126205,0.010870712,-0.22901417,0.004909416,0.23624958,-0.25484532,-1.3092393,-1.3755711,-0.6037093,-1.8553022,-2.5230706,0.37370756,0.9773989,-0.51842415,0.54658914,0.25511372
EIF3I,0.005105272,0.07897957,-0.08156592,-0.080576375,0.3252848,-1.6068143,-0.3240662,0.43932566,-0.48688716,0.2725797,-3.1445653,0.11547766,0.38254097,-0.007343158,-0.059115227,0.16324545
MARCKSL1,-2.1976385,0.9322736,0.4984947,0.06279983,0.5096093,-1.2844911,-0.84949976,0.3188059,-2.9529219,-0.09779226,-2.2456787,-2.263756,1.0348189,-0.92474663,1.0719929,0.289712
RBBP4,0.80151737,-0.46518165,0.5939336,-0.041794065,-0.6595467,-1.7729182,-0.6287347,-1.034684,-1.2945555,-2.9362082,-0.50322396,-1.8935968,0.6561138,1.3439802,-0.2925975,1.2617557
AK2,0.4447665,-0.18610936,0.03708806,-0.04985765,0.07017657,-0.41334388,-1.2885938,-0.19261661,-0.1313348,-1.321255,-1.4571776,0.5224355,-0.9578855,0.6147676,-0.24411593,0.59995
PHC2,-1.8077936,0.12266208,-0.20839818,0.24961069,0.011169476,0.65248656,0.15681575,0.69150347,-0.6912359,0.77853745,-0.31465253,-0.19725035,0.44393003,-1.3888365,0.36207956,-0.079075925
GJA4,-6.055035,0.1234973,-0.00943947,-0.30429924,0.46696833,1.1671919,1.0793211,0.6784945,0.79028606,-0.3639336,1.1850656,-2.6104202,0.6353228,-3.3034105,0.71365637,-0.7782846
TMEM35B,1.2433474,-1.4075644,1.1875356,0.4403631,0.14469185,-2.616224,-3.0264864,-1.6371394,-2.9431431,-2.640315,-2.482964,0.5300898,0.608535,1.695447,0.49694347,0.56357205
SFPQ,0.17731455,-0.0592611,-0.1252737,-0.07272311,0.44077852,-0.3230147,-1.5429152,0.22497645,-0.31129175,-1.1807827,-1.672515,-0.32971114,0.7872378,-0.13318342,0.19629744,0.32498902
PSMB2,0.24085969,-0.5608392,0.30333167,-0.17199978,0.41417047,-1.4266406,-0.4658919,-2.03966,-0.77695954,-1.7917681,-2.5446103,-0.23793522,0.6807818,0.4934957,0.4004483,0.6384785
EVA1B,-4.0613594,0.30680314,-0.41634125,-0.14507072,0.44395533,1.3682235,-0.16699281,0.99345636,-1.874264,0.20012951,1.236006,-1.7930568,0.7228178,-1.6194112,0.4910904,-0.48303264
NDUFS5,-0.3449111,-0.3644151,-0.56650066,-0.11182877,-0.34566084,0.77813184,1.2121235,0.5116983,0.9261502,0.99917066,0.62386036,0.39169958,-0.80736744,-0.897094,-0.4175085,-1.326178
PABPC4,0.00488621,0.46748772,0.07930292,-0.19793917,-0.20843318,-1.3649485,-0.8327424,0.4147534,-0.4998901,-0.040713258,-1.605243,0.05920321,-0.1429575,-0.32571587,0.3844408,0.6123443
HEYL,-8.440245,0.5083172,0.6136018,-0.5889728,1.1269935,0.29066354,1.1824796,0.005720323,1.3281972,-2.6833098,-1.2934015,-1.9965149,1.3011452,-2.8626804,0.7210144,-0.13164657
CAP1,-0.9550539,0.18932654,-0.5495926,-0.12910144,0.11843264,0.27408314,0.950718,0.6096485,1.3362882,0.14944394,-0.3516375,0.026289267,0.21932945,-1.5887302,0.11117065,-0.30504698
PPT1,0.45401704,-0.051662527,0.40634426,-0.72296613,0.50965714,-1.3938316,-2.8217611,0.51592225,-2.8362362,0.30523923,-2.7809248,-0.5892909,0.051662005,0.6399933,0.0113841295,0.99618125
CITED4,0.385674,-1.9356625,0.08489067,0.6766776,-0.50555676,-0.23067337,-0.16799107,-0.27946356,-3.4545248,0.8059059,0.091736674,-0.01338138,-0.8400618,-0.017407682,-0.8663766,1.2225524
PPCS,2.1683812,-0.9297847,0.76386386,-0.09536095,-1.7939155,-2.1265242,-2.6069355,-1.3575057,-1.2610868,-2.7011056,-2.4860692,0.98827136,0.44747743,2.26132,-2.3393402,-1.3349684
YBX1,-0.19347587,-0.01987359,-0.5498815,-0.04407441,0.024946965,0.70072263,0.9453423,0.56868637,0.65057844,1.0627499,0.23718435,0.5423434,0.41934252,-1.0840647,-0.5941512,-0.9257347
SLC2A1,-0.249248,0.08095753,0.11222743,0.2469642,0.057382878,-0.33068752,-0.9162275,0.44109592,-1.2033002,-0.167699,-0.72206193,0.63420653,0.035171013,-0.5356454,0.12737511,0.47808334
HYI,0.89105386,-0.3008678,0.24801973,0.24499029,-1.1558732,-0.56926197,-2.7536345,-0.29733858,-2.5548403,-1.7365355,-1.7291667,-0.13638942,-0.7337776,1.267906,-2.4751198,1.36946
PTPRF,2.5273168,-1.7739577,0.9824411,-0.042411946,-1.8526541,-2.8348322,-2.6556377,-1.3153281,-3.005619,-2.6905322,-2.6596844,0.33335817,-1.1664778,2.0735166,0.23802672,1.0960435
ATP6V0B,-1.2575302,0.29164514,-0.75598997,-0.06418455,-0.035771508,0.7976514,0.7831813,1.0486845,0.618589,0.70425546,-0.29201117,-0.26297903,0.36563185,-1.5572522,0.0040598875,-0.6673466
ERI3,0.76743895,-0.5226991,0.47086793,0.265971,-0.20545301,-2.1126153,-1.9537752,0.23952639,-1.0233089,-2.698208,-2.79025,0.29021078,0.5126202,1.1614754,-2.1718347,1.2367502
UROD,0.88922584,-0.3403052,0.4286874,0.10318949,-0.39212257,-1.7289256,-0.9352161,-0.008332765,-2.3432548,-0.5413588,-1.8137119,-1.6789922,-0.17710762,1.4988153,-0.2806738,0.8523337
PRDX1,-0.48658156,0.09929801,-0.44420472,-0.07529318,0.06485003,0.37604347,1.1482037,0.33255357,0.6944682,0.98360115,0.44269747,0.07562374,0.30782923,-0.7749157,-0.20388487,-0.66440105
AKR1A1,0.23514038,-1.0152754,-0.25962147,0.011262396,-0.40050316,0.58919895,-0.22398229,0.4419161,-0.7951142,0.47648618,-0.2532107,0.33850336,-0.0592812,0.2710557,-1.8239224,0.46547145
TSPAN1,2.0662942,-2.2212267,-0.41437456,0.41849333,-3.9781706,-1.1238025,0.35828298,0.72705686,-1.399388,0.4310345,-1.2150491,1.2249898,-3.2317348,1.2380276,-1.2026256,-2.4133196
LRRC41,0.18830661,-0.28640294,0.0023312299,0.05505296,-0.09753113,0.40227494,-1.2107515,-0.049204476,-0.68940306,0.03321899,-0.7328014,0.60311997,-0.42039788,-0.038677745,0.12827133,0.5395002
UQCRH,0.27136433,-0.18997836,-0.14537594,0.02037566,-0.08455219,-0.35257325,0.3885072,-0.39264253,0.49655586,-0.067786105,-2.2095103,0.49244305,0.534782,-0.057689898,-0.23519538,0.33621082
PDZK1IP1,-0.11443257,-1.0430806,-0.5610592,0.08599477,-1.625524,0.87267953,0.87160856,0.42836496,0.38412806,0.9942295,1.1584152,0.4300455,-3.0661573,-0.51328135,-0.6530624,-1.8886236
CMPK1,0.5258358,-0.8019595,0.30142215,-1.0139194,0.051974576,-0.36838505,0.480468,-2.3508804,0.6901379,0.082195535,-0.31109902,0.29124668,0.1374728,0.16541216,-0.9175595,0.77908057
TRABD2B,3.5566382,-3.9641967,0.9987488,0.14064385,-3.2262216,-2.7969358,-2.6599493,-2.1714199,-2.5942938,-0.6814997,-2.2832096,0.39341268,-2.716824,3.0440397,-1.6026977,0.47244343
RNF11,-0.12084788,0.13108003,-0.013811777,-0.31852022,0.040045317,0.34413263,-0.5358069,0.27245677,0.005750017,-0.61228096,-2.8973112,-0.10730979,0.5209885,-0.04829432,0.18690468,0.6481866
ECHDC2,2.6517837,-3.6574287,0.7469757,-0.5619092,0.22142242,-2.7231095,-2.5291505,-2.7402215,-2.4581826,-2.8349123,-2.4268734,0.2450346,0.23797303,2.7342458,-2.0015068,0.98794055
SCP2,0.35336664,-0.11087962,-0.19337472,-0.029969536,-0.35394984,-0.059110958,0.07940575,-0.9560084,0.24957071,0.13031344,-0.6136111,0.5708827,0.49211723,-0.09850675,0.11794258,0.13898674
CZIB,1.7056794,-0.46373034,0.4985628,-0.53562105,0.27702928,-3.0536091,-1.4812711,-0.33670208,-0.23034626,-1.5067208,-2.1046653,-0.17447719,-0.65981877,1.4428473,-1.5923167,1.3313056
TMEM59,-0.24278471,-0.07836782,-0.18051283,0.0062842956,0.14377426,-0.51932484,0.42358,0.18138938,-0.035034616,0.08431158,-0.015294556,0.48432863,0.51438546,-0.30418926,0.18267179,-1.0110137
MRPL37,1.85686,-0.59024376,0.66201144,-1.7380141,-0.009530479,-0.6935452,-2.2523699,-0.46861652,-2.607686,-2.6375115,-2.4809992,-0.8554126,-0.83839196,2.0727947,-1.9657931,1.3339062
PLPP3,-0.6404953,-0.0036883354,-0.16695067,-0.035555482,0.0126288645,0.7657683,0.8714185,0.68067384,-0.06570186,0.5659762,0.3888171,0.024171147,0.20717414,-0.44793057,0.72457755,-1.2590047
JUN,0.10026004,-0.1607964,-0.45312825,0.0211688,-0.0052066594,0.37582973,0.33441424,0.7331087,-2.0860267,-0.18020612,0.52822065,0.68809897,0.056305584,-0.5860918,0.21675374,-0.8231349
CYP2J2,3.959446,-4.8774385,0.031957604,0.45479763,-3.6646352,-2.7067678,-2.7787762,-2.1717327,-2.944123,-2.415611,-2.5342646,1.5513333,-3.2337132,1.9739401,-0.7181619,0.663348
NFIA,0.15414904,0.15152776,0.2583846,-0.16856976,-0.3390199,-0.15713169,-0.4930908,-0.3870686,0.14109416,-1.2349497,0.24849126,0.3748038,0.6098832,-0.3675586,-0.15240197,0.31912774
PGM1,1.9597157,-1.3899649,0.54733133,-1.2965511,-2.1434996,0.2455572,-1.7583266,-1.7828139,-1.0319815,-0.30877003,0.25432542,-0.5438091,0.112979576,1.425211,-2.4364219,1.0016875
JAK1,-0.075460374,0.1222083,0.11912409,-0.09893292,0.08346524,0.45325947,-1.7194055,-0.15967393,-1.1053017,-0.09752885,-1.8302166,0.032167826,0.7610363,0.23671092,0.287651,0.16870058
AK4,2.0185428,-0.20166527,0.23717786,0.052599363,-1.9230211,-0.9707681,-2.7577224,-2.085648,-2.982964,0.31758466,-2.3320272,0.72211444,-1.809925,1.4850261,-0.045681447,0.378661
LEPROT,0.54731643,-0.9048588,-0.29497245,0.0011392105,-0.28310907,0.25515887,0.1689948,-0.5642702,-1.4999931,-0.052404497,-1.6477448,0.5082951,0.39265284,-0.39895892,0.516485,0.20596427
SERBP1,0.07437213,0.27361995,-0.09002863,-0.28921634,-0.024323963,0.3091814,-0.6394245,0.64342767,-0.7739438,0.62518597,-1.2340682,0.3494025,0.30256164,-0.23812921,-0.033713926,0.21931623
GADD45A,-1.0180734,-0.53087586,1.1895761,-1.1451931,0.61657786,-3.0534172,-0.44616273,-2.6144435,-0.54740936,-1.2708111,0.9221568,-1.2507197,0.8809746,1.617584,-0.80091006,0.6367386
GNG12,1.5781816,-1.2119153,0.29755858,-1.7846333,0.09591092,0.37577218,-1.6098493,-1.4672483,-2.9674618,-1.9830704,0.1717519,0.051414542,0.55635864,0.9388724,-0.32134348,0.9897484
SRSF11,0.19774133,0.5036046,-0.22706802,-0.29028663,0.39723647,-0.31272194,-2.0148494,-0.8171709,-0.56502706,-0.12219802,-1.8542327,0.24440326,0.9070894,-0.7342042,0.8351758,0.3103729
CRYZ,3.934518,-4.0430636,0.6121774,-0.7067097,-2.6397965,-2.888774,-2.7502863,-2.448506,-2.8251262,-2.7223034,-2.565424,1.3133572,-2.824956,2.7699604,-0.84184045,0.51832306
ACADM,2.515898,-5.8695736,0.5659872,-3.2422469,-0.34931883,-2.6936295,0.0243837,-2.615675,0.6795622,-2.5048912,-2.2934082,-0.66240436,-2.1714377,3.314283,-2.4159787,-0.8032232
RABGGTB,1.9397544,-0.9792047,1.1684344,-2.2606258,-0.24020472,-2.1882985,-2.1170666,-2.4920745,-0.828105,-2.3502984,-2.5581162,0.64904237,0.05089291,2.2874207,0.32515696,0.41921175
GIPC2,2.984175,-3.3375993,-0.414444,-1.9337502,-2.7453856,-1.6878829,-2.5316184,-1.8364748,-2.2695248,-2.3485198,-2.1387398,0.19105324,-0.9334545,3.3976965,-1.9768983,-1.3055029
ADGRL4,-2.5908964,0.8222505,0.24533759,0.102378085,0.5966131,-0.59289354,-0.7147016,0.16489619,-2.7835424,-1.1634766,-0.97337747,-2.2689815,1.1527766,-0.5260564,1.2006239,-0.30490324
GNG5,0.18362045,-0.18852049,-0.20019121,-0.006231307,0.31486785,-1.3368163,0.02599283,-0.2184691,0.066198066,-1.7382995,-3.0276337,0.51458013,0.52546024,-0.17563349,0.12687738,0.43190193
DDAH1,2.973233,-4.257831,0.48389092,-1.1626439,-0.15427156,-2.9734097,-0.7215356,-2.2492676,-0.40423423,-2.6942787,0.6226987,0.7543004,-1.9964933,2.3645217,-1.7106229,-1.0949426
CCN1,-1.0334215,-0.34207126,-0.2767534,0.03897314,0.42851898,-0.017893378,1.0513214,0.72330785,0.9479784,0.33385277,-2.552317,0.41188425,0.16525596,-1.4749908,0.41563383,-1.1284462
SH3GLB1,-0.5839343,-0.14709452,-0.012063307,-0.47588465,0.2579972,0.4219333,-1.2840846,-1.8436502,-0.68350846,-0.2132706,-1.5426383,-0.82166594,1.0193908,0.038932696,0.53669566,0.3014985
SELENOF,0.010826223,-0.058122136,0.18913189,-0.06547107,0.48149925,-0.85134524,-2.3170273,-1.0726546,-1.832533,-3.227851,-1.5211705,-0.14865974,1.0528762,0.36159387,0.44682547,0.5447241
GBP3,3.372126,-2.198974,-0.24568881,-1.1626925,-0.5306857,-2.1925015,-2.0494235,-2.6782234,-0.56090814,-2.8166435,-2.5067892,-0.55061364,0.62913406,2.4380887,0.23737097,-0.17403175
TMED5,2.36361,-2.9320107,0.83310705,0.16308716,-0.44146037,-0.88710785,-2.7820363,-2.6362696,-2.9375904,-1.1471381,-2.5965817,0.67688024,0.4113406,1.9886363,-1.1586156,1.0050564
CNN3,-0.8252032,-0.2530822,-0.63337964,-0.4646347,-0.037532695,0.7486712,1.2232668,-0.2947374,1.0350286,0.6290063,0.8799294,0.28997475,-0.10850035,-1.4114788,0.19015436,-1.3831037
SARS,-0.8580116,0.5958207,0.26835775,-0.14378555,0.35028103,-1.1223639,-0.45108053,0.4407052,-0.020448633,0.21023126,-1.3677841,-0.9273839,0.80915904,-0.5163485,-0.03811033,0.7623612
AHCYL1,0.52059567,-0.42433727,0.2347324,-0.7387319,0.44431362,-0.5569542,-0.6428357,-0.3068069,-1.4816055,-0.30154482,-0.45334017,0.30465317,-0.22983156,0.49145997,0.14904247,0.55809397
SLC16A4,3.6364365,-5.8314295,0.43817148,-1.7254653,-3.2835412,-0.87939745,-2.2695885,-2.9758463,-2.6608856,-0.6502631,-2.5432925,1.5422429,-2.778602,2.7597482,-0.43593735,-2.1564896
LAMTOR5,0.28395146,-0.2440426,-0.047946148,-0.012498012,0.010583789,-1.8427414,-0.2110334,-0.15607257,-3.5358799,0.099366784,0.33922976,0.33719268,-0.12753195,0.4050215,-0.04028484,0.11716647
ATP5PB,0.9666934,-0.2536761,0.2897315,-0.038994677,-0.28853127,-1.3628994,-0.9822444,-1.2137216,-2.8657684,-2.5059717,0.6927873,0.46569657,0.43651018,0.9578124,-0.1218321,0.29477635
RAP1A,-0.055759445,-0.6204144,0.49620247,-0.06918206,0.34691325,-1.362987,-0.5683523,-2.4995482,-1.7206775,-1.0612304,-0.38478094,0.40988827,1.0913789,-0.19915812,0.54357165,0.17768091
