,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
23,1.5410806,0.82572436,0.25935778,11.251707,1.0602582,2.4110312,2.9218855,0.9406136,81.52004,1.6779325,0.8582113,1.5026581,797.54144,1.1742337,2.4375448,0.8748647,2.0642538,0.705272,0.597071
24,1.6402649,0.7558984,0.2788744,17.928864,1.301303,1.8103063,6.2890882,0.88789964,63.80119,1.6552428,0.801095,1.4190552,535.7901,1.1705117,2.1762898,0.84956807,2.063446,0.76892465,0.5870503
25,10.433749,0.4994058,0.6753051,1.8659561,0.79938585,0.6279074,0.6836406,1.8195401,8.226689,1.6629244,0.7637067,0.63995063,0.7820999,0.73937196,7.5163083,0.44787902,25.175005,0.74333817,0.6590762
26,10.9831505,0.39442587,0.7099213,1.7295828,0.9398575,0.58653986,0.6460626,1.6417468,9.067697,1.5005965,0.83850926,0.65384287,0.7680139,0.7618956,14.42493,0.45067123,27.827238,0.56979704,0.58814216
27,11.775684,0.43081364,0.7475091,1.8143904,0.90455055,0.61119205,0.62683094,1.7827382,10.89455,1.1593612,1.0021545,0.6812992,1.0422288,0.80150825,26.97483,0.54406625,43.26974,0.34153304,0.96924806
28,10.517637,0.43317682,0.7042967,2.037956,0.9464677,0.5955567,0.5855077,1.7353132,11.225284,1.1912636,0.7299581,0.5394554,0.804763,0.66345924,17.923834,0.48451957,35.607704,0.3293035,0.96622354
29,7.424641,0.6912464,0.4932986,3.3405216,1.0770546,0.5647349,0.5009462,1.4451402,23.00632,1.1691685,0.55556595,0.54204553,0.628267,0.59904647,5.897454,0.64642,28.519709,0.30083507,2.1318462
30,6.620407,0.7365409,0.5593275,2.9120827,0.8460002,0.65446687,0.49928355,1.6363633,20.147291,1.2732939,0.61066383,0.5235264,0.5495541,0.5503566,2.2157617,0.73356485,21.469189,0.35660198,3.381901
31,5.755371,0.7448747,0.526172,4.4724855,1.0320433,0.65507853,0.49162793,1.3226624,23.095127,1.3739958,0.64127374,0.6120038,0.6296834,0.5822827,1.8374428,0.67769575,14.973927,0.44748595,3.1956496
32,5.804179,1.0933465,0.38467628,14.769463,1.0082583,1.1813049,0.6321666,1.3078396,12.698698,0.9303414,1.3074833,0.57782507,0.8230298,0.5466352,2.5918872,0.50553757,5.6000366,0.24581897,2.1277313
