,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Rrp7a,0.1896211,-0.22151347,0.018788926,-0.23866822,-0.025341917,-0.1522916,-0.01841584,-0.003809296,-0.040454518,0.054512333,-0.031497948,-0.092619896,-0.03394048,0.007949778,-0.92612904,0.20358193,0.14202918,-0.5153822,0.27129677
Poldip3,-0.13483831,-0.4329472,-0.08051446,-0.084078975,0.39807457,-0.035903618,0.0052601295,-0.007784575,-0.02749009,0.09050194,-0.1333927,0.04892402,-0.07122866,-0.14583798,-0.11651659,-0.03743612,0.07884808,0.41646338,-0.51168436
Arfgap3,-0.16492137,0.57437086,0.08405357,0.3511258,-2.8288226,0.36034286,0.57938606,0.5141607,-0.5064144,-1.2360938,-0.21030083,-0.84948236,0.6040361,0.7293686,0.34540835,-0.9248927,-0.08135025,0.02845335,-0.35982028
Pacsin2,-0.0759524,0.7788092,-1.3413205,0.07751812,0.38629696,-0.8314967,-0.066679634,-0.002449172,0.0046194713,0.083248235,-1.2416598,-0.2047893,0.14566237,0.73756397,0.084271185,-0.23856738,-0.46695024,-0.9476996,0.13674198
Ttll1,-0.043658964,-0.311475,-0.030597595,0.05619225,0.079480335,-0.73086935,0.012443207,-0.002307148,-0.05874522,0.03359772,-0.03155609,-0.036565404,-0.032738052,-0.046042383,0.217505,-0.043824308,0.12463904,0.013067298,-0.4880777
Sult4a1,0.5598101,0.9508407,0.16123126,-0.3465219,-1.2639394,-1.2737061,0.36238882,0.19488457,-0.74840164,-0.64672923,0.64042103,-0.5900428,0.46005493,0.6566987,-1.0545884,-0.39833203,-0.3336456,-1.0349767,0.38685107
Samm50,0.024570467,0.16387896,-0.0098890895,-0.23890382,0.039402258,-0.20174879,0.0064124195,-0.006532689,-0.05368127,0.0016247665,-0.021859922,-0.003169849,0.006476254,-0.025396133,0.004485102,-0.011017238,0.03454777,0.0049775103,-0.64634395
Fam118a,0.29502794,0.10063192,-0.16121991,-0.44593918,-0.17782605,-0.3078817,-0.0024603435,-0.08245336,0.3489324,-0.0011920604,-0.04200148,0.03607422,-0.10937968,-0.10173083,-0.07103666,0.089497365,-0.072559685,-0.14474131,0.89856285
Atxn10,0.20998874,-0.40631425,0.22635916,-0.2840018,-0.11159408,-0.03218822,0.048602484,-0.007518211,-0.572673,0.05759524,0.52887017,-0.40802604,-0.26674902,-0.079176776,-0.1131951,-0.35411137,0.035660114,-0.052035812,-1.1718032
Trmu,-0.6994829,-0.30316907,-0.0757586,-0.008480244,0.42169923,-0.32686386,-0.027900966,0.012533324,0.034788754,0.006688491,-0.30087805,-0.07173928,0.078220285,-0.106309846,0.6305414,0.045596495,-0.2615042,-0.039467454,-0.7369696
Creld2,-0.6574418,0.18032008,-0.35013664,0.08494782,-0.22602165,0.6079074,-0.22546016,0.013799163,0.72395986,-0.08538033,-0.4759447,0.084117964,0.081674464,-0.2821457,0.07555524,-0.068730086,0.062208317,0.09064403,-0.19094805
Dennd6b,-0.106914975,-2.0410461,-0.04301903,-0.686094,0.5481994,-0.6157587,0.053105477,0.15705255,0.16349348,-0.059809297,-0.24348257,0.026093885,-0.2925869,-0.90802807,0.18125708,-0.27452412,0.5344028,-0.9473735,0.05661949
Ppp6r2,-0.022908995,-0.2966226,0.0215386,-0.3119345,-0.0026728474,-0.54466134,0.018354513,0.044686694,-0.052917726,-0.013670142,-0.015507507,-0.09031694,-0.013877974,0.101887695,0.22813682,-0.07026397,0.29520452,-0.96578735,-0.4535379
Rabl2,-0.016105052,-1.1126144,0.050733335,-0.11497857,-0.82922876,0.3426723,0.23721163,0.19047746,-0.54087925,-0.142344,-0.035838824,-0.5728009,-0.07991569,-0.23824255,0.7821079,-0.75102043,0.33936873,0.023409927,0.19883832
Syt10,0.6089828,-0.6408922,1.1973771,-0.94757414,0.34968266,-1.1464096,0.4264793,-0.2852186,-0.75089544,0.047527622,1.4363272,-0.668427,-1.4446397,-0.17088485,0.71426564,-0.8540236,-0.95375824,-0.7327267,-0.24229026
Cpne8,0.0933303,-0.34799495,-0.21502396,-0.20585363,0.25243968,-0.75898284,-0.020091565,0.1721065,-0.011566884,-0.055209283,-0.32183796,-0.1759819,0.49298775,-0.2074178,-0.104468115,0.10379252,0.6089925,-1.2076876,-0.39259967
Kif21a,0.24028185,0.039162446,0.07386449,-0.2825245,-0.100479424,-0.09694342,0.04002828,-0.01874301,-0.13392094,-0.065270215,0.3557291,-0.6322831,-0.029836416,0.027622592,0.03288242,-0.035132155,0.02560798,-0.09660107,-0.025724484
Lrrk2,-0.6383624,-0.29931018,-0.8234433,-0.6124244,1.71403,-1.7680867,-0.43766025,0.3225195,0.6631072,-0.10067392,-0.71771157,1.4744549,0.6509011,-0.8114547,-0.47470096,0.25726297,-0.6088117,-1.0719287,-1.4817389
Pdzrn4,0.23030493,-0.85003304,0.7620917,-0.34876683,0.40318385,-0.85997224,0.1888826,0.4410945,-0.85948485,0.39132038,0.9261997,-1.1956208,-0.69045293,-1.2888265,0.10821106,-1.1219754,-0.057473317,-1.1607348,0.08993624
Yaf2,0.29777563,0.72445685,0.15776223,0.2068849,-1.738214,-0.05355792,0.0592553,-0.15436369,-0.6378818,-0.47116974,0.27423343,-0.41099733,0.21307492,0.21554823,-0.5308351,-0.3399512,-0.5046421,0.04918196,0.9439657
Zcrb1,-0.029032895,-0.3811274,-0.03713831,-0.028096989,-0.028042696,0.32047343,-0.0033427216,-0.0039513255,0.044387534,0.0099385055,-0.031285755,0.0101350285,0.020922072,-0.050231516,-0.09864169,0.073306166,-0.017692871,0.19243513,0.1734766
Adamts20,-1.0549673,0.16098604,0.038464993,0.52140397,-1.845301,0.091355264,0.26120263,0.06655948,0.03383695,-1.4582886,0.13295898,-0.89685696,-0.092253275,0.26677063,1.0677552,-0.03986529,-0.46864265,-0.198385,-0.24912772
Twf1,-0.051012654,0.39089978,0.02490769,-0.18048207,-0.17063463,0.7797396,0.006589207,0.007584689,-0.40148562,-0.5374755,0.21685259,-0.012798644,-0.09637449,0.15352593,-0.46897,-0.4863133,-0.32609048,0.46064952,0.04342577
Nell2,0.6169403,0.16549441,0.31811395,-0.50999194,-0.51987404,-1.4401101,0.24125676,0.61236006,-0.50640017,-0.91292703,1.0862197,-0.013078421,0.23316637,0.027944818,-0.39634907,-0.17034656,-0.7519811,-1.0615768,-0.24566258
