,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 6
ANKRD65,0.033211887,0.088431895,-1.1501968,-0.740328,-0.16703384,0.13360079,-0.0068034576,-0.13162455,-0.012673529,0.040472284,-0.026046809,-0.0065558967
ATAD3B,0.030494563,0.5119773,-0.25628927,-0.38100263,-0.14350043,-0.05557696,-0.006201214,-0.2545405,0.0083953235,0.033706747,-0.04256254,-0.01249103
MIB2,-0.0025334517,0.014122045,-0.37958118,-0.0075660706,-4.452521e-05,-0.016612966,-0.0006513901,0.2478988,-0.0029725132,-0.0021702696,-0.0009061567,-0.0013205757
NADK,-0.07827557,-0.5842015,0.50763136,0.31876904,0.09693321,0.39376053,-0.01782803,0.83395684,0.009682737,-0.017074676,0.0107536465,-0.007997427
PRKCZ,-0.47894028,-0.08772363,-1.2482837,0.93567395,0.067196384,-0.00591042,-0.0027533458,-1.8056195,0.08744821,-0.027176626,-0.013904131,0.010681131
PANK4,-0.0077085644,0.09052124,-1.2260823,-0.3444233,0.00924514,-0.04929936,0.0048422054,-2.1823769,-0.012079282,-0.0059748837,0.0033902891,0.000102053105
KCNAB2,0.010462113,0.03703466,-0.79866964,-0.06736039,-0.04444085,-0.034298684,0.0007673733,-1.1727499,-0.006775533,0.025276551,-0.010291998,-0.005982369
TNFRSF25,0.03320902,0.607754,-2.1321359,-0.025511444,-0.0012902601,-1.1116697,-0.016091648,-1.7955401,-0.029555773,0.13899308,0.027697187,-0.02223117
PLEKHG5,-0.40998542,-1.8761659,0.18984102,0.8907263,0.79836565,-1.1724085,-0.003850033,0.18402396,0.16014275,-0.479117,0.17971452,0.047259018
ERRFI1,0.9013897,-1.0291736,-0.2575426,-1.3682228,-1.1147625,-1.847554,0.08221321,-1.5157074,0.04587991,-0.09548792,-0.06462114,-0.16893154
ENO1,-0.028036943,0.15282105,-0.17348999,-0.1344983,0.0058551854,0.055253338,-0.008353671,-0.61377656,0.009396827,0.014986105,-0.031380713,-0.0031097233
H6PD,0.0032641918,-0.011540909,0.20775041,0.0129594505,-0.00042759939,0.008808372,-0.0029238581,0.18897854,-0.00030704148,0.0027294627,-0.01882029,0.0002344104
SPSB1,-0.25024226,-0.5046159,1.6839383,0.6974646,-0.02009118,0.19749045,-0.21805754,1.3488859,0.0348835,-0.12346256,-0.0960721,-0.043187927
PIK3CD,0.10635028,0.081691206,-2.2847779,-0.59498775,-0.009001165,-0.14338188,0.0151467025,-1.7654743,-0.09487542,0.06488869,-0.0067918776,-0.0045889765
CTNNBIP1,-0.01333113,0.041113913,0.5592028,-0.24183023,-0.008395537,-0.049377166,-0.00075267476,0.7868596,-0.0027135527,-0.001989468,0.005819957,-0.0001349306
PGD,-0.06341776,-0.04267545,0.89673024,-0.41000408,0.0024669098,0.069284774,-0.026403088,1.3082849,-0.051981032,-0.014590919,-0.029251758,-0.0010605885
MTOR,-0.0074763466,0.17305993,-0.37766337,-1.4755677,0.009861502,-0.0020757387,-0.0011945904,-0.39092422,-0.02995601,-0.0034430362,-0.002896981,-0.00063503854
UBIAD1,0.0034468519,0.10190751,-1.51943,-1.7694844,0.0071405102,-0.042240616,-0.0010183329,-0.40667242,-0.033411786,-0.0039828233,-0.02280405,-0.002912709
FBXO44,0.20362246,0.07214551,-1.3164243,-0.4635129,-0.17513365,-0.19051002,0.018299295,-1.0668361,-0.026160242,0.051300228,-0.0968706,-0.004325445
AGTRAP,-0.03578543,-0.32401055,-0.99232864,0.4320442,0.16034773,-0.72005576,0.019983837,-0.6596602,-0.0008263411,-0.032531567,-0.011710315,0.035667457
KIAA2013,-0.0036326656,-0.14741877,-0.46748176,-0.2820971,0.046174757,-0.018400284,0.008044619,-0.06985682,0.005986453,-0.017041989,-0.004178935,0.005184767
MFN2,-0.37514687,0.06250128,0.7926789,0.9094659,0.0013973416,-0.021593802,-0.0048180134,-0.10792499,-0.0030063633,-0.041646086,0.022049274,0.003304002
MIIP,0.010890833,0.035766616,-0.2356217,-0.92754436,-0.0059113465,0.021814244,3.4815446e-05,0.044572104,-0.0004863166,-0.00019772889,-0.0053702565,-0.0016641568
TNFRSF1B,-0.19722076,0.19273782,0.41458353,0.30179316,0.0055222264,0.0033727463,-0.005217074,-0.14751938,0.00016343313,-0.005875023,-0.007729617,0.0018855046
VPS13D,0.0085524805,-0.004848224,-0.12794685,-0.09866043,-0.0034094835,0.023949444,-0.0034101426,-1.2273226,-0.00023843936,-7.461602e-05,-0.010020521,0.0020394404
DHRS3,-0.055403966,0.029793935,1.3195002,0.31479928,-0.06128161,-0.4906425,-0.0057308567,1.5360161,-0.012651354,-0.033640493,-0.076290146,-0.025072299
EFHD2,-0.6233354,-0.21356317,0.31044984,0.4963093,0.020681215,-0.0599776,0.00040444257,0.016651133,0.04963073,-0.08263161,0.01074019,0.021109562
ZBTB17,-0.013398674,-0.021693125,-0.53817445,-0.08733172,0.07018585,0.09719027,-0.007002944,-0.97026765,0.0024912064,-0.0062556276,-0.008041826,-0.0001768634
FBXO42,0.008964223,-0.077887274,-0.44526213,0.27451578,0.003928088,-0.06829325,0.0028121846,-0.12510754,0.0017432618,0.0015235385,0.00379714,-0.00089329155
SZRD1,-0.027595235,-0.031763792,0.31020024,0.57104063,0.011333817,-0.049963154,0.00046073808,0.5385982,0.033807863,-0.016140323,-0.0015189241,-0.0034037363
CROCC,0.08056645,-0.08126549,-1.2352629,-0.8379027,-0.050925348,-0.2663046,0.0057131485,-1.1176385,-0.028138146,0.01120651,-0.007940631,-0.0013664413
SDHB,-0.06941284,0.32908753,0.8069539,0.185406,-0.08056985,0.09319646,-0.0600398,1.148844,-0.061008163,-0.024262758,-0.118265584,-0.017024802
RCC2,-0.010735113,-0.056465883,-0.38836855,-0.03841644,0.017546229,0.25018415,-0.0006429844,-0.43597424,-0.00085497834,-0.0068290695,0.0005332028,-0.00030803483
IFFO2,0.038639866,0.06751914,-0.6090448,-0.55456144,-0.08939609,-0.35884893,0.002106408,-2.348103,-0.031302188,0.027332045,0.016301166,-0.0057219677
MRTO4,-0.01596329,0.689907,0.33196327,-0.19748823,-0.1704287,0.10276778,-0.01869838,0.73301613,-0.023715727,0.021015435,-0.014121101,-0.012919462
CAPZB,-0.051077876,0.023590446,0.29106814,0.43955743,-0.01318001,0.020597529,-0.0055050333,0.028012857,0.09499442,-0.020645149,-0.033790633,-0.00653046
PLA2G2D,-0.13580248,0.38617432,-1.5641556,-1.0729976,-0.16795653,1.3061475,-0.05234981,-1.9689481,-0.085653506,0.06590555,-0.035032004,-0.04442872
EIF4G3,0.004473887,-0.05992356,0.34579238,-0.09853901,-0.010457689,0.15175596,-0.0012663807,0.44638044,-0.007579999,-0.009751118,-0.013514081,0.001795276
USP48,0.002214519,-0.01977049,-0.028765641,-0.06348263,0.014158184,-0.030839192,0.0011677566,0.039051175,-0.0009732426,0.0009369805,0.010878715,-0.0006449226
KDM1A,0.0010309091,-0.026226882,0.42267284,0.056156673,0.0074087386,0.116938226,-0.006316465,0.10509378,0.0005294608,-0.0062308325,0.0007430589,-0.00076196046
HNRNPR,-0.012564441,0.09133879,-0.04478305,0.06880301,-0.008693464,0.019042693,-0.002304364,-0.35306326,0.0041730343,-0.0022330035,0.0038296762,0.0012569571
ID3,0.44580248,-0.9138051,0.89251465,-1.381704,-0.15879965,-0.3104167,-0.051259372,0.04600096,-0.08780764,-0.03535204,0.0033851983,-0.03198459
ELOA,-0.0154372435,-0.025074985,0.6376431,-0.089786045,0.017550016,-0.12589042,-0.007438889,0.43145335,-0.0026178337,-0.002696985,-0.007542232,-0.00030668481
HMGCL,-0.036147952,-0.028228888,-0.87709284,0.21099126,0.02343124,-0.019744916,0.004241651,-1.067711,-0.0021184732,-0.017545795,0.042748652,0.008001031
FUCA1,-0.66926014,-0.10702458,-0.1482779,0.8150956,0.16873233,0.5853099,-0.016078463,0.022718618,0.07799841,-0.08216802,-0.020444203,0.008205387
RCAN3,0.2732149,0.50553375,-2.315333,-0.8764377,-0.26306793,-0.31209308,0.0311206,-2.4126725,-0.024414586,0.32631946,-1.1699737,-0.05395846
RUNX3,-0.0071702674,0.25513437,-1.9198682,-1.0327235,0.0043660873,0.08774211,-0.0040392573,-1.5772787,-0.013449854,0.040184706,-0.34090126,-0.0028242844
SYF2,0.0010343016,-0.012302626,0.12327715,-0.025155887,0.0024118866,-0.011942879,-0.0006846611,0.17172673,-0.000674725,0.00084309955,0.0010198612,-0.0003478955
RSRP1,0.0035342383,-0.21998882,-0.99398154,0.1575272,0.1238029,-0.0924295,0.0027185003,-1.736145,0.013089141,-0.031767286,0.033102427,0.005316278
LDLRAP1,0.051518105,0.46570683,-0.92282426,-1.0105635,-0.02396188,-1.0440259,-8.899552e-05,-0.6191456,-0.14363198,0.00653022,-0.0019829196,-0.0073837964
UBXN11,0.01704519,0.108011864,-1.313321,-0.24213295,-0.0012300018,-0.11116344,0.0046535386,-2.1634078,0.020794712,0.001404597,-0.013226656,-0.0074156234
CD52,-0.07542034,-0.22469163,-1.7652502,0.25257853,0.06856249,0.06452765,0.0040208655,-1.522852,0.1316681,-0.032806467,0.015865583,0.013128458
ZDHHC18,-0.008178828,-0.039526146,-0.2086033,0.12663104,0.0024422416,-0.0075254533,0.00058515323,0.13126843,0.00092046155,0.0023256,-0.00268911,0.0029961308
NUDC,-0.0063146795,-0.035742536,0.4219517,0.0136129055,-0.0076097026,0.0037984434,-0.00032622708,0.43780416,0.00019379177,-0.003169279,0.012773746,-0.0014445616
SYTL1,0.077923454,0.16107936,-2.5607111,-1.2290939,-0.042430557,-0.07542103,0.010235198,-1.8879892,-0.020627225,0.022318415,-0.006470225,0.00701649
PPP1R8,0.0014742261,0.009357347,-0.04321418,-0.11863432,-0.0006801058,-0.038540088,0.00052484724,-0.5336868,-0.010854168,0.00048718153,0.01045059,0.0015596405
EYA3,-0.00028174737,-0.033829108,-0.36045486,-0.4431624,0.0013111257,0.08346374,0.00065732625,-0.9264955,-0.0025051204,-0.0026752003,1.526452e-05,-8.222938e-05
DNAJC8,0.0024862099,-0.009275775,-0.14048816,-0.6083976,-0.00509679,-0.0019052217,0.0023742882,0.7264515,0.0007318422,-0.0031637307,-0.0007361809,0.0005695156
ATP5IF1,-0.0032957848,-0.07409833,-0.20002615,0.27160132,0.003412231,0.036259696,0.0012050107,-0.52402145,0.0032903156,-0.007255461,-0.00038535544,0.0009415249
TAF12,-0.0049562077,0.0004180516,-0.056180906,-0.034620244,-0.0064089247,0.00015028576,0.0014244501,0.48400754,-0.004103536,-0.0017495935,0.0030261832,-0.0010290042
GMEB1,0.0097188065,0.014400147,-0.3538375,-0.097019896,-0.16316381,0.012051894,0.0053063566,-0.044979952,-0.032893408,0.005871186,-0.0011440942,0.0022443365
YTHDF2,0.005856365,0.0062841484,-0.78917915,0.24789792,-0.006600655,-0.023172498,-0.002379924,-1.3386492,0.001029338,0.0030118478,0.0014753295,-0.004913286
EPB41,0.1180924,0.008567352,-0.90360165,-0.6333145,-0.100064225,-0.10130524,0.019590454,-2.3084726,-0.115032576,0.053302757,-0.057435103,-0.0013838254
SRSF4,0.0023963007,-0.030592736,0.3946661,-0.07193678,0.0020132994,0.002900768,-0.00012291859,0.41960803,-0.01412506,-0.0060018296,-0.013743608,-0.00064633845
LAPTM5,-0.054284483,-0.36508864,-0.8208929,0.55799454,0.11597679,0.2257687,-0.022173172,-1.3277159,0.04894215,-0.10360242,0.03692385,0.023039851
SNRNP40,0.029762797,0.0620421,-0.048031963,-1.3218572,-0.041635886,-0.066207714,0.0014428772,-0.457527,-0.017955912,0.0084777,-0.01469131,-0.002479501
ZCCHC17,-0.003493961,0.0027104404,-0.20863922,0.21378961,0.011858067,-0.008779565,-0.002619583,-0.27263173,0.0031207663,0.00039633195,-0.0018813402,-6.928865e-05
LCK,0.03345373,0.94103634,-2.1587973,-1.6534886,-0.44691253,0.02967216,-0.002948933,-1.6301434,-0.267696,0.47469288,-0.50696945,-0.032698736
HDAC1,-0.024687313,0.051969975,-0.42679828,0.00066856196,0.029145954,0.19540659,-0.05502173,-1.3638022,0.007680817,0.0012589511,0.006463182,-0.0024571533
MARCKSL1,-0.22247036,0.42571303,0.3012089,0.5064889,0.009742626,0.5051687,-0.32854822,-0.9858132,0.044971332,0.04149174,0.0082925465,-0.07344026
S100PBP,-0.15902169,-0.38749826,-1.2554393,-0.05550673,0.028136592,0.014845289,0.015085512,-0.78420466,0.022470228,-0.030749047,0.031554442,0.010415431
RNF19B,-0.51098585,-0.32157028,0.8296401,0.8700704,-0.0007993989,0.5588589,-0.07185426,-1.3370799,0.08099311,-0.053072188,-0.19630618,0.0037576463
GJA4,-0.037978668,1.1587132,0.75621796,-1.056742,-1.693416,0.17400062,-0.083242595,0.6441658,-0.07524341,-0.008300861,-0.08097595,-0.08492735
ZMYM6,0.010767687,0.057778798,-0.24742986,0.049281407,-0.055360723,-0.032898944,0.0011828685,-0.7247712,-0.009946683,0.010458889,-0.006169211,-0.0015112432
SFPQ,-0.00020620134,-0.006695765,0.18601286,-0.101469144,0.0024300076,-0.014788221,0.00055636594,-0.80724734,0.0032877075,-0.0016521245,0.004758963,-0.0031430766
KIAA0319L,0.011656411,-0.0868046,-0.94606113,-0.09814945,-0.008422366,-0.021583881,0.0020710232,-0.937159,0.0007417001,0.005721403,-0.0017539712,0.0012495333
AGO3,-0.012993586,0.005493906,-0.80016947,0.13343056,-0.009042497,0.020126177,-0.00034283136,-1.1701299,-0.023293516,0.0015044302,-0.005189122,0.0019019842
STK40,-0.037029944,-0.19379152,0.4590879,0.11608941,-0.0046528885,0.2131133,-0.0020952867,0.32113206,0.042326428,-0.017004145,-0.045286775,-0.009602787
LSM10,-0.011556555,-0.037659734,0.26982984,-0.018387362,0.0010033529,0.094005205,-0.0030371007,-0.07068331,-0.001323153,-0.0051652784,0.002013792,0.000567384
ZC3H12A,0.004609484,0.11471549,0.42105952,-1.2501537,-0.09048927,0.09100406,-0.0083527835,0.7651095,-0.08652005,0.009209888,-0.0065236655,-0.0066317474
MEAF6,-0.00031232336,-0.01123089,0.26473212,0.005768324,0.0011369714,-0.029300509,-0.00090430636,-0.10797921,-0.0030503534,0.0006443558,-0.0104978345,-0.0009754048
GNL2,0.006365597,0.0023938608,-0.0793948,-0.23190232,-0.0021674545,0.008677822,0.00025213032,-0.21491405,-0.0007083022,-0.00046662378,-0.0047912914,-0.00014235
AKIRIN1,-5.8393227e-05,-0.028349929,0.2790206,0.07484904,-0.016383575,-0.008748993,-0.00055709924,0.12401998,0.0028460904,0.0016009884,-0.0056320895,-0.0016363375
NDUFS5,-0.018255958,0.04679331,0.23757604,-0.18315487,0.0009708618,-0.054335702,-0.001204414,0.37322444,-0.008261075,-0.0035047326,0.008587938,0.00040910084
PABPC4,-0.02650713,-0.33290428,0.95055896,-0.07613014,-0.034140125,-0.37102586,0.016270759,0.875492,-0.019150294,-0.035039715,0.041537672,0.0047166906
PPIE,0.0018898607,0.058598362,-0.22131097,-0.06267908,-0.035685837,0.0019456855,-0.0032243556,-1.0967746,-0.00555472,0.0097579295,0.0053637023,-0.003780007
CAP1,-0.016594242,-0.0060153455,-0.1649098,0.18050337,0.011776256,0.0080893105,-0.005799979,0.07493143,0.008065122,-0.005967702,0.0047635143,0.0023008545
SMAP2,-0.0022270158,-0.011310338,-0.42619398,0.113036186,0.022119593,-0.005365386,-0.0011481208,-0.42641348,0.0051943525,-0.00033446203,-0.002259271,-0.00027526668
SLC2A1,-0.027069552,0.09098043,-0.9096181,-0.5512223,0.027994081,0.4999805,-0.050983608,-0.36637223,-0.023961367,0.02470533,-0.29457983,-0.0032627708
EBNA1BP2,-0.16586213,0.026146932,0.36216548,0.13029303,0.0032954633,0.03628218,-0.003270864,-0.77354604,-0.004076277,-0.012563394,0.009936881,0.0021496557
TIE1,-1.6314082,-3.5172584,0.35620466,1.9024541,1.0043396,-1.4867536,-0.2602992,0.48202804,1.0106436,-2.4365792,-0.059152313,0.2717885
SZT2,0.015062596,0.045927413,-0.6732854,-0.5095282,-0.0009293808,-0.07472546,-0.00024622437,-0.6319756,-0.0010983908,-0.0036383895,-0.00074665423,0.0003258956
PTPRF,-0.0788596,-0.8490157,1.5625778,0.08130869,-0.060473807,-1.2862151,-0.07819631,1.8810793,-0.0008648551,-0.30834708,-0.057964586,-0.07846547
DMAP1,0.0019288252,0.046345606,0.025974205,-1.7534875,-0.015461421,0.00031563497,-0.0015286104,0.5086758,-0.0032704712,0.0038683994,-0.0016213589,-0.0029705798
PLK3,-0.010792647,0.00094855414,0.49638873,-0.06944064,-0.0062622027,-0.003729934,-0.002537053,0.44930133,-0.0061166333,-0.0016908727,-3.0509627e-05,0.00023540994
HECTD3,-0.09116133,-0.095501274,-0.2638599,0.7940688,0.049805053,-0.14953062,-0.004001734,0.43460625,0.01966922,-0.025205314,0.028585246,-0.0023070015
UROD,-0.032066092,-0.07047489,0.08627494,0.81761116,-0.014770192,-0.09828798,0.001917132,0.5447897,0.0010637989,-0.034320433,0.059820388,0.0033222875
AKR1A1,-0.37985367,-0.3322341,0.08542393,0.8215544,0.1491878,0.045692477,-0.0005826889,-0.7759842,0.08603303,-0.07007198,0.07022751,0.0126369465
ATPAF1,0.03594747,0.049851004,-0.6449783,-0.6881875,-0.06375072,-0.07965947,0.0072661736,-0.46966088,-0.015155057,0.01210732,-0.013058919,-0.0052204113
OSBPL9,-0.0065527796,-0.2138817,0.14388621,0.06669713,0.004896442,0.010029222,0.0010654832,-0.038419493,0.0076211016,-0.0026442185,0.0008527613,-0.0015739419
CC2D1B,0.051845472,0.023841094,-0.88044757,-1.1165283,-0.08178063,-0.09701103,-0.00022030252,-0.32091314,0.0046345936,0.004644556,0.014803388,-0.0037480735
TUT4,0.060056895,-0.03972562,-1.0104074,-0.007643726,-0.003490643,8.1306745e-05,-0.00042631378,-0.877808,-0.0025327974,-0.0033410517,0.02068285,0.0011868075
GPX7,0.016474366,0.025364513,-0.9760275,-0.9941967,-0.016441762,0.031233253,-0.0022489985,-1.725064,-0.45608255,0.0019886703,-0.0052499846,0.0011656301
ECHDC2,0.13992435,0.2672578,0.5935034,-1.9420694,-0.07175787,-0.41227463,-0.010044832,0.4851524,-0.08549841,0.018033411,-0.1634104,-0.030988228
USP24,-0.01640642,0.024386505,-0.55986124,-0.55733436,0.0033455559,0.02761714,0.0044867597,0.0644676,0.003914734,-0.003098163,-0.0042856336,-0.00037563388
PLPP3,-0.2822567,-2.805799,1.855476,-0.44894993,-0.20387924,0.10859458,-0.0022718918,1.496503,-1.0571887,-0.44926232,-0.16712123,-0.1948007
USP1,0.007771783,0.04351312,-1.0861183,0.14569208,-0.023385936,0.0051271506,0.0010792965,-1.117625,0.020711785,0.0036628507,-0.0025099996,-0.0063409465
ATG4C,-0.0015230714,-0.20655939,0.6030737,-0.04623028,0.014664195,-0.0025161607,-0.0010232317,0.3187041,0.0037319888,-0.006594662,-0.0087584285,-0.0009824452
JAK1,-0.01882628,-0.046715774,0.12147643,0.4726143,0.012496263,0.00023494374,-0.010038379,0.5108717,0.007819327,-0.0070649274,0.00012814369,0.0010697736
SERBP1,-0.01997877,0.038664773,0.18674007,-0.17927316,0.008055866,0.014239824,-0.0056384923,-0.8148986,-0.00015878354,-0.0054475353,0.0025050617,-0.00076325005
SRSF11,0.01351174,-0.047655705,-0.3049553,-0.09234978,0.013267071,0.023940222,-0.0042221057,-0.62070894,-0.0012168023,7.023709e-05,8.80736e-05,-0.0018641695
ZRANB2,0.008097205,-0.004475476,-0.2666942,-0.2860134,0.0066617285,-0.014602233,0.0056911632,-0.98362386,-0.025587155,0.0009324814,-0.007543148,0.0002574706
CRYZ,0.005870962,0.030120518,-0.29090136,-0.37475786,0.000937256,0.00986914,0.0010763368,-0.94041705,0.001704226,-0.0019994855,0.002948883,-0.00027433282
RABGGTB,0.014096755,0.17945677,-0.2360408,-1.0317824,-0.06788543,0.05816998,-0.0018393699,-0.5230354,-0.010619215,0.012610966,-0.015066041,-0.0037555809
AC118549.1,-0.008897257,-0.016796436,-0.14082293,-0.49308506,0.0029187233,0.002561045,0.003447639,-0.10659291,0.0018914575,-0.0053063147,-0.0076666684,0.0012232694
FUBP1,0.007592109,0.0031027808,-0.6885132,-0.038280487,-0.0022817485,0.023904787,-0.0052313106,-1.2505305,-0.0038011435,0.020779198,-0.04531137,-0.0023199278
PRKACB,0.015253561,0.12062383,-0.9475483,-0.32394218,-0.023225872,0.013467055,0.0010040073,-2.4253228,-0.01595027,0.00895924,0.0031036527,-0.005258585
SELENOF,0.0003037363,-0.07080023,0.15597932,0.5129714,-0.0011245484,0.019151539,-0.007314754,-0.77335197,-0.010384232,-0.0019137745,-0.05688369,0.0049709566
HS2ST1,0.011251057,-0.10287103,-0.4983905,0.5976766,-0.016650738,0.09550958,-0.0044432823,-1.6258982,0.03164767,-0.0032523293,0.015044844,-0.0042172177
PKN2,0.0029114117,-0.023934389,0.108963914,-0.028731903,-0.0036289147,-0.014895326,-0.0011225439,-0.14793007,0.0006313933,0.0048962454,-0.0009343903,-0.0002925637
GTF2B,-0.011489354,-0.026826093,-0.055544123,0.0879377,0.015340877,0.0050147376,0.0009850503,-0.1590671,0.0036667096,-0.005683015,0.0018538737,0.0008879022
GBP2,0.1956994,0.5019018,-0.37984028,-1.3367635,-0.93358463,-0.6605805,-0.018168816,-1.7744504,-0.2967814,0.11121002,-0.03669391,-0.05199811
LRRC8C,0.005648463,0.21337439,-1.0027547,-0.44307408,-0.0011079984,-0.3475058,0.002168358,-0.15785408,-0.0019793857,-0.0064507714,-0.007278142,-0.0033608372
LRRC8D,0.026109805,0.115586385,-0.7058907,-0.50478035,-0.036065713,-0.0009838084,-0.021152884,0.16575739,0.001957678,0.009729916,-0.20833303,-0.004801869
GFI1,0.47800526,0.4040458,-2.269751,-2.4281483,-0.35288197,-0.8503372,0.03638325,-1.3051541,-0.57421315,0.20807704,-0.42620972,-0.03843707
MTF2,0.012157095,0.023700763,-1.1579851,-0.19824888,-0.05531586,0.13341154,-0.0026317688,-0.6680344,-0.008201118,0.0005116105,0.024122614,-0.0146886
DNTTIP2,-0.025372598,0.07894588,0.2866601,0.017508784,-0.0026957383,0.08257955,-0.021716097,-0.006262035,-0.008777986,0.007182302,-0.011448027,-0.0022873906
F3,1.2804074,-2.1584845,1.251362,-1.3970937,-1.8936472,-0.1628377,-0.20810519,1.2811432,-0.40963715,-0.46097064,-0.9168415,-0.5032805
TRMT13,0.0006675826,-0.0008276794,-1.3159543,-0.46690342,-0.00073298946,-0.02590263,0.0019800828,-2.2646,-0.033488154,0.0015943099,0.0017974332,0.0044362587
RTCA,0.00057591405,0.13011496,-0.980327,0.0811702,-0.05193356,-0.08396537,0.00066744117,-0.9303493,0.0056019397,0.005231962,-0.0040448536,0.0060430476
VCAM1,-0.20279947,-0.61062,0.54493827,0.7007783,0.035904694,0.5465602,-0.02581034,-0.026248459,0.7050065,-0.2163533,0.0040501696,-0.008271433
S1PR1,-1.2258259,0.3553535,0.43368256,1.1820767,0.35475063,-0.15153852,-0.6390372,-0.35665607,-0.01828005,-0.19083133,-0.02558759,-0.0061731273
PRMT6,-0.0042143846,0.054411314,-1.0415156,-0.9843523,0.017029988,0.06447824,-0.003719139,-0.31845564,-0.021405935,-0.002373823,-0.006883017,-0.0043208143
PRPF38B,0.041017607,0.05902244,-0.5990117,-0.21241179,-0.10943732,-0.16044196,0.002085669,-2.0804176,0.0029627825,0.019567551,0.003441153,-0.0034305356
PSMA5,-0.0050878953,0.17957579,0.090075456,0.060305458,-0.0017085932,0.011360844,-0.0051556146,-1.0650349,-0.047308628,0.0018169261,-0.0056205443,-0.00501856
AMPD2,-0.0046612644,0.029834293,-0.05681623,-0.10257249,0.004246409,0.00845249,-0.002329748,-1.0577255,0.0017027217,0.001197713,-0.0010359318,-0.0009864093
RBM15,0.0037773745,-0.067812935,-0.8499289,0.03453436,-0.01720758,0.029111376,0.002526137,-1.9257559,-0.0054902174,0.00043409842,-0.005205488,0.0028707264
KCNA3,0.003364128,-0.17140692,-1.6347082,-0.8472637,0.012961076,-0.26907238,0.066341504,-0.75471205,-0.017673073,-0.025520623,-0.004117721,0.009815329
CD53,-0.03216664,-0.11663522,-1.2900497,0.34566036,0.01754459,0.2588009,0.001773146,-1.273627,0.01131691,-0.017724533,0.0172979,0.00500765
DRAM2,-0.0060867397,-0.5911162,-0.16311702,-1.7087842,0.013546115,0.29499853,0.012628951,0.30231944,-0.022153322,-0.018964443,-0.06434884,0.0044937404
CEPT1,-0.013583653,-0.47581878,-0.28920317,-0.3691462,0.01241457,0.32923207,0.002674072,-0.6674218,-0.012748931,-0.0227095,-0.016204786,-0.0008661928
DENND2D,0.054141644,0.6360517,-1.4649652,-0.97773534,-0.1559935,-0.039410327,-0.007577529,-0.822486,-0.0006517181,0.23883004,-0.13581648,-0.06340765
WDR77,-0.008546921,0.030480051,-0.9196258,-0.18024884,-0.017258698,0.04294667,0.0024330772,-1.7297117,0.013457635,-0.004955944,0.009481883,0.00030021125
RAP1A,-0.022991765,0.012840832,0.104621686,0.38391322,-0.0027343603,-0.0147502115,-7.966483e-05,0.24738175,-0.00028781293,-0.005513372,0.0044411803,0.00045387796
LRIG2,0.031014586,0.042240772,-1.520696,-0.32902348,-0.036823142,-0.10979325,0.009584406,-2.3553634,-0.094523974,0.029503679,-0.00059623586,-0.0016601898
RSBN1,0.023431648,0.15503877,-1.4017086,-1.1092191,-0.054407176,-0.018578319,0.008078317,-0.5779473,-0.013000858,0.0011477553,-0.010025977,-0.009819528
TRIM33,0.0019448495,0.11504572,-0.96166337,-0.08770006,-0.024374185,0.015344521,-0.0025377087,-0.73082995,0.005883247,0.004374626,-0.0045032687,-0.004325994
NRAS,-0.015007434,-0.11662093,-0.8101362,0.02821719,0.004012485,0.06271046,0.0015852477,-0.32152948,0.008278331,0.000114485854,-0.022858499,0.0030430383
CD2,0.12997507,0.9117782,-1.3755043,-1.1501825,-1.1989609,-0.01284258,0.0065202946,-1.4431889,0.0090552615,0.26595065,-0.09570836,-0.062143907
TENT5C,-0.1919106,-2.2254486,0.39517668,-0.085746944,-0.18974851,-0.44808745,0.8031969,-1.1778917,-0.3695194,-2.8298466,1.1625324,0.1528602
PHGDH,0.07062899,-0.26583433,1.0617915,-1.440007,-0.52412957,-0.044825383,-0.00015810496,0.21495481,-0.7671132,0.042550735,-0.018695096,-0.022131154
SF3B4,-0.018908922,0.030572958,0.039724246,0.29494232,-0.014981337,0.04627073,-0.0042538773,-1.7558677,0.0043646633,0.00023867004,-0.0013694826,-0.00019670374
ANP32E,-0.0069270576,-0.001987409,-0.2904508,-0.02626136,0.00083294034,0.020061482,-0.0040217564,-0.98669076,-0.010314788,0.004260642,0.0042889277,-0.001807977
PRPF3,-0.018901689,-0.093451634,-0.6813486,-0.10375592,0.21366213,-0.42179754,0.041715126,-1.1159272,0.05857877,-0.041624304,0.020977497,0.008281246
GOLPH3L,-0.016852828,0.00066577434,0.012136017,0.5114257,-0.00076051144,0.013425515,-0.0021764336,0.6170674,-0.0057514766,-0.005212239,-0.0035670977,0.00044312072
CTSS,-0.19195403,-0.5669954,0.042668868,0.44977325,0.095751725,0.22120345,0.0017950893,-0.54986197,-0.0057348367,-0.1166955,0.042914573,0.015372701
CTSK,-1.2168922,0.6280632,1.7958089,-1.5803952,-0.1311868,0.3188562,-0.074940465,0.5362462,-0.45503768,-0.09212405,-0.89862883,-0.109726325
CDC42SE1,-0.0025671774,0.02515284,-0.16161412,0.10858554,0.008862462,-0.19407383,-0.00023471299,-0.38515326,0.010138604,0.0060840375,-0.005471664,-0.00012587127
