,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 6
HARS,0.008156918,0.11146616,-0.7993933,-0.568534,-0.02518544,0.010613567,-0.001108964,-1.1419199,-0.00031820755,0.0028164093,0.0026388518,-0.00034322694
ZMAT2,-0.0045994218,-0.022076672,0.1417448,0.047274873,0.007851525,-0.0048139235,-0.0004605149,-0.063340686,-0.002430823,-0.0006533165,-0.0028368614,-0.0006606371
DIAPH1,-0.18885486,0.23348536,-1.112228,-0.61033434,0.054957353,0.038416635,0.0019298154,-2.6771467,-0.0054893834,-0.012501556,-0.004456116,0.0040184027
HDAC3,0.0042602783,-0.024956422,-0.70693505,-0.1213119,-0.004401919,0.070550576,0.0008353958,-0.011142118,-0.0037680245,0.0004123547,0.005604444,-6.040919e-05
FCHSD1,0.025449166,0.07241411,-1.0834376,-0.7528065,-0.19667888,0.21641253,-0.0032382018,-2.1309507,-0.03772596,0.031194422,-0.029448884,-0.0031897384
ARHGAP26,-0.062240634,0.019270338,0.9477468,0.22224855,-0.010995363,0.23906834,-0.08739756,0.67043227,0.03605987,-0.037258763,-0.06017304,-0.0011326475
TCERG1,0.012871168,0.0011980818,-0.58801055,-0.0037921635,-0.015675629,-0.09496321,0.0047364994,-1.270137,-0.0044897343,-0.0021772925,0.008551149,-0.0022366068
DPYSL3,0.0018979795,-0.047041744,1.2665477,-0.784409,-0.090413876,0.010267415,-0.009447454,0.019961579,-0.021101741,-0.010808988,0.038639296,-0.0045753876
TCOF1,-0.0037181794,0.051607832,-1.6877522,-0.033773802,-0.013504999,0.05738165,0.0003454801,-1.4276403,-0.0036803782,0.00075771695,-0.021468263,-0.0031100241
CD74,-0.12704548,-1.0462818,0.20986474,0.659194,-0.012378714,-0.222768,0.070007704,-0.3975587,0.22136597,-0.96392035,0.41598698,0.038103804
GPX3,-0.31167215,-3.5787034,1.4691331,0.5584156,-0.23102169,-2.9386885,-0.14816529,1.7304789,-0.11828063,-4.350783,0.17958571,-0.5858345
ANXA6,0.018288922,-0.008023779,0.11106017,-1.148794,-0.013220548,-0.10144705,0.004774307,0.3032674,-0.025124824,0.0074247923,-0.033804484,-0.0038225004
CCDC69,-0.012509549,-0.0044713207,0.83316374,-0.13810304,-0.019791668,0.024304615,0.00022334818,1.1129403,-0.029126443,-0.016816234,-0.006665555,7.361453e-05
GM2A,-0.5650782,-1.6283214,-0.10735851,0.33917472,0.12574255,0.9587181,0.0043743034,0.07039694,0.020928835,-0.07968499,0.08315018,-0.0011877074
ATOX1,-0.06323249,-0.06441622,-0.17564783,0.68834615,0.004628543,0.034720853,-0.0003213153,-0.08816635,0.023948265,-0.018115135,0.015484006,0.002624956
TIMD4,-0.4296442,-1.1750653,-2.917394,1.1639156,0.61842227,-1.4538538,0.057955157,-2.2789745,0.66068226,-0.45397353,0.13159318,0.30554733
ITK,0.24869326,0.83334804,-2.0369565,-2.1976335,0.0149767315,-0.57849616,-0.00042527722,-2.2208765,-0.23918352,0.5699601,-0.40076622,-0.04646507
CYFIP2,0.049471546,0.27750492,-1.892988,-1.9593587,-0.068021856,0.17982161,-0.0070854616,-1.3377335,-0.0609939,0.05132447,-0.1296555,-0.025681248
ADAM19,-0.020030107,-0.22054593,-0.6814632,-0.1940205,0.028171485,0.41185918,0.0020125739,-0.8033426,0.009701864,-0.015464318,0.010249307,-0.00074117683
CLINT1,-0.0032380833,-0.05496394,0.077233344,0.12824476,-0.006485645,-0.037669204,-7.017038e-05,-0.21933955,-0.0015705506,7.32894e-05,0.0009307085,0.0014434627
EBF1,-0.062396545,-3.260116,1.5768952,-0.45604053,-0.84831196,-0.057508536,0.025226736,1.4633641,-0.7594137,-0.46954268,0.01193045,-0.067995325
UBLCP1,-0.018133048,-0.004316232,0.16667417,0.18682641,-0.011135169,0.011818017,-0.0009142046,-0.0064528827,0.0051419022,0.0030509795,-0.0016451877,0.00014746515
TTC1,-0.0057960954,0.014560735,-0.07822206,-0.14881605,0.0009880426,0.015870826,-0.0011490782,-0.15675579,-0.0008463163,-0.00092253636,-0.0029195198,-0.0024864622
SLU7,0.0009902302,-0.006669566,-0.23218605,0.044797797,-0.003278458,-0.001793348,-0.00046287492,-0.29006004,0.006544574,0.0010078715,0.0016359768,-0.00042171543
DOCK2,0.06871504,-0.08610964,-1.0041728,-0.2910066,-0.06987091,0.100884035,0.015725652,-0.6608457,-0.26642147,0.011359984,0.0031185555,0.0007952987
LCP2,-0.02056453,0.1907761,-1.3659713,-0.4169892,-0.17828344,-0.17839105,0.019016203,-1.1133697,-0.002537958,0.017300282,-0.0063615344,0.009744595
STK10,0.03690571,0.04765086,-1.1319083,-0.62655896,-0.043679107,-0.05845965,0.003335884,-0.6444756,-0.15577002,0.027934866,-0.011501162,-0.0045503257
ERGIC1,-0.00942868,-0.2430815,0.40513536,-0.039081816,0.009145686,-0.043406162,0.0014404207,0.1753666,-0.004704536,-0.012163988,0.009370258,0.0012417617
SFXN1,-0.026797963,0.23107876,-1.1020422,-0.57587194,0.013847141,0.09800088,-0.0010829838,-2.1203163,-0.01920607,0.005752843,-0.010824193,-0.0032747556
KIAA1191,0.003282724,-0.007198261,0.20251277,-0.10545986,-0.0070553673,0.00537276,0.0010848859,0.008350712,-0.00033757882,0.00076129835,-0.0023510053,-0.00010420607
ARL10,0.024056723,0.0040371446,-0.67017215,-0.2978121,-0.00454072,-0.0015387502,-0.0021291426,-0.5347943,-0.021936482,0.0015711266,-0.004112777,-0.0023264247
FAF2,0.0046926914,-0.09449288,-0.31312698,0.16948296,0.0061940644,-0.047349114,-0.0002088277,-1.137994,0.004120887,-0.0029478495,0.00088344683,-0.00013480696
RNF44,0.014409381,0.058232635,-1.32622,-0.21052136,-0.01367584,-0.02636534,0.004107156,-0.81328017,-0.5838383,0.004484253,-0.012480253,0.00085128564
RGS14,0.0846585,0.37284783,-1.7652894,-1.117116,-0.06854475,-0.45356804,0.020148184,-1.8088123,-0.25135064,0.08445881,0.0258062,-0.01644834
GRK6,0.0145733245,0.162553,-0.53738326,-0.9251045,0.020554561,-0.030048646,-0.007233257,-1.5358158,-0.009814149,0.010973154,-0.34304705,-0.0016063348
TMED9,-0.6391189,-0.9392538,-0.24292347,0.43923897,0.32701907,-0.23168455,0.07217504,-1.0910591,0.009235293,-0.32612088,-0.008873586,0.09406036
B4GALT7,-0.0025983108,0.025724307,-0.60593486,-0.015733523,-0.003211056,-0.11206168,0.0008627194,0.2739213,0.008723062,0.0031153378,-5.2355346e-05,-1.7984275e-05
RMND5B,0.007751327,0.03257936,-0.13296199,-0.1063322,-0.0036724475,-0.07590967,-0.006047038,-0.56813806,-0.0007968359,0.00014699757,-0.006066579,0.0018140315
PHYKPL,0.006751278,-0.0131001845,0.26887417,0.3257459,-0.0014625313,-0.07744285,-0.006941723,0.11885999,-0.008686505,-0.0029783784,0.0008272138,-0.0021831316
CLK4,0.0181749,-0.06629389,-0.10231428,-0.20519526,0.0052222395,-0.10910366,0.00041948713,0.27038038,-0.020220648,-0.0011745935,-0.002583233,-0.0010691502
MAML1,0.032380477,-0.22549728,-0.112624764,-0.14672433,-0.012367791,-0.08238621,0.005480587,-1.068835,-0.022809794,0.013304578,0.00012505369,-0.004335089
MRNIP,0.02469721,0.035842817,-0.36958945,-0.9399966,-0.16216527,0.08311169,0.011475084,-1.133553,-0.08145529,0.026221596,-0.0062461398,-0.013162361
FLT4,-1.0941497,-4.1096344,-0.38227105,1.954898,0.83057773,-1.2740606,-0.019488987,-1.0824924,-0.2103035,-1.7652068,1.4642851,0.1743451
IRF4,-0.26033854,-1.0996077,-0.63320965,0.29161164,0.034683745,-0.24914564,0.22691327,-1.1385261,-0.6971413,-0.6130626,0.11498832,0.22125638
EXOC2,-0.0021839389,0.033734012,-0.79577863,-0.89502627,0.023044927,-0.20036861,0.0040100943,-0.5153084,0.004125222,-0.0012765257,-0.020612584,0.0013518835
GMDS,-0.06140993,-0.11978012,-0.82580084,0.40141502,0.016964255,0.060540147,-0.0005085429,-0.99994904,0.010703402,-0.0080472985,-0.0030527038,0.004758917
PRPF4B,-0.0059610954,-0.01401432,-0.5192574,0.051264204,0.014594584,0.032218404,-0.0021365583,-0.3329557,-0.00010379753,-0.0018948447,0.00018286955,-0.00083594763
DSP,-2.6086946,-2.26049,-1.1444105,1.6505673,0.89597714,0.5467272,-0.07540893,-0.59311044,1.3076315,-2.941608,0.24517582,-0.01560225
BLOC1S5,-0.020784257,-0.025561243,-0.72775704,-0.47404835,0.012873413,0.01659203,0.0051538,-0.5006035,-0.008693586,-0.004145005,0.009482106,0.0046624723
PHACTR1,0.022838047,-1.264957,-1.2115343,0.026641583,0.04322263,1.0266503,-0.009422651,-0.34370336,-0.018276064,-0.07906626,0.05279292,-0.0059117414
GFOD1,0.2663747,-0.008678613,0.26657814,-1.3412232,-0.20825589,-0.07445904,-0.0032246793,0.027116913,-0.029258357,0.011614813,-0.037059255,-0.016890889
CD83,-0.49616086,0.5846779,-0.6621269,0.48490128,-0.0853926,1.172155,-0.110471584,-0.3137041,-0.10413022,0.03007342,-0.012229215,-0.01461059
JARID2,-5.1599738e-05,0.030610373,-0.09623211,-0.27245244,-0.009736188,-0.007946117,0.0018106577,-0.1588432,-0.0038092625,0.0002604599,-0.012528113,-0.0009248497
NUP153,-0.012223692,-0.02283517,-0.30600548,-0.30551255,0.0013735266,0.014861458,0.0025153926,-0.56773204,-0.0036919755,0.0011543741,0.011535786,-0.0027673403
DEK,-0.028272722,-0.009381083,0.13673219,0.44326705,0.013283078,0.021331638,-0.0064609475,-0.21099366,0.0059144124,-0.00585612,0.036736645,-0.002217069
ID4,0.06177681,0.19655612,1.1952393,-1.5876255,-0.04796273,-2.3914104,-0.039039735,-0.20591031,-0.086019196,-0.03433923,-0.028196407,-0.0350784
CDKAL1,-6.646209e-05,0.0023348602,-0.15453325,-0.023296127,0.006836068,-0.009524424,-0.00039064183,-0.5219391,-0.0017996749,-0.0006338998,0.0012652483,-0.0007880558
ALDH5A1,-0.0016495772,0.08181737,-1.0376226,-1.1087549,-0.03728474,0.2515992,-0.0023631016,-0.30933642,-0.04360652,0.003978943,-0.0055567655,-0.0012800057
RIPOR2,0.041305073,0.27116865,-2.287959,-0.15488756,0.0192476,-0.03839512,-0.032886006,-2.2189417,0.012082839,0.027922172,-0.07228716,-0.010349138
CARMIL1,-1.5823909,-0.61122596,-1.2405107,1.4300058,1.0174596,-0.35834616,-0.0035447967,-1.2269826,0.27485886,-0.4922583,0.13169132,0.0930122
TRIM38,0.0069930013,-0.3246888,-1.0084078,0.10456338,0.038469385,-0.044578623,-0.0017088064,-0.9892914,0.022593383,-0.022263126,0.0024094945,0.006544405
HIST1H1C,-0.033864792,-0.67423964,-0.31058273,0.65653014,0.13777845,-0.26256397,0.08577554,-0.46969673,-0.008933079,-0.44808614,0.7101843,0.037452184
HIST1H4C,-0.13409242,0.03625842,-1.3423665,-1.1130457,0.041143823,0.52115595,-0.0045628403,-1.0561877,0.020700648,0.0055110804,0.009158854,-0.0054421257
HIST1H1E,-0.0579135,-0.8209895,-0.8450744,0.58763134,0.09226891,-0.12697615,0.022719536,-0.80166405,0.0664421,-0.45761564,0.24454567,0.058603894
HIST1H2BG,-0.03490911,-1.0755364,-1.9752884,-0.40783164,0.026704365,-0.57037205,0.42871562,-2.077575,-0.43828738,-0.08673439,0.2124402,0.049696565
HIST1H2AE,-0.052991748,0.1164467,-1.2962705,-0.55579746,-0.040544022,0.23068535,0.0071047256,-0.8242727,-0.0043590073,-0.011417082,-0.0034759217,0.0020418512
HIST1H1D,0.008289428,-0.061476298,-1.790825,-0.1963266,0.0022657001,-0.123441994,0.023330273,-1.662033,0.005494275,-0.036865287,0.117714606,0.006898549
BTN3A2,0.052703667,0.092905976,-0.6886965,-0.6072881,-0.026842775,-0.17573266,0.009749054,-0.46590376,-0.019404106,0.0043890774,-0.026523083,-0.0013427349
BTN2A2,-0.019382846,-0.39331254,-0.5827756,0.10282947,-0.00197153,0.11504642,0.0042903605,-2.196201,0.002033576,-0.018269721,0.0553847,0.001044556
BTN3A1,0.020879418,-0.0569394,-1.5605012,-0.46185946,0.015673537,-0.5013952,0.013553618,-1.4788629,-0.027953455,0.007473421,0.006341273,0.013235517
HMGN4,-0.00524202,-0.04024562,-0.24777606,-0.20274618,-0.002089206,-0.017949423,0.0042955764,-2.1508293,-0.0017629924,-0.0014331604,-0.0025204918,0.0014531368
ABT1,-0.013661401,0.062598474,-0.27371484,-0.2149965,-0.011501812,0.031948365,-0.00025611607,0.3149092,-0.008425414,0.002133627,0.007561605,-0.0027505814
HIST1H4J,0.02731784,-0.055277143,-2.0153062,-1.2176465,-0.0028152775,0.6488003,-0.016615547,-2.060519,0.0074183466,0.007833642,-0.056926966,-0.0034164614
HIST1H1B,-0.27587694,0.4390089,-2.5699213,-0.23906864,0.1867679,0.6485287,-0.046302464,-1.4618845,0.08719069,0.03416209,-0.00086671644,-0.00253487
UBD,-2.7659402,-1.0255481,0.25489157,1.3132926,0.6130599,0.7848933,-0.09291628,-0.67915463,0.27540112,-0.37191707,0.025988253,0.023055673
TRIM26,-0.042081922,-0.09090981,-0.2879845,0.40623692,0.009079135,0.31166843,-0.0032335552,-0.67973053,-0.007624141,-0.0052182553,-0.0033786504,-0.0007976608
PPP1R18,-0.053539198,-0.10794717,0.13093872,0.41910994,0.066918164,0.0076181726,-0.0030775173,-0.38670042,0.056393765,-0.04208964,0.0071299477,0.007863306
TUBB,-0.7764044,-0.35920262,-0.14787626,0.72964936,0.2057182,0.13177688,-0.032123882,-0.85749567,0.030161481,-0.11423896,-0.021644277,0.026833812
VARS2,-0.0030465901,-0.26039463,-1.921831,0.11403608,0.021181397,-0.049607445,0.0026583876,-0.5722979,0.0066754273,-0.005376105,0.0055404147,-0.0013128722
DDX39B,0.03458907,0.05288724,0.31902292,-0.945791,-0.00790571,-0.053764716,-0.003762439,0.55680704,-0.037994653,-0.002525287,-0.01947582,-0.0037916405
LTB,0.043690547,-0.07230969,-1.8680186,-0.116447136,0.016765794,-0.04241381,0.004252801,-1.2999734,0.07664619,0.0054394454,-0.0054673795,0.0036602337
LST1,-0.009014127,-0.22762464,-0.2035791,0.01934147,0.02345227,-0.37727088,0.0030120253,-1.7134633,-0.011484586,0.0009955869,0.011741536,-0.00061719853
PRRC2A,-0.017913494,0.042386018,0.053023405,0.12144887,-0.00577549,0.019565763,-0.0003580601,-0.22144087,-0.006503383,-0.0070050545,-0.0034578105,0.00018811133
CSNK2B,-0.005179265,0.0030259434,0.21716328,-0.013302668,-0.004497643,0.03849512,-0.0012294633,0.22537822,0.00339764,-0.0032405062,0.005047297,-0.0006962007
CLIC1,-0.09204218,-0.08786799,0.51783913,0.77680665,0.01223156,0.081434876,-0.013909197,0.049835842,-0.005939484,-0.026902204,0.004836704,0.014054583
VARS,-0.020879403,0.040552177,-0.23822165,0.03992744,-0.0016326479,0.06622757,-0.00015984375,-0.013393904,0.009144488,-0.0053579705,-0.093899146,0.00055765844
LSM2,-0.0061655003,-0.04947625,-2.1117377,0.45855203,0.02848808,0.047806013,-0.0018179273,-1.1599358,0.009467149,-0.011736788,0.03449186,-0.0063421642
EHMT2,0.0383323,-0.044174712,-0.7749028,-0.123042785,-0.009756309,-0.052599553,0.00022251265,-1.0382023,-0.010246389,0.004368905,-0.00872409,-0.0013116811
ATF6B,-0.008235236,-0.009802552,-0.7761607,0.18204997,0.0067934245,0.0010081423,-0.0029377548,-0.3150746,-0.00048747787,0.010352939,-0.0013707333,-0.001906162
AGER,0.09294786,0.13405329,-1.1129287,-0.8100779,-0.021160554,-0.09742469,0.009937425,-0.57372946,-0.06840818,0.04196654,-0.06122369,-0.00882763
GPSM3,0.015396014,0.03698597,-1.0733624,-0.3052417,-0.007738731,0.008764718,0.0008843597,-1.2249556,-0.0020503227,0.02351202,-0.08710495,-0.00020493334
TAP2,-0.007766366,0.0008548349,-1.0077176,0.05975029,0.01592874,0.07322419,-0.0010884576,-1.3033538,0.0011991165,-0.003916407,-0.0059690997,0.0030546833
PSMB8,-0.026033789,-0.02302086,-0.30252174,0.20507427,0.030343104,-0.013159213,0.0024036434,-0.753185,-0.0016485526,-0.015837379,0.12864868,0.0016703943
PSMB9,-0.042038858,-0.006566615,-0.6601714,0.100933425,0.009903915,0.05304821,0.0028266723,-0.8292707,-0.0044757244,-0.013256096,0.007598557,0.0030707684
