,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
23_16,2.0139906,0.577684,0.4974434,1.0033247,39.795303,1.6974537,1.2890176,2.5803716,20.254478,0.48847073,1.3868343,0.9975346,3.342726,4.6607556,1.6311524,2.2489777,0.36917076,3.8147864
23_17,7.3507247,2.6537986,1.8597846,2.4751463,0.8095045,1.1061223,1.3034105,2.464034,2.2171917,0.96690935,6.0464544,2.2106705,0.65385747,1.0984454,21.112398,0.8063711,4.3815165,3.1167417
23_18,16.392078,0.9087001,0.8379929,0.8174794,1.273125,0.89079976,1.1830972,9.920579,2.401565,0.99547505,2.1036496,8.498583,1.354616,0.66399485,8.001318,0.83383507,1.3758233,1.1614118
23_19,1.6045544,0.5652951,0.455226,0.7840377,0.8424669,39.870132,0.9863587,0.5804724,4.6646113,1.2423873,1.6479073,1.0057627,0.8480326,1.7254099,1.3677334,2.262395,0.34573597,0.42020422
23_2,7.9012575,1.953486,0.886528,1.691567,0.9712531,1.1644223,1.1577394,1.9176509,3.466987,0.6853877,16.877033,2.45236,0.99185,1.6262147,7.3017397,1.2580966,2.2664824,1.0743326
23_20,8.070725,0.8054428,1.0303304,0.76069534,0.96489066,1.0758165,1.1734141,9.164831,3.2998967,7.2678347,2.5659633,2.3065488,3.4960127,1.1776325,15.209988,1.1177498,2.106156,1.3391923
23_21,27.826778,1.44401,0.9722574,0.8260511,0.72082764,1.1054338,1.4408197,2.400607,2.4085958,1.4946936,2.7483206,9.5115,0.9519298,0.7367104,13.042541,0.8534197,2.2804325,1.2003679
23_22,9.040907,5.730718,1.1024578,1.5886685,0.8142275,0.950987,1.5443928,2.400649,2.0456905,1.337399,3.595469,1.4400289,0.75493467,2.6142137,10.550476,2.2574754,5.7524767,1.8407845
23_23,25.812065,0.93199307,0.8624235,0.9267473,0.8520878,1.2454898,1.6638331,3.1681433,2.5249605,1.4648253,0.79122734,13.692593,2.0350478,0.96288955,5.2009716,1.065058,0.88172734,0.7579854
23_24,2.3690476,38.108395,1.2039282,2.4050794,0.805712,1.2139356,1.8297402,0.7265144,4.377858,0.75311,13.282751,1.0454824,0.9267669,1.29451,1.905442,2.279349,2.082305,5.038412
23_25,2.9552405,4.6052866,1.1818659,23.190823,0.9102979,1.0549943,10.055542,1.0457149,4.5505385,4.0038757,4.414316,1.0239432,0.6794751,1.1960193,1.4277086,3.0881739,0.66058564,3.6686213
23_26,20.449604,0.9817047,1.331459,0.84461784,0.7286599,1.5667,1.3796159,1.7043205,2.3280146,1.7663344,1.5405546,18.182201,1.0551331,0.6840577,3.5650604,0.8422184,0.86011887,0.9902976
23_27,18.483315,0.8489475,0.9523843,0.8903626,0.7894254,0.94836974,1.3412921,13.022819,2.4408352,3.3589618,2.3834682,12.750317,1.1270456,0.6086635,10.008262,0.67240053,1.4116297,1.5371146
23_28,2.7147489,47.01339,1.2909338,2.8218708,0.8848829,1.2913358,1.8550766,0.81401515,3.9232364,0.7409199,13.863612,1.208204,0.6274443,1.317515,2.2691216,3.1748877,2.4943454,4.990246
23_29,2.3998423,12.746561,1.7901208,5.8802147,0.9643244,1.0766346,2.9384615,0.7359754,2.332985,0.7199378,7.334873,1.0005482,0.8466438,9.034105,3.2200305,7.2775207,1.1131244,1.1863925
23_3,2.572332,0.5247911,0.5271276,0.8293559,55.95642,1.0917157,1.1637871,1.170001,286.39984,0.14882697,0.7390675,0.8877853,18.773705,2.3681126,1.7738396,2.4538655,0.5329803,0.45770535
23_30,3.2612972,4.0996013,0.74825877,7.8986588,1.1938323,1.200699,1.7362707,1.9172091,2.9799957,1.0808189,13.177769,1.2905922,1.1176525,3.453824,6.0038757,2.1050346,2.0117357,1.3159647
23_31,2.6826196,1.1798799,0.6254823,0.9516375,2.6967812,1.3772476,1.5688497,22.6037,5.9398675,0.57048434,15.93145,1.5961616,20.647306,2.0387254,2.2452006,2.2957265,0.57039356,0.61534274
23_32,54.615593,1.5417533,1.0560536,0.8348508,0.724804,0.99106187,1.3268805,1.5896668,2.9201968,1.0724497,1.4387565,5.018732,0.96490526,1.1100641,20.523542,0.91738516,3.90503,2.4737349
23_33,6.289784,3.7248816,0.925618,1.4933299,0.7658685,1.2256937,1.2537663,2.2309084,2.3004699,1.1745381,5.1458974,3.6793292,0.8190807,1.2536381,22.4688,0.8398099,2.2772324,1.581531
23_34,18.07028,1.1349491,1.5267966,0.9639653,0.74337643,0.9350701,1.3619173,3.9516096,2.8500626,1.7532529,1.5324392,11.3833275,2.3005433,0.92794603,4.7871733,0.9370931,0.9203236,0.7814751
23_35,29.917128,1.9308674,1.9016366,1.5710926,0.7287872,1.4992019,1.5844393,0.9164759,3.1915188,0.8768868,7.5281944,1.9688767,0.5665481,0.7890884,5.2826347,1.4872494,3.9222724,2.144445
23_36,14.573114,1.1359766,27.287394,1.1116457,0.7821596,1.000388,1.443653,4.532049,2.9711635,2.4790943,2.1500933,5.07143,0.8276696,0.8271557,3.7079668,0.945748,5.8820443,3.051348
23_37,21.25902,0.9527475,0.801473,0.8372224,0.8090085,0.91023684,1.2570065,7.0500383,2.2438052,1.7968656,1.3334625,9.447035,1.3819396,0.6236055,14.619353,0.5811443,1.5625488,0.93596345
23_38,8.402103,0.95550585,0.5948808,1.3625605,1.0563236,1.097328,1.4190667,4.6488733,2.4603274,4.962564,6.1943283,3.5397875,1.5124944,1.2402275,32.366478,1.2977035,1.4702148,1.0417681
23_39,21.257744,2.6904411,1.3241382,1.4832172,0.815778,0.98648345,1.7592804,1.5496477,2.7961578,0.7087249,10.922495,3.465787,0.85912627,1.6242962,16.080257,1.2766403,3.238219,1.3181722
23_4,2.7982955,0.77959454,0.775891,1.2351121,4.9129252,1.5245287,4.7217207,3.8619373,6.8074703,1.273109,0.811714,1.1455427,2.789239,2.459251,4.360372,0.9450401,1.1998076,0.73197246
23_40,2.2230666,0.6003092,0.60885346,1.0952863,53.412605,0.9988594,3.2431002,0.48965943,27.066998,0.7087733,1.1092409,0.86806655,3.3144867,0.9963477,1.4367322,1.2041599,0.5707163,0.6934895
23_41,2.036782,0.6544198,0.6057924,1.0755293,48.407894,1.1085107,4.2420216,0.5971049,25.270905,0.724484,1.1386086,1.0568565,0.5760649,1.0643288,1.7172391,1.3778111,0.5922262,0.9857562
23_42,1.5035558,0.5378031,0.60150886,0.751934,0.90339017,47.12428,0.85722435,0.5450111,6.516658,0.89792013,3.2343936,0.9641639,1.3218579,1.3102766,1.3091333,1.4318035,0.32708433,0.3810925
23_43,5.2217474,1.8712761,26.082903,1.193424,0.7869638,0.9817393,1.8771005,1.2659605,3.9220452,1.9407386,1.0359641,1.7104757,1.0613496,0.7796384,2.438699,1.2215836,7.8085237,12.214975
23_44,2.0176332,0.9904598,0.75044465,2.56666,0.92137694,8.887188,1.240341,0.76989317,4.8341103,0.60963905,7.2097735,1.6029687,1.015505,58.396614,2.327218,166.78497,1.2542075,1.3196673
23_45,21.486795,1.20787,1.07605,0.7722176,0.7278838,1.124688,1.3765272,2.5836134,2.504642,1.6625463,1.6510489,11.6949215,1.4633558,0.7555208,4.3214054,0.9460039,0.931806,0.8879857
23_47,2.6921349,1.3739691,0.9529385,7.6184235,1.2626772,1.7717148,1.992624,1.3105601,2.7122064,0.6300766,15.493706,1.7973454,1.8754241,3.832948,4.2986197,2.3878202,0.521135,0.5632084
23_48,2.404383,2.0645506,2.432664,2.926169,1.0730649,1.3019202,56.91993,0.6987549,3.7087739,0.59326303,2.1055636,1.1573325,1.269789,2.2208405,1.7528244,2.3730297,8.260767,898.074
23_49,12.658737,0.6475864,1.7730284,0.5806333,0.81049466,1.2167069,1.0726646,5.342572,7.906463,10.66237,0.8931105,11.337065,0.9733451,0.6262952,12.358768,0.5979906,3.1948397,1.6814389
23_5,2.4308066,0.6885898,0.5723251,1.118926,44.816154,1.1072826,1.0526747,1.1343789,176.08621,0.20041221,0.7876853,1.25459,2.9860609,1.113277,2.2866564,1.3175199,0.49881148,0.70317405
23_50,19.813545,1.3138969,0.8118732,1.1790226,0.80591345,1.0413098,1.5948746,2.3455548,3.5418782,1.5861125,1.4369278,9.280952,0.7964009,1.0269779,43.36625,0.9686228,4.275591,1.9615448
23_51,14.456893,0.60643584,0.58652717,0.6341332,0.86943257,1.2410524,1.4089323,2.9459882,3.6090386,1.3540264,2.139005,24.506443,1.028566,0.849491,4.5332785,0.816814,0.86048526,0.76071316
23_52,1.8916789,0.59213406,0.65261483,33.14731,1.2452366,8.222623,1.1011858,0.57763195,4.2388744,0.6904375,8.254122,1.1314425,1.5319042,35.697445,2.1956043,6.5895853,0.53443265,0.48580977
23_53,1.5548915,0.5215766,0.76693183,0.5465666,0.94727445,45.974113,0.6744379,0.7533252,4.2776275,0.90370923,3.5015469,1.1080979,0.79533714,1.5281572,1.6958067,0.8105046,0.25908914,0.29592595
23_54,7.6050673,9.6852665,1.3357054,4.8277493,0.7400824,1.0697021,1.7934701,1.3029188,3.5049007,1.4670603,4.2423954,1.0040405,0.81971884,1.1519248,1.4743515,1.5374067,0.9138703,1.859286
23_55,47.023487,1.669805,1.2962041,1.1039826,0.79752636,0.9418987,1.4679792,2.0185595,3.097485,1.0682956,3.5958638,3.5087972,1.2625332,0.9033499,16.806868,1.0560857,1.9910358,1.3811067
23_56,1.912983,0.569427,0.65084934,1.9411168,0.92404413,14.603981,1.0095266,0.84826845,7.860942,0.9086916,2.8596635,1.0755428,1.1312039,85.95899,1.1676084,11.188639,0.53088635,0.883087
23_57,22.141766,1.0354154,0.96663254,0.79276085,0.79164076,0.8877274,1.4396337,5.503715,3.3352613,2.2374892,1.9804802,10.434683,1.2644879,1.0424932,8.763047,0.83216065,1.3662753,0.9434355
23_58,5.375476,2.205974,30.158638,1.0459017,0.7387731,0.94994897,1.6571441,1.22126,2.1074896,0.9995498,2.1820714,7.3690434,1.3851894,0.5548624,7.8266573,0.75928193,2.6456134,1.4125197
23_59,5.0252743,10.535001,1.5167719,1.1046271,0.8519128,1.1313637,6.3913503,8.566042,5.385317,1.1602015,1.1045032,20.479122,1.4416698,0.45232627,3.736188,0.64164644,0.7740863,0.82854825
23_6,5.894244,3.6397858,4.065835,1.0573387,0.7741491,0.84574664,2.0282316,1.8381083,3.6915865,0.74410707,9.679801,4.6153927,0.6859263,0.6774032,4.344416,0.79964674,4.9058676,3.4138374
23_60,17.214304,0.7489527,1.0054395,0.7543259,0.7426957,1.8434974,1.6676533,1.8454987,2.4982328,1.3982556,1.9465512,13.875197,1.4501019,0.6071012,3.650484,0.78695244,0.87447876,0.9331892
23_61,22.527075,0.78411096,0.7587589,0.7532165,0.9484993,1.0193245,1.506272,9.849702,4.961988,1.5398449,1.3509637,11.337038,1.1856798,0.8083263,4.9896126,0.9103855,1.155705,0.99433845
23_62,3.9137087,5.132587,1.4150953,5.672453,0.84237206,1.0529659,2.257092,1.3839984,3.9811544,0.82553864,6.9081655,1.1607218,1.0171533,1.3411537,2.6931822,1.7219243,1.5700665,3.3310533
23_64,8.420917,0.7301693,0.74055815,0.79051423,1.2434835,1.0643804,1.2354531,13.616861,2.8986254,1.1893297,1.7537297,5.1497955,3.972889,2.2077208,6.7269545,1.2670474,0.6998829,0.6381304
23_65,21.044586,0.8397932,0.80159456,0.7101995,0.92056894,1.0627329,1.3838563,4.7289963,4.0728717,1.4719672,2.1091433,8.334892,1.4897693,0.91432524,7.583269,1.0007963,1.2594733,0.8748636
23_66,11.1288185,1.205004,1.7454526,1.3786808,0.87081194,0.92351764,1.6644113,1.3907408,2.6225376,0.79362464,4.5441103,2.41025,0.9897912,1.2121419,24.935246,1.294039,7.2152624,2.4115903
23_67,5.7813487,2.729785,1.2367316,2.4412885,0.92404413,1.0283829,1.4629874,1.4163246,2.4143224,1.0153279,9.199469,1.9402579,1.1633159,1.4305054,18.900322,1.6455872,3.4958959,1.2886147
23_68,2.203846,0.75779724,0.8274361,0.9310198,56.626774,1.1551487,2.568754,0.6314522,22.172031,0.74155116,1.1973113,0.90604436,0.37960276,1.3695562,1.2195675,1.3193705,0.6360814,1.3021803
23_69,12.312223,2.881934,2.445068,1.1049682,0.7350317,0.95015377,1.2633973,1.0583665,2.4865217,0.7694078,5.0006304,4.196463,0.9739814,0.7851118,11.088123,0.91532993,2.3430154,1.7100797
23_7,2.985958,3.746911,1.0586216,11.952463,1.2201581,1.1606617,1.4390979,1.3712304,3.5465443,0.6039393,19.448017,0.9574969,0.82572013,3.1003942,4.577095,1.8362516,1.1284454,0.9603962
23_70,8.009818,0.6658391,0.878003,0.6361072,1.0055096,1.2307072,1.1451442,12.511491,7.228789,8.0961,0.85081434,5.4732227,1.6894059,0.9801289,12.567719,0.80319196,1.4786717,1.124121
23_71,2.0636597,0.78254926,0.842026,27.906982,1.2610658,3.8401349,2.017384,0.6014636,5.556277,0.55769664,7.333185,1.1692448,3.3594577,45.394806,1.5870981,87.55417,0.7623054,1.385129
23_72,3.2340276,0.60396606,0.4642316,0.8806089,4.579369,1.4110477,0.97308254,39.04825,7.240818,0.38735744,5.9986353,4.3036213,2.768091,1.2897243,3.6366453,1.0407673,0.7141726,0.87842554
23_73,6.625798,1.5856304,13.586742,1.1265709,0.6904912,0.9939551,1.9813275,1.8664525,4.096756,1.0706495,1.0430281,2.4454975,0.6606729,1.0148388,2.8967695,0.99178624,41.362667,3.246511
23_74,23.143473,0.7277918,0.87922096,0.9780517,0.8906169,0.86822414,1.5116794,10.447569,7.33554,0.7907369,2.4300117,8.906773,2.4895687,0.7044309,5.1280923,0.86516017,0.68850416,0.6177286
23_75,7.899765,0.9737878,0.68185663,0.8474771,1.0449669,0.8882842,1.2666192,44.9897,3.812068,0.77473015,5.0279584,11.369461,2.1742363,0.68738973,4.7703357,0.71063316,1.1075362,0.87399364
23_76,2.0918136,0.528326,0.98186755,0.9304377,6.8032665,1.7208445,19.645014,1.287636,27.847092,0.3553193,0.9711355,1.2010587,287.73193,1.9140428,2.8837833,2.0991998,0.82096833,1.0613381
23_77,4.2281475,0.9713002,26.120733,1.1748387,1.2669047,1.233016,2.0927181,3.612627,4.5118985,1.4162911,1.2060657,1.9293416,2.823992,1.0902935,1.8791668,1.5263692,5.720999,17.339792
23_78,2.4859045,0.8888672,0.9467218,2.5154796,1.0754578,3.6950102,1.5585587,0.8859093,3.7409687,0.57833076,14.63871,1.1155849,1.2560358,4.058948,1.2615438,2.1805313,0.30982995,0.4596129
23_79,14.154827,1.0882,4.091491,1.0645342,0.75431347,1.014421,1.5106555,3.5320487,3.0783606,1.5261425,0.8421618,4.658844,0.7329578,0.49035686,358.277,0.99185896,3.2476177,2.6281226
23_8,12.6997,0.95272535,6.051991,1.2551582,1.0141379,1.0372435,1.2068316,8.789116,3.2768192,1.4883717,2.4985824,3.7360942,0.9964145,0.58093995,6.2758665,0.64507204,2.5692458,5.9407744
23_80,1.5102458,0.5939284,0.51384455,0.7207446,0.87607896,54.939896,0.7759774,0.5455243,5.711955,1.3941664,2.4656096,0.89844203,1.0737125,0.9652418,1.1916615,1.0023979,0.3149706,0.37206385
23_81,3.0129385,0.67610013,1.1892889,1.1381238,9.17121,1.1867479,2.3243814,3.3802142,56.686394,0.20234072,1.6580999,0.66021514,7.21438,2.3251674,2.032375,2.0117009,0.7239051,8.199726
23_82,2.6701896,0.7583643,0.7783493,1.4785063,1.1969001,3.9668067,0.96784097,1.8599858,2.8210945,5.1400084,8.046902,2.2869282,2.4052088,5.6029825,24.270874,2.423669,0.93104565,0.49618495
23_83,1.9590758,0.76594,0.8228866,1.5921963,1.8892673,1.9945827,908.7848,0.72963935,7.811171,0.7134225,1.6571487,1.1348301,2.5063038,0.6335627,1.445417,0.81264454,0.6373059,2.4263203
23_84,2.8333898,70.34531,1.0333848,2.4769127,0.85797703,1.0419259,2.1945095,0.71241254,5.7152786,0.70495486,9.508192,1.192863,0.7555025,1.108387,1.798687,1.2291654,0.9876881,1.6246787
23_85,10.927244,2.3451211,3.303825,0.81884277,0.8348303,0.8514464,2.2071166,0.851653,5.8810096,1.3346374,4.3715715,3.8429723,0.6898364,1.2116085,5.2794743,1.0639069,15.771375,3.3515856
23_86,11.061449,1.4696434,2.539939,0.96496916,0.71604717,1.0283916,1.029308,3.9585686,2.366815,0.7608765,6.7529726,6.3699427,0.6919151,1.3429883,16.780586,1.5293492,1.9061618,0.7596592
23_87,21.408499,0.7993177,0.6895799,0.6493983,0.8265376,0.89677036,1.1098936,11.280931,4.859105,1.1871183,1.7033281,13.686829,1.3298247,0.557071,6.0375977,0.7260147,1.202494,0.9951651
23_9,23.24836,1.1648319,0.80993307,0.7550013,0.84539926,0.9994999,1.7871664,1.9251424,4.3433237,1.4374176,2.6733398,4.1417375,0.70376366,1.4825214,2.513501,1.3469853,0.8800863,0.90654665
24_0,12.043064,0.78043044,0.9240987,0.86610174,1.2552422,0.8560816,1.6079865,11.682793,5.5538807,0.9058741,1.1954589,17.195274,2.3484776,0.6289203,4.8144536,0.7148665,0.8762902,1.1790593
24_1,38.689877,1.2515223,1.1966634,0.8428459,0.77413356,1.0126362,1.3412223,1.4335814,2.9855332,1.2713931,3.3709207,4.4568653,0.7488048,0.8520783,39.22695,0.80730283,9.036367,1.9517276
24_10,8.41413,1.1003051,13.850815,1.0643039,0.7306291,0.9212719,1.6203651,3.532166,3.04606,1.6486886,1.2448518,5.533329,0.8376014,0.6965866,4.418742,0.9937759,7.8103642,3.0813904
24_11,1.8150798,0.6877561,1.005488,1.0387112,16.575993,1.70923,1.0312791,3.4302375,16.637222,0.38799974,2.2847168,1.3426132,28.30644,2.6065109,1.9154346,2.0374377,0.25806817,0.5709913
24_12,5.806897,7.0462666,1.2188855,4.4407897,0.6692376,1.1949334,1.5800209,0.69579524,5.756296,0.93099546,7.525688,1.0718727,0.7027769,7.4058857,3.055365,2.0842187,1.7119159,2.487378
24_13,21.157701,0.81597686,0.7667579,0.84771234,0.743389,1.0368245,1.2961781,3.230188,3.1668785,1.7403052,1.1412985,6.792143,0.6347413,0.9662832,15.202635,0.88553524,3.0337813,1.510559
24_14,3.015511,7.8433914,1.4451034,10.4816885,0.8595971,1.126786,2.7031462,0.7787019,3.0009048,0.61269474,14.015163,1.7717712,0.75445986,5.7516623,2.8886232,4.3044877,1.4537129,5.3690825
24_15,3.052606,0.7089053,0.8520341,0.7519705,0.8809713,10.359798,0.7970847,0.65243006,3.9043157,0.9799999,4.303658,2.1348765,1.0121672,2.5932677,15.434113,0.78794456,0.7877629,0.39771894
24_16,9.082441,1.3975669,12.86651,1.0271348,0.78031296,1.0031389,1.5662802,1.8420303,2.0448494,1.4473069,1.2556539,12.2742605,0.7372495,0.6918389,4.9727283,0.74799794,2.4667091,1.8909132
24_17,17.72598,0.6634431,0.6055927,0.7882371,0.86776364,1.2381911,1.1677272,8.561826,4.7443743,1.4077744,1.1799607,12.294983,1.6621487,0.7141527,8.266954,0.73536533,1.0530894,0.69109946
24_18,8.686569,0.7786826,0.73956823,0.94713354,1.884594,0.9657788,1.157723,31.150124,5.683343,0.8486351,1.3485518,4.836033,1.6189395,0.4723667,10.2352915,0.6621914,2.2058015,2.4710968
24_19,18.375978,1.0536671,6.7426786,0.9646963,0.7623608,0.87306976,1.3221424,7.69633,2.626499,2.3287947,1.3538995,6.694643,0.77293956,0.66219264,17.061323,0.80781114,3.6828558,2.8352377
24_2,4.597769,2.5070386,0.6392733,17.59494,0.838035,1.2349918,1.6187927,1.6556569,3.0774665,0.92826635,13.984073,1.3034883,0.741728,3.0420043,4.106103,4.32309,1.7204641,1.4112917
24_20,4.15762,2.7141912,1.5314689,1.8783655,1.2252111,1.3120924,1.0608579,1.2771871,2.5043259,0.686866,16.122145,2.4752436,1.4081614,0.9543816,13.7858925,1.6739867,3.5455258,1.9660404
24_21,8.381931,1.5999413,1.0719062,1.1752284,0.7724796,1.2576387,1.2772415,1.1211519,2.9475014,0.9120293,8.029992,3.6413314,0.9643239,1.1080768,44.156612,1.1622212,1.9915575,1.1474872
24_22,4.242225,11.220139,1.123179,1.9783952,0.7662091,0.92833793,2.361214,1.1242735,3.746879,0.68338454,16.601797,1.9011147,1.0477968,1.293575,3.987494,2.5386171,1.9685549,1.8262082
24_24,20.823868,1.0496551,1.100216,1.0229099,0.81403786,0.9058317,1.6793516,3.850216,3.6805222,1.9068038,0.8324934,8.405617,1.370526,0.58676773,9.492817,0.8569171,1.5122575,1.8727566
24_25,1.6099085,1.0923295,0.7099455,3.9854302,0.91771287,18.566599,1.6769812,0.68505347,6.138206,10.19433,1.8853862,1.4141108,0.9650493,15.775967,2.1482284,494.32687,0.94472784,1.4380357
24_26,3.3774319,0.79612994,18.826431,0.9585617,2.1796572,1.0139637,1.4594958,5.517405,12.625888,1.131886,0.82628834,2.1659627,4.513178,1.5101751,3.9220383,1.219269,0.8766506,2.2014878
24_27,2.7551148,0.50299484,0.5813343,0.8141258,4.3810477,2.217743,1.142338,23.827848,6.8270645,0.6935929,1.535325,2.1493347,10.626705,1.6801636,2.6000729,1.8088236,0.6013906,0.46351177
24_28,23.107767,0.8995517,0.6793642,0.869895,0.92876154,0.96030164,1.5060062,4.6402717,2.2516346,1.0733974,2.848176,11.613624,0.8491785,0.85927206,8.822249,0.87575316,2.0985243,1.2866637
24_29,25.328012,1.1288955,0.77859926,0.72741807,0.8153082,0.96459746,1.3439023,2.7689953,3.3193817,1.7082257,3.3926573,17.006367,1.5549431,0.85117406,4.448676,0.8259665,0.9119019,0.8035984
24_3,14.113569,1.1133379,1.2681623,0.89936036,1.1297504,0.90901136,1.5615823,7.926032,5.7157583,1.1644391,1.5954263,11.299549,1.500165,0.752904,5.863163,0.8413019,1.0009639,1.0085633
24_30,2.5624285,0.5919784,0.51033384,0.9599254,41.73634,1.138982,2.3555496,1.0777707,198.4416,0.25910532,0.74191666,1.2621067,0.719664,0.9047741,1.8788892,1.2637848,0.49860683,0.93064374
24_31,1.6540773,0.632477,0.5323016,1.1479673,1.0214034,14.232462,1.2409195,0.75065017,5.9780664,0.9765079,1.9352925,1.1758982,1.9175025,25.619856,1.9006469,48.053623,0.6873032,0.91142666
24_32,1.9567935,0.70940226,0.81958055,87.41732,1.762609,2.990808,1.2614919,1.7992747,5.626965,0.5926418,7.8908596,0.9853558,0.92288184,1.7940887,1.8342078,1.6649414,0.9816234,1.3804386
24_33,2.261503,0.6061741,0.9726425,0.8243845,18.749014,1.4161005,1.8406057,6.8466153,57.714157,0.24476792,0.9435597,1.1323597,171.48944,1.3813453,2.3065228,2.175015,0.51867706,0.4968785
24_34,3.6092951,1.3761588,1.385423,1.6221733,2.1157312,1.2950974,1.6856687,2.549996,3.739636,0.88647157,5.8645906,1.7474958,2.65171,3.292564,6.2016644,3.2126791,1.2479285,2.1097255
24_36,28.833706,1.6126072,1.3628211,1.3340054,0.7588525,0.96779656,1.5697348,3.5055418,2.9699283,1.0303551,4.71132,5.459154,0.99276054,0.8352111,9.663678,0.8579573,3.6671689,2.2625275
24_37,3.342343,2.4063616,0.8671924,93.72653,1.1874576,1.3023676,2.5768888,1.4184783,4.607421,12.722993,4.0985775,1.4967636,1.2528442,1.5593793,3.0637028,3.010204,1.4599937,1.8742183
24_38,2.354574,1.2928736,0.6964376,2.2151842,0.8202287,12.218424,1.282239,0.641086,4.245158,0.7820041,7.032337,1.5066715,1.7864194,3.0792208,3.0565069,3.5176568,0.41913876,0.5011892
24_40,3.202319,0.56640077,17.870323,0.631913,5.2161245,1.4229996,1.9276221,11.154838,27.408945,0.40885687,1.0255785,2.480606,2.8622239,1.0529709,3.0887187,1.2906035,1.1322314,3.086906
24_41,2.3429446,33.367035,2.7155485,2.8446012,0.82656956,1.292649,2.5068188,0.6805384,3.3595343,0.6300925,9.226304,1.141453,0.9493629,2.1628695,1.4454566,2.4111578,3.4584131,3.6401126
24_42,39.48807,1.1722662,1.08959,1.1465636,0.9064075,0.88489854,1.3562605,2.658145,3.2213936,1.0137453,6.087784,5.2153196,1.9163239,1.0202831,42.351406,1.3504674,0.8497142,0.8809506
24_43,21.83458,1.773801,1.1939597,1.1044409,0.65231574,0.8867929,2.4159489,1.1195061,3.84271,1.0582867,4.142035,2.0673482,0.62399906,0.8662114,10.662468,1.264738,5.913346,2.5480807
24_44,2.6123004,0.6607393,0.75215894,0.97060585,8.9009695,1.4930634,1.2610893,16.60212,16.835522,0.28349766,3.2289362,1.5328999,17.272549,1.4382184,2.5336926,1.6193222,0.59260726,0.6138815
24_45,22.535831,0.60292196,0.6159792,0.82954514,0.9351194,1.2809925,1.3958194,12.602309,1.8982162,1.1366235,2.4174335,12.026529,1.7603972,0.6741086,5.210346,0.74429256,1.0143502,1.1231041
24_46,8.21787,1.4291583,0.9221289,1.5083399,0.9765509,1.0595696,1.462516,5.3157697,2.1309304,1.2436577,4.927415,9.519144,1.7880486,0.6193151,4.4707747,0.72037923,1.4225918,0.9199912
24_47,8.255053,4.302483,1.0360816,1.1825058,0.8534699,1.0536156,1.1852013,5.415332,3.0815673,1.6522729,11.103968,1.9699018,0.8369198,1.1213462,10.1712675,0.95912147,19.97185,3.860338
24_48,12.981386,1.1461865,0.855915,1.0616266,0.78458595,0.983274,1.3420091,2.4418674,2.09285,1.2259682,2.9185755,4.6703563,0.8963661,0.8769802,37.34612,0.8258855,2.7301645,1.4373074
24_49,2.699686,53.948696,0.831102,1.5187974,0.9421288,5.2351356,1.2825041,0.8216624,8.0091715,0.7388918,2.4842067,1.2075863,0.908429,1.5386261,2.0306578,1.4951962,1.4780141,2.0657845
24_50,7.08117,8.101046,1.5395324,1.579457,0.79378444,0.87693536,1.9185648,1.018307,2.032027,1.3114307,3.5884428,2.4083066,0.7404562,1.0516095,5.5166197,0.912671,6.843214,3.0811813
24_51,7.192787,1.7566912,1.859256,1.1740279,0.871024,1.0274506,1.1831452,1.7259912,2.7815866,1.0080652,7.35289,1.9112813,0.763137,1.4077309,25.610325,0.8875763,6.6114707,2.4114187
24_52,1.6655777,0.5790374,0.4440465,0.8886883,0.9597797,27.434004,0.7786055,0.52746326,4.246892,0.90581167,11.867558,1.0401113,0.94379634,5.829657,2.0371222,5.259199,0.72285885,0.50634056
24_53,14.900389,0.85737467,0.8425183,0.75083935,0.89374936,0.93582475,1.2821217,10.964706,4.9494467,1.2330993,1.5948713,15.351225,1.3197614,0.6249114,7.473755,0.71336967,1.6474622,0.707694
24_54,13.80169,1.0887688,1.1230947,0.83367944,0.85027117,1.1195254,1.3122468,4.9899817,3.026052,1.7802544,1.2765049,16.592777,1.2765968,0.9359455,5.04687,0.9333338,0.91680205,0.7800892
24_55,22.119923,0.6867671,0.6653597,1.0456566,0.9070425,1.2945768,0.9998695,3.2835894,4.3234096,1.9769015,1.2535663,14.75195,1.0834272,0.90459937,25.371527,0.79828775,0.95221394,0.98431784
24_56,3.9702296,0.6616756,7.0908847,1.0625112,3.4191601,1.092696,50.435467,1.5023811,5.8062563,1.1178501,0.8966671,2.7067885,1.5254447,0.74793965,2.393989,0.6448288,1.3663152,1.3743774
24_57,8.203751,2.0416193,5.074087,0.82235086,0.63465494,0.82754695,1.0066575,3.4679093,2.7937486,2.7746456,4.5592704,3.3010378,0.58911836,0.89750206,17.668179,0.8192871,8.926229,2.8062131
24_58,2.6633599,0.454947,0.8894956,0.73737514,9.477538,1.8429481,1.2038313,5.4844193,45.566803,0.31838164,0.9735353,2.850337,6.3590527,1.0445304,7.5917897,0.6649473,0.71595883,0.5926026
