,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
Zmat5,0.13572192,-0.9834156,-0.7058248,-1.4608349,0.27672395,0.07111569,0.008134769,0.5219758,0.0955863,0.7327324,-0.022607096,-0.018996993,-0.10769487,-0.75592405,-0.90393674
Mtmr3,0.08891806,0.338208,0.45433447,-0.43230677,-0.31345764,-0.4996499,0.18748134,-0.28716958,-0.2696069,-0.80043244,-0.5401708,0.013897227,-1.5505563,0.75692934,0.3417101
Nf2,-0.29214364,0.09709328,0.3668451,0.49970528,-0.35416546,0.44314897,-1.2070147,0.0743078,-0.06544832,-0.013549894,-0.11585752,-0.0023000226,-0.44029233,0.024256231,0.09490745
Uqcr10,0.14429307,-1.0602962,-0.27338398,-0.9598711,0.69325435,0.38221866,-0.3139626,0.30435467,-0.00911271,0.7395914,-0.14672203,-0.08913422,0.07423668,-0.740835,0.017676888
Ap1b1,-0.86798894,0.50618786,-0.22484975,0.98784596,-0.35756028,0.8964858,-1.3099622,-0.20323695,-0.74681735,-0.11695916,0.65076554,-0.11603594,1.0659343,-0.6462594,0.19480541
Znrf3,-0.5428547,0.9058725,0.8197743,-0.16907676,-1.219957,-0.24587244,-0.113035366,-0.18939808,-0.675453,-0.95280534,-0.27859256,-0.037166677,0.053015243,0.6958486,0.84492296
Mrps24,0.8466113,-1.5242381,-0.0024387073,-0.9451674,-0.12375573,-0.24816903,-0.26165894,0.6785234,1.1495444,0.02183784,-0.31888777,-0.04305382,-1.2937062,-0.6698445,0.24230182
Ykt6,-0.16688144,-1.1405413,-0.14498219,-0.10978496,0.6550923,0.3002326,-0.18486969,-0.1558203,-0.046576247,0.4473603,0.2802013,-0.007890482,0.2706973,-0.3067028,-0.0019305937
Myo1g,-0.38631952,-0.8130911,-0.15445797,-0.08671628,0.23201957,1.0173594,-0.7049796,-0.11390792,-0.6394989,0.39485753,0.65045094,-0.040690422,0.66141456,-0.29312432,0.60289955
Purb,0.1628167,-0.30937916,-0.11300753,-0.2890602,-0.6111365,-0.18784286,-0.58238494,-0.114995986,0.018468712,-0.69294524,-0.53431785,0.03443266,-0.4338729,-0.10073636,-0.09866945
Tns3,-0.74163544,-0.008850456,0.3117659,0.5160029,0.111733474,0.32969674,-0.00997253,0.22294247,-0.44879967,0.8622327,0.5262067,-0.032986827,0.18029973,-0.08771422,-0.3752065
H2afv,0.40330276,-0.54165125,-0.46567956,-0.058782138,-0.10029009,-0.5534458,-0.6004511,0.18879096,0.40130445,0.13585097,-0.33767545,0.060066707,-1.1309321,-0.8572907,-1.2925104
Ccm2,-0.020751024,-0.1609901,0.3012076,0.03399018,-0.06425937,-0.120793335,0.74187523,-0.081621386,-0.010963181,0.1448948,-0.22649692,0.0004392839,-0.6280042,-0.0075525367,0.18719198
Spred2,-0.2982759,0.8785233,0.79997814,0.9106036,-1.4608432,-0.034005098,-1.1487927,-0.49753648,-0.19035332,-0.4668706,-0.12483319,-0.04570227,0.04548567,0.0104568815,1.0123298
Rab1a,0.13140656,0.4460124,-0.13598749,0.07939782,-0.42173007,-0.14487717,-1.2415668,0.11181528,0.0015237695,-0.03607782,-0.016426895,-0.0054037655,-0.53408504,-0.033346012,0.64564383
Actr2,0.19859716,-0.050260525,-0.16085601,0.05846456,-1.1645023,-0.056601398,0.41204306,-0.104555905,-0.05547939,-0.3117112,-0.03507803,0.0009996458,0.41745102,-0.042825323,-0.5823328
Vps54,-0.32556638,0.7848448,0.6028561,-0.09467441,-0.3604567,-0.36188176,-0.05418704,-0.26999643,-0.19125901,0.054910187,-0.8893015,-0.027663246,-0.2306441,0.53742933,0.48390374
Peli1,0.3089599,0.36934912,0.32673728,-0.34167817,-0.90299165,-0.33212686,-0.5328961,-0.37469545,-0.20268412,-0.33523768,-0.2910588,0.03282798,-0.8035308,0.49098015,-0.128689
B3gnt2,-0.25337788,-0.0789608,0.120965585,0.44518635,0.0055058515,0.33706754,0.5226181,-0.16001704,-0.18687177,-0.06357193,0.5186552,-0.010573715,0.8456579,-0.2041145,-0.57276917
Cct4,0.34675023,-0.51392627,-0.12409637,-1.0207642,-0.17474101,-0.06635494,-0.048951108,0.5840547,0.32679686,0.081389986,-0.5276781,-0.02447688,-0.2591886,-0.46633488,-0.2902405
Vrk2,0.030399118,0.13362972,0.5615609,0.054368235,-0.94942564,-0.22109829,-0.6263407,-0.09818396,0.008740052,-0.30605012,0.19036597,-0.004655152,-0.24075198,-0.031726364,0.35693383
Usp34,0.081091754,0.39372757,0.4050406,0.091494106,-0.61495835,-0.36807153,-0.31657362,-0.054055337,0.048075557,-0.20817025,-0.4536526,-0.014280195,-0.90821004,0.2873815,-0.13942944
Ppp4r3b,0.50330937,-0.2492265,0.08814758,-0.380279,-0.9713603,-0.81798345,0.3481518,0.007407325,0.27084845,-0.95320797,-0.72194093,0.0263795,-0.015136956,0.1025126,-0.4081714
Psme4,0.25550312,-0.30154583,0.05619659,-0.07084204,-0.4804114,-0.55010986,-0.3664281,-0.0399333,-0.0471277,-0.321105,-0.38995317,0.0037832442,-0.042891856,0.301247,-0.19912358
Nsg2,0.06924519,0.035681333,0.15491025,-0.11864981,-0.23598523,-0.3867719,0.107598595,0.007931086,-0.044410516,-0.5584679,-0.2027725,0.004404667,-0.9221671,0.071615435,0.63361883
Hba-a1,-4.9858284,-1.6222496,-1.2585136,-1.4270239,2.2899325,-1.2622999,1.2333375,-1.742191,-2.7975972,0.6081637,-1.4736302,-4.404465,-0.93906933,-1.3848119,0.31791273
Stk10,-0.23147711,0.40555346,-0.13291557,0.5034129,-0.5678083,0.64819676,-1.1251687,-0.23870124,-0.11902967,0.1544376,0.12263356,-0.031628903,0.6088951,0.12346017,-0.0057816273
Fbxw11,-0.7700347,0.63668454,-0.2671291,0.61213565,0.093273595,0.16413534,0.33703527,-0.4380175,-0.48531988,0.49743384,-0.43760744,0.005053227,-0.4396803,0.25478238,0.5546108
Npm1,0.21771553,-0.37136137,0.046683125,-0.9476594,0.40327615,0.0719276,-1.548968,0.4866783,0.07684273,0.63515675,0.12992385,-0.014881037,-0.2976322,-0.5766617,-0.5380377
Hba-a2,-5.1079187,-1.3208473,-1.4105916,-1.3492963,2.306471,-1.217377,1.2478293,-1.7258143,-3.000933,0.60634446,-1.260704,-4.4140487,-1.3450508,-1.3227602,0.14650716
Lcp2,-0.053215448,0.17652474,0.35033587,0.26444602,-0.7283851,-0.16103315,0.07768745,-0.5260537,-0.071776174,-0.4586704,0.07096151,-0.0016375827,0.15688543,0.25692955,0.0156070115
Pank3,0.9732636,0.31052122,-0.12141649,-1.1591817,-0.6952167,-0.57255733,-1.4288867,0.17032678,0.14916474,-0.07914554,-1.0461092,0.088518254,-0.50479907,0.4746576,-0.7542017
Rars,0.32148245,0.54021573,-0.6045865,-0.09122689,-0.6956804,-0.08874336,-1.4743925,0.30221504,-0.0051268926,0.2484218,-0.43728,0.004844332,-0.012347477,-0.044625096,-0.72206646
Mat2b,0.5697814,-0.6394079,-0.2708537,-0.41149014,0.12980475,0.06621582,-1.6285186,-0.28108326,-0.050468072,0.108749546,0.1348893,0.007877091,0.21359822,-0.11047823,-0.32664025
Slu7,0.38655448,-0.48699358,-0.16909309,-0.7082075,-0.49982756,-0.021154096,-1.4804951,0.6180458,0.13627553,-0.5417331,-0.18939008,0.007288047,0.34910363,-0.15204163,-0.51051134
Dock2,-0.10081883,0.6977611,0.55063885,0.21515685,-0.1399995,-1.1419835,0.21839406,-0.79778653,-0.4815414,-0.47344175,-0.49256107,-0.11246075,-0.20410384,0.49446762,0.8540246
Clint1,-0.034633797,0.16419503,0.05765403,0.14960815,-0.063073166,-0.14843152,-0.16122854,-0.06009803,-0.00085512816,-0.27328095,-0.11428133,7.584171e-05,-0.0412403,0.010995274,-0.04079498
Cyfip2,1.0235232,0.17841992,0.12863682,-0.40756258,-0.704594,-1.0941703,-1.400869,0.008839773,0.6914679,-1.2520018,-0.6346741,0.10691408,-0.86929023,0.22338234,0.396295
Ifi47,0.3352114,-0.905666,-0.49378905,0.06299037,-0.17323771,1.018961,-1.2766637,0.16414608,0.013405806,-0.42954472,0.21047162,-0.012611161,0.0893857,-0.626084,-0.65432453
Zfp62,1.286076,-0.042851202,0.4789602,-1.2291954,-1.5534793,-1.510864,-0.5057659,0.4948221,0.5284064,0.06861947,-0.4737431,0.1407987,-1.3746586,-0.13893187,-0.47937384
Mgat1,-0.13041246,0.503782,0.57804793,-0.7219784,-0.29639354,-0.08055209,-0.98059076,0.10298501,-0.014480007,-0.48233688,-0.4113567,0.0021075155,-0.0047815386,0.12163136,0.285199
Mapk9,0.31221795,-0.079241276,0.25131506,0.16560732,-0.3370562,-1.0406529,-0.15291023,-0.4384703,-0.030095344,-0.38731977,-0.42432845,0.023671966,-0.91070074,-0.08572542,-0.013379492
Rnf130,-0.6157151,0.7004113,-0.20023014,0.014433808,0.5322396,-0.23517583,0.015844451,0.22914496,-0.119562306,0.27700195,0.118130825,0.00035372132,-0.82163656,-0.044739187,0.47259876
Tbc1d9b,-0.21276224,-0.18937261,0.63429284,0.104187325,-0.5741826,-0.1914663,-1.2654064,0.8010444,0.11907325,0.7426693,-0.64061755,-0.034250364,0.12587966,-0.10176165,0.047936395
Maml1,-0.14293379,0.3151961,0.28167087,-0.3346777,-0.6495868,-0.022175599,-0.14601578,-0.0917299,-0.0428206,-0.5181287,-0.61070484,0.00085775624,-0.43905237,0.25361907,-0.27927765
Sqstm1,-0.4701471,-0.60875016,-0.13821672,0.28716,0.84956354,0.6071914,-0.34277806,-0.09144012,-0.41487372,0.59891206,0.33869648,-0.16534726,1.0161875,-0.67483884,0.06792989
Canx,-0.95213985,0.4541578,0.2653977,0.37634617,-0.2422474,0.7241179,-0.75801396,-0.17124005,-0.9296434,0.19129919,0.5450058,-0.066795446,0.97013456,-0.2148906,-0.8646612
Nhp2,-0.041715696,-0.6366602,-0.42570868,-0.43648407,0.34228256,0.44975585,-0.85467416,0.78194606,0.3172361,0.6917293,0.38313258,-0.1528176,-0.8936021,-0.230209,-0.76594955
Jade2,0.21973883,0.0602967,0.13088737,0.22436285,0.08400345,-0.21758859,-0.31362656,0.004034002,0.005787985,-0.324973,-0.8419043,-0.0031292713,-0.8070306,0.0065966984,0.3185651
Skp1a,0.8742496,-0.9223685,0.27015975,-1.4552405,-0.32085288,-0.4942949,-0.32704967,0.32937112,0.6026736,0.07160118,-0.4410076,-0.008967515,-0.88060796,-0.08491466,-0.574538
Vdac1,1.2271756,-1.3830808,-0.06442669,-1.566248,-0.42389417,-1.1480584,0.020798834,0.55317956,1.0309855,0.022006774,-1.1898292,0.0439155,-0.58613104,-0.173832,-0.6970443
Aff4,0.1574085,0.23916535,0.22226733,0.14729668,-0.37372917,-0.5294662,0.035673108,-0.071701504,0.019980412,-1.2712818,-0.16327655,0.0021724128,-0.5523536,0.047319863,-0.7414632
Rad50,0.14823008,-1.2225436,0.6465075,-0.8894193,-0.4619215,-0.5690471,0.039324414,0.8231378,0.012518216,-0.29454246,-0.75326407,-0.0140833855,-0.2713157,-0.4710432,0.59206223
Irf1,-1.9770275,0.23893699,-0.86525863,0.7660691,0.110564806,1.302412,-0.37129614,-0.21867712,-1.0285866,0.5026016,0.81072426,-0.21490431,0.85981417,-0.7753345,-0.73986983
Fnip1,-0.039690997,0.33593282,0.7534123,-0.46313256,-0.18572587,-0.46187142,0.111854345,-0.115841575,-0.08368053,0.2508538,-0.086361,-0.0026699367,0.19148557,0.17494005,-0.10135621
Rapgef6,-0.32255262,0.6187803,0.33410555,0.17998657,-0.13585228,0.028188419,0.5042378,-0.8330232,-0.5060168,-0.8271941,0.19131012,-0.018051727,0.3588037,-0.04673648,0.7559992
A630014C17Rik,1.3233523,-1.2850417,0.4506679,-1.2041537,0.12251007,-1.9125736,0.645862,-0.0041735466,1.6732547,0.122889996,-0.80791616,-1.8119509,-1.2107303,-0.17349008,0.20099626
Cdc42se2,-0.032557078,0.44882464,-0.5572275,0.36831325,-0.61109555,0.15049915,0.20090975,-0.14806814,-0.02262325,-0.031248232,0.07969288,0.0024557929,0.21250507,-0.16145653,-0.4715795
Gpx3,-5.111548,-0.82119817,-1.544032,0.29865268,1.0329174,2.3148272,-0.81569815,-1.4858059,-2.5196123,-0.23078169,1.4654541,-3.716094,1.9887981,-1.2832054,-1.1419686
Hint1,0.029042706,-1.1845663,-0.5398794,-0.6938497,0.5907754,0.40702376,-0.20146447,0.7703235,0.21498132,0.80198747,0.20969881,-0.16598545,-0.81124306,-1.0585376,-1.1855369
Tnip1,0.0357015,0.31309775,-0.34875354,-0.1696901,-0.6200418,0.84063065,-0.18732524,-0.28739068,-0.031110564,-0.07196613,0.09259013,-0.004282575,0.18429457,-0.0027060646,0.21142007
Gm2a,-2.1719227,-0.48932338,0.27586848,0.7304992,0.85728055,0.91779864,-0.24302855,-0.4587087,-1.0540652,-0.0532638,0.8119747,-0.27031478,0.6677318,-0.049474757,-0.0031929242
Anxa6,0.21542148,-0.20464933,-0.2915802,-0.052207,0.14621428,0.8277226,-0.8239972,0.0013656252,0.052728117,-0.41827357,0.5178389,-0.011130631,-0.14696339,-0.25167578,-0.7805378
Sparc,-3.541654,-1.4703146,-0.5528039,-0.5474599,1.748358,-0.029484665,-1.360495,0.55911016,-1.7531292,1.2590715,0.24218145,-0.9175739,-1.1689161,-0.6142592,-0.110167146
Fam114a2,-0.45739877,0.309037,-0.32757372,0.33634892,0.14282678,0.4625863,0.6304432,0.002146192,-0.03889059,-0.79045105,0.33867285,-0.014068626,0.2854135,0.004775248,-0.017614624
Atox1,-0.0132942125,-0.9353759,-0.6033071,-0.35515562,0.70219034,0.72223103,0.43465146,-0.0913052,0.20902506,0.31544125,0.13631216,-0.17092097,0.45608616,-0.6226245,-0.5161113
Sap30l,-0.5686666,-0.048771016,-0.03349718,0.57182163,0.5375184,0.4561759,-0.45479992,-0.2229968,-0.13523869,0.2502634,0.4306189,-0.025828216,0.421729,-0.56336504,0.7257323
Galnt10,-0.12632501,0.49022704,0.16736504,0.6277666,-0.3875435,0.5867526,0.13553299,-0.8496658,-0.25094992,0.07915785,0.60291433,-0.028241653,-0.21507734,-0.14065751,-0.5254035
Larp1,-0.6157203,0.564517,0.08918655,0.27968928,-1.0723987,0.43351388,-0.39235282,-0.04151459,-0.33073407,-0.61303693,0.15626843,0.016467137,0.7458317,-0.08334119,-0.57776827
Rnf187,0.069740094,-0.39586046,0.014290376,-0.24424027,0.42114466,0.34751067,-1.3931735,0.15122977,0.010302948,0.09004628,0.7518361,-0.004523919,-0.24762522,-0.24339463,-0.70949364
Guk1,-2.6531296,-0.3859987,-0.8915996,0.6455714,0.06942051,1.3319328,0.730952,-0.30551577,-1.3978388,0.101179816,1.2922854,-0.9463314,1.0204889,-1.0900398,-1.342416
Arf1,0.8926688,-0.8813014,-0.38607535,-1.8563734,0.3243945,-0.4290638,0.26942393,0.2906669,1.0154567,-0.18203397,-0.39640588,-0.026179293,-0.9359098,-0.8984525,-0.18400095
Cops3,0.35271567,-0.006711401,-0.5701485,0.075711906,0.32524085,-0.3225699,-1.5798767,0.30279407,0.10266377,-0.23661362,-0.42692736,0.0016694707,0.13919656,-0.19960076,-0.82225525
Srebf1,-1.3140419,0.4836783,0.14642334,0.5077431,0.36638284,0.40435985,0.34880424,-0.4058865,-0.7763287,0.37078196,0.7802511,-0.0526582,0.1359263,-0.29479533,-0.07007445
Mprip,0.55636024,0.08496938,0.07939676,-0.75038,-0.26774675,-1.1183002,-0.13591412,-0.15643829,0.06763832,-0.35859722,-0.40845472,0.03200788,-0.73603314,0.0022824712,0.297588
Rai1,-0.71270084,0.96564364,0.35896632,0.55970037,-0.41186485,-1.172291,-0.078245446,-0.40677324,-0.41499883,-1.0490303,-1.3534023,0.038047213,-0.33820873,0.6652562,0.501024
Alkbh5,0.9567794,-0.21930824,-0.24239953,-0.5262822,-1.0617716,-0.06614563,-1.8321187,0.22630814,0.36561444,-1.5680975,-0.07584669,0.3045241,-0.52043045,0.008640469,-0.67012775
Flii,0.90187734,-0.5872427,0.044401806,-1.3174877,0.2582487,-0.52763224,-1.0795832,0.15733573,0.39679366,0.19972697,-1.0213217,0.055861115,-1.4427522,-0.49790618,-0.32061628
Map2k3,-0.10261949,-0.30018932,-0.25727373,-0.47224304,0.37754154,0.48487255,-0.6494605,0.070475616,-0.055598266,0.10368019,0.23855667,-0.007841338,0.348744,-0.0050506936,-0.48155886
Tnfrsf13b,0.5886177,-0.4271425,-0.3017261,-0.35569915,-0.09232697,0.21448062,-1.2852753,0.2873704,0.09827943,0.11463576,0.40875858,-0.020917814,0.24689212,-0.20790637,-0.6960031
Aldh3a2,0.5533533,-0.72109973,-0.15973741,-1.2934475,0.29316175,-0.21503422,-1.3280773,0.38136864,0.071468286,0.5595357,-0.2640504,0.006830115,-0.058477752,-0.28612953,-0.3689646
Usp22,0.22348964,-0.19853802,-0.20261794,-0.29817155,-0.3053682,-0.37251598,-1.5639123,0.41378,0.040419716,-0.46830612,-0.20224859,0.022203125,-1.1776205,0.12911093,-0.11662335
