,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
Mrpl15,0.2589283,-0.30463913,0.07017763,-0.35414627,0.41487613,-0.31209555,-0.8852182,-0.039127648,0.025126724,-0.27528363,0.09103748,0.00033584947,0.07839394,-0.031906586,-0.41753972
Atp6v1h,-0.53491735,0.49895337,0.3928326,0.5924557,-0.6756034,0.43922624,-1.0505418,-0.14471908,-0.1903952,-0.2145205,0.7560139,-0.017810233,0.35785577,-0.07900396,-0.16483362
Lypla1,0.07200642,-0.41216528,-0.6122483,0.38083506,-0.15785642,-0.072953396,-0.0076426347,0.045248464,-0.0004654664,-0.003708075,-0.2235288,0.0016983324,0.057004523,-0.009432646,-0.3424741
Pcmtd1,1.039561,-0.64080787,0.40830007,-0.13469934,-0.68055886,-1.5671849,-0.44960806,0.3131083,0.32069704,-0.3234662,-1.1101652,0.03028359,-1.2910364,0.3380382,-0.08761169
Rb1cc1,0.55775726,0.33858764,0.5761644,-0.3748449,-1.832289,-0.6211972,-0.7028496,-0.110040806,-0.0949207,-0.98526293,-1.0086032,0.06258122,-1.242148,0.8040542,0.7995315
Vcpip1,0.12134838,0.14065617,0.09968775,-0.15216021,-0.31213665,-0.37593874,-1.4709393,0.11311259,-0.05853201,0.16858968,-0.71129775,0.011652457,-1.07513,0.37838745,0.45822552
Sgk3,-0.15494566,-0.13698798,0.11871356,0.28483632,0.14771679,0.31376374,-1.0908606,-0.020931745,-0.021852763,-0.12739271,0.11596285,0.0006577587,0.20922463,0.0056956946,-0.08734104
Cops5,-0.10030548,-0.2748476,-0.2599495,-1.456428,0.26835507,0.019506305,0.09032288,0.52316254,0.04951958,0.21439883,0.2624818,-0.007370122,-0.59452015,-0.06859215,-0.6489136
Cspp1,-1.0013252,-0.012248716,0.7379949,0.6405126,-0.077707246,-0.64987564,0.5505248,-0.74420786,-0.41772884,-0.43021774,0.50111896,-0.04163248,0.047766905,0.12573129,0.5213306
Arfgef1,0.28353655,0.44473982,0.17678393,-0.09367331,-0.403944,-0.0011003934,-1.4002517,-0.3615935,-0.02247813,-0.5622901,-0.069755964,-0.002557063,-0.1643629,0.07600807,-0.45645973
Tram1,0.19289273,0.26956245,0.10882829,-0.25138515,-0.2679567,-0.23506477,-0.4637169,-0.3677356,-0.047234267,-0.13932241,0.008905939,0.020245954,-0.35430056,0.21785608,-0.6355083
Terf1,-0.5645003,-0.25495344,0.91059995,-0.7377488,0.44483244,-0.40803564,0.41493252,0.18902409,-0.06537454,-0.5843013,-1.0119016,-0.003672269,-0.589656,0.49776608,0.6890207
Ube2w,-0.40773103,0.4047428,-0.18522976,0.9079261,-0.70804244,0.27617833,-1.0363803,-0.34265417,-0.18789576,-0.28948972,-0.12624529,0.032601494,-0.3551581,0.2274959,-0.45813859
Mcm3,-0.2011436,-0.16059259,-0.5102497,0.14299881,-0.20251581,-0.120797776,-0.18287018,0.716776,0.40463486,-0.055438142,-0.12302336,-0.022144414,-0.32093555,-0.07765323,-1.2156445
Kcnq5,-1.7979192,0.76316744,1.0184321,0.36540496,0.52916074,-1.2262387,-0.54672694,-0.43162444,-1.722283,0.30745623,0.0035213346,-0.16488609,-0.30745956,0.42415464,1.2845023
Smap1,0.09533758,0.008760511,0.23633076,-1.0017073,0.15762326,-0.19204287,-0.14395925,-0.1470002,0.01964703,-0.43492398,-1.0404328,0.0040865345,-0.6442636,-0.099272475,0.13363811
Lmbrd1,-0.18345399,0.2431881,0.48050573,0.27128837,-0.74274427,0.294309,0.008349749,-0.56378084,-0.13519399,-0.57530993,-0.26439717,-0.0018150173,-0.30754524,0.018555468,0.8101756
Zfp451,0.19517916,-0.027855914,0.44103277,-0.12889962,-0.94404477,-0.46845153,-0.30550104,0.058391318,-0.05036599,-0.04470658,0.12241158,-0.0008577154,-0.086339876,0.15020283,0.31139004
Phf3,0.628187,-0.026639774,0.18703532,-0.98658395,-1.0759519,-0.8499081,0.124140844,0.13476644,0.2730865,-0.84426457,-1.2035897,0.12467839,-1.446407,0.5012015,-0.16054328
Dst,-0.3755592,-0.08754909,-0.41300374,0.2758508,-0.35395387,-0.2440986,0.31513757,0.099675685,-0.22130737,-0.42288336,0.23852982,0.0066325897,0.30504754,0.005783155,0.1645071
Hs6st1,0.28452086,0.5800044,0.21528028,-0.24169803,-0.1734944,-1.1807369,0.5135053,-0.8551032,-0.09326424,-0.20525257,-0.5432069,0.084040254,-0.96564454,0.4063858,-0.70047444
Ptpn18,0.37877953,-0.6443041,-0.41296548,-0.1842709,0.066001,0.5298413,0.21797018,-0.06198251,0.2970937,-0.4696807,0.44582918,-0.008960683,-0.35742572,-0.5865955,-0.6874462
Kansl3,-0.23501123,-0.74801594,0.36804232,-0.14405277,-0.8100459,0.109198354,-0.021606255,-0.09402203,-0.043413002,-0.72853863,-0.08624867,0.0022762353,-0.7891664,0.0069115614,0.05591175
Uggt1,-0.19028302,0.4524094,0.2702722,-0.39117405,-0.30282772,0.36953384,0.35612416,-0.5531313,-0.12634768,-0.20271935,0.51950777,-0.007227674,0.6835825,-0.042575814,0.0020980956
Fam168b,-0.03336539,-0.109152064,-0.35015315,-0.09014886,-0.88936764,-0.06029333,-0.73026043,0.123017654,-0.05357892,-0.84489805,0.005103521,0.035983518,0.19358534,-0.0388363,-0.23561355
Actr1b,0.53703535,-1.4063985,0.07865218,-1.2513223,-0.16959368,0.0973102,-0.7706692,0.1720588,0.11093091,0.26210698,-0.31358296,-0.0039134044,-0.008558873,-0.33178636,-0.3042755
Zap70,0.114455454,0.057964385,-0.18608238,-0.0035115136,-0.32275826,0.26868245,-0.17257282,-0.21092314,-0.033141907,-0.7141446,-0.4839918,0.007943778,-0.5597379,-0.06419984,0.22503899
Tmem131,-0.1407038,0.5095841,0.7419818,-0.66162175,-0.80491275,-1.4328221,0.24932398,0.29773387,-0.3778462,0.27529472,-0.33974183,0.017077226,-1.3457181,0.15207258,0.7297818
Coa5,0.2212945,0.20038204,-0.8204943,-0.2329483,-0.19905986,0.5636153,-0.7426884,-0.07374325,0.020398716,-0.73066056,0.13859478,-0.009991503,0.3736199,0.06832422,-0.79412776
Mgat4a,-0.4399968,0.8116939,0.3638655,-0.06860754,-0.4631274,-0.64799696,-0.10398871,0.36886162,-0.0014911778,-0.3121244,0.014011722,-0.014184462,-1.0600611,0.36151227,0.50947386
Txndc9,0.6825362,-0.20092744,0.17541331,-1.070258,-0.17658035,0.07134504,-1.0959864,0.06638431,0.20739426,0.26230454,-0.2573593,-0.008518953,-1.1313453,-0.041867524,-0.9588138
Eif5b,-0.19446155,0.14704561,-0.059214327,-0.014279663,-1.3941784,0.08418805,0.46028242,0.2818277,-0.045637503,-0.17169535,0.28950465,0.003782244,-0.8279677,0.15651202,0.25974783
Rnf149,-1.480733,0.77592987,-0.28638488,0.1716494,-0.32030115,0.8316506,0.10189958,0.16473673,-0.25618005,0.29549548,0.35163185,-0.025504325,-0.13166632,-0.0077351574,-0.5149444
Map4k4,-0.55611616,0.63916963,0.117334045,0.046962388,-0.14329815,0.51354194,0.030819383,-0.26506013,-0.16795059,-1.003027,0.44938204,-0.011788708,0.06070152,0.10142033,0.3894017
Tpp2,0.66409206,-0.07969676,0.13625927,-0.37454465,-0.25361544,-1.5115352,0.29511398,-0.18291168,0.42387813,-0.76627856,-0.78841317,0.031057479,-0.9221545,-0.10817156,0.053728096
Slc40a1,0.7603854,0.40215695,-0.33620012,0.59080213,-0.8626026,-2.1385303,-1.119095,-0.017484354,0.1831447,-0.4747003,-0.518547,0.9091436,-0.7988171,-0.31493005,-0.562023
Nck2,-0.34812135,0.8505511,0.45839274,-0.051592544,-0.5331187,-1.5088208,0.2660919,-0.17560914,-0.27704185,-0.40276182,-0.8257874,0.015962332,-1.2179545,0.52206326,0.9525989
Nabp1,0.4356339,0.18656805,-0.06596219,-0.34699857,-0.25739488,-0.16401906,-0.30974478,-1.0400366,-0.07849777,-0.43731138,-0.27856156,0.027589161,0.15417436,0.14466205,-0.9489446
Stat1,-1.2641656,0.65772676,-0.31709749,0.2998713,0.22413856,0.93620586,0.047880787,-0.10736084,-0.9494176,-0.10217813,0.5906281,-0.20843083,0.7992225,-0.07605372,0.33530003
Gls,0.026105052,0.66897917,0.1749834,-0.7810945,-0.41333345,-0.2841786,-0.35631055,-0.11626336,-0.13884692,-0.12897827,-0.7126509,0.045661263,-0.46900135,0.23085374,-0.0125313625
Stk17b,0.47018114,0.33841968,-0.3054406,0.051854707,-1.109368,0.2930553,-0.3368562,-1.0412085,-0.25619134,-1.0310307,-0.5486261,0.026511755,0.29793608,0.011454362,0.096322924
Hspd1,-0.46553037,-0.76542974,-0.9729745,0.011045999,0.17143457,0.80694604,0.2832684,0.5645642,-0.045512527,-0.22801101,0.37194562,-0.03729766,0.37814447,-0.41273195,-0.0058343373
Mob4,0.15923883,0.115364514,-0.5004866,0.1494991,-0.10682514,0.5200399,-0.018684737,-0.21799758,-0.038015805,0.004775253,0.22369376,0.0016222716,0.08704333,-0.4953268,-0.39735538
Ankrd44,-0.32131946,0.7059633,0.49807414,0.036780998,-0.7674343,-0.17894138,-0.6659748,-0.3173949,-0.60892826,-0.8546916,0.20024951,0.021877576,-0.18304047,0.5438533,0.3091077
Sf3b1,0.3418602,-0.14043675,-0.15605351,-0.14743257,-0.44673586,-0.2540538,-0.17136471,-0.019206451,0.14206156,-0.5564535,-0.34268227,0.029643886,-0.6891688,0.056903828,-0.69672567
Plcl1,0.007503718,0.7747003,0.69073385,0.029363807,-0.3485693,-1.9690869,0.38482165,-1.20862,-0.7811042,-1.452188,-1.0084178,0.09713771,-1.1324805,1.0927876,0.5196783
Bzw1,0.80356896,-0.6478802,-0.08733136,-0.65917706,-0.57622445,-0.5007783,-0.52661294,0.17260201,0.14275712,-0.06511987,-0.32402113,0.050039645,-0.81919277,-0.018143112,-0.8554503
Orc2,0.44426373,-1.1023328,0.21550249,-0.061655834,-0.270804,-0.60126024,-1.0989826,0.5856203,0.221647,0.13891327,-0.16297023,-0.01207493,-0.85184675,-0.38028714,-0.04689983
Casp8,-0.19732194,0.34570348,-0.39765227,0.38417295,-0.49928692,-0.8898062,0.55203265,-0.05854554,-0.03172287,-0.07456762,-0.13597454,0.011107526,-0.7228447,-0.21789226,-0.120368816
Trak2,0.04712727,-0.6226571,-0.112693205,0.03437784,0.01607373,-0.03532251,0.2148561,-0.015536402,-0.0019284055,0.067897856,-0.022557566,0.00075963465,-0.39285916,0.02012478,-0.5178597
Cflar,0.0025605275,-0.28033412,0.046837345,0.42057946,-0.150947,0.5460822,-1.0503637,-0.29274327,-0.11499961,-0.37322706,0.6627376,0.014521577,0.31969395,-0.17961958,-0.11252724
Nop58,-0.16740493,-0.6445228,-0.02109607,-0.5537493,0.33272564,-0.31886297,0.13036633,0.59108424,0.20598601,0.34619597,-0.27971664,-0.03733,-1.1369963,-0.7390088,0.3666046
Nbeal1,0.43578503,-0.07298382,0.37585038,-0.023556447,-1.4810492,-0.7887615,-0.94199777,0.33303076,0.051560793,-0.29997355,-0.9692482,0.02951285,-0.40468454,0.54390967,0.42419636
Cd28,0.1994598,0.51250184,0.038429335,0.24190359,-0.8500835,-0.5080831,0.22286625,-1.1542703,-0.40948597,-1.3022529,-0.40320775,0.053740643,-0.36088967,0.79219055,0.12745838
Ino80d,0.18872209,-0.09212807,0.3766116,0.054354344,-0.8495952,0.1753399,-0.37378243,-0.32778478,-0.13272992,-0.8803254,-0.3911057,0.0053725466,-0.2419899,0.07802421,0.7742623
Ndufs1,-0.07573247,0.123133026,0.19971804,-0.49636525,0.2978976,0.089448944,-1.2780812,-0.023028256,-0.03563024,-0.4690891,0.24073891,0.0013406372,-0.54149336,0.010371378,0.26152235
Klf7,0.29306877,0.5488294,-0.12065044,-0.18826826,-0.59430784,-0.75700825,-0.33847368,-0.35977712,-0.067252174,-0.96422374,-0.58057487,0.03238607,-0.05905778,0.43035024,0.220339
Pikfyve,0.03006905,0.17261276,-0.31442678,-0.4525588,-0.6277202,0.012657183,0.56496066,-0.11910688,0.0116908075,-0.44766125,-0.46337223,-0.0017206421,0.13036916,-0.050353933,-0.46103024
Acadl,-0.122858,-0.25935182,-0.82958376,-0.48391864,0.5965109,0.91159976,-1.1229159,0.4055122,-0.1627459,0.9099514,0.04290986,-0.050790094,0.44697243,-0.24763802,0.106837876
Creb1,0.13552338,0.3908519,-0.11407152,0.4528531,-0.89836556,-0.51427037,-0.0682015,-0.38709223,-0.089239955,-1.0171809,-0.037134565,0.042099383,-0.22389792,0.40712324,-0.6211445
Kansl1l,0.3793699,0.076295435,0.9785232,-0.38503203,-0.7078866,-2.2457044,0.28548595,-0.10723359,0.07575609,-0.4826058,-0.661747,0.0059618773,-1.0833023,1.0215876,0.51296467
Ikzf2,-0.81367433,0.47265476,0.29128942,0.65721405,-0.5537407,0.18719228,0.3916862,-0.84537476,-0.86499244,-1.2332625,0.24208272,-0.19593759,0.067544825,0.3542229,0.66764873
Igfbp5,-4.7786665,-1.570205,-1.2825761,-0.29483116,1.9957381,1.3913772,-0.076755255,-0.9196121,-2.3757527,1.2751774,0.59935325,-2.635031,1.2650117,-1.1054689,-1.0609735
Tns1,-0.68081576,0.09159319,0.30818668,0.7405859,0.70640546,-0.6380049,-1.2240702,0.29860204,-0.3614468,0.49507466,0.7278327,-0.029074581,-0.855961,0.04606711,0.28016755
Aamp,0.121667534,-0.06946515,-0.58754385,0.43531734,-0.61822695,0.8464746,-0.50474143,-0.007824505,-0.1538338,-0.5603415,1.0140499,-0.047339015,0.23029217,-0.4722919,0.18580319
Cnot9,-0.31927016,-0.36533287,-0.36265418,-0.46347734,0.55440557,0.061715268,-0.25952154,0.62994134,-0.11871871,0.6609822,-0.9395106,0.0043205507,-0.1461652,-0.15482582,-0.89078015
Cnppd1,0.068227656,-1.0707668,-0.19820565,-0.1330887,0.26877078,0.24339078,0.7599247,-0.193834,-0.010444315,-0.1347768,0.06948176,-0.00073773926,-0.8431446,-0.028705483,-0.22095633
Retreg2,-2.3503757,0.14518642,-0.4197027,0.7672068,0.031281218,0.9667789,0.41120943,-0.32368216,-1.3355316,-0.084360875,1.0555478,-0.15632588,0.58198893,-0.47874728,0.31589067
Stk16,0.4756263,-0.7657553,0.30975398,-0.69560444,0.6627258,-0.15603809,-1.1755987,0.19990206,0.5297713,0.13491851,-1.2123955,-0.066316046,0.31591827,-0.5316984,-0.36068305
Tuba4a,-2.0364273,-0.16979897,-1.1113278,0.5040618,0.111254975,1.4542712,-0.05204066,-0.12047569,-0.9175521,0.47686023,1.1400622,-0.3882494,0.84981775,-0.7829584,-0.6992577
Farsb,-0.14592208,0.5818204,-0.15356095,-0.7741107,-0.09712582,-0.039724838,-0.60530674,0.12380284,-0.0013161963,-0.52152485,-0.24772581,-0.00012871111,0.06938288,0.028581198,-0.037847657
Cul3,0.35047483,0.12636696,0.33428717,-0.5761999,-0.7175005,-0.7705577,-0.4956204,-0.03275764,-0.11441483,-1.0083205,-0.28399894,0.08602246,-1.2674206,0.4755649,0.07293652
Mff,0.08217889,-0.19886081,-0.41143972,-0.11152293,0.66540855,-0.14629033,-0.2797443,0.23121473,0.04165527,0.70227355,-0.6223931,-0.011571046,-0.88007426,-0.27178705,0.17233153
Agfg1,-0.16082485,0.29184186,0.30028206,-0.055976875,0.2680074,-0.09762812,-0.7524252,-0.009709379,-0.034501635,-0.46814454,-0.1926767,0.0005042673,-1.0300964,0.00014766681,-0.38658807
Dock10,-1.1101497,0.66681623,0.58875835,0.5987771,-0.24726969,0.2767991,0.12836953,-0.6616274,-1.1905079,-0.36068428,0.3746021,-0.08141664,0.26621702,0.37429827,0.5998618
Trip12,0.3856319,0.07175952,-0.035437137,-0.4205734,-0.7986147,-0.8237159,0.2972925,-0.21654592,0.037947766,-0.9191564,-1.601704,0.09049772,-0.017012436,0.079301305,0.12573065
Psmd1,0.30405238,-0.083704315,0.3680672,-1.3066245,-0.5708892,-0.35713983,0.34273645,0.40623862,0.117465995,0.35984308,-0.6878859,-0.0077838902,-0.6641721,0.0599344,-0.5325282
Cab39,0.68430567,-0.5979371,0.28739354,-0.5180856,-0.34696501,-0.44326192,-1.0536107,0.06886456,0.364834,-0.14185405,-0.7341112,0.0399761,-0.50574315,-0.22420973,-0.36661446
Itm2c,-2.4916518,-0.49553105,-0.36684042,0.3842342,0.30267718,1.2713147,0.50744647,-0.45114607,-2.30164,0.6010607,0.88325816,-0.49342054,0.8505838,-0.6256535,-0.42941892
Dis3l2,-1.061588,0.6151993,0.5182006,0.64611477,0.16846192,-0.5224479,-0.5065494,-0.48493317,-0.33660114,0.085723445,0.034578882,-0.032803424,-0.40475097,0.16948532,0.48349303
Eif4e2,0.82064074,-0.16957705,0.021054192,-0.72252727,0.113262475,-0.81606114,-1.4350122,0.30347985,0.7355068,-0.13230346,-0.7207866,-0.0069214553,-0.46504343,-0.29465792,-0.25432897
Inpp5d,-0.1994796,0.5031553,-0.2574611,0.89630955,-0.48131788,0.60848564,-0.57484007,-0.7048017,-0.36005518,-1.3231425,0.13783315,-0.0032012425,0.93012786,-0.23810504,-0.37691772
Arl4c,0.17900755,0.28959867,-0.24015681,-0.56143457,-0.94395787,0.60322934,-0.06558261,-0.595694,-0.0756435,-1.0583038,-0.087135494,0.018076241,0.04477348,-0.056719504,0.05386106
Cops8,0.07892668,-0.8312347,-0.3302048,-0.7257157,0.5115056,0.62091863,0.3469465,0.32662657,0.15039417,-0.37320098,-0.106860206,-0.03830428,0.08053726,-0.46919286,-0.5789341
Hjurp,-0.025193814,0.51554954,0.015155519,-0.30591726,-0.15336002,-0.6702694,0.7730023,0.07584999,0.0056744497,0.31006002,-0.32834128,0.0074549858,-1.2809283,-0.15596066,0.47271657
Ube2f,0.02271735,0.26759088,-0.4972341,0.26192072,-0.29383263,0.45239517,-0.880766,0.13675103,0.017223002,-0.3277193,0.42500126,0.0025191433,-0.529069,-0.27388188,0.0152443815
Ilkap,-0.07308891,-0.5534241,-0.24221602,0.24171996,-0.24547356,0.44776437,-0.010763236,0.029467482,-0.014976994,0.15066527,-0.16750506,-0.0020712072,0.69210625,-0.010982737,-0.51940846
Hes6,-0.16516255,-0.30118272,-0.665716,-0.38697246,0.4953399,0.8291399,0.46062338,0.0875402,-0.04784748,0.6984518,0.35940227,-0.03469353,-0.25121036,-0.66528445,-0.59431195
Hdac4,-1.6043309,0.6097584,-0.25297886,0.8860921,-0.08555923,-0.04994425,-0.65282357,0.3464139,-1.1088634,0.16488484,0.5865334,-0.069785565,-0.034081962,-0.011776873,0.06322062
Ndufa10,-0.15844691,0.088043526,0.13337319,-0.81797284,0.677355,-0.0038023596,-0.15247288,0.11426679,-0.17025843,0.77321506,-0.27073056,-0.0115937535,-0.36233467,0.049426574,-0.28739578
Gpc1,-4.086522,-0.22267713,0.00020676693,0.45868748,0.37765476,1.5487854,0.5748488,-0.8139753,-1.8218716,0.53338844,0.8141968,-2.5199723,1.4579257,-0.7904516,0.09300847
Cops9,-0.23580012,-0.42014456,-1.1040851,-0.4495608,0.25585926,0.7669552,0.5698593,0.05231555,-0.04796256,0.30892944,0.37893432,-0.016867286,0.06989537,-0.8851912,-1.2298005
Rnpepl1,-0.09085695,0.57874346,-0.4936756,-0.26783165,0.29943448,-0.6548764,0.2781915,-0.26208436,-0.02181492,0.06300534,0.026162121,0.014031142,-1.1110158,0.021210961,-0.2937892
Hdlbp,0.19218394,-0.93359673,0.0679244,0.017952794,-0.29374695,-0.2256255,-0.17107783,0.18198226,0.029184572,0.029677264,-0.292506,-0.004217367,0.22669218,-0.06811925,-0.78759027
Dtymk,0.28708363,-0.39350086,-0.37389052,-1.029143,-0.20830515,-0.49024028,0.16083762,0.7368585,0.49822235,0.5987198,-0.43533012,-0.051855523,-0.14504714,-0.65794784,-0.736989
D1Ertd622e,1.5308874,0.11986184,-0.2505599,-0.15509555,-1.1780893,-1.7374022,-1.3952001,0.113374844,0.43998393,-0.5974795,-0.49989763,0.5085209,-1.2509056,0.45217797,-0.3644814
Ppip5k2,0.08006664,-0.6337472,0.46394727,-0.21052414,-0.5233956,0.32712272,0.19322798,-0.25044698,-0.051846936,-0.5965366,0.155316,-0.0049214666,-0.4077863,0.081772685,0.13224071
St8sia4,0.46382922,0.5333004,0.70824116,-0.44335735,-1.413706,-0.7337962,-0.4536114,-0.41613692,-0.55781674,-0.3846511,-0.9109554,0.11068115,-0.97582614,0.7030074,0.80954945
2310035C23Rik,-0.423633,0.5939772,0.71827453,0.04715246,-0.87217516,-0.17716885,0.4149046,-0.4491553,-0.4698542,-0.32503223,-0.78116846,0.009188672,-0.07144789,0.30735728,0.5365548
Zcchc2,-0.22368765,-0.29089656,0.0625699,-0.5242005,-0.18670279,0.1069016,-1.2172099,0.39230952,-0.06495601,0.47422585,-0.46356365,-0.0040996494,-0.66177905,0.0145733915,-0.28313643
Bcl2,-3.2530036,0.59442085,0.0527745,1.0843283,-0.89261144,0.9455947,-0.005130487,-1.00678,-2.577989,-0.48139513,1.0539021,-2.2798514,1.1822009,0.09147763,0.3159236
Nifk,-0.07918285,0.021766555,-0.1136342,-0.15038982,0.05257292,0.36950073,0.14794171,0.046163842,-0.014006009,-0.15917893,0.04748151,-0.0008490188,0.2269753,0.0077081164,-0.4584886
Tsn,-0.13080682,0.33900672,-0.14698447,0.383097,-0.6597675,0.1934073,-0.97285765,-0.04283835,0.02493744,-0.8152054,0.24837162,-0.010323732,0.5684,-0.3108266,-0.759611
Clasp1,-0.07197489,0.5202327,0.59717387,0.1975261,-1.0828815,-0.5499005,-0.50665677,-0.18012287,-0.20863844,-1.1454593,-0.85849124,0.05947329,-1.1292379,0.5350224,0.5699163
Ptpn4,0.016381804,0.17095701,0.3494143,-0.23955905,0.08582497,-0.68289536,0.19144283,-0.46834466,-0.0382905,-0.5891803,-0.40383375,0.0030650198,-0.5964124,-0.0071556265,0.48197013
Dbi,0.04020053,-1.1240063,-0.086513475,-1.1180911,0.64250076,0.6517779,0.13273837,0.116655484,0.43045297,0.49822244,-0.20543861,-0.31231225,0.59706366,-1.0777446,-0.45071915
Ccdc93,0.3795526,0.40655345,0.38371056,0.224395,-1.6130319,-0.45873985,-1.3902278,-0.21263531,0.037272308,-0.66032946,-0.8080081,0.0022693472,-0.59035146,0.43999365,-0.0762296
Ccnt2,-1.1814333,0.9732337,0.5494531,0.043699227,-0.75189763,-0.16843183,0.028627854,-0.28319716,-1.078731,-0.059858333,-0.5194769,0.028501127,-0.19606721,0.75998807,0.46546397
Mgat5,-0.40520173,0.9355871,0.5225508,0.046242665,-0.61304533,-0.76851773,-0.42167106,-0.661116,-0.7062906,-0.52036136,-0.89589244,0.040228866,-0.26528075,0.66933966,0.5834858
R3hdm1,-0.20192778,0.32786804,0.6763626,-0.784927,0.03834635,-0.815465,0.37953714,-0.22503999,-0.35115027,-0.67364585,-0.6153851,-0.0022379444,-0.013621793,0.49871027,0.76562697
Mcm6,0.3507526,-0.6088075,-0.29821247,-0.27393958,0.31860408,-0.85865134,-0.66827136,0.80647737,0.6735252,0.6223518,-1.1753194,-0.010683859,-1.0529909,-0.66590554,-0.3329942
Mapkapk2,-0.70437765,-0.15526827,-0.20744623,0.28246856,0.0911365,1.159932,-0.5734875,-0.068058446,-0.6223868,0.3254611,0.7406887,-0.12795028,1.0197694,-0.6980851,-0.048981905
Srgap2,-0.2140823,0.4139211,0.7128694,0.7263297,-0.0078003104,-0.5016618,-0.44394693,-0.25751114,-0.07830559,0.4620198,0.1525117,-0.038224056,-0.7145042,0.20088212,0.12158248
Rassf5,-0.17702626,0.04575186,-0.4749707,0.68793344,-0.09809348,0.7324541,-0.6595475,-0.45289302,-0.4186806,-0.19457792,0.83973837,-0.019015482,0.61012316,0.0693331,-0.51111746
Nucks1,-0.60036486,0.27914488,-0.025301725,-0.041815966,-0.28839865,-0.1466866,-0.3020581,0.6023208,-0.19856974,0.27521855,-0.7080685,-0.043096036,0.6095645,-0.15016706,-0.25615484
Mfsd4a,2.023451,-1.0946033,0.068636775,-0.6303676,-1.5197699,-0.40838176,-1.3053781,0.10228899,1.9730046,-1.293186,-0.7376861,-0.05433632,-0.62092805,-0.054188333,-0.4349628
Rbbp5,-0.2460579,0.2043721,-0.1456917,-0.45592102,0.0020332132,0.06158796,0.16605696,0.06334934,-0.014218222,-0.16077806,-0.12705174,-0.00028889964,-0.3254302,-0.005086098,0.3366622
Mdm4,-0.40203074,0.11082515,0.52140266,0.006525065,0.49751356,-0.092170514,0.5097559,0.01744218,-0.21763246,0.3812373,-0.35933393,-0.012068532,-0.52908677,0.052316803,0.77955246
Snrpe,0.13484885,-0.94974524,-0.17379147,-0.39860034,0.44625694,0.23333286,0.5432999,0.32930142,0.08554986,0.56880784,-0.3279447,-0.036667213,-0.07077775,-0.3342828,-0.2949465
Adipor1,0.060315743,-0.46673134,-1.0983105,-0.36711103,-0.056137927,0.35444355,0.6028426,0.17109421,0.028689532,-0.8566266,0.27923235,0.012503779,0.4300656,-0.513722,-0.94312936
Ppp1r12b,-1.3708986,0.43973646,0.73166966,0.5221731,-1.1100259,0.122330084,0.32211623,-0.0288493,-0.91707706,0.31445548,-0.21721171,-0.04889124,0.75197566,0.46444005,-0.19381212
Kdm5b,0.56372917,0.32631975,-0.013306402,-0.15491489,-0.538966,-0.8236684,0.16615058,-0.5703204,0.03518095,-1.5680588,-0.42123803,0.031199776,-1.3428832,0.34235007,-0.33971268
Rnpep,0.17304727,0.3045178,-0.4274292,-0.95903176,-0.28990057,0.44993347,-1.3325528,0.10835039,-0.006925095,0.0769949,0.16142638,-0.003343329,-0.023397047,-0.05634289,-0.4631116
Ptpn7,-0.31178254,0.29191852,0.09024435,0.007396312,-0.316742,-0.015062583,0.5798915,-0.0032741772,-0.023748392,-0.25824755,0.5223824,-0.009709551,0.13472463,-0.05606193,0.34296182
Kif21b,0.3010198,0.054212604,0.07382789,-0.13457447,-0.47284037,-0.49786913,-0.41150612,0.0060233413,0.13622575,-0.76539445,-0.7778883,-0.004158475,0.114884965,0.09844428,0.30864015
Gm26936,1.7655187,-0.9715908,1.3217982,-1.7357123,-0.09051055,-1.9272467,0.09948842,-0.9349495,1.0510933,-0.6965584,-1.4138814,-0.2639738,-1.3489617,0.48147556,1.0370992
Nek7,-0.18476258,0.6958769,0.15010998,0.45702684,0.12154804,-0.13912144,0.115601815,-0.26797298,-0.18232696,-0.043591402,0.27286682,-0.0046820957,-0.3129731,0.046142332,0.12317634
Aspm,0.9561668,-0.8665781,0.7249607,-0.6061743,0.06814136,-1.7657381,-1.4572508,0.68366826,1.3186562,-0.67650527,-0.7442266,-0.06894939,-1.1501687,0.08813143,-0.41293046
Dennd1b,-0.33327973,0.56504196,0.6353363,0.39454347,-0.73659027,-0.31715798,-0.037175875,-0.4396814,-0.8233627,-0.5421237,-0.0032076493,0.027279086,0.3749077,0.47955763,0.41842628
Cdc73,0.04053241,0.3070279,0.37433964,-0.28141904,-1.0562989,-0.5337397,-0.71757954,0.047578212,-0.0011978708,-0.28986794,-0.6560695,0.03679407,-0.70164114,0.27412233,-0.7946863
Swt1,-0.020503156,0.52557147,0.3922466,0.25029966,-1.2895242,-0.37278014,-0.49014404,-0.59637773,-0.19918238,-0.36692923,-0.3312055,0.04992103,-0.4798283,0.09228392,-0.087857805
Ivns1abp,-0.19982487,-0.19556856,0.56701916,0.13353176,0.3062922,0.23565263,0.6705353,-0.19860043,-0.064304724,0.29438028,0.055405416,-0.021450061,-0.12298638,-0.05189489,0.5709691
