,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8
Mouse-BST-1,0.08224726,0.029881407,-0.047445178,0.038629644,0.013368424,0.014210144,-0.026291342,-0.01322317,-0.0053304913,0.051579297,-0.009635467
Human-CD3,0.014041295,-0.012091156,-0.019369476,0.010739253,0.0598524,-0.061495785,-0.035770897,0.0097589595,0.044057272,-0.012512443,0.059191097
Mouse-CD90-2,-0.018368414,-0.0763235,0.044416808,-0.019456383,0.042953625,-0.00483269,-0.014387754,0.010377945,0.005544076,-0.016909773,-0.08490492
Mouse-Ly-6G,-0.088113874,0.03818544,-0.02157082,-0.025962435,0.012410425,0.04535065,-0.008895772,-0.028672768,0.03471452,-0.07287743,-0.04045407
Human-CD20,-0.06642273,0.018616226,0.044175103,-0.032212414,0.067467056,0.052183617,0.03458921,-0.021968802,-0.04829915,-0.0440639,-0.04701577
Human-CD11b,-0.042325974,-0.015869547,0.03617655,0.006109344,0.014630089,-0.0071646958,0.01071758,-0.015294559,0.0048189918,0.0058709597,-0.06695075
Human-CD19,-0.049614787,-0.015073102,0.002523111,0.009770716,-0.082509875,-0.043604825,0.004979947,0.009643318,-0.010584038,0.03328905,-0.0047764066
Mouse-CD11c,-0.039485723,-0.053619225,0.047735244,-0.03918846,0.07925622,0.012453514,-0.009772555,-0.007962491,0.02709537,-0.041449238,0.057029624
Mouse-IgM,0.026415728,0.031911667,0.014066575,0.017789489,-0.011083599,0.0046032625,-0.015606895,0.032805506,-0.012171017,0.014984999,0.026272291
Mouse-CD40,-0.032950237,-0.013138985,0.04918941,0.039374694,-0.060772516,0.025278218,-0.021994755,0.031521115,0.02101112,-0.011669328,0.0363047
Rat-IgG2a,0.11898989,0.003242805,0.012629373,0.027452083,0.007944479,0.014016791,0.0011121174,0.02468168,-0.02413901,0.01454861,-0.043774523
Human-PD-L1,0.053385127,-0.020959193,-0.01499973,0.042718794,-0.029232478,-0.018848293,0.0060529104,-0.024245076,-0.02764039,0.013666614,0.02878789
Mouse-CD71,0.03380435,-0.033618588,-0.007624991,-0.01281467,-0.024277287,-0.0052450197,0.023311416,0.029440094,0.005583306,-0.030484397,-0.0026824623
Human-CD163,0.027930338,-0.014295182,-0.006489387,-0.0040854216,-0.06849996,0.007570285,0.0038267171,-0.030389708,0.021218257,0.030369408,-0.0003656717
