,Shared topic 1,Shared topic 2,Shared topic 7
Camk2d,0.065387666,-0.048736356,-0.11858939
Ap1ar,-0.037811182,0.12633333,0.001485549
Ostc,-0.023975156,0.061288156,-0.033581838
Lef1,-0.05959341,-0.07992375,0.3215556
Hadh,-0.112763904,0.016001377,0.08219347
Npnt,0.21371743,-0.19714138,-0.1536362
Cisd2,-0.02552094,-0.032493137,-0.019363169
Nfkb1,-0.14471538,0.22187588,0.021737887
Ppp3ca,-0.37231487,0.31380787,0.12443938
H2afz,-0.1167474,0.03501632,0.06652245
Eif4e,0.01533534,0.033830788,-0.020443125
Rap1gds1,-0.12315744,0.024326049,0.030861136
Gbp3,-0.0062685665,0.005632244,0.010577879
Gbp2,-0.06649817,0.02445988,0.23780422
Lmo4,-0.16686897,0.11494566,0.16586564
Selenof,-0.04244519,0.1314837,-0.016011065
Gng5,-0.062043678,0.07973582,0.1543705
Prkacb,-0.12924123,0.131499,0.075587474
Usp33,0.029930562,0.01759269,-0.023608956
Zzz3,-0.0109543875,-0.09093103,-0.07241744
Wls,-0.023134919,0.012415928,-0.06286488
Tgs1,0.01805548,-0.008453527,0.03385394
Lyn,0.0034373244,0.04141393,-0.14852461
Chchd7,0.049084064,0.018600788,-0.08665891
Gm11808,-0.09126787,0.13913631,0.04099453
Tox,-0.04333068,-0.0019119307,0.113591395
Chd7,-0.10057607,-0.017326932,0.0843816
Asph,0.1188667,-0.124151416,-0.033867218
Rbm12b1,-0.009397466,-0.015751671,-0.07338939
Tmem64,-0.03879105,0.13046402,-0.026437096
Decr1,0.01792209,-0.081360355,0.03534381
Ggh,-0.06364987,-0.024482567,0.1403865
Bach2,-0.06975329,0.09946843,0.062367253
Mdn1,-0.045113083,0.0062449314,0.0222788
Ube2j1,-0.02843288,0.043712206,0.06538207
Akirin2,0.039124206,0.019104019,-0.11444393
Dnaja1,-0.010150114,0.021164196,0.014387688
B4galt1,-0.030339807,-0.010415313,0.0052138353
Bag1,-0.0855306,0.1328044,0.11219542
Ube2r2,0.060223036,-0.012312705,0.024150958
Dctn3,-0.10462052,0.12871188,0.1434073
Ccl19,-0.06437045,-0.034579203,0.19651717
Ccl21a,0.22696139,-0.3094705,-0.025102457
Vcp,-0.24616152,0.23054093,0.18245628
Pigo,0.045031093,0.01709508,-0.020188894
Fam214b,0.47935987,-0.38467014,-0.13681938
Cd72,0.019818783,-0.025388962,-0.2093149
Tln1,0.0030714322,-2.0419946e-05,0.052336972
Gba2,-0.17681059,0.18454489,0.08956026
Rgp1,-0.076844454,0.1088242,0.06484086
Clta,-0.03938631,0.1224926,-0.049837545
Pax5,0.020599375,-0.017962173,-0.19944069
Zcchc7,-0.016256806,-0.022296093,-0.017052518
Polr1e,-0.002474669,0.06097267,-0.079855554
Tstd2,0.03675049,0.025728576,-0.064628944
Nans,-0.07283133,0.07426296,0.019098677
Coro2a,-0.047970362,0.034812126,0.047620263
Tgfbr1,0.044695094,-0.015385512,0.12193
Rad23b,-0.060074933,0.113351345,-0.0176791
Svep1,0.066196494,-0.08867894,-0.119878665
Lpar1,-0.06152088,0.14667849,0.06439154
Ptbp3,-0.007718362,0.0018333183,0.012098577
Inip,-0.07864807,0.059721228,0.050456785
Rgs3,-0.022575699,-0.02075899,0.030059258
Akna,-0.06368792,0.065564595,-0.004400329
Ttc39b,0.04212248,-0.045394268,-0.03924951
Haus6,-0.031683113,0.037432745,-0.04357938
Mllt3,-0.00989439,-0.03654024,0.13266765
Mtap,-0.03634624,0.032513123,0.0142548755
Plaa,-0.034140907,0.015891772,0.012038992
Tm2d1,-0.0021547687,-0.04454754,-0.07710923
Jak1,-0.0043648365,-0.019318141,0.031587664
Pde4b,-0.19150507,0.18071097,0.07895766
Usp24,-0.05842728,0.06477542,-0.037229158
Ssbp3,0.17481606,-0.16573934,0.054253463
Mrpl37,0.035184897,-0.08571307,-0.016526679
Tmem59,-0.0056577045,-0.039482877,0.021010783
Ndc1,-0.03184768,0.05519101,0.04151861
Czib,-0.022124946,0.07989474,-0.03418457
Zyg11b,-0.044366643,0.07173307,-0.015439892
Prpf38a,-0.06995094,0.1038725,0.05472747
Eps15,0.06401309,-0.099536985,-0.060856823
Faf1,-0.074288316,0.047583733,0.02005597
Efcab14,-0.043427166,0.011518311,0.023469262
Faah,-0.014919851,-0.048967145,0.02171933
Uqcrh,-0.041202925,0.02861067,0.048722927
Lrrc41,-0.016095975,0.030958496,-0.024225017
Gpbp1l1,-0.09551627,0.13823217,0.013824581
Nasp,-0.04068709,0.053037822,0.06817457
Akr1a1,-0.055914115,0.046092074,-0.008190453
Eri3,-0.008707179,0.07572662,-0.021802813
Dph2,-0.017596114,0.036911417,0.04018181
Ipo13,0.14073308,-0.13470724,-0.103482686
St3gal3,0.034363493,0.008946801,-0.03723256
Szt2,0.023531813,-0.05402909,0.054956067
Tie1,0.1223448,-0.1645211,-0.1148944
Ermap,0.48995847,-0.3376717,-0.23254828
Svbp,-0.027591724,-0.05683466,0.13623837
Ybx1,-0.47950667,0.39000434,0.20402436
Foxj3,-0.004963355,-0.035428192,-0.017621387
Ctps,0.015530566,-0.049903415,0.1707758
Zmpste24,-0.071036175,0.030982796,0.161274
Pabpc4,0.104768515,-0.039043564,-0.15465839
Ndufs5,-0.005083123,0.017042138,0.014480138
Akirin1,-0.049526714,0.088471994,0.0917981
Rragc,-0.025242642,0.05412922,-0.0382269
Fhl3,-0.012728972,-0.030950636,0.07299241
Sf3a3,0.045532744,-0.0689313,-0.06823493
Yrdc,-0.0026182365,0.03709288,0.02855798
Zc3h12a,-0.058510713,0.07634224,0.017800689
Stk40,-0.08843185,0.08802918,0.05540801
Thrap3,-0.04600741,0.05126217,0.0569395
Psmb2,-0.026585056,0.0377646,0.010488066
Sfpq,-0.0037521992,0.04849227,0.02095656
Smim12,0.013512853,0.054339066,0.087084964
Gja4,0.020009898,0.022142919,0.09161288
Ak2,0.016840436,-0.055302843,-0.07417075
Zbtb8os,0.0077316314,0.08946698,-0.07466606
Marcksl1,-0.0760227,0.071874276,0.054306686
Lck,0.032861345,-0.18405066,0.19824935
Eif3i,0.012754295,-0.0094574895,-0.111240335
Tmem234,-0.17692752,0.18441224,0.18374883
Ptp4a2,-0.10491751,0.17764771,0.053020876
Laptm5,0.20858197,-0.2559914,-0.13390775
Gmeb1,0.0069576516,0.048563242,0.0040984782
Snhg12,-0.22384411,0.19605862,0.14276806
Atpif1,0.1273439,-0.059371516,-0.07110941
Ppp1r8,-0.0438817,0.026014127,0.03458313
Stx12,0.15751901,-0.18808188,-0.04747412
Fgr,-0.011325693,-0.07698005,-0.07058996
Wasf2,0.0195672,0.011872947,0.101208225
Slc9a1,0.0038860952,0.054634415,0.05423512
Nudc,-0.049303826,0.13372141,0.0559353
Gpn2,0.014530113,-0.03352129,0.06525022
Cd52,0.029139256,-0.054264225,-0.06707649
Sh3bgrl3,0.0823903,-0.116368175,-0.13289419
Mtfr1l,0.016847027,-0.0134399645,-0.12399075
Ldlrap1,0.04065135,-0.13137603,-0.041225135
Rhd,0.6301461,-0.38335153,-0.28241074
Tmem50a,-0.07124477,0.09003622,0.15272348
Syf2,0.09782266,-0.045129523,-0.0888197
Runx3,-0.06653777,0.020816673,0.058550064
Clic4,0.095355675,-0.1101104,-0.027966829
Srrm1,-0.10449259,0.1131433,-0.05659824
Cnr2,-0.24764282,0.33630246,-0.016878484
Fuca1,-0.0036318176,0.08210536,-0.07624014
Hmgcl,0.038051274,-0.12932484,0.062092345
Lypla2,-0.063397765,0.051793173,-0.0843055
Eloa,-0.002511898,-0.03342538,0.04194599
C1qc,0.3503503,-0.36593592,-0.0041426946
Cdc42,-0.0019596186,0.0069782976,0.0043779374
Usp48,0.041457932,-0.045727015,-0.053344153
Pla2g2d,-0.04878701,0.05394475,-0.016237902
Capzb,-0.14810556,0.22320926,0.06799231
Aldh4a1,-0.07010519,0.059375882,0.035941362
Rcc2,0.016795084,-0.023811055,-0.08715061
Sdhb,-0.13869773,0.10800286,0.1348717
Szrd1,-0.004252618,0.016861698,-0.099355735
Spen,0.043022845,-0.0286069,-0.004615589
Pramef8,-0.069490895,0.09165491,-0.020188902
Tnfrsf1b,-0.00015821122,-0.1359034,0.0809784
Miip,-0.022687534,0.033923827,-0.01904526
Mfn2,0.002104313,-0.03817812,0.009248547
Plod1,0.021509178,-0.033981178,-0.023423307
2510039O18Rik,0.049451612,-0.037927046,0.007369617
Mthfr,0.008436056,-0.043364167,0.1239997
Agtrap,0.0452763,-0.02662339,-0.1102326
Pgd,0.009301757,-0.07493392,-0.039617144
Kif1b,-0.024892997,-0.038259357,0.1088145
H6pd,0.0038434938,-0.048782773,-0.10147451
Tnfrsf9,-0.087427124,0.019140262,0.19770695
Dnajc11,0.010958661,0.04658469,-0.08075965
Thap3,0.03614617,-0.06528522,-0.047244456
Nol9,-0.14121908,0.24052802,0.08141955
Tnfrsf25,-0.102026045,-0.07821039,0.2825822
Kcnab2,0.0030040327,-0.061635755,-0.003063264
Lrrc47,-0.038121235,0.037044615,0.004989425
Wrap73,0.04851705,-0.028434975,-0.07715794
Pank4,-0.03763382,0.03227461,0.10645774
Rer1,0.02042434,-0.009980703,-0.028246464
Faap20,0.043414127,-0.054984007,-0.07296077
Ssu72,-0.024831079,0.13734046,0.066127405
Tnfrsf4,-0.00775226,-0.0107663525,0.14105307
Tnfrsf18,-0.074030146,-0.020974651,0.21606612
Gatad1,0.00058592483,0.053900372,-0.0017689522
Ankib1,-0.013923563,0.08356952,-0.07269144
Cyp51,-0.021149335,-0.013204794,0.09382768
Abcb1a,-0.006046664,-0.011400166,0.094147295
Crot,-0.02303483,0.006424928,0.15727876
Phtf2,-0.05585995,0.07875632,-0.0594563
Ptpn12,0.05839155,-0.05351289,-0.06031166
Armc10,-0.17950925,0.17186251,0.14293285
Pmpcb,0.012881696,-0.0033833208,0.03618039
5031425E22Rik,0.03478044,-0.03509226,-0.08008203
AI506816,0.060406145,-0.049444675,-0.09458902
Tomm7,-0.09698124,0.1456562,0.12667844
2700038G22Rik,-0.0041231224,0.05117457,-0.0014579861
Cdk5,-0.027244866,-0.0035914958,-0.033300247
Slc4a2,0.02383369,0.0225215,-0.0066808397
Prkag2,0.052200936,-0.02763959,-0.04188588
Kmt2c,-0.14142221,0.12926768,0.13309276
Khk,0.09592593,-0.08110674,-0.07552983
Preb,0.029267687,-0.0886199,-0.11095946
Eif2b4,-0.06346909,0.08961342,0.017657777
Zfp513,-0.018155033,0.03726935,0.015510125
Mrpl33,-0.052319963,0.0540299,0.06613657
Babam2,-0.07787281,0.10628877,0.075240076
Pisd,-0.10352649,0.10735974,0.05821503
Ctbp1,-0.037836656,0.04123799,0.06180573
Slbp,0.055868633,0.09521802,-0.16650043
Tacc3,0.14018445,-0.13851729,-0.1103676
Letm1,-0.0504215,0.103117436,0.08727803
Haus3,0.041678682,-0.16362472,-0.045887403
Fam193a,-0.015299855,0.013021698,0.088185675
Add1,0.037223317,-0.12059192,-0.031137284
Nop14,-0.1138262,0.13005273,0.12673338
Htt,-0.033915192,-0.013726887,0.001735557
Lrpap1,-0.0023676078,0.03652018,-0.083336405
Tbc1d14,0.0421324,-0.0384165,-0.04447911
Mrfap1,-0.030462774,0.07083189,0.07587336
Man2b2,0.0008316776,-0.015867293,-0.0029097253
Wfs1,0.07152135,-0.12473287,0.012727674
Jakmip1,-0.019166123,0.06289945,0.0034851104
Tmem128,-0.24222288,0.0904609,0.16568963
Wdr1,0.08233589,-0.13902904,-0.10891135
Fbxl5,2.69413e-05,-0.01936273,-0.07888848
Sod3,-0.20416714,0.1635992,0.18100883
Arap2,-0.002616236,0.009308724,-0.028756227
Pgm2,0.09056039,-0.08660186,-0.027452389
Tlr1,-0.03119215,0.012981234,-0.12164429
Rfc1,0.039868776,-0.09378028,-0.11338476
Smim14,-0.09433444,0.07921166,-0.08097379
Ube2k,-0.064982936,0.077604145,0.07991884
Commd8,-0.029945422,0.042951435,0.09105675
Tec,-0.13307977,0.26377237,-0.0835343
Ociad1,0.009005085,-0.011203514,-0.014367957
Fip1l1,-0.038557723,-0.01093289,0.025473839
Pdgfra,0.026880339,-0.029369198,-0.13698295
Kit,-0.06019824,0.0090415245,0.026517812
Srd5a3,-0.018279042,0.07693888,-0.008351647
Exoc1,0.051486492,0.06948579,-0.0714661
Ppat,-0.036250148,-0.0025262749,0.15171422
Paics,-0.012506353,0.13916047,-0.0076509914
Hopx,-0.058188595,0.0028314404,0.16468607
Igfbp7,0.21196029,-0.2336173,-0.18469524
Stap1,-0.17261596,0.31756693,-0.033600647
Uba6,-0.013483733,-0.004799151,-0.03700234
Jchain,0.41742292,-0.38585246,-0.25489083
Rufy3,-0.002509481,-0.028292667,-0.060724474
Mob1b,-0.046655174,0.04392157,-0.02485293
Ankrd17,-0.011377385,0.034570534,0.014061676
Ppbp,0.31723204,-0.18004297,-0.21389224
Sdad1,-0.0033445638,0.019928653,0.010244162
Cxcl10,0.0055470616,-0.06073161,-0.0008183058
Nup54,0.036121916,-0.058221824,-0.046954937
Ccni,-0.03240557,0.055735547,-0.06946866
Cxcl13,-0.26561552,0.3792052,-0.11291333
Cnot6l,-0.060056932,0.058445893,0.039635792
Bmp2k,-0.082845636,0.08681077,0.0029501838
Rasgef1b,-0.021292979,0.048639793,-0.06464439
Sec31a,-0.031184316,-0.025947819,0.017456155
Plac8,0.046410523,-0.094961345,-0.21194361
Hpse,-0.059377596,0.072955154,0.06693109
Mrps18c,-0.001065623,-0.0894092,0.083292864
Aff1,-0.0097232405,0.02748216,-0.022567153
Sparcl1,0.72658783,-0.51385856,-0.24630906
D930016D06Rik,0.020316403,-0.051425163,-0.06082259
Lrrc8c,-0.059793178,0.0014248155,0.1988211
Lrrc8d,-0.017118525,0.037888523,-0.023614528
Cdc7,0.06063199,-0.06387176,-0.08671903
Dipk1a,-0.017484697,0.039629836,0.07855464
Tmed5,-0.08688502,0.11741219,0.19859286
Atp5k,-0.0008106949,-0.010877266,0.0693045
Pcgf3,0.117358506,-0.06650764,-0.10085356
Crlf2,-0.08560312,0.16245647,0.1534802
Noc4l,-0.02013929,0.02883891,0.012953942
Iscu,-0.06785964,0.02883778,0.17356572
Selplg,-0.22176404,-0.08491125,0.34666762
Coro1c,-0.00035629608,0.067723066,0.009617401
Ssh1,0.002422087,0.05071141,0.048576977
Alkbh2,-0.08061993,0.14363995,-0.019187113
Gltp,-0.11048123,-0.024756856,0.12497229
Tchp,-0.014551479,0.07786859,-0.044151064
Ankrd13a,0.0128037445,-0.0039993185,-0.038363736
2210016L21Rik,-0.03355396,0.045231737,0.0068901884
Unc119b,-0.10543084,0.16455626,0.06057989
Pop5,-0.06845605,0.10046567,0.041286755
Triap1,0.032425985,-0.00532626,-0.0005936543
Rab35,-0.058305148,0.12052072,0.05755478
Taok3,-0.10546985,0.111142546,-0.017145215
Pebp1,-0.046656616,0.13750952,0.05368667
Med13l,0.020649636,0.0048038233,-0.0023338376
Plbd2,-0.048726454,0.056475498,-0.01974016
Slc8b1,-0.004804779,0.0047251824,-0.027430259
Rasal1,-0.03294291,0.017916346,-0.07213063
Dtx1,-0.08777567,0.06945932,-0.055073153
Oas2,-0.058517642,-0.007310979,0.12290709
Oas3,0.050670974,-0.10823722,-0.011093522
Naa25,-0.05115141,0.094518505,0.09050804
Erp29,0.011775732,-0.0011009359,-0.065204225
Aldh2,-0.17542134,0.23059739,0.07891
Sh2b3,-0.04128342,0.06428184,0.0687815
Hvcn1,-0.009321831,0.029781545,-0.12759364
Pptc7,-0.26909733,0.23463795,0.19414334
P2rx7,0.072416104,-0.12244236,0.1575854
Orai1,-0.04246331,-0.03276986,0.055375393
Setd1b,-0.040100046,0.02553636,0.14585249
Psmd9,0.09238526,-0.09562425,-0.09479254
Mlxip,-0.036591344,0.003103898,-0.06983186
Vps33a,0.0763774,-0.10112285,-0.046603743
Rsrc2,0.04559916,-0.11729521,-0.044199403
Denr,0.010521152,0.0013981275,0.0727268
Arl6ip4,-0.05753515,0.014048112,0.034549404
Cdk2ap1,-0.11436502,0.11986125,0.12120507
Sbno1,0.050846905,-0.07270815,-0.16540655
Rilpl2,-0.04793699,-0.012559084,0.0644342
Tmed2,-0.04731579,0.057549886,0.0334659
Gtf2h3,-0.07663003,0.021415468,0.037324436
Nipsnap2,0.07265668,-0.15939972,-0.15570989
Cct6a,-0.07516283,0.05588684,0.12467509
Tmem248,-0.0038066264,-0.002505628,-0.09345831
Tyw1,0.0032258146,0.017927852,-0.13305621
Gtf2i,0.018365087,0.0011866856,0.23216328
Lat2,-0.009609956,0.08746415,-0.24934293
Eln,0.058677126,-0.048059605,-0.12630741
Abhd11,-0.08162193,0.0816208,0.103866346
Dnajc30,0.0017288704,-0.01842355,0.0054734326
Bcl7b,-0.0020727627,-0.04358075,-0.015438133
Pom121,-0.05197881,0.046793956,0.0460395
Rhbdd2,-0.08542663,0.10877937,-0.00056058884
Tmem120a,-0.05514549,0.022190817,-0.0023523946
Mdh2,0.10483296,-0.16715598,-0.10584407
Rasa4,0.0018847631,-0.065982416,-0.02158585
Lrwd1,0.07093105,-0.17836985,-0.0113662835
Orai2,0.0037680268,-0.12845589,-0.028056562
Fis1,0.07012107,-0.060119446,-0.16601053
Znhit1,0.0146614155,-0.081810474,-0.04003137
Plod3,-0.017409172,0.034077026,0.030955954
Pop7,0.030511813,-0.04101602,-0.06861727
Gnb2,0.06373803,-0.0916396,-0.12623902
Lrch4,-0.12716581,0.13247725,-0.015642026
Ppp1r35,0.08352705,-0.1065258,-0.14899762
Mepce,-0.021689184,-0.034594614,0.07172146
Pilra,0.0146004595,0.018907044,-0.08346402
Zfp113,-0.13156939,0.13855544,0.06569029
Lamtor4,0.004140278,-0.0042588604,-0.00778669
Pdgfa,-0.07238551,0.1460982,0.059490655
Adap1,-0.07481833,-0.13208014,0.040476512
Cox19,-0.035834834,0.06606559,-0.012203558
Gpr146,0.10933587,-0.0513355,-0.06560601
Nudt1,-0.094627246,0.011880205,0.049092352
Eif3b,-0.06917561,0.07348529,0.04278833
Ttyh3,-0.0040377276,-0.06956458,0.10414308
Iqce,0.0073114242,-0.12309497,0.04354324
Brat1,0.024752093,-0.03164348,-0.009181825
Foxk1,-0.10661249,0.057418518,0.085725814
Tnrc18,-0.03419832,0.081192896,0.038853474
Actb,0.3644777,-0.29072332,-0.18593612
Fscn1,-0.0956942,-0.036717758,0.3060508
E130309D02Rik,-0.06928316,0.07659781,0.17650364
Eif2ak1,0.26386908,-0.14260268,-0.09682511
Pms2,-0.028602518,0.031504724,0.02110375
Smurf1,-0.047315456,0.062081076,0.10298492
Arpc1b,-0.37482867,0.3134999,0.21217644
Ptcd1,-0.01297427,0.04158659,0.048484404
Atp5j2,0.17813453,-0.18161327,-0.112725616
Usp12,0.015944926,-0.006925525,-0.019331504
Gtf3a,-0.019359842,0.040836785,0.039006613
Flt3,0.05181975,-0.18119189,-0.04954042
Pomp,-0.08655351,0.04970357,0.14857996
Slc7a1,0.016755424,0.048589468,-0.05482936
Ubl3,-0.060261577,0.053843234,0.0015989889
Hmgb1,-0.15690464,0.20163985,0.20602193
Uspl1,-0.054236956,0.032038182,-0.0010759945
Fry,-0.033536833,0.026770767,0.07273949
Pds5b,-0.013861131,0.11909355,0.044127323
Gm20559,-0.06091275,0.073930115,-0.06003182
Col1a2,-0.04554323,0.0087373275,0.025215939
Sem1,0.046261135,0.091960944,-0.006565277
Ndufa4,0.02311057,-0.105290025,-0.039488453
Bmt2,-0.025499932,-0.046624925,0.0507294
2610001J05Rik,-0.06459744,0.027759556,0.101085424
Mdfic,-0.04662919,0.13844745,0.010563996
Capza2,0.03061435,-0.037513603,-0.0799537
Ing3,0.07840279,-0.04808346,-0.022929015
Fam3c,-0.29661933,0.23408781,0.21073487
Ndufa5,-0.0719981,0.09172445,0.05167639
Wasl,0.036715508,-0.042451035,-0.026577838
Snd1,-0.15588301,0.12619549,0.03507171
Rbm28,-0.08238576,0.07462747,0.027490962
Atp6v1f,0.026470434,0.04012596,-0.05445407
Tnpo3,-0.58469766,0.42308924,0.25501826
Tspan33,0.51116276,-0.31998363,-0.16792627
Tmem209,0.004983131,0.02878198,-0.02005149
Mkln1,0.053073905,-0.17872006,-0.14973497
Exoc4,-0.17258207,0.15589298,0.0635957
Slc35b4,0.019330453,0.033520624,0.087896325
Akr1b3,-0.008073326,-0.017249428,0.0036562234
Bpgm,0.36242306,-0.17099214,-0.23916553
Mtpn,0.020317648,-0.03536757,-0.08070221
Creb3l2,-0.031068312,0.014871216,-0.011356616
Tbxas1,0.24387537,-0.24976136,0.0005641722
Kdm7a,0.18026629,-0.11459866,-0.09069071
Ssbp1,-0.13515979,0.13723075,0.09507189
Trbc1,-0.09013072,-0.17636038,0.35287982
Trbc2,-0.024741236,-0.13341384,0.3133385
Cul1,-0.07670188,-0.002778525,-0.042684883
Pdia4,0.024507849,0.019134974,-0.1117669
Zfp282,-0.050711863,0.0578946,0.023702735
Zfp956,0.0028818725,-0.058728464,-0.044721432
Krba1,0.0745234,-0.11638087,-0.06781643
Lrrc61,-0.12599266,0.1325069,-0.04867497
Gimap8,-0.075172134,0.057551604,0.09665667
Gimap9,0.051974483,0.017039256,-0.0836948
Gimap4,-0.014602129,-0.0050818603,-0.017879335
Gimap6,0.04079723,-0.06915012,-0.08690985
Gimap7,-0.04423269,0.043800347,0.16130653
Gimap1,-0.10610969,0.11753662,0.0041932566
4833403J16Rik,-0.030860795,0.032813244,-2.7978871e-05
Tmem176b,-0.12729995,0.12035523,0.10014185
Tmem176a,0.06422597,-0.13581894,-0.0773217
Cycs,-0.08643149,0.16725951,0.060034644
Cbx3,-0.07210347,0.1315015,0.011516483
Tax1bp1,-0.039295066,0.13870943,-0.019763589
Znrf2,-0.113002256,0.06463808,0.14259675
Gars,0.048550278,0.01042839,-0.04902695
Kbtbd2,-0.056357145,0.057549838,0.12067331
Nt5c3,0.36913776,-0.20515952,-0.1373899
Smarcad1,0.0005762428,-0.0499406,-0.046402086
Gadd45a,0.44481426,-0.34125245,-0.15205544
Serbp1,0.039632298,-0.065806344,-0.08927168
Igkc,0.5307551,-0.36136362,-0.24862793
Cd8b1,-0.13685317,-0.18645576,0.44450614
Cd8a,-0.061921053,-0.15092684,0.3377348
Kdm3a,-0.03243267,0.026123647,-0.016096056
Immt,-0.04204133,0.029172841,0.119300894
Rnf181,0.036922984,-0.09341797,-0.086958244
Vamp5,0.21107095,-0.12928647,-0.21055831
Mat2a,0.00288217,-0.022706503,-0.11682696
Elmod3,0.007254381,0.048490945,-0.0588496
Gm9008,0.058510475,-0.021856977,0.00010331804
Pole4,0.013407933,-0.04030249,-0.06635764
Htra2,-0.030746453,-0.005104404,-0.024022099
Aup1,-0.052637327,0.11821461,0.07031767
Wbp1,-0.07081716,0.034122173,0.09540276
Dctn1,0.001141849,0.0056415815,-0.044598456
Mob1a,-0.058192305,0.10304111,0.0049782675
Tex261,0.011766452,-0.07354803,-0.05283117
Spr,-0.05000447,0.011990035,0.0067420136
Cct7,0.017961044,-0.054965917,-0.047444418
Dusp11,0.029120706,-0.04968866,-0.05465022
Snrpg,0.03716526,-0.04236836,-0.15543139
Pcbp1,0.08811627,-0.0890994,-0.11335321
Gmcl1,0.0006059883,0.020091001,0.0023976208
Aak1,0.027910557,-0.16376263,0.07594603
Antxr1,0.049245518,-0.024590302,-0.09522276
Arhgap25,-0.089266665,0.14370826,0.14088713
Cnbp,0.026577279,-0.080757566,-0.14050849
Rab7,-0.04261574,0.04285522,0.14126448
Sec61a1,-0.2866429,0.15868571,0.2509482
Zxdc,-0.025040675,0.08510851,0.051979296
Nup210,0.08005103,-0.14730276,-0.057495024
Tmem43,0.05834303,-0.08719945,-0.08440728
Ccdc174,0.03659744,-0.061247002,0.05950484
Nr2c2,0.010957464,-0.053775053,0.04742709
Mrps25,0.007305734,0.01321641,0.0028896697
Tmf1,0.028942483,0.0893165,-0.046734996
Arl6ip5,0.006901916,0.0347814,0.08503294
Foxp1,-0.097500235,0.16585268,0.043552194
Trnt1,-0.02138108,0.03747309,-0.01518584
Jagn1,-0.09649835,0.08494268,0.2260855
Creld1,0.001731657,0.022799661,0.010316939
Emc3,0.055170625,-0.16536362,-0.071026616
Brk1,-0.062602095,0.068688504,0.10035411
Vhl,0.05861589,-0.15068541,0.018922033
Plxnd1,0.011457193,-0.08134405,-0.15085304
Rassf4,0.0102454685,-0.16704728,0.0073208213
Bms1,-0.02890849,0.09113603,-0.01379229
Hdhd5,-0.090164855,0.052101407,0.249757
Cecr2,-0.030951302,0.028228302,0.016841864
Bcl2l13,0.0051621543,-0.010255198,-0.040280055
Bid,-0.06795782,0.03783442,-0.026560463
Mical3,0.052648522,0.0046545127,-0.1493962
M6pr,-0.10865751,0.13460724,0.14123341
Phc1,0.00067757815,0.056258183,0.061230987
Clec4n,0.102713734,-0.1058539,-0.055063177
C1ra,0.052484967,-0.106946215,-0.050629456
Phb2,-0.04652182,0.096553005,0.0719707
Tpi1,-0.02683521,0.05878806,0.030621057
Cd4,-0.14454028,-0.013839087,0.24371694
Ing4,-0.06529777,0.03683208,-0.09037967
Chd4,-0.110772595,0.122047506,0.10235078
Gapdh,-0.17711368,0.18206002,0.34718856
Mrpl51,0.034886282,-0.11939609,-0.015782433
Tapbpl,-0.15493429,0.028206311,0.33869138
Cd27,-0.11177042,-0.11000332,0.3727857
Ltbr,0.041501146,-0.0752131,0.0037870938
Cd9,-0.002050804,-0.021773802,0.0551428
Ndufa9,-0.069596194,0.045593783,0.15188116
Ccnd2,-0.067667544,0.06785973,0.25297028
Fkbp4,0.04098924,-0.05338599,-0.03490754
BC035044,0.0056124143,-0.016497348,0.008080238
Clec2i,-0.38657787,0.3501063,0.08497482
Clec2d,0.06237828,-0.14549029,-0.107271604
Gabarapl1,0.3099475,-0.16852507,-0.281014
Ybx3,0.017261082,0.003702051,-0.021863295
Smim10l1,-0.041109666,0.03969668,0.11101585
Etv6,-0.05352266,-0.0007601534,0.16046235
Bcl2l14,0.035446867,-0.1006506,0.05827093
Lockd,0.15492636,-0.10845294,-0.06558987
Ddx47,-0.06512299,0.07661203,0.13149545
H2afj,-0.05912968,0.016839147,0.082320265
Wbp11,-0.041527767,0.020211803,0.10535437
Mgp,0.04837875,-0.22145861,0.008716361
Arhgdib,0.08027627,-0.12571716,-0.13098821
Mgst1,-0.019860685,0.036502186,0.089977175
Plekha5,0.035176806,-0.06408558,-0.045286387
Kcnj8,-0.006331973,-0.026819197,-0.06198934
St8sia1,-0.08301869,-0.023015732,0.24728252
Lrmp,-0.15511838,0.20927158,0.014010001
Kras,0.032571398,0.08218121,-0.036523305
Itpr2,-0.033641327,0.088500574,0.020848302
Ints13,0.07851527,-0.07051177,-0.110773325
Dennd5b,-0.042624876,0.13234861,-0.049331497
Myadm,0.05261505,-0.10237741,-0.057786748
Prpf31,-0.07544586,0.10488446,0.06852953
Cnot3,-0.06071499,0.0918758,0.037126977
Mboat7,-0.034151033,0.03111859,-0.030871863
Pirb,-0.0031789588,-0.056656107,-0.085810825
Eps8l1,-0.031632528,0.017786946,-0.041366663
Tmem86b,0.0808981,-0.04857066,-0.017141087
Ppp6r1,-0.13280095,0.17584085,0.07913902
Zfp524,0.033055034,-0.085875146,-0.029366808
Zfp865,0.008107258,0.011440388,-0.01542361
U2af2,0.011740014,-0.066297576,0.04644586
Epn1,0.02598282,-0.042002626,-0.12416844
Zfp954,0.040501602,0.012007653,-0.03346476
Clcn4,-0.06751642,0.048551418,0.04619747
Trim28,0.019069852,-0.02947627,0.033743042
Ube2m,-0.03600876,0.028375758,0.028781863
Lig1,0.041435856,0.028162327,0.02817996
Nop53,-0.030885361,0.0541928,0.07498584
Bicra,0.03231028,-0.009559637,-0.051732082
