,Shared topic 1,Shared topic 2,Shared topic 7
Cacna1e,-0.028674068,0.00035488978,0.0029580628
Stx6,-0.07384211,0.09573427,0.040308274
Acbd6,-0.055058703,0.06677789,-0.048266277
Fam20b,-0.047830768,0.07822688,0.05901287
Rc3h1,0.0128559945,0.040925935,-0.013958791
Sell,0.10248291,-0.17493999,-0.086545505
Dpt,-0.09427932,-0.049949404,0.2620667
Sft2d2,-0.029812723,-0.070697196,0.0013539188
Mpzl1,0.109215334,-0.071678445,-0.18017694
Rcsd1,-0.01056827,0.013955238,-0.110878825
Creg1,0.5805656,-0.39142877,-0.16246252
Cd247,-0.13208076,-0.06682535,0.39185226
Uck2,-0.040293287,0.009782049,0.13170303
Tmco1,-0.0398167,0.09551951,0.07202387
Aldh9a1,-0.0033472395,0.03652492,0.048385676
Olfml2b,0.04389946,-0.16549638,0.03311287
Fcrla,-0.047463365,0.06954596,-0.111080885
Fcgr2b,-0.08566791,0.07115935,0.014368983
Fcgr3,-0.00042280275,-0.029273987,-0.07201825
Pcp4l1,-0.018177409,-0.063548915,0.018654864
Tomm40l,-0.03272056,-0.0041530672,-0.078402266
Ndufs2,0.017416952,-0.056193613,-0.042126987
B4galt3,0.052026182,-0.053823516,-0.16851431
Arhgap30,-0.33075714,0.25958964,0.20390806
Usf1,-0.08565493,0.11933489,0.032852914
F11r,0.0043329685,-0.05259191,0.056214433
Ly9,-0.35406673,0.26275632,0.16082713
Cd48,-0.13982144,0.112397164,0.1473113
Cd84,-0.025596403,0.034973204,-0.029949687
Dcaf8,0.055815607,-0.07390402,-0.07715285
Aim2,-0.11850029,0.054428592,-0.048552692
Ifi206,-0.04891159,0.06955694,0.057834845
Ifi211,-0.034031644,0.061840683,0.091033086
Ifi203,-0.011116133,-0.032438904,-0.061827496
Ifi205,-0.041503664,0.13524231,-0.006704315
Fh1,-0.043663234,0.08216807,0.104131326
Cep170,-0.029502913,-0.044081192,0.042034738
Zbtb18,-0.033685815,0.016331047,-0.11172625
Adss,-0.07603585,0.097914875,0.12740302
Desi2,-0.013862513,-0.04565211,0.07196444
Hnrnpu,0.091566816,-0.13259494,-0.141692
Psen2,-0.14765157,0.1714581,0.0625434
Parp1,-0.10889855,0.1860102,0.04708092
H3f3a,0.06995376,-0.021084316,-0.071157
Sde2,0.04386892,0.027471926,-0.027546352
Srp9,0.04591389,-0.016146513,0.02473666
Dusp10,-0.027555801,0.013200562,0.0740443
C130074G19Rik,0.06166629,-0.0792238,-0.13643333
Iars2,0.026044378,0.022621185,-0.025087176
Kctd3,0.032232653,-0.107759565,-0.11036073
Cenpf,0.24145971,-0.11696511,-0.11116276
Ptpn14,-0.024834305,-0.00953122,-0.073337
Flvcr1,0.04678291,-0.08169461,0.025887137
Tatdn3,0.01602519,-0.0038918578,-0.108862765
Batf3,0.037482254,-0.12425924,0.011288771
Nenf,-0.05814053,0.11985521,0.008107697
Ppp2r5a,0.06550101,-0.14723137,-0.00450065
Lpgat1,0.018560942,0.08225479,-0.06949019
Slc30a1,0.043847635,-0.010088061,-0.16301724
Hhat,-0.02469002,-0.016530784,-0.083703674
Traf3ip3,-0.015382383,0.03495453,-0.0051099607
G0s2,0.012480907,-0.004197818,-0.0057368837
Cr2,0.0050297044,0.038534436,-0.2526805
Fam107b,-0.07781075,0.083458185,0.11258278
Sephs1,-0.056182235,0.05225452,0.13653159
Phyh,0.014844853,0.036187787,-0.13243361
Camk1d,0.033557814,-0.043744527,-0.06422019
Nudt5,-0.019182943,0.06162926,-0.037012752
Celf2,-0.0023232524,0.049917746,-0.011249705
Atp5c1,-0.18641892,0.13838713,0.20309183
Prkcq,-0.016255755,-0.08600059,0.17630547
Pfkfb3,-0.05510766,0.039032597,0.016411034
Rbm17,-0.020250509,0.013610242,-0.080905035
Il2ra,-0.029797371,-0.077613376,0.2273219
Il15ra,0.0273033,-0.06353435,-0.07830349
Rsu1,-0.0015610317,-0.06807126,-0.08159192
Vim,-0.31821635,0.23246646,0.21428987
Dnajc1,-0.00081464276,-0.031410195,0.072141625
Apbb1ip,0.0073641795,0.017225072,-0.09535548
Spopl,0.035043158,0.04386603,-0.11272145
Mrpl41,0.01112764,0.06009889,0.072039306
Tubb4b,0.0058031064,-0.03239785,0.026386919
Tprn,0.10381073,-0.07763521,-0.08378606
Anapc2,-0.030229222,0.08880538,-0.071056314
Uap1l1,-0.025525684,-0.031386808,-0.12574142
Npdc1,0.0061393706,0.008382086,0.016470375
Abca2,0.00019651093,0.017587883,0.12740862
Fbxw5,-0.031154718,0.0453189,-0.023035686
Phpt1,-0.020931017,0.10611178,0.021914648
Tmem141,0.04724253,-0.10823547,-0.061242998
Fcna,0.27654085,-0.3439378,-0.10536954
Bmyc,-0.07171326,0.058222692,-0.032271713
Camsap1,-0.057597302,0.04687148,0.07194941
Entr1,0.04617565,-0.14427835,-0.062407233
Pmpca,-0.006969437,-0.08120461,-0.008497392
Sec16a,-0.07314969,0.08913387,0.016884947
Notch1,0.03143493,-0.18306786,0.13322236
Surf1,-0.051430877,0.062185735,0.07255077
Surf4,-0.045972258,-0.049067974,0.16712157
Brd3,-0.05270959,0.041037384,-0.011580799
Rxra,-0.0033041197,0.012018252,-0.10342872
Gtf3c4,0.041192744,-0.0017347578,-0.09866442
Setx,-0.12605989,0.15058553,0.17738219
6530402F18Rik,-0.12924975,0.08060849,0.09024303
Sptan1,0.03779968,-0.049101155,-0.06436989
Set,-0.088415086,0.18098103,0.056760103
Tbc1d13,-0.025689203,-0.057048585,-0.07496573
Nup188,-0.0036203507,0.022947418,-0.0032400175
Crat,0.022831365,-0.03847309,0.04907661
Ntmt1,-0.047783673,0.07881074,0.029656308
Asb6,0.03506684,-0.025759632,0.004677467
