,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
Atg10,0.21623544,0.02550456,-0.40666944,0.010947528,-0.17714837,-1.0586207,0.08063192,-0.07821123,-0.15547167,-0.0031463434,-0.2098357,0.03784594,-0.17095467,-0.17527676,-0.008451422,-0.007829915,-0.00927947,-0.307963,-0.008711895
Msh3,-0.24464965,0.22382346,-0.08880274,-0.007928722,-0.05308065,-0.4157736,0.58217114,-0.23396945,-0.60442764,-0.10534837,-0.08076807,0.43505186,-1.2400519,0.023851719,-0.011323656,-0.17792627,0.18394423,-0.017544452,-0.010637878
Zfyve16,-0.04675746,0.07017149,-0.45858926,-0.04469253,0.25954708,0.16316053,-0.020467637,0.09114484,-0.35605714,-0.6105832,-0.15735029,0.1050154,-0.17319785,-0.008675294,-0.007046649,-0.03060649,-0.0014157279,0.10968171,0.014690607
Serinc5,-0.8165965,-0.09021496,0.7919715,-0.6004757,-0.8095756,1.3061229,0.259949,-0.47853225,-0.4857787,-0.7608799,-0.20308894,-0.5588096,-0.8831676,-0.17563055,0.8216889,-0.2663021,0.21299203,-0.7471406,0.39875388
Homer1,0.11527134,-0.68722904,-0.88659483,0.21824504,-1.11956,-1.0229243,0.55288327,0.32614425,0.4222606,0.25563768,-0.18497454,-1.0985106,-1.4267647,0.6490717,0.1812723,0.25513592,0.47473916,-1.126101,0.3977414
Jmy,-0.05615877,0.09607172,0.16519248,-0.030060073,-0.2527187,-0.05556356,-0.023237929,-0.032710183,0.17387123,-0.0082586305,-0.09086442,-0.15676999,0.13021421,0.016251938,-0.0008119801,-0.06032668,-0.006236488,0.07521384,0.070938066
Arsb,-0.0071178535,-0.6684311,-0.22454922,0.18832254,-0.17578235,0.13646139,-0.14320344,-0.022441449,-0.30074838,-0.028402627,-0.793202,-0.17204553,-0.37300783,-0.03536455,-0.030576743,-0.012092098,-0.0048603634,-0.19296102,0.058209393
Ap3b1,-0.02596647,-0.15566145,-0.079265006,-0.11832763,-0.24075487,-0.24518137,0.3506499,0.2736863,0.09336199,-0.046244677,-0.026293792,0.011692794,-0.2246685,0.44037336,0.010121641,-0.053084776,0.060307395,-0.75859827,0.07383149
Wdr41,0.034833852,0.053981185,-0.2727936,-0.058358856,-0.05296172,0.44115582,0.15856658,-0.064201154,-0.058302883,0.014449975,-0.6429887,-0.0067663603,-0.17630732,0.04872506,-0.035766717,-0.16145389,-0.005110742,0.036712598,0.0029334957
Aggf1,0.06192373,-0.054818995,-0.2390973,0.012358948,-0.06826875,-0.6052543,-0.13619967,-0.03021559,0.27654827,-0.02097576,-0.24752825,-0.2826501,-0.3752547,0.027239198,-0.016815951,0.06362629,-0.035725717,0.28762415,0.03868177
